you,toi
welcome,accueillir
high,haut
wow,Ouah
couple,couple
half,moitié
died,décédé
cool,cool
free,gratuit
either,soit
seems,semble
power,pouvoir
whoa,ouah
bye,au revoir
buy,acheter
telling,révélateur
honey,Miel
tried,essayé
front,devant
team,équipe
answer,répondre
gun,pistolet
boys,garçons
line,doubler
send,envoyer
news,nouvelles
stupid,stupide
bed,lit
hurry,dépêchez-vous
full,complet
months,mois
save,sauvegarder
sometimes,parfois
become,devenir
along,le long de
hate,détester
food,nourriture
outside,dehors
light,lumière
l,l
needs,besoins
dog,chien
country,pays
clear,clair
order,commande
em,em
fact,fait
lord,seigneur
captain,capitaine
six,six
hot,chaud
funny,drôle
black,noir
mrs.,Mme.
alive,vivant
pick,prendre
feeling,sentiment
living,vie
cause,cause
ahead,devant
lose,perdre
king,roi
plan,plan
dinner,dîner
sighs,soupirs
sort,trier
leaving,sortie
shouldn,devrait
running,en cours d'exécution
boss,chef
alright,Très bien
promise,promesse
taken,pris
safe,sûr
ma,ma
book,livre
sent,envoyé
white,blanc
hour,heure
anybody,personne
small,petit
perfect,parfait
‘cause,'cause
lives,vies
special,spécial
parents,parents
s,s
john,John
himself,se
perhaps,peut-être
sounds,sons
serious,sérieux
sick,malade
company,entreprise
ha,Ha
scared,effrayé
uncle,oncle
poor,pauvre
red,rouge
past,passé
earth,Terre
possible,possible
shoot,tirer
touch,touche
sound,son
top,haut
ass,cul
laughs,rires
cannot,ne peut pas
asking,demander
win,gagner
glad,content
control,contrôle
hmm,Hmm
human,humain
drive,conduire
hair,cheveux
jack,jack
bitch,chienne
luck,chance
murder,meurtre
happens,se produit
air,air
ten,dix
daddy,papa
finally,enfin
chuckles,rires
fast,rapide
cold,froid
seem,sembler
laughing,en riant
words,mots
hospital,hôpital
street,rue
hang,accrocher
dance,danse
meeting,réunion
till,jusqu'à
others,autres
catch,attraper
follow,suivre
sense,sens
sex,sexe
lie,mensonge
evening,soirée
master,maître
known,connu
dream,rêve
write,écrire
million,million
voice,voix
sweet,doux
rather,plutôt
felt,feutre
sign,signe
lucky,chanceux
somewhere,quelque part
bet,pari
o,o
jesus,Jésus
longer,plus long
calling,appel
worked,travail
quiet,calme
looked,regardait
less,moins
pull,tirer
beat,battre
careful,prudent
coffee,café
return,retour
secret,secrète
weeks,semaines
weren,étaient
date,date
seeing,vision
fall,automne
given,donné
ooh,ooh
fault,faute
straight,droit
takes,prend
song,chanson
future,avenir
gentlemen,Messieurs
loved,aimé
changed,modifié
road,route
calm,calme
wonderful,merveilleux
mad,fou
turned,tourné
drop,baisse
ladies,dames
learn,apprendre
step,étape
absolutely,absolument
early,tôt
explain,expliquer
clean,faire le ménage
piece,morceau
yesterday,hier
throw,lancer
picture,image
land,atterrir
feet,pieds
wonder,merveille
questions,questions
speaking,Parlant
worth,valeur
darling,chéri
dude,mec
giving,donner
president,président
eye,œil
quick,rapide
moving,mobile
figure,chiffre
state,État
strong,fort
sam,Sam
none,aucun
amazing,incroyable
ones,ceux
works,travaux
act,acte
needed,nécessaire
weird,bizarre
law,loi
worried,inquiet
report,rapport
goodbye,au revoir
missing,manquant
choice,choix
happening,événement
chief,chef
wedding,mariage
strange,étrange
general,général
pain,douleur
‘am,'suis
kidding,blague
decided,décidé
ya,ya
pass,passer
tired,fatigué
class,classe
officer,officier
kept,gardé
wake,se réveiller
worse,pire
busy,occupé
eh,eh
mistake,erreur
kiss,baiser
court,tribunal
building,bâtiment
finish,finition
during,pendant
age,âge
ship,bateau
caught,attrapé
marry,marier
meant,censé
sell,vendre
dark,sombre
watching,regarder
system,système
suppose,supposer
evidence,preuve
movie,film
ride,monter
t,t
completely,complètement
mouth,bouche
totally,totalement
birthday,anniversaire
tv,TV
forgive,pardonner
born,né
imagine,imaginer
information,information
instead,plutôt
definitely,certainement
security,sécurité
certainly,certainement
film,film
month,mois
lying,couché
unless,sauf si
train,former
seven,Sept
wear,porter
clothes,vêtements
michael,Michael
hotel,hôtel
christmas,Noël
attack,attaque
hasn,n'a pas
round,rond
expect,attendre
sing,chanter
terrible,terrible
george,George
bag,sac
history,histoire
blue,bleu
near,près
broke,cassé
station,gare
seriously,sérieusement
forever,pour toujours
david,David
frank,franc
except,sauf
thinks,pense
message,message
entire,entier
joe,Joe
table,tableau
talked,parlé
across,à travers
rock,rocher
lovely,beau
handle,poignée
middle,milieu
buddy,copain
paid,payé
protect,protéger
using,en utilisant
floor,sol
ran,couru
swear,jurer
spend,dépenser
situation,situation
ring,anneau
anywhere,n'importe où
dangerous,dangereux
bill,facture
york,York
army,armée
lead,plomb
bought,acheté
finished,fini
fair,équitable
sun,soleil
letter,lettre
fool,idiot
attention,attention
club,club
simple,simple
interesting,intéressant
space,espace
test,test
box,boîte
group,groupe
single,célibataire
sitting,séance
marriage,mariage
join,rejoindre
fear,peur
d,d
peace,paix
forgot,oublié
force,forcer
short,court
normal,normale
charlie,Charlie
present,présent
enjoy,apprécier
mike,micro
crime,crime
horse,cheval
ground,sol
american,Américain
count,compter
area,zone
charge,charge
honor,honneur
lunch,déjeuner
miles,kilomètres
radio,radio
idiot,idiot
ball,balle
surprise,surprendre
paper,papier
key,clé
boat,bateau
quickly,rapidement
gold,or
bar,bar
fish,poisson
mark,marque
tom,Tom
wearing,résistant
crying,pleurs
accident,accident
government,gouvernement
eight,huit
fell,est tombé
cover,couverture
certain,certain
interested,intéressé
deep,profond
star,étoile
sea,mer
agree,accepter
problems,problèmes
detective,détective
prison,prison
major,majeur
stick,bâton
offer,offre
difficult,difficile
smart,intelligent
personal,personnel
record,enregistrer
stopped,arrêté
hide,cacher
whether,si
bank,banque
trip,voyage
relax,se détendre
america,Amérique
public,publique
list,liste
afternoon,après-midi
brain,cerveau
fix,réparer
bastard,bâtard
proud,fier
tea,thé
service,service
screaming,hurlement
forward,avant
angry,en colère
park,parc
soul,âme
fighting,lutte
peter,Pierre
rich,riche
agent,agent
blow,souffler
paul,Paul
dress,robe
mary,Marie
missed,manqué
scene,scène
killing,meurtre
standing,debout
saved,sauvé
mm,mm
respect,respect
killer,tueur
ice,glace
mess,désordre
tough,difficile
feels,on a l'impression
church,église
sad,triste
cell,cellule
drunk,ivre
share,partager
camera,caméra
mm-hmm,mm-hmm
within,dans
card,carte
fly,voler
ben,Ben
girlfriend,petite amie
laugh,rire
smell,odeur
broken,cassé
mum,maman
honest,honnête
often,souvent
starting,départ
calls,appels
y,y
spent,dépensé
third,troisième
english,Anglais
visit,visite
mama,maman
judge,juge
window,fenêtre
hungry,affamé
dare,oser
relationship,relation
moved,déplacé
prove,prouver
private,privé
wall,mur
seat,siège
i-i,je-i
position,position
lieutenant,lieutenant
realize,réaliser
lt,lt
especially,en particulier
machine,machine
walking,marche
art,art
pleasure,plaisir
bloody,sanglant
college,collège
french,Français
involved,impliqué
cry,pleurer
became,devenu
lived,vécu
impossible,impossible
obviously,évidemment
neither,ni l'un ni l'autre
accept,accepter
boyfriend,petit ami
besides,en plus
queen,reine
teacher,professeur
cops,policiers
sake,saké
loves,aime
carry,porter
teach,enseigner
apartment,appartement
upset,bouleversé
green,vert
la,la
liked,aimé
cute,mignon
evil,mal
professor,professeur
contact,contact
joke,blague
cop,flic
huge,énorme
holy,saint
store,magasin
jail,prison
likes,goûts
lawyer,avocat
doubt,doute
continue,continuer
appreciate,apprécier
cat,chat
shop,boutique
driving,conduite
congratulations,Félicitations
wrote,a écrit
village,village
quit,quitter
field,champ
james,Jacques
wine,vin
decision,décision
south,sud
sleeping,dormir
slow,lent
laughter,rire
island,île
glass,verre
beginning,début
cash,espèces
dying,en train de mourir
hundred,cent
whose,dont
difference,différence
plane,avion
push,pousser
continues,continue
mmm,mmm
singing,chant
eating,manger
north,nord
mrs,Mme
tree,arbre
madam,madame
gift,cadeau
truck,camion
putting,putting
bear,ours
board,conseil
grab,saisir
beer,bière
stuck,bloqué
magic,magie
support,soutien
rules,règles
grunts,grognements
partner,partenaire
reach,atteindre
wind,vent
colonel,colonel
max,max
immediately,immédiatement
seconds,secondes
thousand,mille
gives,donne
experience,expérience
cheers,acclamations
victim,victime
upon,sur
computer,ordinateur
christ,Christ
planet,planète
promised,promis
bus,bus
henry,Henri
dirty,sale
search,recherche
staying,séjour
dreams,rêves
arrest,arrêter
holding,holding
suddenly,soudainement
usually,généralement
lots,beaucoup
shoes,chaussures
er,er
jump,saut
rid,débarrasser
yo,yo
knock,frappe
owe,devoir
harry,Harry
grow,grandir
worst,pire
river,rivière
aunt,tante
patient,patient
kitchen,cuisine
aah,aah
fat,graisse
passed,passé
m,m
final,final
summer,été
bob,bob
listening,écoute
escape,s'échapper
everywhere,partout
moon,lune
arms,bras
turns,tours
address,adresse
ow,ow
match,correspondre
gasps,halètements
grand,grandiose
yep,ouais
shh,chut
nervous,nerveux
de,de
choose,choisir
themselves,eux-mêmes
decide,décider
mate,copain
drinking,boire
press,presse
bother,déranger
foot,pied
hadn,n'avait
blame,blâmer
crap,merde
drugs,médicaments
type,taper
rings,bagues
mission,mission
named,nommé
heaven,paradis
‘ii,« ii »
picked,choisi
paris,Paris
race,course
risk,risque
books,livres
further,plus loin
danny,Danny
action,action
allowed,autorisé
orders,ordres
learned,savant
price,prix
arrived,arrivé
nick,entaille
otherwise,sinon
pictures,photos
fit,ajuster
smoke,fumée
favor,service
played,joué
notice,avis
awesome,génial
smile,sourire
director,directeur
guard,garde
begin,commencer
spot,place
surprised,surpris
innocent,innocent
narrator,narrateur
herself,se
london,Londres
feelings,sentiments
enemy,ennemi
battle,bataille
ourselves,nous-mêmes
alex,Alex
dollars,dollars
allow,permettre
nine,neuf
gay,gay
department,département
guilty,coupable
apart,à part
earlier,plus tôt
duty,devoir
jim,Jim
suit,costume
bell,cloche
west,Ouest
legs,jambes
hero,héros
destroy,détruire
stage,scène
bunch,bouquet
according,selon
chicken,poulet
bigger,plus gros
grunting,grognement
low,faible
helping,portion
admit,admettre
closed,fermé
names,noms
witness,témoin
upstairs,à l'étage
arm,bras
steal,voler
jimmy,Jimmy
kick,coup
twice,deux fois
cross,croix
ways,façons
sergeant,sergent
indeed,en effet
gas,gaz
keeping,garde
energy,énergie
pregnant,enceinte
waste,déchets
helped,a aidé
fired,licencié
favorite,préféré
tony,Tony
taste,goût
locked,fermé
places,lieux
writing,en écrivant
adam,Adam
brothers,frères
starts,débuts
prince,prince
form,formulaire
sold,vendu
silly,idiot
mention,mention
build,construire
throat,gorge
hole,trou
figured,figuré
track,piste
ringing,sonnerie
lock,verrouillage
leg,jambe
above,au-dessus de
hiding,dissimulation
steve,Steve
seemed,semblait
breakfast,petit-déjeuner
engine,moteur
written,écrit
complete,complet
video,vidéo
applause,applaudissements
however,cependant
pressure,pression
fresh,frais
weapon,arme
sky,ciel
ms.,MS.
stole,étole
study,étude
burn,brûler
reading,en lisant
crowd,foule
treat,traiter
roll,rouler
double,double
spirit,esprit
danger,danger
cost,coût
empty,vide
level,niveau
memory,mémoire
itself,lui-même
acting,par intérim
interest,intérêt
nose,nez
plans,plans
following,suivant
bathroom,salle de bain
built,construit
closer,plus près
ray,rayon
sarah,Sarah
band,groupe
groans,gémissements
apparently,apparemment
excited,excité
richard,Richard
losing,perdant
animals,animaux
flight,vol
nature,nature
raise,augmenter
pop,populaire
client,client
bomb,bombe
neck,cou
suspect,suspect
warm,chaud
extra,supplémentaire
bottle,bouteille
van,van
heavy,lourd
mommy,maman
dogs,chiens
wild,sauvage
ridiculous,ridicule
simply,simplement
lee,Lee
animal,animal
showed,montré
billy,gamelle
shooting,tournage
keeps,garde
camp,camp
guns,armes à feu
medical,médical
shame,honte
hoping,espérant
whom,qui
bird,oiseau
majesty,majesté
flowers,fleurs
famous,célèbre
asleep,endormi
beauty,beauté
driver,conducteur
keys,clés
rain,pluie
awful,affreux
large,grand
local,locale
deserve,mériter
goddamn,putain
stone,pierre
jane,Jeanne
grace,grâce
consider,considérer
weekend,fin de semaine
wondering,se demandant
lay,poser
plenty,beaucoup
willing,disposé
pants,pantalon
sweetheart,chérie
skin,peau
excellent,excellent
asshole,Connard
beach,plage
c,c
faith,foi
beg,mendier
fuckin,putain
responsible,responsable
military,militaire
cheering,applaudissement
opportunity,opportunité
common,commun
bottom,bas
german,Allemand
whoever,quiconque
cook,cuisiner
walked,marchait
papers,papiers
justice,justice
hall,salle
commander,commandant
drug,médicament
main,principal
knife,couteau
devil,diable
necessary,nécessaire
although,bien que
princess,princesse
lights,lumières
flying,vol
dick,queue
rose,rose
knowing,connaissance
clearly,clairement
hat,chapeau
agreed,convenu
johnny,Johnny
corner,coin
code,code
note,note
tommy,Tommy
due,exigible
correct,correct
apologize,s'excuser
language,langue
stars,étoiles
faster,plus rapide
cars,voitures
folks,gens
bullshit,connerie
i.,je.
fellow,compagnon
several,plusieurs
grandma,grand-mère
shows,spectacles
leader,chef
leaves,feuilles
restaurant,restaurant
east,est
shouting,cris
blind,aveugle
ghost,fantôme
cup,tasse
gotten,obtenu
tight,serré
conversation,conversation
tells,raconte
lies,mensonges
nor,ni
pulled,tiré
hanging,suspendu
speed,vitesse
stories,histoires
health,santé
advice,conseil
held,détenu
uh-huh,euh-huh
murdered,assassiné
beyond,au-delà
rule,règle
hardly,à peine
possibly,peut-être
inspector,inspecteur
cousin,cousin
trial,procès
emergency,urgence
ought,devrait
eddie,Eddie
somehow,d'une manière ou d'une autre
hearing,audience
states,États
account,compte
spoke,rayon
file,déposer
understood,compris
angel,ange
tape,ruban adhésif
milk,lait
powerful,puissant
weapons,armes
practice,pratique
manager,directeur
pardon,pardon
vote,voter
jake,Jake
national,national
career,carrière
minister,ministre
super,super
taught,enseigné
robert,Robert
biggest,plus grand
plays,joue
natural,naturel
dancing,dansant
copy,copie
plus,plus
martin,Martin
cake,gâteau
freedom,liberté
among,parmi
breath,haleine
operation,opération
chris,Chris
crew,équipage
challenge,défi
market,marché
meat,viande
towards,vers
bringing,apporter
dropped,abandonné
student,étudiant
lied,menti
strength,force
size,taille
breathe,respirer
color,couleur
monster,monstre
loud,fort
photo,photo
aw,aw
nearly,presque
sight,vue
greatest,plus grand
games,jeux
bridge,pont
dressed,habillé
arrested,arrêté
horrible,horrible
coach,entraîneur
planning,planification
checked,à carreaux
breaking,rupture
noticed,remarqué
fantastic,fantastique
screams,cris
serve,servir
ideas,idées
investigation,enquête
center,centre
older,plus vieux
pack,paquet
soldiers,militaires
nonsense,absurdité
doc,doc
project,projet
training,entraînement
example,exemple
trick,astuce
prepared,préparé
science,science
united,uni
travel,voyage
incredible,incroyable
grandpa,grand-père
paying,payant
character,personnage
teeth,dents
criminal,criminel
charles,Charles
chinese,Chinois
truly,vraiment
honestly,honnêtement
bro,frère
survive,survivre
bobby,policier
target,cible
feed,alimentation
nurse,infirmière
e,e
fake,faux
records,archives
breathing,respiration
sweetie,ma chérie
numbers,Nombres
oil,huile
suicide,suicide
belong,appartenir
whoo,ouah
perfectly,parfaitement
amy,Amy
forgotten,oublié
remain,rester
original,original
papa,papa
onto,sur
concerned,concerné
credit,crédit
ugh,Pouah
invited,invité
discuss,discuter
research,recherche
easier,Plus facile
view,voir
chair,chaise
hurts,ça fait mal
strike,grève
roger,Roger
fill,remplir
condition,condition
mountain,montagne
dr,docteur
nowhere,nulle part
sheriff,shérif
kim,Kim
turning,tournant
brown,brun
recognize,reconnaître
heads,têtes
audience,public
‘all,'tous
jealous,jaloux
pretend,prétendre
society,société
finding,trouver
shirt,chemise
comfortable,confortable
meaning,signification
guest,invité
pieces,pièces
dry,sec
letting,location
began,a commencé
aye,toujours
jeff,Jeff
female,femelle
release,libérer
ho,ho
cards,cartes
pray,prier
unfortunately,malheureusement
balls,balles
destroyed,détruit
ended,fin
universe,univers
prepare,préparer
opinion,avis
movies,films
soldier,soldat
wash,laver
program,programme
heat,chaleur
usual,habituel
ticket,billet
stolen,volé
prefer,préférer
aware,conscient
surely,sûrement
male,mâle
base,base
matters,importe
lift,ascenseur
lab,laboratoire
command,commande
proof,preuve
cream,crème
selling,vente
believed,on croyait
create,créer
h,h
afford,permettre
sunday,dimanche
total,total
dumb,idiot
threw,jeté
france,France
birth,naissance
created,créé
realized,réalisé
british,britannique
noise,bruit
nuts,noix
students,étudiants
birds,oiseaux
social,sociale
brilliant,brillant
bodies,corps
tie,cravate
opened,ouvert
ours,la nôtre
bucks,chevreuils
kevin,Kevin
mister,Monsieur
ugly,laid
ryan,Ryan
focus,se concentrer
dan,dan
opens,ouvre
exist,exister
followed,suivi
england,Angleterre
draw,dessiner
purpose,but
letters,courrier
daniel,Daniel
opening,ouverture
bullet,balle
anna,Anna
lately,dernièrement
stayed,resta
falling,chute
season,saison
ends,extrémités
suggest,suggérer
joy,joie
distance,distance
responsibility,responsabilité
whenever,chaque fois que
issue,problème
thousands,des milliers
process,processus
sword,épée
shower,douche
weak,faible
fucked,putain
lonely,solitaire
happiness,bonheur
eric,Eric
tiny,minuscule
desk,bureau
pool,piscine
property,propriété
forced,forcé
settle,régler
indistinct,indistinct
weight,poids
received,reçu
gang,gang
bite,mordre
friday,vendredi
disappeared,disparu
interview,entretien
expecting,attente
kinda,en quelque sorte
surgery,chirurgie
horses,chevaux
mayor,maire
babe,bébé
ancient,ancien
handsome,beau
thomas,Thomas
saturday,Samedi
staff,personnel
lines,lignes
unit,unité
fan,ventilateur
gentleman,gentilhomme
introduce,introduire
fate,destin
split,diviser
recently,récemment
expected,attendu
add,ajouter
ordered,ordonné
slowly,lentement
alarm,alarme
member,membre
slept,dormi
signed,signé
enter,entrer
spanish,Espagnol
garden,jardin
brings,apporte
brave,courageux
pig,cochon
model,modèle
finger,doigt
medicine,médecine
access,accéder
failed,échoué
flat,plat
easily,facilement
discovered,découvert
based,basé
screw,vis
insane,fou
cares,soins
weather,météo
fingers,doigts
san,san
scott,Scott
path,chemin
soft,doux
harm,nuire
style,style
community,communauté
sees,voit
basically,essentiellement
al,al
signal,signal
nope,non
spare,de rechange
speech,discours
covered,couvert
shake,secouer
loose,lâche
snow,neige
russian,russe
lake,lac
bright,brillant
roof,toit
ohh,ohh
sending,envoi
paint,peinture
remind,rappeler
pal,copain
naked,nu
post,poste
sugar,sucre
heading,titre
streets,rues
damage,dommage
silence,silence
doors,portes
pete,Pete
ed,ed
success,succès
wet,mouillé
nah,non
amount,montant
members,membres
kate,Kate
manage,gérer
safety,sécurité
returned,retour
harder,Plus fort
fbi,FBI
block,bloc
showing,montrant
fancy,fantaisie
chef,cuisinier
contract,contracter
dig,creuser
chest,poitrine
goodbye,au revoir
drinks,boissons
dave,Dave
buried,enterré
brian,Brian
trade,commerce
journey,voyage
stomach,estomac
changes,changements
details,détails
thoughts,pensées
divorce,divorce
funeral,funérailles
maria,maria
football,football
reality,réalité
theory,théorie
gosh,Oh là là !
ruined,ruiné
gate,grille
william,William
spread,propagé
outta,hors de
japanese,japonais
sudden,soudain
coat,manteau
sooner,plus tôt
cheese,fromage
larry,Larry
spring,printemps
page,page
ears,oreilles
simon,Simon
castle,château
hidden,caché
storm,tempête
cos,cos
personally,personnellement
artist,artiste
hill,colline
exciting,passionnant
permission,autorisation
jerry,Jerry
expensive,cher
tickets,billets
forest,forêt
barely,à peine
eggs,œufs
goin,aller
regret,regret
lesson,leçon
lover,amoureux
bread,pain
andy,Andy
subject,sujet
legal,légal
growing,croissance
ill,je vais
jason,Jason
mood,humeur
owner,propriétaire
caused,causé
beeping,bip
points,points
dating,datation
loss,perte
secretary,secrétaire
revenge,vengeance
santa,Père Noël
likely,probable
rent,louer
connection,connexion
assistant,assistant
reasons,raisons
yelling,cris
painting,peinture
trees,arbres
doctors,médecins
rush,se précipiter
foreign,étranger
rough,rugueux
murderer,meurtrier
century,siècle
nights,nuits
pair,paire
runs,court
pocket,poche
farm,ferme
matt,mat
bike,vélo
obvious,évident
ate,a mangé
grew,grandit
professional,professionnel
tim,Tim
goodness,bonté
parts,parties
alan,Alan
university,université
square,carré
grandfather,grand-père
europe,Europe
genius,génie
cases,cas
ruin,ruine
winter,hiver
tongue,langue
memories,souvenirs
da,da
buying,achat
cancer,cancer
clock,horloge
ocean,océan
dna,ADN
liar,menteur
tour,tournée
thief,voleur
bleep,bip
lisa,Lisa
rights,droits
including,y compris
competition,concours
smith,forgeron
planned,prévu
emily,Emily
boring,ennuyeux
victims,victimes
mentioned,mentionné
bones,os
plant,usine
bless,bénir
warning,avertissement
knocking,cognement
re,concernant
crash,accident
bedroom,chambre à coucher
lower,inférieur
silver,argent
groaning,gémissant
madame,Madame
defense,défense
results,résultats
toilet,toilettes
event,événement
complicated,compliqué
shape,forme
priest,prêtre
royal,royal
cheap,bon marché
romantic,romantique
downstairs,en bas
invite,inviter
fortune,fortune
tears,larmes
avoid,éviter
reached,atteint
higher,plus haut
familiar,familier
telephone,téléphone
burning,brûlant
filled,rempli
kelly,Kelly
alice,Alice
airport,aéroport
jobs,emplois
grown,cultivé
walter,Walter
rachel,Rachel
giant,géant
insurance,assurance
woods,les bois
n,n
scare,effrayer
pleased,heureux
period,période
political,politique
player,joueur
stops,arrêts
secrets,secrets
laura,Laura
repeat,répéter
photos,photos
finds,découvre
statement,déclaration
suck,sucer
younger,plus jeune
china,Chine
humans,humains
delicious,délicieux
particular,particulier
proper,approprié
rome,Rome
belongs,appartient
attacked,attaqué
bath,bain
hired,embauché
site,site
knowledge,connaissance
b,b
led,dirigé
guests,invités
celebrate,célébrer
map,carte
horn,corne
eventually,finalement
pity,pitié
powers,pouvoirs
ashamed,honteux
assume,supposer
glasses,lunettes
rise,augmenter
fixed,fixé
request,demande
officers,officiers
pounds,livres
data,données
carefully,soigneusement
per,par
depends,Cela dépend
jury,jury
waited,attendu
positive,positif
