a back answer,逆答え
a free wind,自由な風
a friend in court,法廷での友人
a frog in the throat,喉にカエルがいる
a fruit of sb.‘s loins,誰かの腰から生まれた果実
a future life,未来の生活
a gallery hit,ギャラリーで大ヒット
a gallery shot,ギャラリーショット
a gallery stroke,ギャラリーストローク
a game not worth the candle,ロウソクの価値もないゲーム
a game of chance,運任せのゲーム
a game of skill,スキルゲーム
a general election,総選挙
a general outline,概略
a general reader,一般読者
a general strike,ゼネスト
a general thing,一般的なこと
a general war,全面戦争
a general’s battle,将軍の戦い
a gentleman at large,自由気ままな紳士
a gentleman of fortune,幸運な紳士
a gentleman’s agreement,紳士協定
a ghostly director,幽霊のような監督
a ghostly father,幽霊のような父親
a gone case,解決済みのケース
a gone coon,いなくなったアライグマ
a good deal of,かなりの量の
a good egg,いい人
a good few,かなり
a good job,よくやった
a good life,良い人生
a good many,かなり多くの
a good sort,良いタイプ
a good time,楽しい時間
a good while,かなり長い間
a gordian knot,ゴルディアスの結び目
a got-up affair,着飾った情事
a grain of mustard seed,マスタードシード1粒
a great deal,大変お得です
a great gulf fixed,大きな湾が固定された
a great lot,たくさん
a great many,非常に多くの
a great number of,多数の
a great volume of sound,大きな音量
a great way,素晴らしい方法
a greek gift,ギリシャの贈り物
a grey mare,灰色の雌馬
a group army,集団軍隊
a group of,グループの
a guerrilla area,ゲリラ地域
a hand of bananas,バナナの束
a handful of,数人の
a hanging matter,懸案事項
a hard case,難しいケース
a hard nut to crack,解決困難な問題
a hard row to hoe,困難な道のり
a heap of,大量の
a heart attack,心臓発作
a heart of gold,黄金の心
a heart of oak,樫の木の心
a heavy date,重いデート
a heavy purse,重い財布
a hen on,雌鶏が
a hog in armour,鎧を着た豚
a home from home,我が家のようにくつろげる場所
a home truth,身に染みること
a horn of plenty,豊穣の角笛
a horse of another colour,別の色の馬
a horse on sb.,馬が誰かに乗っている。
a hot number,ホットナンバー
a hot potato,ホットポテト
a house of call,訪問の家
a house of cards,砂上の楼閣
a house of correction,矯正施設
a house of detention,拘置所
a house of god,神の家
a house of ill fame,悪名高い家
a household word,誰もが知っている言葉
a hue and cry,騒ぎ立てる
a hundred and one,101
a hundred percent,100パーセント
a jack in office,オフィスのジャック
a jack of both side,両方の立場を併せ持つ人
a jack of straw,藁のジャック
a job lot,大量注文
a jolly dog,陽気な犬
a judas kiss,ユダのキス
a kick in one’s gallop,疾走中の蹴り
a kick in the teeth,歯を蹴られる
a king’s ransom,王の身代金
a knight of the brush,筆の騎士
a knowing card,知っているカード
a la,アラ
a la carte,アラカルト
a la mode,流行
a labour of love,愛情を込めて作り上げた作品
a lady of easy virtue,貞操観念の低い女性
a land battle,陸上戦
a large number of,多数の
a leading article,社説
a leading card,リードカード
a leap in the dark,暗闇への飛躍
a light hand,軽いタッチ
a light purse,軽い財布
a lightning bolt,稲妻
a limb of the devil,悪魔の手足
a line of least resistance,抵抗が最も少ない道
a lion in the way,ライオンが邪魔をしている
a liquidation sale,清算セール
a list of,リスト
a little,少し
a little of,少し
a little pot is soon hot.,小さな鍋もすぐに熱くなる。
a little rift within the lute,リュート内部の小さな亀裂
a little tin god,小さなブリキの神様
a live wire,活線
a loading area,荷積みエリア
a lone wolf,一匹狼
a long dozen,長い12個
a long shot,可能性は低い
a long shot gamble,可能性の低い賭け
a long time ago,ずっと昔
a long way off,はるか遠く
a loose fish,緩んだ魚
a lost sheep,迷子の羊
a lot of,たくさんの
a lump in the throat,喉のしこり
a lump of selfishness,利己主義の塊
a maiden work,処女作
a majority of,大多数の
a man about town,街の男
a man born of woman,女性から生まれた男
a man of business,ビジネスマン
a man of god,神の人
a man of his hands,手先の器用な男
a man of iron,鉄の男
a man of letters,文人
a man of mark,著名人
a man of mould,型にはまった男
a man of one’s word,約束を守る男
a man of parts,多才な男
a man of sin,罪深い男
a man of straw,藁の男
a man of the world,世間を知る男
a man on horseback,馬に乗った男
a man with the bark on,樹皮を被った男
a mare’s nest,雌馬の巣
a marriage of convenience,便宜上の結婚
a mass of,大量の
a matron of honour,介添人
a matter of course,当然のこと
a matter of great account,非常に重要な問題
a matter of life and death,生死に関わる問題
a matter of opinion,意見の問題
a matter of record,記録上の問題
a medical man,医師
a mile,1マイル
a military area,軍事区域
a mind reader,読心術師
a miss is as good as a mile,外すのは1マイルと同じだ
a mite on an elephant,象についたダニ
a money of account,計算上の通貨
a monkey with a long tail,長い尻尾を持つ猿
a month of sundays,非常に長い間
a mountain of flesh,肉の山
a mountainous area,山岳地帯
a name to conjure with,思い浮かぶ名前
a narrow margin of profit,利益率が低い
a narrow squeak,細いキーキー音
a nasty one,ひどいもの
a nasty piece of work,ひどい仕事だ
a naval battle,海戦
a near escape,間一髪の脱出
a near go,惜しい
a near thing,近いもの
a near touch,間近な触れ合い
a negligible quantity,ごくわずかな量
a new broom sweeps clean.,新しいほうきはきれいに掃き清める。
a new lease of life,新たな人生
a nice bit of,いい感じの
a nigger in the woodpile,薪の山の中の黒人
a nine days wonder,九日間の驚異
a nodding acquaintance,うなずく知り合い
a nose of wax,蝋の鼻
a nose to light candles at,ろうそくに火をつける鼻
a number of,数多くの
a pair of,一対の
a passage of arms,武器の通過
a passed master,マスターを卒業
a pasturing area,放牧地
a path strewn with roses,バラの花が散りばめられた道
a peacock in his pride,誇り高き孔雀
a penelope’s web,ペネロペの巣
a person of color,有色人種
a pie in the sky,夢物語
a piece of,1 ピース
a piece of cake,ケーキ一切れ
a piece of goods,商品
a piece of work,作品
a pigeon pair,ハトのつがい
a pile of shit,クソの山
a pill to cure an earthquake,地震を治す薬
a pitched battle,激しい戦い
a pity,残念だ
a place in the sun,日当たりの良い場所
a play upon words,言葉遊び
a point of honour,名誉の問題
a point of no return,後戻りできない地点
a point of safe return,安全な帰還地点
a point of view,視点
a political arena,政治の舞台
a pound of flesh,1ポンドの肉
a power of attorney,委任状
a pox on him,彼に天罰あれ
a practical joke,いたずら
a pretty pass,きれいなパス
a priest of bacchus,バッカスの神官
a priori,先験的に
a profound sleep,深い眠り
a program parade,プログラムパレード
a put-up job,仕組まれた仕事
a putty medal,パテメダル
a quarter of,4分の1
a queen of hearts,ハートの女王
a quiver full of children,子供たちでいっぱいの矢筒
a rainy day,雨の日
a rat leaving a sinking ship,沈みゆく船から逃げ出すネズミ
a rat race,競争社会
a rear area,後方エリア
a regular army,正規軍
a reign of terror,恐怖政治
a reminiscent mood,懐かしい気分
a retaining fee,維持手数料
a rhetorical question,修辞的な質問
a right angle,直角
a right guy,いい人だ
a road,道路
a roland for an oliver,オリバーのためのローランド
a rope of sand,砂のロープ
a rough diamond,磨かれていないダイヤモンド
a round peg in a square hole,四角い穴に丸い杭を打ち込む
a rum start,ラム酒のスタート
a rummage sale,ガラクタ市
a run for one’s money,お金に見合うだけの努力
a running commentary,実況解説
a running fire,燃え盛る炎
a rural area,農村地域
a sacred cow,聖なる牛
a sad dog,悲しい犬
a saving grace,救いの恵み
a scrap of paper,紙切れ
a scrape of the pen,ペンの擦り傷
a scratch of pen,ペンの引っ掻き傷
a sea battle,海戦
a sealed book,封印された本
a second birth,第二の誕生
a series of,一連の
a series of contests,一連の競技
a servants’ registry,使用人名簿
a set of,一連の
a sham battle,見せかけの戦い
a sharp angle,鋭角
a sheet of,シート
a short cut,近道
a short shrift,手短に
a shot in the arm,活力を与える
a sight for the gods,神々が見るべき光景
a simple diet,シンプルな食事
a single combat,一対一の戦闘
a single woman,独身女性
a sitting duck,格好の標的
a sixty-four dollar question,64ドルの質問
a skeleton at the feast,宴会に現れた骸骨
a skeleton in the closet,隠された秘密
a skull and crossbones,ドクロと骨
a slant of wind,斜めの風
a slap in the face,顔を平手打ちされる
a slap-bang shop,スラップバンショップ
a sleight of hand,手品
a slip of a boy,ひょろっとした少年
a slip of a girl,華奢な少女
a sly dog,ずる賢い犬
a small quantity of,少量の
a smart guy,頭の良い人
a smooth article,滑らかな記事
a smooth face,滑らかな顔
a snake in sb.‘s bosom,誰かの胸の中にいる蛇
a snake in the grass,草むらに潜む蛇
a soldier of fortune,傭兵
a soldier’s battle,兵士の戦い
a son of adam,アダムの息子
a son of bacchus,バッカスの息子
a son of dripping,滴り落ちる息子
a son of ebony,黒檀の息子
a son of heaven,天の子
a son of momus,モムスの息子
a son of the morning,朝の息子
a son of the soil,この土地の息子
a song and dance,歌と踊り
a sop in the pan,フライパンの中の水
a sort of,一種の
a sound mind in a sound body,健全な精神は健全な肉体に宿る
a speaking acquaintance,会話のできる知り合い
a special administrative area,特別行政区域
a spent bullet,使用済みの弾丸
a spot of,少し
a stab in the back,背後からの刺傷
a stand of colors,色のスタンド
a standing army,常備軍
a standing joke,定番のジョーク
a state of affairs,事態
a state of siege,包囲状態
a stiff neck,首の凝り
a stitch in time save nine,早めの対策で九つの費用を節約
a stone’s throw,目と鼻の先
a stool of repentance,悔い改めの椅子
a storm in a teacup,些細なこと
a straight angle,直角
a straight fight,真っ向勝負
a straight race,直線レース
a straw boss,ストローボス
a street battle,ストリートバトル
a stumbling block,つまずきの石
a succession of,連続する
a suit of,スーツ
a supplementary angle,補足的な角度
a swing around the circle,円を一周する
a tale of a tub,浴槽の物語
a tempest in a barrel,樽の中の嵐
a tender spot,敏感な部分
a thing of naught,何もないもの
a thorn in sb.‘s flesh,誰かの悩みの種
a thousand and one,千と一
a toad under a hammer,ハンマーの下のヒキガエル
a touch of,少し
a tough guy,タフガイ
a tough nut,手ごわい相手
a tower of strength,強固な塔
a triton of the minnows,小魚のトリトン
a true blue,真のブルー
a twice-told tale,二度語られた物語
a twist in one’s tongue,言葉の言い換え
a twist of the wrist,手首をひねる
a variety of,さまざまな
a velvet glove,ベルベットの手袋
a velvet paw,ベルベットの肉球
a vicious circle,悪循環
a vicious spiral,悪循環
a visit from the stork,コウノトリの訪問
a voice in the wilderness,荒野の声
a walk of life,人生の歩み
a walking dictionary,歩く辞書
a walking skeleton,歩く骸骨
a warm corner,暖かいコーナー
a watched pot never boils.,見ている鍋はいつまで経っても沸騰しない。
a way out,脱出方法
a wealth of,豊富な
a wedding reception,結婚披露宴
a wet blanket,水を差す
a wet smack,濡れた平手打ち
a whale at,クジラが
a white crow,白いカラス
a white elephant,無駄な出費
a white lie,嘘
a white night,白夜
a whited sepulchre,白く塗られた墓
a wide place in the road,道路の広い場所
a widow’s mite,寡婦のささやかな献金
a wild-goose chase,無駄な努力
a wolf in sheep’s clothing,羊の皮をかぶった狼
a woman of letters,文筆家の女性
a woman of the streets,街の女
a woman with a past,過去を持つ女性
a wonderful time,素晴らしい時間
a word and a blow,言葉と一撃
a word in season,時宜を得た言葉
a word in your ear.,耳打ちする言葉。
a word out of season,時期外れの言葉
a world of,世界の
a young man in a hurry,急いでいる若い男
a-advanced,上級
a-b,a-b
a-class,Aクラス
a-division,A部門
a-frame,Aフレーム
a-grade,A評価
a-ha,あは
a-league,Aリーグ
a-level,Aレベル
a-levels,Aレベル
a-list,一流リスト
aseries,シリーズ
a-side,aサイド
a-standard,標準
a-team,Aチーム
a-type,a型
a-z,a-z
aa gun,対空砲
aarne-thompson,アールネ・トンプソン
aarnet internet provider,aarnetインターネットプロバイダー
aaron’s beard,アーロンのひげ
aaron’s rod,アロンの杖
ab extra,腹筋エクストラ
ab initio,最初から
ab origine,起源から
ab ovo,卵から
ab uno disce omnes,アブ・ウノ・ディスク・オムネス
abandon oneself to,身を委ねる
abase oneself,自分を卑下する
abbreviations in e-mail,電子メールにおける略語
abc art,ABCアート
abc powers,ABCパワーズ
abc warfare,ABC戦争
abc-tv,ABCテレビ
abcd data switch,abcdデータスイッチ
abdicate from,退位する
abdu’l-bah��,アブドゥル・バハ
abdul-jabbar,アブドゥル・ジャバー
abelian group,アーベル群
abide by,遵守する
abiding place,永住の場所
abietic acid,アビエチン酸
ability for,能力
able men are always busy,有能な人は常に忙しい
able seaman,熟練船員
able-bodied,健常者
able-bodied man,健康な男性
able-bodied seaman,熟練した船員
abnormal psychology,異常心理学
aboriginal dance,アボリジニのダンス
aboriginal tribesman,先住民族
abort mission,ミッション中止
abound in,豊富にある
abound with,豊富にある
about face,顔の向き
above all,何よりも
above ground,地上
above one’s breath,息をひきこむ
above oneself,自分自身を超えて
above par,平均以上
above sb.‘s bend,誰かの曲がり角の上
above suspicion,疑いの余地なし
above the heads of,頭上に
above the salt,塩の上
above the weather,天気の上
above water,水面より上
above-average,平均以上
above-ground,地上
above-mentioned,上記
above-water,水面上
abreast of the times,時代の流れに沿って
abridge sb. of sth.,何かを要約する。
abs-cbn,アブスCBN
abs-cbn’s,ABS-CBNの
abscisic acid,アブシジン酸
absciss layer,離層
absence of mind,意識の欠如
absent from,欠席
absent oneself from,欠席
absent over leave,休暇中の欠勤
absent treatment,治療なし
absent without leave,無断欠勤
absent-minded,うっかり屋
absentee ballot,不在者投票
absentee landlord,不在地主
absolute address,絶対アドレス
absolute alcohol,無水アルコール
absolute altitude,絶対高度
absolute ceiling,絶対的な上限
absolute constant,絶対定数
absolute humidity,絶対湿度
absolute majority,絶対多数
absolute monarchy,絶対君主制
absolute music,絶対音楽
absolute pressure,絶対圧力
absolute scale,絶対スケール
absolute space,絶対空間
absolute unit,絶対単位
absolute value,絶対値
absolute zero,絶対零度
absolve sb. from sth.,誰かを何かから免除する。
absorbent cotton,脱脂綿
absorbing well,よく吸収される
absorption coefficient,吸収係数
abstain from,控える
abstract art,抽象芸術
abstract class,抽象クラス
abstract expressionism,抽象表現主義
abstract impressionism,抽象印象派
abstract language,抽象言語
abstract method,抽象メソッド
abstract noun,抽象名詞
abstract number,抄録番号
abstract objects,抽象オブジェクト
abstract of title,タイトルの要約
abstract painting,抽象絵画
abstract window toolkit,抽象ウィンドウツールキット
absurd theatre,不条理演劇
abt system,アプトシステム
abut against,ぶつかる
abut on,に隣接する
abut upon,に隣接
academic costume,学術衣装
academic freedom,学問の自由
academic rank,学術的地位
academic year,学年度
academy award,アカデミー賞
accede to,同意する
accelerated motion,加速運動
accelerating chamber,加速室
acceleration centripetal,加速度求心力
acceleration of gravity,重力の加速
accelerator pedal,アクセルペダル
accent mark,アクセント記号
accent speech-synthesizer card,アクセント音声合成カード
accept battle,戦いを受け入れる
accept of,受け入れる
accept the face of,顔を受け入れる
accept the person of,その人を受け入れる
acceptance speech,受賞スピーチ
access arm,アクセスアーム
access authorization,アクセス認証
access bus,アクセスバス
access control private,アクセス制御プライベート
access permit,アクセス許可証
access program,アクセスプログラム
access provider,アクセスプロバイダー
access time,アクセス時間
access to,アクセス
accessing www,www にアクセスしています
accession number,登録番号
accessory shoe,アクセサリーシューズ
accident boat,事故ボート
accident insurance,傷害保険
acclimatize oneself to,順応する
accommodate sb. with,誰かを収容する
accommodation bill,宿泊費
accord with,同意する
accordant junction,調和接合部
according as,によると
according to,によると
according to one’s wont,個人の習慣に従って
according to schedule,予定通り
accordion wall,アコーディオン式の壁
account book,会計帳簿
account cussent,アカウントカセント
account day,アカウントデー
account for,説明する
account names,アカウント名
account payable,買掛金
account receivable,売掛金
accounting and satisics,会計とサティスクス
accredited director,認定ディレクター
accumulation point,集積ポイント
accurate at,正確
accuse of,告発する
acetic acid,酢酸
acetic anhydride,無水酢酸
acetoacetic acid,アセト酢酸
acetolactic acid,アセトラクティック酸
acetone body,アセトンボディ
acetyl-coa,アセチルコア
acetylsalicylic acid,アセチルサリチル酸
achievement age,達成年齢
achievement quotient,達成指数
achievement test,達成度テスト
achilles’ heel,アキレス腱
achilles’s tendon,アキレス腱
achromatic vision,無彩色視覚
acid color,酸性色素
acid drop,アシッドドロップ
acid mist,酸性ミスト
acid number,酸価
acid precipitation,酸性降雨
acid radical,酸ラジカル
acid rain,酸性雨
acid reaction,酸反応
acid rock,酸性岩
acid soil,酸性土壌
acid stomach,胃酸
acid test,厳しい試練
acid trip,LSDトリップ
acid-base,酸塩基
acidless trip,無酸性トリップ
acidophilus milk,アシドフィルスミルク
ack emma,ack エマ
acknowledge the corn,トウモロコシを認める
aclinic line,クリニックライン
acorn cup,どんぐりの殻
acorn tube,どんぐりの筒
acoup sur,アクプ・シュール
acoustic coupler,音響カプラー
acoustic mine,音響鉱山
acoustic torpedo,音響魚雷
acquaint oneself of,よく知る
acquit oneself,自らの潔白を証明する
acre-feet,エーカーフィート
across country,全国各地
across from,向かい側
across the tracks,線路を越えて
across the way,道の向こう側
act a lie,嘘をつく
act a part,役を演じる
act against,反対する行為
act and deed,行為と行動
act as,として行動する
act for,行動する
act of god,天災
act of grace,恩寵の行為
act of war,戦争行為
act on,行動する
act one’s age,自分の年齢にふさわしい行動をとる
act out,演じる
act the giddy goat,浮かれたヤギの真似をする
act up,ふざける
act up to,行動する
act up to one’s opinions,自分の意見に従って行動する
act upon,行動する
acting sublieutenant,代理少尉
actinic ray,光線
action committee,行動委員会
action group,アクショングループ
action of the first impression,第一印象の行動
action shot,アクションショット
action spectrum,作用スペクトル
action station,アクションステーション
action-adventure,アクションアドベンチャー
action-oriented,行動志向
action-packed,アクション満載
activated carbon,活性炭
active army,現役軍人
active border,アクティブボーダー
active button,アクティブボタン
active capital,アクティブキャピタル
active carbon,活性炭
active duty,現役
active images,アクティブイメージ
active immunity,能動免疫
active link,アクティブリンク
active list,アクティブリスト
active matrix,アクティブマトリックス
active matrix display,アクティブマトリクスディスプレイ
active network,アクティブネットワーク
active partition,アクティブパーティション
active service,現役勤務
active title bar,アクティブなタイトルバー
active volcano,活火山
active window,アクティブウィンドウ
active-duty,現役
activities applets,アクティビティアプレット
acttle show,アクトルショー
actual residence,実際の居住地
acute angle,鋭角
acute gastritis,急性胃炎
acyl-coa,アシルコア
ad arbitrium,恣意的に
ad asbitsium,アスビチウム
ad finem,最終的に
ad hoc,このために
ad hominem,人身攻撃
ad infinitum,無限に
ad interim,暫定的に
ad lib,アドリブ
ad libitum,自由に
ad litem,訴訟代理人
ad nauseam,うんざりするほど
ad referendum,国民投票について
ad rem,アドレム
ad val.,アドバリュー。
ad valorem,従価税
ad verbum,動詞に
ad-din,アドディン
ad-hoc,このために
ada language,ada言語
adam and eve on a raft,アダムとイブがいかだに乗っている
adam’s ale,アダムズエール
adam’s apple,喉仏
adam’s wine,アダムのワイン
adapt to,適応する
add color,色を加える
add echo,追加 echo
add fonts,フォントを追加する
add fuel to the flames,火に油を注ぐ
add in,追加する
add individual files,個別のファイルを追加する
add insult to injury,火に油を注ぐ
add on,アドオン
add sth. in,何かを追加する
add to,に追加
add up,合計する
add up to,合計で
add windows components,ウィンドウコンポーネントを追加する
add-on,アドオン
add-ons,アドオン
addict oneself to,中毒になる
addict to,中毒者
adding machine,加算機
addison’s disease,アジソン病
additional tax,追加税
address bus,アドレスバス
address list,住所録
address oneself to,自分自身に話しかける
address resolution protocol,アドレス解決プロトコル
address style,住所のスタイル
address tag,住所タグ
address type,アドレスタイプ
addressing space,アドレス指定空間
adept at,熟練している
adhere to,付着する
adhesive tape,粘着テープ
adhesive tape holder,粘着テープホルダー
adjacent angles,隣接角
adjudicate upon,裁定する
adjudication order,裁定命令
adjunct professor,非常勤教授
adjust oneself to,自分自身を適応させる
adjust print settings,印刷設定を調整する
adjust spelling options,スペルオプションを調整する
adjust to,調整する
adjustable pliers,調節可能なペンチ
adjustable spanner,調節可能なスパナ
adjutant bird,ハゲコウ
adjutant general,副官長
adjutant-general,副官長
administer to,投与する
administer upon,投与する
admiral of the fleet,艦隊司令長官
admiral of the red,赤の提督
admiral’s mate,提督の助手
admiralty council,海軍評議会
admiralty court,海事裁判所
admiralty droits,海事法
admiralty law,海事法
admiralty port,アドミラルティ港
admiration for,賞賛
admit of,認める
admit to,認める
admitting that,認める
adobe system,アドビシステム
adopted child,養子
adoptive father,養父
adoptive mother,養母
adrenal gland,副腎
aducational online source site,教育関連のオンライン情報サイト
adult education,成人教育
adult movie,アダルト映画
adult tooth,永久歯
adult-oriented,大人向け
adulterine child,姦通した子供
advance booking,事前予約
advance copy,先行版
advance guard,前衛
advance man,先遣隊員
advance payment,前払い
advance sheets,先行シート
advanced com. center,アドバンスド コム センター
advanced degree,高度な学位
advanced options,詳細オプション
advanced search,詳細検索
adversity reverals genius,逆境が天才を際立たせる
advert to,広告
advertise for sth.,何かを宣伝する。
advertising in the internet,インターネット広告
advise on sth.,何かについて助言する。
advise sb. against sth.,誰かに何かをしないように助言する。
advisory committee,諮問委員会
advisory opinion,諮問意見
ae lock,AEロック
aegean sea,エーゲ海
aeolian harp,エオリアンハープ
aerated water,炭酸水
aerial acrobatics,空中アクロバット
aerial beacon,空中ビーコン
aerial blitz,空中攻撃
aerial defence,防空
aerial farming,空中農業
aerial fleet,航空部隊
aerial ladder,高所作業車
aerial lighthouse,空中灯台
aerial mammal,空中哺乳類
aerial photo reconnaissance,航空写真偵察
aerial photography,航空写真
aerial railway,空中鉄道
aerial tanker,空中消火機
aerial torpedo,空中魚雷
aerial wapway,空中歩道
aerial warfare,空中戦
aerobatic flight,曲技飛行
aerosol bomb,エアロゾル爆弾
aesop’s fables,イソップ寓話
aesthetic distance,美的距離
affectional film,愛情あふれる映画
affiliate oneself with,提携する
affiliate with,提携する
affiliated company,関連会社
affiliated enterprise,関連企業
affix to,付ける
affluent society,裕福な社会
afl-cio,afl-cio
afl-nfl,afl-nfl
african development bank,アフリカ開発銀行
african-american,アフリカ系アメリカ人
african-americans,アフリカ系アメリカ人
african-born,アフリカ生まれ
afro-american,アフリカ系アメリカ人
afro-asian,アフロ・アジア
afro-asiatic,アフロ・アジア語族
afro-brazilian,アフロブラジル人
afro-caribbean,アフリカ系カリブ人
afro-cuban,アフロキューバン
after a fashion,ある程度
after a little,少し後
after a sort,ある種の
after a storm comes a calm.,嵐の後には静けさが訪れる。
after all,結局
after dark,暗くなってから
after hours,営業時間外
after one’s own heart,自分の心にかなう
after sb.‘s fancy,誰かの気まぐれで
after school,放課後
after service,アフターサービス
after the fashion of,の風に
after the flesh,肉体に続いて
after-effects,後遺症
after-hours,営業時間外
after-school,放課後
afternoon tea,アフタヌーンティー
again and again,何度も
again to verify,再度確認するため
against a rainy day,雨の日に備えて
against all odds,あらゆる困難を乗り越えて
against nature,自然に反する
against one’s will,本人の意思に反して
against the grain,常識に反して
against the sun,太陽を背にして
against the wind,風に逆らって
against time,時間との戦い
agate line,瑪瑙のライン
age pigment,年齢による色素沈着
age-group,年齢層
age-old,古くから
age-related,年齢に関連した
agency shop,代理店ショップ
