11 Downing Street,唐寧街11
a little bird told me,一個小鳥告訴我
a little birdie told me,一個朋友告訴我
a little goes a long way,少而有效
a little pot is soon hot,小鍋很快就會熱
a long shot,成功的可能性很低
a lump in one's throat,哽住
a magician never reveals his secrets,魔術師從不透露他的秘密
a man's home is his castle,男人的家就是他的城堡
a means to an end,達到某目的的手段
a mite,一隻小蟲
a mixed bag,綜合性
a new broom sweeps clean,新的刷子可以把乾淨掃乾淨
a new lease of life,新的生命
a new man,一個新的男人
a new woman,一位新來的女性
a notch above,略勝一籌
a number of,一些
a one-night stand,一夜情
a pain in the arse,令人頭痛
a pain in the ass,令人頭痛
a pain in the neck,令人頭痛
a pat on the back,一句鼓勵
a pecking order,等級制度
a perfect storm,完美的組合
a picture paints a thousand words,一張圖片勝過千言萬語
a pit stop,臨時停車
a plague o' both your houses,你們兩個都完蛋
a plague on both your houses,兩方皆敗
a pound to a penny,一英鎊換一美分
a pox on both your houses,兩方皆為禍
a promise is a promise,承諾就是承諾
a question mark over somebody,對某人投懷疑
a question mark over something,對某事表示懷疑
a quick fix,快速解決方案
a race against the clock,與時間賽跑
a race against time,與時間賽跑
a red flag,紅旗
a red herring,牽強附會
a rising tide lifts all boats,集體努力能帶來共同的成功
a rite of passage,成人禮
a Roland for an Oliver,Roland 換 Oliver
a roll of honour,榮譽名單
a rolling stone gathers no moss,滾動的石頭不會長苔
a rough ride,艱難的旅程
a rule of thumb,一般原則
a safe bet,穩定的選擇
a safety net,安全網
a sea change,重大變革
a slippery slope,滑坡
a smooth ride,平穩的旅程
a stitch in time saves nine,及早處理，就能避免後來的麻煩
a stumbling block,障礙
a sucker is born every minute,每分鐘都有人被騙
a tall order,極高的要求
a thin line,一條細線
a thing or two,一件或兩件
a thousand,一千
a Trojan horse,木馬
a turkey voting for Christmas,在聖誕節投票的火雞
a turn of phrase,一句話
a twinkle in someone's eye,某人的眼神中閃爍的光芒
a vicious circle,惡性循環
a vote of confidence,表達信任
a wake-up call,警鐘
a war of words,言戰
a watched kettle never boils,靜置的鍋子永遠不會煮沸
a watched pot never boils,靜置的鍋永遠不會煮沸
a watched pot never boils over,靜置的鍋永遠不會煮沸
a wee bit,一點點
a week from next Tuesday,下個星期二之後的一週
a wild card,變數
a wish list,願望清單
a woman's work is never done,女性的勞動永無止境
a year and a day,一年又一天
ab off,關閉
aback of,後腦
abate of,減少
Abbot's Priory,修道院
abide by,遵守
abound in one's own sense,根據自己的判斷
about one's ears,關於自己的耳朵
about one's person,關於某人
about that life,關於那種生活
about time,終於
about turn,轉彎
above all else,最重要的是
above and beyond,超出預期
above average,超出平均
above board,公開透明地
above grass,在草上
above ground,地面
above measure,上方措施
above one's bend,超過
above one's huckleberry,超出自己的能力
above one's pay grade,超出自己的能力範圍
above one's paygrade,超出自己的能力範圍
above one's station,超出自己的能力
above par,超出標準
above proof,證明
above stairs,樓上
above the curve,超出標準
above the fold,版面頂端
above the fray,在紛爭之外
above the law,凌駕法律
above the rim,超過杯緣
above the salt,超出規範
above the table,在桌子上方
above water,在水面上
absence makes the heart fonder,缺席反而使心更加愛慕
absence makes the heart go yonder,遠方思念
absence makes the heart grow fonder,缺席反而讓心更加愛
absente reo,缺席的被告
absit invidia,切勿嫉妒
absolutely convergent,完全一致
absolutely summable,完全可計算
absorb oneself in,沉浸在
absque hoc,若沒有這
absque impetitione vasti,不求索
abstract away from,忽略
abuse of distress,濫用
abut on,毗鄰
ac etiam,此外
academically disadvantaged,學術上處於不利地位
accident of birth,天生的
accident waiting to happen,潛在的事故
accidentally on purpose,意外地，故意地
accidents will happen,意外是會發生的
according to,根據
according to Cocker,根據考克
according to Gunter,根據Günter
according to Hoyle,根據 Hoyle
according to one's lights,根據個人的標準
according to one's understanding,根據個人的理解
according to plan,按照計畫
account for,考慮
account of,帳戶
account to,帳戶
accredit with,獲得認可
ace in the hole,決勝手段
ace into,成為
ace out,表現出色
ace up one's sleeve,在手裡保留備用方案
ache for,渴望
aches and pains,疼痛和不適
acknowledge the corn,承認玉米
acquired taste,獨特的口味
across country,跨國
across lots,遍布
across the board,全面
across the ditch,穿過溝壑
across the line,越過界線
across the pond,隔著大海
across the way,正對面
act of Congress,國會法
act on,採取行動
act one's age,表現成熟
act out,表演
act the hypocrite,偽君子
act up,鬧事
act upon,採取行動
actions have consequences,行為有後果
actions speak louder than words,實際行動勝於空談
activist judge,激進法官
activist justice,激進主義者
ad damnum,損害
ad idem,同理
ad in,廣告
ad out,離開
ad quod damnum,造成損害
ad vitam aut culpam,為了生活或罪
ad vivum,活的
Adam Tiler,亞當
Adam's ale,啤酒
add fuel to the fire,製造更多火
add insult to injury,雪上加霜
add oil,加入油
add on,額外
add one's twopenn'orth,發表意見
add up,加總
add up to,加起來
added value,額外價值
address me,稱呼我
adequately wet,適度地濕
adhere to,遵守
adopt out,領養
adorn oneself with borrowed plumes,用借來的羽毛裝飾自己
adrenaline rush,腎上腺素飆升
adversarial collaboration,敵對合作
advise against,建議不要
affair partner,伴侶
affinely independent,彼此獨立
afraid of one's own shadow,害怕自己的影子
after a fashion,在某種程度上
after all,總而言之
after all is said and done,總之
after dark,晚上
after hours,非工作時
after me the deluge,在我之後，災難降臨
after one's own heart,與自己心意相符
after one's own soul,依照自己的心
after Saturday comes Sunday,星期六之後是星期日
after the fact,事後
after the jump,之後
after the Lord Mayor's show,在市長戲之後
after us the deluge,之後，災難降臨
again and again,一次又一次
against all odds,儘管困難
against all the odds,儘管困難
against nature,違反自然
against one's better judgment,儘管明智
against the clock,在時間限制內
against the collar,抵住領帶
against the grain,與潮流相反
against the hair,針對頭髮
against the law,違反法律
against the run of play,與比賽的流れ相反
against the world,與世界對抗
against time,隨著時間
age ain't nothing but a number,年紀只不過是個數字
age before beauty,健康比美
age is just a number,年齡只是一個數字
age out,逐漸老化
age up,年齡增加
agree to disagree,同意不同
agree with,同意
aha moment,豁然開朗
ahead of,在...之前
ahead of one's time,超出時代
ahead of schedule,比預期提前
ahead of the curve,領先於時代
ahead of the game,領先
ahead of the pack,領先
ahead of time,事先
aid and abet,協助並促進
aim at,目標
ain't no shame in my game,我沒有任何可恥之處
ain't no telling,誰也無法預測
ain't that the truth,這就是事實
ain't what it used to was,並不像以前
air off,空手
air one's dirty laundry in public,在公共場合公開宣揚自己的醜事
air one's dirty linen in public,在公共場合談論私事
air out,通風
air rage,航空怒行為
air sandwich,空氣三明治
air up,充氣
alarums and excursions,緊急情況和旅行
albatross around one's neck,困擾
albatross round one's neck,環繞頸部的海鷗
alert and oriented,警覺且清醒
algebraically closed,代數上完備
algebraically independent,代數上獨立
alive and kicking,還在健康
alive and well,安好
all aboard,大家上船
all along,一直
all and sundry,所有人
all at once,一次
all bark and no bite,說得很多，但實際行動很少
all bedlam breaks loose,一切都陷入混亂
all bets are off,一切皆有可能
all cats are beautiful,所有貓都很漂亮
all cats are gray at night,夜晚所有的貓都是灰色的
all cats are grey at night,夜晚所有的貓都是灰色的
all cats are grey by night,夜晚所有的貓都是灰色的
all correct,完全正確
all cows eat grass,所有牛都吃草
all cry and no wool,哭聲連一根羊毛
all duck or no dinner,都吃鴨肉，否則沒晚餐
all ears,全神貫注
all ends up,最終都變成
all eyes,所有人的目光
all eyes and ears,全神貫注
all eyes are on,所有目光都集中在
all eyes on somebody,所有目光都集中在某人身上
all eyes on something,所有目光都集中在某事物上
all fingers and thumbs,手腳皆靈
all foam and no beer,全是泡沫，沒有啤酒
all for nought,毫無意義
all fur and no knickers,只有毛，沒有內褲
all fur coat and no knickers,光是皮草，沒有其他
all good,一切都好
all good in the hood,一切安好
all good things,一切美好的事物
all hands to the pump,全力投入
all hat and no cattle,空談多說
all hat and no cowboy,光說不做
all heart,全部
all hell breaks loose,情況變得混亂
all holiday,所有節日
all hollow,空洞
all in a day's work,這是日常工作
all in all,總而言之
all in one piece,完整
all in the family,全家
all is not lost,還沒完
all it's cracked up to be,比預期好多了
all kidding aside,撇開玩笑
all lives matter,所有生命都重要
all manner of,各種
all mouth and no trousers,唯言無行
all mouth and trousers,嘴巴和褲子
all of a doodah,各種各樣的玩意
all of a heap,一堆
all of a sudden,突然
all of the sudden,突然
all on one's own,獨自完成
all one's born days,所有人的生日
all one's life's worth,一生所費
all out,用光
all over,遍布
all over bar the shouting,除了尖叫之外
all over but the shouting,無一例外，除了大聲喊叫
all over hell's half acre,地獄半英畝
all over someone like a rash,像疹子一樣遍佈
all over the ballpark,四面八方
all over the board,無處不在
all over the gaff,四處搞定
all over the lot,遍布各處
all over the map,遍布各處
all over the place,四處亂走
all over the shop,四處都是
all over the show,在各個地方
all over the world,全球各地
all points of the compass,所有方向
all politics are local,政治都與地方息息相關
all politics is local,政治的本質是地方性的
all publicity is good publicity,任何形式的宣傳都是好的宣傳
all quiet on the Western Front,西線無戰事
all rights reserved,版權所有
all roads lead to Mecca,通往麥加的所有道路
all roads lead to Rome,通往羅馬的道路
all roads lead to Sydney,所有道路通往悉尼
all rumors are true,所有傳言都是真的
all set,一切準備就緒
all sixes and nines,全是六和九
all sixes and sevens,全是六和七
all sizzle and no steak,光有花樣，卻沒有實質
all students take calculus,所有學生學習微積分
all style and no substance,形式多樣，但缺乏內涵
all systems go,一切準備就緒
all talk and no cider,空談不實
all that glisters is not gold,並非所有閃耀的東西都是黃金
all that glitters,光鮮亮麗的東西
all that glitters is not gold,並非所有閃耀的東西都是黃金
all that jazz,所有這些
all that said,總之
all the best,祝你一切順利
all the gear and no idea,有裝備但沒有經驗
all the marbles,所有的玻璃珠
all the rage,非常流行
all the same,一樣
all the sudden,突然
all the tea in China,中國所有的八卦
all the while,一整個過程中
all the world's a stage,全世界都是舞台
all there,全部
all things,所有事物
all things considered,綜合考慮
all things to all people,對所有人
all thumbs,笨手笨腳
all to smash,全部摧毀
all to the better,變得更好
all told,總而言之
all very well,都很好
all wet,全身濕透
all wool and a yard wide,一無是處
all's fair in love and war,愛與戰爭中一切皆有可能
all's one,沒什麼不同
all's well that ends well,順利 zakoń
all-weather friend,無條件的朋友
alles anderes ist Menschenwerk,其他一切都是人類的創造
allot upon,分配
allow for,允許
allude to,暗示
Ally Pally,艾利·帕利
almost doesn't count,幾乎不算
alone in a crowd,人群中孤單
along about,隨著
along of,隨著
along the lines of,類似於
along the same vein,類似地
along the way,沿途
along with,以及
alongside of,同時
alpha up,α
alright me babber,沒問題
alright me lover,沒問題，我的愛
alright my babber,沒問題，親愛的
alright my lover,沒問題，我的愛人
also known as,也被稱為
am I right,我沒錯嗎
amateur hour,新手時段
amber gambler,琥珀色賭徒
amber light,琥珀色光
amber nectar,琥珀色液體
American Dream,美國夢
Amish bus driver rule,阿米什巴士司機規定
ammo up,裝填
amount to,等於
amp down,降低
amp up,加強
an angel passes,天使經過
an arm and a leg,一臂一條腿
an army marches on its stomach,軍隊靠的是食物
an easy ride,輕鬆的旅程
an Englishman's home is his castle,英國人的家就是他的城堡
an uphill battle,艱難的鬥爭
an uphill struggle,艱難的挑戰
an uphill task,艱鉅的任務
anaconda mortgage,安納康貸款
anatomically correct,符合解剖學
ancient history,古代歷史
and a half,以及一半
and all the rest of it,以及其他
and another thing,還有另一件事
and change,以及
and company,以及公司
and counting,以及持續
and crap,而且垃圾
and don't play one on TV,而且不要在電視上扮演
and don't you forget it,而且不要忘記
and everything,以及一切
and finally,最後
and his mother,以及他的母親
and how,以及如何
and I claim my five pounds,以及我主張我的五英鎊
and I don't mean maybe,而且我不是說可能
and I oop,而且我
and no flies,而且沒有任何昆蟲
and no mistake,並且沒有錯誤
and nothing of value was lost,而且沒有任何有價值的東西丟失
and shit,而且
and so forth,等等
and so say all of us,我們都這麼認為
and stuff,以及其他
and such,以及
and that's flat,而且這就是事實
and the church says amen,而且教會說「阿門
and the like,以及類似的
and whatnot,以及其他
and your little dog too,以及你的小狗
angel's advocate,天使的擁護者
angle for,角度
angle for farthings,為了獲得遠方貨幣
angle iron,角鋼
angles and dangles,角度和懸垂
another country heard from,另一個國家傳來消息
another county heard from,另一個縣也發出消息
another day in paradise,又一個天堂般的一天
another nail in someone's coffin,又一擊
another nail in the coffin,又一鐵釘
another string to one's bow,額外的一項技能
answer back,回覆
answer for,答案
answer on a postcard,在明信片上回答
answer someone's prayers,回應禱告
answer the call of nature,解決生理需求
answer to,回答
answer to someone's prayers,回應某人的禱告
answer up,回答
ante in,預先
ante litteram,預先
ante up,付錢
ants in one's pants,坐立不安
any day now,不久
any exposure is good exposure,任何曝光都是好的曝光
any fule kno,任何人都知道
any given Sunday,任何一個星期天的
any hole's a goal,任何一個洞都是一個目標
any more for any more,更多
any nook or cranny,任何角落
any number of,任何數字
any old,任何舊
any old kind of way,任何一種方式
any old nook or cranny,任何角落
any old thing,任何舊東西
any other business,其他業務
any port in a storm,任何地方都無妨
any press is good press,任何報導都是好的報導
any the wiser,更加明智
any time now,隨時
any time soon,不久
any way one cuts it,無論如何看
any way one slices it,無論如何看
anybody who is anybody,任何有地位的人
anyone's guess,誰能猜
anything goes,任何事皆可
apart from,除了
ape in,猿
ape leader,猿類領袖
apothecary's Latin,藥劑師的拉丁文
appearances are deceptive,外表是虛假的
appetite comes with eating,食慾與進食相關
apple of someone's eye,心愛之物
apple polisher,蘋果擦亮劑
apple up,蘋果
apples and oranges,蘋果和橘子
apples to apples,一比一
apply oneself,努力
April showers bring May flowers,四月的雨帶來五月的花
apron string,圍裙繩
apron-string hold,圍裙上的繩子
apropos of,適逢
apropos of nothing,話及於
arc up,向上彎曲
arch doxy,阿爾克
are bears Catholic,熊是天主教徒嗎
are the Kennedys gun-shy,肯尼迪一家是否對槍支感到恐懼
are we deadass,是真的嗎
are we there yet,還沒呢
are you blind,你看不見嗎
are you deaf,你聽得見嗎
are you sure you're sure,你確定嗎
are your ears burning,你的耳朵在發燒嗎
argle-bargle morble whoosh,胡攪嚨嚨 嘟嘟 咻
argue down,反駁
argue out,爭論
arm candy,手鐲
arm out,伸出
arm to the teeth,滿滿
arm up,裝備
arm's length,遠距離
armchair quarterback,旁觀者
army volunteer,軍隊志願者
around one's ears,在耳邊
around Robin Hood's barn,在羅賓·胡德的穀倉附近
around the bend,轉彎處
around the clock,全天候
around the corner,拐角處
around the Horn,繞過霍恩
around the traps,周圍的陷阱
around the way,附近
around the wicket,在球門周圍
around the world,全球各地
arrive at,到達
arrow in the quiver,箭
arse about,搞鬼
arse around,瞎忙
arse end of nowhere,偏遠的地方
arse over tip,翻滾
arse over tit,翻身
arse up,站起來
arsy varsy,花樣花樣
arsy versy,不切實際
art imitates life,藝術模仿生活
art up,裝飾
artful dodger,巧妙地躲避
article of death,死亡原因
artificially intelligent,人工智慧
artificially sweetened,人工甜味劑
as a duck takes to water,像鴨子適應水一樣
as a lamb to the slaughter,像羔羊獻給屠宰
as a matter of course,理所當然
as a matter of fact,事實上
as a matter of facts,事實上
as a result,因此
as a rule,通常
as a whole,整體
as all fuck,非常
as all get-out,盡可能
as and when,隨時隨地
as anything,無論什麼
as be damned,不管怎樣
as best one can,盡可能
as big as life,像生活一樣
as cold as ice,冰冷
as ever trod shoe leather,如往常
as ever trod shoe-leather,如往常
as far as,至於
as far as I know,據我所知
as far as one is concerned,就某人而言
as far as one knows,據了解
as far one's concerned,就某人而言
as fate would have it,恰巧如此
as fine as Dick's hatband,像迪克的帽子帶一樣精細
as fit as a fiddle,身體健康
as for,至於
as God intended,如神所預期
as God is my witness,神為證
as good as gold,非常好
as good as it gets,盡可能的好
as good as new,像全新的
as good as the original,與原版一樣好
as hard as nails,堅如鐵
as I live and breathe,我從呼吸而來
as I see it,從我來看
as I was saying,正如我所說
as if,好像
as if by magic,好像魔法一樣
as if I care,反正我不在乎
as if I cared,好像我不在乎
as if someone owns the place,好像有人把這地方當成自己的
as if there is no tomorrow,好像沒有明天
as if there were no tomorrow,好像沒有明天
as if there's no tomorrow,好像沒有明天
as it comes,依照情況
as it gets,隨著
as it goes,隨著
as it happens,恰巧
as it stands,現狀
as large as life,栩栩如生
as light as air,輕如羽毛
as long as,只要
as luck may have it,恰巧如此
as luck would have it,巧合地
as memory serves,依記憶
as much as possible,盡可能
as much sinning as sinned against,犯錯的程度
as near as matters,大致而言
as of late,截至最近
as of right,截至目前
as often as not,通常
as opposed to,與...相反
as per,依照
as previously mentioned,如先前所說
as provided for,如先前
as regards,至於
as right as rain,完全恢復
as she is spoke,當她說的時候
as soon as,一開始
as soon as look at someone,一看到
as soon as possible,盡快
as such,因此
as the case may be,情況不同
as the crow flies,直線距離
as the day is long,隨著一天漫長
as the fella said,正如那位先生所說
as the fella says,就像那位先生所說
as the gull flies,像海鷗一樣
as the man said,正如那人所說
as the man says,正如那位先生所說
as the next girl,作為下一個女孩
as the next guy,作為下一個
as the next person,作為下一個
as the saying goes,正如諺語所說
as the wind blows,隨著風吹
as they come,隨著時間的推移
as they say,正如他們所說
as though,好像
as time goes by,隨著時間流逝
as times go,隨著時間流逝
as to,關於
as useful as a chocolate teapot,像巧克力茶壺一樣無用
as we know it,我們所知道的
as well,同樣
as well as,以及
as white as a sheet,像白紙一樣
as who should say,應該說
as you go,隨著
as you know,如你所知
as you like,按照你的喜好
as you please,如您所願
asap,盡快
Asian don't raisin,亞洲人
aside from,除了
ask a stupid question,問個愚蠢的問題
ask after,詢問
ask around,打聽
ask back,反問
ask for,請求
ask for it,要求
ask for the moon,要求過高的
ask in,詢問
ask me one about sport,問我一個關於運動的問題
ask me one on sport,問我一個關於運動的問題
ask my arse,問我
ask out,約會
ask over,詢問
ask round,詢問各方
asked and answered,詢問與回答
asking for a friend,詢問朋友
asleep at the switch,掉鏈
asphalt jungle,瀝青叢林
asposed to,與...相反
ass in the grass,在草地上
ass out,脫光
ass over teakettle,雞蛋放在木桶裡
assault and battery,襲擊和傷害
assume room temperature,假設室溫
assume the mantle,承擔
assume the position,假設這個位置
astern of,在船尾
astraddle of,交叉著
at a canter,以慢步調
at a clip,快速地
at a discount,以折扣價出售
at a distance,遠處
at a draft,草稿
at a draught,一次
at a fast clip,快速地
at a glance,一目了然
at a go,一次
at a guess,大概
at a loose end,閒暇無事
at a loss,不知所措
at a loss for words,不知所措
at a low ebb,處於低谷
at a minimum,至少
at a moment's notice,隨時
at a pinch,如果實在沒有其他選擇
at a premium,價格高昂
at a price,以某價格
at a profit,獲利
at a push,如果可能
at a rate of knots,以節為單位
at a run,以跑步的速度
at a single stroke,一次性
at a stand,在攤位上
at a stretch,在極限下
at a stroke,一舉一動
at a time,一次
at a venture,嘗試
at adventure,在冒險中
at all,完全
at all adventures,無論哪種冒險
at all costs,不惜一切代價
at all events,無論如何
at all hands,竭盡全力
at all hours,隨時
at all points,在所有點
at anchor,停泊
at antipodes,截然相反
at any event,在任何活動中
at any given moment,在任何時刻
at any hand,無論何時
at any rate,無論如何
at arm's length,在可及範圍內
at bank,在銀行
at bar,在酒吧
at bat,一局
at bay,控制
at best,在最好的情況下
at bottom,在底部
at call,按電話
at command,在命令
at cost,按成本
at cross-purposes,相互衝突
at daggers drawn,劍拔弩張
at dark,在黑暗中
at death's door,瀕死
at each other's throats,互相爭吵
at ease,放鬆
at fault,有過錯
at first,起初
at first bluff,起初的 bluff
at first blush,起初
at first glance,一開始看
at first sight,一開始
at full pelt,以最大速度
at full steam,全速前進
at full stretch,完全伸展
at full throttle,全速前進
at full tilt,全力以赴
at gaze,凝視
at grips,握住
at gunpoint,在槍口下
at hand,在手
at heart,本質上
at heck and manger,天啊
at Her Majesty's pleasure,憑女王的意志
at home,在家
at intervals,不定期
at issue,關鍵問題
at knifepoint,在刀下
at large,逍遙自在
at last,終於
at latter Lammas,在後面的聖母
at least,至少
at leisure,悠閒地
at length,詳細地
at liberty,自由
at loggerheads,陷入僵局
at long last,終於
at loose ends,閒置
at minimum,至少
at most,最多
at night,晚上
at no time,從未
at odd times,不規律的時間
at odds,互相對立
at once,立刻
at one go,一次
at one stroke,一舉一動
at one time,曾經
at one time or another,在某個時候
at one's best,處於最佳狀態
at one's ease,自在
at one's elbow,在身邊
at one's feet,在腳邊
at one's fingers' ends,一手掌握
at one's fingertips,唾手可得
at one's leisure,隨意
at one's own peril,自行承擔風險
at one's own risk,自行承擔風險
at one's peril,冒險
at one's risk,自行承擔風險
at pace,以適當的速度
at pains,竭盡全力
at peace,心安
at peace with,心安
at places,在某處
at play,在進行中
at pleasure,隨意
at present,目前
at rack and manger,在酒吧或餐廳
at random,隨機
at rest,靜置
at right angles to,垂直於
at risk,有風險
at rovers,在羅威爾
at scale,大規模
at school,在學校
at sea,在海上
at second hand,二手
at short notice,在短時間內
at short sight,短視
at sight,一看到
at sixes and sevens,一團糟
at some point,在某個時候
at somebody's elbow,在某人的身旁
at somebody's heels,在某人的身後
at someone's disposal,隨時使用
at someone's door,在某人的門口
at someone's elbow,在某人的身旁
at someone's heels,在某人的身後
at someone's service,為某人服務
at someone's throat,掐住某人的喉嚨
at spearpoint,在矛尖
at speed,以高速
at stake,在風險中
at swordpoint,用劍指著
at swords' points,劍尖
at table,在餐桌上
at ten and two,上午十點和下午兩點
at that time,在那時候
at the back of one's mind,潛意識中
at the bank,在銀行
at the best,在最佳狀態
at the best of times,在正常情況下
at the bottom of,在底部
at the bottom of the pile,堆的底部
at the coal face,在煤礦前線
at the corner,在角落
at the cost of,以…為代價
at the discretion of,根據判斷
at the disposal of,在...處
at the door,在門口
at the door of,在門口
at the double,兩倍
at the drop of a hat,一聽就
at the earliest,儘早
at the elbow,在肘部
at the end of one's tether,黔之末
at the end of the day,總而言之
at the end of the rainbow,彩虹的盡頭
at the expense of,以…為代價
at the feet of,在...腳邊
at the hand of,在...手中
at the hands of,在...的幫助下
at the helm,掌舵
at the high port,在高港
at the instance of,在...的指示下
at the last,最後
at the last minute,最後一刻
at the last moment,最後一刻
at the latest,最晚
at the least,至少
at the mercy of,任憑
at the minimum,至少
at the minute,現在
at the moment,目前
at the money,剛好在目標價
at the most,最快
at the outset,起初
at the outside,在外面
at the point of,在...時
at the prospect of,在…的預期中
at the ready,準備好的
at the receiving end,作為接受者
at the risk of,冒險
at the same time,同時
at the sight of,在看到...時
at the soonest,盡快
at the tail,在尾端
at the thought of,想到
at the time,當時
at the top of one's bent,在彎曲的頂端
at the top of one's game,處於最佳狀態
at the top of one's lungs,盡全力
at the top of one's voice,大聲喊
at the top of the heap,頂端
at the top of the pile,在堆的最上方
at the top of the tree,樹頂
at the very least,至少
at the very most,最壞的情況
at the wheel,在駕駛座
at the whim of,隨意
at the worst,最壞情況下
at third hand,從第三方得知
at this juncture,在此階段
at this moment in time,目前
at this point,目前
at this point in time,目前
at this rate,以這種速度
at times,有時
at times and again,有時和再次
at turns,輪流
at twice,兩倍
at unawares,不知不覺
at variance,不一致
at war,戰爭中
at will,隨意
at work,在工作
at worst,最壞
at your service,為您服務
atomic cocktail,原子級調酒
atta girl,真棒
attend to,處理
attention whore,注意力小偷
Attic salt,閣樓鹽
attitude reflects leadership,態度反映領導力
attribute to,歸因於
au jus,完整
auction off,競標
audi alteram partem,聽取另一方意見
Augean stables,不可能解決的問題
auger in,鑽孔工具
auld lang syne,古老時光
aurally challenged,聽力障礙
autem cackler,嘲笑者
autem diver,然而
autem mort,然而死亡
autumn romance,秋季愛情
avant la lettre,字面意思
average bear,平均熊
average down,平均投資
average Joe,普通人
average out,平均
average up,平均
away at the races,離開
away from home,離開家
away game,遠程比賽
away in a hack,偷偷摸摸地
away to the races,去賽場
away with the fairies,與仙子共舞
awful but lawful,糟糕但合法
ax to grind,為了達到某種目的
ay up me duck,嘿，小鴨
aye aye shepherd's pie,羊肉派
ayo chill,放輕鬆
ayy lmao,哈哈
babe in arms,嬰兒
babe in the woods,森林裡的愛人
babe magnet,魅力四射
babies in the eyes,嬰兒
baby and bathwater,嬰兒和浴缸
baby elephant in the room,顯而易見的問題
baby needs new shoes,寶寶需要新的鞋
baby step,小步
baby up,嬰兒
babysitter test,保姆試驗
back and edge,後端和邊
back and forth,來回
back at ya,回覆你
back at you,同樣地
back atcha,回覆
back away,退後
back down,退讓
back forty,後四十英畝
back gammon player,兩人玩後弈
back in,以前
back in the day,以前
back in the game,重返賽場
back in the groove,恢復原狀
back in the saddle,重新開始
back into,重新
back of one's hand,親手
back off,退後
back office,後辦
back on to,回到
back one out,退回
back onto,返回
back out,撤退
back that train up,支持那班火車
back the right horse,選擇合適的馬
back the wrong horse,支持錯誤的一方
back then,當時
back to back,並排
back to back jack,並排操作
back to square one,重回初始狀態
back to the drawing board,重新開始
back to the wall,陷入困境
back up,備份
back up the truck,載貨
back-cloth star,幕布星
backhanded compliment,含義不明的讚美
backwards and forwards,前後
bad actor,惡意行為者
bad apple,壞蘋果
bad blood,敵意
bad books,糟糕的書籍
bad business,不好的生意
bad company,不良的公司
bad egg,不好的蛋
bad facts make bad law,錯誤的事實會導致錯誤的法律
bad hair day,糟糕的髮型
bad iron,不純鐵
bad joke,無聊的笑話
bad looker,外表不佳
bad money drives out good,劣質貨幣會取代優質貨幣
