you,εσείς
name,όνομα
place,θέση
ever,πάντα
feel,αφή
guys,παιδιά
father,πατέρας
guy,άνθρωπος
made,κατασκευασμένος
old,παλιός
isn,δεν είναι
which,ο οποίος
big,μεγάλος
lot,παρτίδα
done,γινώμενος
hello,Γειά σου
nice,όμορφη
believe,πιστεύω
girl,κορίτσι
someone,κάποιος
fine,πρόστιμο
thanks,Ευχαριστώ
wanted,καταζητούμενος
kind,είδος
coming,ερχομός
house,σπίτι
every,κάθε
ok,Εντάξει
through,διά μέσου
being,ύπαρξη
course,πορεία
stay,διαμονή
left,αριστερά
dad,μπαμπάς
enough,αρκετά
happened,συνέβη
came,ήρθε
may,Μάιος
mother,μητέρα
wrong,λανθασμένος
world,κόσμος
bad,κακός
might,δύναμη
three,τρία
today,σήμερα
listen,ακούω
another,άλλος
understand,καταλαβαίνω
hear,ακούω
remember,θυμάμαι
ask,παρακαλώ
own,ίδιος
same,ίδιο
show,επίδειξη
else,αλλού
kill,σκοτώνω
talking,ομιλία
found,θεμελιώ
next,επόμενος
getting,παίρνω
care,φροντίδα
car,αυτοκίνητο
looking,κοιτάζοντας
son,υιός
try,δοκιμή
woman,γυναίκα
went,πήγε
hi,Γεια
dead,νεκρός
many,πολοί
mind,μυαλό
wasn,δεν ήταν
friend,φίλος
best,καλύτερος
mom,μαμά
hell,κόλαση
morning,πρωί
trying,δύσκολος
boy,αγόρι
together,μαζί
yourself,σύ ο ίδιος
job,δουλειά
saw,πριόνι
family,οικογένεια
real,πραγματικός
without,χωρίς
baby,μωρό
room,δωμάτιο
wouldn,δεν θα
already,ήδη
move,κίνηση
most,πλέον
seen,ιδωμένος
live,ζω
miss,δεσποινίδα
actually,πράγματι
huh,ε;
shit,σκατά
both,και οι δύο
heard,άκουσε
once,μια φορά
ready,έτοιμος
head,κεφάλι
called,ονομάστηκε
used,μεταχειρισμένος
idea,ιδέα
knew,ήξερε
hold,αμπάρι
happy,ευτυχισμένος
door,πόρτα
such,τέτοιος
fuck,γαμώ
brother,αδελφός
also,επίσης
pretty,αρκετά
bit,κομμάτι
took,πήρε
haven,επίνειο
yet,ακόμη
men,άνδρες
whole,ολόκληρο
start,αρχή
use,χρήση
while,ενώ
since,από
wife,γυναίκα
days,ημέρες
guess,εικασία
tomorrow,αύριο
matter,ύλη
meet,συναντώ
bring,φέρω
tonight,απόψε
everyone,καθένας
run,τρέξιμο
wanna,θέλω
hard,σκληρά
ah,αχ
alone,μόνος
myself,εγώ ο ίδιος
school,σχολείο
gone,χαμένος
um,εεε
end,τέλος
saying,ρητό
phone,τηλέφωνο
play,παιχνίδι
looks,παρουσιαστικό
couldn,δεν μπορούσα
fucking,γαμημένος
problem,πρόβλημα
few,λίγοι
friends,φίλοι
gotta,πρέπει
ago,πριν
open,ανοιχτό
anyone,κάποιος
killed,σκοτωμένος
hope,ελπίδα
face,πρόσωπο
until,μέχρι
lost,χαμένος
police,αστυνομία
excuse,δικαιολογία
turn,σειρά
business,επιχείρηση
case,περίπτωση
wants,θέλει
says,λέει
true,αληθής
die,καλούπι
heart,καρδιά
soon,σύντομα
each,κάθε
worry,ανησυχία
later,αργότερα
year,έτος
watch,ρολόι
music,μουσική
hand,χέρι
having,έχοντας
probably,πιθανώς
beautiful,όμορφος
doctor,γιατρός
sit,καθίζω
eat,φάω
thinking,σκέψη
young,νέος
second,δεύτερος
working,εργαζόμενος
water,νερό
person,πρόσωπο
part,μέρος
kids,μικρόκοσμος
late,αργά
stuff,υλικό
exactly,ακριβώς
under,υπό
death,θάνατος
minute,λεπτό
pay,πληρωμή
crazy,τρελός
forget,ξεχνώ
everybody,όλοι
kid,παιδί
change,αλλαγή
gave,έδωσε
happen,συμβαίνω
damn,δεκάρα
five,πέντε
drink,ποτό
far,μακριά
knows,ξέρει
its,του
whatever,οτιδήποτε
eyes,μάτια
shut,κλειστός
aren,αρένα
hit,επιτυχία
taking,λήψη
easy,εύκολος
times,φορές
check,έλεγχος
hands,χέρια
minutes,πρακτικά
deal,συμφωνία
different,διαφορετικός
means,μέσα
point,σημείο
inside,μέσα
makes,κάνει
asked,ερωτηθείς
somebody,κάποιος
mine,ορυχείο
making,κατασκευή
body,σώμα
afraid,φοβισμένος
sleep,ύπνος
chance,ευκαιρία
dear,αγαπητός
quite,αρκετά
four,τέσσερα
anyway,οπωσδήποτε
close,κοντά
ain,αίν
party,κόμμα
fun,διασκέδαση
against,κατά
word,λέξη
comes,έρχεται
important,σπουδαίος
set,σειρά
shall,θα
story,ιστορία
number,αριθμός
daughter,κόρη
least,ελάχιστα
waiting,αναμονή
hurt,πλήγμα
wish,επιθυμία
moment,στιγμή
fight,πάλη
week,εβδομάδα
husband,σύζυγος
girls,κορίτσια
rest,υπόλοιπο
married,παντρεμένος
fire,φωτιά
game,παιχνίδι
nobody,κανείς
mr,κ.
children,παιδιά
side,πλευρά
stand,στάση
read,ανάγνωση
though,αν και
cut,τομή
started,ξεκίνησε
sister,αδελφή
supposed,υποτιθεμένος
between,μεταξύ
child,παιδί
goes,πηγαίνει
hours,ώρες
speak,μιλώ
women,γυναίκες
behind,πίσω
almost,σχεδόν
truth,αλήθεια
blood,αίμα
able,ικανός
lady,κυρία
anymore,πια
playing,παιχνίδι
gets,παίρνει
shot,βολή
reason,λόγος
trouble,ταλαιπωρία
break,διακοπή
war,πόλεμος
city,πόλη
walk,βόλτα
town,πόλη
trust,εμπιστοσύνη
dr.,Δρ.
met,συνάντησα
office,γραφείο
question,ερώτηση
brought,έφερε
yours,δικό σου
welcome,καλωσόρισμα
high,ψηλά
wow,εκπληκτική επιτυχία
couple,ζευγάρι
half,ήμισυ
died,πέθανε
cool,δροσερός
free,δωρεάν
either,είτε
seems,φαίνεται
power,εξουσία
whoa,ουάου
bye,αντίο
buy,αγορά
telling,αποτελεσματικός
honey,μέλι
tried,δοκιμασμένος
front,εμπρός
team,ομάδα
answer,απάντηση
gun,όπλο
boys,αγόρια
line,γραμμή
send,στέλνω
news,νέα
stupid,ηλίθιος
bed,κρεβάτι
hurry,βιασύνη
full,γεμάτος
months,μήνες
save,εκτός
sometimes,μερικές φορές
become,γίνομαι
along,κατά μήκος
hate,μισώ
food,τροφή
outside,εκτός
light,φως
l,μεγάλο
needs,αναγκαία
dog,σκυλί
country,χώρα
clear,σαφής
order,παραγγελία
em,εμ
fact,γεγονός
lord,άρχοντας
captain,καπετάνιος
six,έξι
hot,καυτό
funny,αστείος
black,μαύρος
mrs.,κυρία
alive,ζωντανός
pick,διαλέγω
feeling,συναίσθημα
living,ζωή
cause,αιτία
ahead,εμπρός
lose,χάνω
king,βασιλιάς
plan,σχέδιο
dinner,δείπνο
sighs,αναστεναγμοί
sort,είδος
leaving,φεύγοντας
shouldn,δεν θα έπρεπε
running,τρέξιμο
boss,αφεντικό
alright,καλώς
promise,υπόσχεση
taken,ληφθεί
safe,ασφαλής
ma,μαμά
book,βιβλίο
sent,έστειλε
white,λευκό
hour,ώρα
anybody,οποιοσδήποτε
small,μικρό
perfect,τέλειος
‘cause,'αιτία
lives,ζωές
special,ειδικός
parents,γονείς
s,μικρό
john,Γιάννης
himself,ίδιος
perhaps,ίσως
sounds,ήχους
serious,σοβαρός
sick,άρρωστος
company,εταιρεία
ha,χα
scared,φοβισμένος
uncle,θείος
poor,φτωχός
red,κόκκινος
past,το παρελθόν
earth,γη
possible,δυνατός
shoot,βλαστός
touch,επαφή
sound,ήχος
top,κορυφή
ass,γάιδαρος
laughs,γέλια
cannot,δεν μπορώ
asking,ρωτώντας
win,νίκη
glad,χαρούμενος
control,έλεγχος
hmm,χμμ
human,ανθρώπινος
drive,οδηγώ
hair,μαλλιά
jack,γρύλος
bitch,σκύλα
luck,τύχη
murder,δολοφονία
happens,συμβαίνει
air,αέρας
ten,δέκα
daddy,πατερούλης
finally,τελικά
chuckles,γέλια
fast,γρήγορα
cold,κρύο
seem,φαίνομαι
laughing,γέλιο
words,λόγια
hospital,νοσοκομείο
street,δρόμος
hang,κρεμώ
dance,χορός
meeting,συνάντηση
till,έως
others,άλλοι
catch,σύλληψη
follow,ακολουθώ
sense,έννοια
sex,φύλο
lie,ψέμα
evening,απόγευμα
master,κύριος
known,γνωστός
dream,όνειρο
write,γράφω
million,εκατομμύριο
voice,φωνή
sweet,γλυκός
rather,μάλλον
felt,τσόχα
sign,σημείο
lucky,τυχερός
somewhere,κάπου
bet,στοίχημα
o,ο
jesus,Ιησούς
longer,μακρύτερα
calling,κλήση
worked,εργάστηκε
quiet,ησυχία
looked,κοίταξε
less,μείον
pull,Τραβήξτε
beat,ρυθμός
careful,προσεκτικός
coffee,καφές
return,απόδοση
secret,μυστικό
weeks,εβδομάδες
weren,δεν ήμασταν
date,ημερομηνία
seeing,βλέπων
fall,πτώση
given,δεδομένος
ooh,ωωω
fault,σφάλμα
straight,ευθεία
takes,παίρνει
song,τραγούδι
future,μελλοντικός
gentlemen,Αντρών
loved,αγαπούσε
changed,άλλαξε
road,δρόμος
calm,ηρεμία
wonderful,θαυμάσιος
mad,τρελός
turned,γύρισε
drop,πτώση
ladies,κυρίες
learn,μαθαίνω
step,βήμα
absolutely,απολύτως
early,νωρίς
explain,εξηγώ
clean,καθαρός
piece,κομμάτι
yesterday,εχθές
throw,βολή
picture,εικόνα
land,γη
feet,πόδια
wonder,αναρωτιέμαι
questions,ερωτήσεις
speaking,ομιλία
worth,αξία
darling,ωραιότατος
dude,δανδής
giving,χορήγηση
president,πρόεδρος
eye,μάτι
quick,γρήγορα
moving,κίνηση
figure,εικόνα
state,κατάσταση
strong,ισχυρός
sam,Σαμ
none,κανένας
amazing,καταπληκτικός
ones,αυτά
works,εργοστάσιο
act,πράξη
needed,χρειάζεται
weird,αλλόκοτος
law,νόμος
worried,ανήσυχος
report,έκθεση
goodbye,Αντίο
missing,απών
choice,επιλογή
happening,συμβάν
chief,αρχηγός
wedding,γάμος
strange,παράξενος
general,γενικός
pain,πόνος
‘am,'π.μ
kidding,κοροϊδία
decided,αποφασισμένος
ya,ναι
pass,πέρασμα
tired,κουρασμένος
class,τάξη
officer,αξιωματικός
kept,διατηρείται
wake,ίχνη
worse,χειρότερος
busy,απασχολημένος
eh,εεε
mistake,λάθος
kiss,φιλί
court,δικαστήριο
building,κτίριο
finish,φινίρισμα
during,κατά την διάρκεια
age,ηλικία
ship,πλοίο
caught,πιασμένος
marry,παντρεύω
meant,εννοούσα
sell,πωλώ
dark,σκοτάδι
watching,παρακολουθώντας
system,σύστημα
suppose,υποθέτω
evidence,απόδειξη
movie,ταινία
ride,βόλτα
t,τ
completely,εντελώς
mouth,στόμα
totally,εντελώς
birthday,γενέθλια
tv,τηλεόραση
forgive,συγχωρώ
born,γεννημένος
imagine,φαντάζομαι
information,πληροφορίες
instead,αντί
definitely,οριστικά
security,ασφάλεια
certainly,σίγουρα
film,ταινία
month,μήνας
lying,κειμένος
unless,εκτός
train,τρένο
seven,επτά
wear,φθορά
clothes,ρούχα
michael,Μιχαήλ
hotel,ξενοδοχείο
christmas,Χριστούγεννα
attack,επίθεση
hasn,καταφύγιο
round,γύρω
expect,αναμένω
sing,τραγουδώ
terrible,τρομερός
george,Γεώργιος
bag,τσάντα
history,ιστορία
blue,μπλε
near,κοντά
broke,χωρίς χρημάτων
station,σταθμός
seriously,σοβαρά
forever,πάντα
david,Δαβίδ
frank,ειλικρινής
except,εκτός
thinks,σκέφτεται
message,μήνυμα
entire,ολόκληρος
joe,Τζο
table,τραπέζι
talked,μίλησε
across,απέναντι
rock,βράχος
lovely,ωραίος
handle,λαβή
middle,μέσο
buddy,σύντροφος
paid,έμμισθος
protect,προστατεύω
using,χρησιμοποιώντας
floor,πάτωμα
ran,έτρεξε
swear,ορκίζομαι
spend,ξοδεύω
situation,κατάσταση
ring,δαχτυλίδι
anywhere,οπουδήποτε
dangerous,επικίνδυνος
bill,νομοσχέδιο
york,Υόρκη
army,στρατός
lead,μόλυβδος
bought,αγορασμένος
finished,πεπερασμένος
fair,έκθεση
sun,ήλιος
letter,επιστολή
fool,ανόητος
attention,Προσοχή
club,λέσχη
simple,απλός
interesting,ενδιαφέρων
space,χώρος
test,δοκιμή
box,κουτί
group,ομάδα
single,μονόκλινο
sitting,συνεδρίαση
marriage,γάμος
join,ενώνω
fear,φόβος
d,ρε
peace,ειρήνη
forgot,ξέχασα
force,δύναμη
short,μικρός
normal,κανονικός
charlie,Κάρολος
present,παρόν
enjoy,απολαμβάνω
mike,μικρόφωνο
crime,έγκλημα
horse,άλογο
ground,έδαφος
american,Αμερικανός
count,κόμης
area,έκταση
charge,χρέωση
honor,τιμή
lunch,μεσημεριανό
miles,μίλια
radio,ραδιόφωνο
idiot,ηλίθιος
ball,μπάλα
surprise,έκπληξη
paper,χαρτί
key,κλειδί
boat,σκάφος
quickly,γρήγορα
gold,χρυσός
bar,μπαρ
fish,ψάρι
mark,σημάδι
tom,κάποιος
wearing,κουραστικός
crying,κλαίων
accident,ατύχημα
government,κυβέρνηση
eight,οκτώ
fell,καταρρίπτω
cover,κάλυμμα
certain,βέβαιος
interested,ενδιαφερόμενος
deep,βαθύς
star,αστέρι
sea,θάλασσα
agree,συμφωνώ
problems,προβλήματα
detective,ντεντεκτίβ
prison,φυλακή
major,μείζων
stick,ραβδί
offer,προσφορά
difficult,δύσκολος
smart,έξυπνος
personal,προσωπικός
record,ρεκόρ
stopped,σταμάτησε
hide,κρύβω
whether,αν
bank,τράπεζα
trip,ταξίδι
relax,Χαλαρώστε
america,Αμερική
public,κοινό
list,λίστα
afternoon,απόγευμα
brain,εγκέφαλος
fix,διορθώνω
bastard,μπάσταρδος
proud,υπερήφανος
tea,τσάι
service,υπηρεσία
screaming,σκούξιμο
forward,προς τα εμπρός
angry,θυμωμένος
park,πάρκο
soul,ψυχή
fighting,μαχητικός
peter,Πέτρος
rich,πλούσιος
agent,μέσο
blow,πλήγμα
paul,Παύλος
dress,φόρεμα
mary,Μαρία
missed,έχασα
scene,σκηνή
killing,φόνος
standing,θέση
saved,αποθηκευμένο
mm,χιλ.
respect,σεβασμός
killer,φονιάς
ice,πάγος
mess,χάος
tough,σκληρός
feels,αισθάνεται
church,εκκλησία
sad,λυπημένος
cell,κύτταρο
drunk,μεθυσμένος
share,μερίδιο
camera,κάμερα
mm-hmm,μμμ-χμμ
within,εντός
card,κάρτα
fly,μύγα
ben,Μπεν
girlfriend,φιλενάδα
laugh,γέλιο
smell,μυρωδιά
broken,σπασμένος
mum,μαμά
honest,τίμιος
often,συχνά
starting,εκκίνηση
calls,κλήσεις
y,y
spent,ξόδεψε
third,τρίτος
english,αγγλικός
visit,επίσκεψη
mama,μαμά
judge,δικαστής
window,παράθυρο
hungry,πεινασμένος
dare,τολμώ
relationship,σχέση
moved,μετακόμισε
prove,αποδεικνύω
private,ιδιωτικός
wall,τείχος
seat,κάθισμα
i-i,ι-ι
position,θέση
lieutenant,υπολοχαγός
realize,αντιλαμβάνομαι
lt,lt
especially,ειδικά
machine,μηχανή
walking,περίπατος
art,τέχνη
pleasure,ευχαρίστηση
bloody,αιματηρός
college,κολλέγιο
french,Γάλλος
involved,εμπλεγμένος
cry,κραυγή
became,έγινε
lived,έζησε
impossible,αδύνατος
obviously,προφανώς
neither,ούτε
accept,αποδέχομαι
boyfriend,φίλος
besides,εκτός
queen,βασίλισσα
teacher,δάσκαλος
cops,αστυνομικοί
sake,χάρη
loves,αγάπες
carry,μεταφέρω
teach,διδάσκω
apartment,διαμέρισμα
upset,ανατροπή
green,πράσινος
la,λα
liked,άρεσε
cute,χαριτωμένος
evil,κακό
professor,καθηγητής
contact,επαφή
joke,αστείο
cop,μπάτσος
huge,τεράστιος
holy,άγιος
store,κατάστημα
jail,φυλακή
likes,μου αρέσει
lawyer,δικηγόρος
doubt,αμφιβολία
continue,συνεχίζω
appreciate,εκτιμώ
cat,γάτα
shop,κατάστημα
driving,οδήγηση
congratulations,Συγχαρητήρια
wrote,έγραψε
village,χωριό
quit,εγκαταλείπω
field,πεδίο
james,Τζέιμς
wine,κρασί
decision,απόφαση
south,νότος
sleeping,κοιμισμένος
slow,αργός
laughter,γέλιο
island,νησί
glass,ποτήρι
beginning,αρχή
cash,μετρητά
dying,βαφή
hundred,εκατό
whose,τίνος
difference,διαφορά
plane,επίπεδο
push,Σπρώξτε
continues,συνεχίζεται
mmm,μμμ
singing,τραγούδι
eating,τρώγοντας
north,βόρειος
mrs,κυρία
tree,δέντρο
madam,κυρία
gift,δώρο
truck,φορτηγό
putting,βάζοντας
bear,αρκούδα
board,επιτροπή
grab,αραπάζω
beer,μπύρα
stuck,κολλημένος
magic,μαγεία
support,υποστήριξη
rules,κανόνες
grunts,γρυλίσματα
partner,εταίρος
reach,έκταση
wind,άνεμος
colonel,συνταγματάρχης
max,μέγιστο
immediately,αμέσως
seconds,δευτερόλεπτα
thousand,χίλια
gives,δίνει
experience,εμπειρία
cheers,Εβίβα
victim,θύμα
upon,επάνω σε
computer,ηλεκτρονικός υπολογιστής
christ,Χριστός
planet,πλανήτης
promised,υποσχέθηκε
bus,λεωφορείο
henry,αυτεπαγωγής
dirty,βρώμικος
search,έρευνα
staying,παραμονή
dreams,όνειρα
arrest,σύλληψη
holding,κράτημα
suddenly,ξαφνικά
usually,συνήθως
lots,πλήθος
shoes,παπούτσια
er,εεε
jump,άλμα
rid,απαλλάσσω
yo,γιο
knock,χτύπημα
owe,οφείλω
harry,βασανίζω
grow,καλλιεργώ
worst,κατισχύω
river,ποτάμι
aunt,θεία
patient,ασθενής
kitchen,κουζίνα
aah,ααα
fat,λίπος
passed,πέρασε
m,μ
final,τελικός
summer,καλοκαίρι
bob,βαρίδι
listening,ακούγοντας
escape,διαφυγή
everywhere,παντού
moon,φεγγάρι
arms,όπλα
turns,στροφές
address,διεύθυνση
ow,άου
match,αγώνας
gasps,λαχανιάζει
grand,μεγαλειώδης
yep,ναι
shh,σσσς
nervous,νευρικός
de,ντε
choose,επιλέγω
themselves,εαυτούς
decide,αποφασίζω
mate,σύντροφος
drinking,πόσιμο
press,τύπος
bother,ενόχληση
foot,πόδι
hadn,είχε
blame,ευθύνη
crap,σκατά
drugs,φάρμακα
type,τύπος
rings,δαχτυλίδια
mission,αποστολή
named,ονομασμένος
heaven,ουρανός
‘ii,«ii»
picked,εκλεκτός
paris,Παρίσι
race,φυλή
risk,κίνδυνος
books,βιβλία
further,περαιτέρω
danny,Ντάνι
action,δράση
allowed,επιτρέπεται
orders,παραγγελίες
learned,πολυμαθής
price,τιμή
arrived,έφτασε
nick,Νίκος
otherwise,αλλιώς
pictures,εικόνες
fit,κατάλληλος
smoke,καπνός
favor,εύνοια
played,έπαιξε
notice,ανακοίνωση
awesome,φοβερός
smile,χαμόγελο
director,διευθυντής
guard,φρουρά
begin,αρχίζω
spot,σημείο
surprised,έκπληκτος
innocent,αθώος
narrator,αφηγητής
herself,εαυτήν
london,Λονδίνο
feelings,συναισθήματα
enemy,εχθρός
battle,μάχη
ourselves,εμάς
alex,Άλεξ
dollars,δολάρια
allow,επιτρέπω
nine,εννέα
gay,ομοφυλόφιλος
department,τμήμα
guilty,ένοχος
apart,χώρια
earlier,πρωτύτερα
duty,δασμός
jim,Τζιμ
suit,κοστούμι
bell,κουδούνι
west,Δύση
legs,πόδια
hero,ήρωας
destroy,καταστρέφω
stage,στάδιο
bunch,δέσμη
according,σύμφωνα
chicken,κοτόπουλο
bigger,μεγαλύτερος
grunting,γρύλισμα
low,χαμηλός
helping,βοήθεια
admit,ομολογώ
closed,κλειστό
names,ονόματα
witness,μάρτυρας
upstairs,επάνω
arm,μπράτσο
steal,κλέβω
jimmy,Τζίμι
kick,λάκτισμα
twice,δυο φορές
cross,σταυρός
ways,τρόποι
sergeant,λοχίας
indeed,πράγματι
gas,αέριο
keeping,τήρηση
energy,ενέργεια
pregnant,έγκυος
waste,απόβλητα
helped,βοήθησε
fired,απολύθηκε
favorite,ευνοούμενος
tony,αντωνάκης
taste,γεύση
locked,κλειδωμένο
places,μέρη
writing,γράψιμο
adam,Αδάμ
brothers,αδελφοί
starts,ξεκινά
prince,πρίγκιπας
form,μορφή
sold,πουλήθηκε
silly,ανόητος
mention,αναφέρω
build,οικοδομώ
throat,λαιμός
hole,τρύπα
figured,σχηματικός
track,τροχιά
ringing,κουδούνισμα
lock,κλειδαριά
leg,πόδι
above,πάνω από
hiding,απόκρυψη
steve,Στιβ
seemed,φαινόταν
breakfast,πρωινό
engine,μηχανή
written,γραπτός
complete,πλήρης
video,βίντεο
applause,χειροκροτήματα
however,ωστόσο
pressure,πίεση
fresh,φρέσκο
weapon,όπλο
sky,ουρανός
ms.,κα.
stole,επιτραχήλιο
study,μελέτη
burn,έγκαυμα
reading,ανάγνωση
crowd,πλήθος
treat,κέρασμα
roll,ρολό
double,διπλό
spirit,πνεύμα
danger,κίνδυνος
cost,κόστος
empty,αδειάζω
level,επίπεδο
memory,μνήμη
itself,εαυτό
acting,δράση
interest,τόκος
nose,μύτη
plans,σχέδια
following,εξής
bathroom,τουαλέτα
built,χτίστηκε το
closer,πιο κοντά
ray,ακτίνα
sarah,Σάρα
band,ζώνη
groans,στενάζει
apparently,προφανώς
excited,ερεθισμένος
richard,Ρίτσαρντ
losing,χάνοντας
animals,ζώα
flight,πτήση
nature,φύση
raise,αύξηση
pop,κρότος
client,πελάτης
bomb,βόμβα
neck,λαιμός
suspect,ύποπτος
warm,ζεστός
extra,επιπλέον
bottle,μπουκάλι
van,βαν
heavy,βαρύς
mommy,μαμά
dogs,σκύλοι
wild,άγριος
ridiculous,γελοίος
simply,απλά
lee,υπήνεμος
animal,ζώο
showed,έδειξε
billy,ρόπαλο
shooting,κυνήγι
keeps,κρατά
camp,στρατόπεδο
guns,όπλα
medical,ιατρικός
shame,ντροπή
hoping,ελπίζοντας
whom,ποιόν
bird,πουλί
majesty,μεγαλείο
flowers,λουλούδια
famous,περίφημος
asleep,κοιμισμένος
beauty,ομορφιά
driver,οδηγός
keys,κλειδιά
rain,βροχή
awful,απαίσιος
large,μεγάλο
local,τοπικός
deserve,αξίζω
goddamn,γαμώτο
stone,πέτρα
jane,Ιωάννα
grace,χάρη
consider,θεωρώ
weekend,σαββατοκύριακο
wondering,αναρωτιέμαι
lay,λαϊκός
plenty,αφθονία
willing,πρόθυμος
pants,παντελόνι
sweetheart,αγαπημένη
skin,δέρμα
excellent,έξοχος
asshole,κώλος
beach,παραλία
c,ντο
faith,πίστη
beg,ικετεύω
fuckin,γαμώτο
responsible,υπεύθυνος
military,στρατιωτικός
cheering,επευφημίες
opportunity,ευκαιρία
common,κοινός
bottom,κάτω μέρος
german,Γερμανός
whoever,οποιοσδήποτε
cook,μάγειρας
walked,περπάτησε
papers,χαρτιά
justice,δικαιοσύνη
hall,αίθουσα
commander,διοικητής
drug,φάρμακο
main,κύριος
knife,μαχαίρι
devil,διάβολος
necessary,απαραίτητος
although,αν και
princess,πριγκίπισσα
lights,φώτα
flying,πέταγμα
dick,ψωλή
rose,τριαντάφυλλο
knowing,γνωρίζων
clearly,σαφώς
hat,καπέλο
agreed,σύμφωνος
johnny,γιαννάκης
corner,γωνία
code,κώδικας
note,σημείωμα
tommy,άγγλος στρατιώτης
due,οφειλόμενος
correct,σωστός
apologize,απολογούμαι
language,γλώσσα
stars,αστέρια
faster,πιο γρήγορα
cars,αυτοκίνητα
folks,άνθρωποι
bullshit,ανοησίες
i.,εγώ.
fellow,σύντροφος
several,διάφοροι
grandma,γιαγιά
shows,δείχνει
leader,ηγέτης
leaves,φύλλα
restaurant,εστιατόριο
east,Ανατολή
shouting,κραυγές
blind,τυφλός
ghost,φάντασμα
cup,φλιτζάνι
gotten,αποκτήθηκε
tight,σφιχτός
conversation,συνομιλία
tells,λέει
lies,ψέματα
nor,ούτε
pulled,τράβηξε
hanging,κρέμασμα
speed,ταχύτητα
stories,ιστορίες
health,υγεία
advice,συμβουλή
held,κρατήθηκε
uh-huh,ωχ
murdered,δολοφονημένος
beyond,πέρα
rule,κανόνας
hardly,μόλις
possibly,πιθανώς
inspector,επιθεωρητής
cousin,εξάδελφος
trial,δίκη
emergency,επείγον
ought,πρέπει
eddie,Έντι
somehow,κάπως
hearing,ακρόαση
states,πολιτείες
account,λογαριασμός
spoke,ακτίνα
file,αρχείο
understood,κατάλαβα
angel,άγγελος
tape,ταινία
milk,γάλα
powerful,ισχυρός
weapons,όπλα
practice,πρακτική
manager,διευθυντής
pardon,Συγγνώμη
vote,ψήφος
jake,Τζέικ
national,εθνικός
career,καριέρα
minister,υπουργός
super,σούπερ
taught,διδακτός
robert,Ροβέρτος
biggest,μέγιστος
plays,θεατρικά έργα
natural,φυσικός
dancing,χορός
copy,αντίγραφο
plus,συν
martin,χελιδόνι
cake,κέικ
freedom,ελευθερία
among,αναμεταξύ
breath,αναπνοή
operation,λειτουργία
chris,Κρις
crew,πλήρωμα
challenge,πρόκληση
market,αγορά
meat,κρέας
towards,προς
bringing,φέρνοντας
dropped,έπεσε
student,φοιτητής
lied,είπε ψέματα
strength,δύναμη
size,μέγεθος
breathe,αναπνέω
color,χρώμα
