you,Bạn
away,xa
than,hơn
thought,nghĩ
home,trang chủ
night,đêm
put,đặt
great,Tuyệt
those,những thứ kia
last,cuối cùng
better,tốt hơn
everything,mọi thứ
told,nói
mr.,Ông.
new,mới
things,đồ đạc
always,luôn luôn
keep,giữ
long,dài
years,năm
leave,rời khỏi
does,làm
money,tiền bạc
around,xung quanh
doesn,không
name,tên
place,địa điểm
ever,bao giờ
feel,cảm thấy
guys,các bạn
father,bố
guy,chàng trai
made,làm ra
old,cũ
isn,không
which,cái mà
big,to lớn
lot,nhiều
done,xong
hello,Xin chào
nice,Đẹp
believe,tin tưởng
girl,con gái
someone,người nào đó
fine,khỏe
thanks,Cảm ơn
wanted,muốn
kind,loại
coming,đang tới
house,căn nhà
every,mọi
ok,Được rồi
through,bởi vì
being,hiện tại
course,khóa học
stay,ở lại
left,bên trái
dad,bố
enough,đủ
happened,đã xảy ra
came,đã đến
may,có thể
mother,mẹ
wrong,sai
world,thế giới
bad,xấu
might,có thể
three,ba
today,Hôm nay
listen,Nghe
another,khác
understand,hiểu
hear,nghe
remember,nhớ
ask,hỏi
own,sở hữu
same,như nhau
show,trình diễn
else,khác
kill,giết
talking,nói chuyện
found,thành lập
next,Kế tiếp
getting,nhận
care,chăm sóc
car,xe hơi
looking,đang tìm kiếm
son,con trai
try,thử
woman,đàn bà
went,đi
hi,CHÀO
dead,chết
many,nhiều
mind,tâm trí
wasn,không
friend,bạn bè
best,tốt nhất
mom,mẹ
hell,địa ngục
morning,buổi sáng
trying,đang cố gắng
boy,con trai
together,cùng nhau
yourself,bản thân bạn
job,công việc
saw,cái cưa
family,gia đình
real,thực tế
without,không có
baby,Đứa bé
room,phòng
wouldn,sẽ không
already,đã
move,di chuyển
most,hầu hết
seen,đã xem
live,sống
miss,cô
actually,Thực ra
huh,ừ
shit,chết tiệt
both,cả hai
heard,đã nghe
once,một lần
ready,sẵn sàng
head,cái đầu
called,gọi điện
used,đã sử dụng
idea,ý tưởng
knew,biết
hold,giữ
happy,vui mừng
door,cửa
such,như là
fuck,chết tiệt
brother,anh trai
also,Mà còn
pretty,đẹp
bit,chút
took,lấy đi
haven,nơi trú ẩn
yet,chưa
men,đàn ông
whole,trọn
start,bắt đầu
use,sử dụng
while,trong khi
since,từ
wife,vợ
days,ngày
guess,đoán
tomorrow,Ngày mai
matter,vấn đề
meet,gặp
bring,mang đến
tonight,tối nay
everyone,mọi người
run,chạy
wanna,muốn
hard,cứng
ah,à
alone,một mình
myself,bản thân tôi
school,trường học
gone,đi mất
um,ừm
end,kết thúc
saying,nói rằng
phone,điện thoại
play,chơi
looks,vẻ ngoài
couldn,không thể
fucking,chết tiệt
problem,vấn đề
few,một vài
friends,bạn
gotta,phải
ago,trước kia
open,mở
anyone,bất cứ ai
killed,bị giết
hope,mong
face,khuôn mặt
until,cho đến khi
lost,mất
police,cảnh sát
excuse,thứ lỗi
turn,xoay
business,việc kinh doanh
case,trường hợp
wants,muốn
says,nói
true,ĐÚNG VẬY
die,chết
heart,trái tim
soon,sớm
each,mỗi
worry,lo lắng
later,sau đó
year,năm
watch,đồng hồ
music,âm nhạc
hand,tay
having,có
probably,có lẽ
beautiful,xinh đẹp
doctor,bác sĩ
sit,ngồi
eat,ăn
thinking,suy nghĩ
young,trẻ
second,thứ hai
working,đang làm việc
water,Nước
person,người
part,phần
kids,trẻ em
late,muộn
stuff,chất liệu
exactly,chính xác
under,dưới
death,cái chết
minute,phút
pay,chi trả
crazy,điên
forget,quên
everybody,mọi người
kid,đứa trẻ
change,thay đổi
gave,đã đưa cho
happen,xảy ra
damn,chết tiệt
five,năm
drink,uống
far,xa
knows,biết
its,của nó
whatever,bất cứ điều gì
eyes,mắt
shut,đóng cửa
aren,không
hit,đánh
taking,đang lấy
easy,dễ
times,lần
check,kiểm tra
hands,bàn tay
minutes,phút
deal,thỏa thuận
different,khác biệt
means,có nghĩa
point,điểm
inside,bên trong
makes,làm cho
asked,yêu cầu
somebody,ai đó
mine,của tôi
making,làm
body,thân hình
afraid,sợ
sleep,ngủ
chance,cơ hội
dear,Thân mến
quite,khá
four,bốn
anyway,Dẫu sao thì
close,đóng
ain,ain
party,buổi tiệc
fun,vui vẻ
against,chống lại
word,từ
comes,đến
important,quan trọng
set,bộ
shall,nên
story,câu chuyện
number,con số
daughter,con gái
least,ít nhất
waiting,chờ
hurt,đau
wish,ước
moment,chốc lát
fight,trận đánh
week,tuần
husband,chồng
girls,các cô gái
rest,nghỉ ngơi
married,đã cưới
fire,ngọn lửa
game,trò chơi
nobody,không ai
mr,Ông
children,những đứa trẻ
side,bên
stand,đứng
read,đọc
though,mặc dù
cut,cắt
started,bắt đầu
sister,em gái
supposed,giả sử
between,giữa
child,đứa trẻ
goes,đi
hours,giờ
speak,nói chuyện
women,phụ nữ
behind,phía sau
almost,hầu hết
truth,sự thật
blood,máu
able,có thể
lady,quý bà
anymore,không còn nữa
playing,chơi
gets,được
shot,bắn
reason,lý do
trouble,rắc rối
break,phá vỡ
war,chiến tranh
city,thành phố
walk,đi bộ
town,thị trấn
trust,lòng tin
dr.,tiến sĩ
met,gặp gỡ
office,văn phòng
question,câu hỏi
brought,đem lại
yours,của bạn
welcome,Chào mừng
high,cao
wow,Ồ
couple,cặp đôi
half,một nửa
died,chết
cool,mát mẻ
free,miễn phí
either,hoặc
seems,có vẻ như
power,quyền lực
whoa,Ồ
bye,tạm biệt
buy,mua
telling,kể chuyện
honey,Mật ong
tried,đã thử
front,đằng trước
team,đội
answer,trả lời
gun,súng
boys,các chàng trai
line,đường kẻ
send,gửi
news,tin tức
stupid,ngốc nghếch
bed,giường
hurry,sự vội vàng
full,đầy
months,tháng
save,cứu
sometimes,Thỉnh thoảng
become,trở nên
along,dọc theo
hate,ghét
food,đồ ăn
outside,ngoài
light,ánh sáng
l,l
needs,nhu cầu
dog,chó
country,quốc gia
clear,thông thoáng
order,đặt hàng
em,em
fact,sự thật
lord,chúa tể
captain,đội trưởng
six,sáu
hot,nóng
funny,buồn cười
black,đen
mrs.,bà
alive,còn sống
pick,nhặt
feeling,cảm giác
living,cuộc sống
cause,gây ra
ahead,phía trước
lose,thua
king,nhà vua
plan,kế hoạch
dinner,bữa tối
sighs,thở dài
sort,loại
leaving,rời đi
shouldn,nên
running,đang chạy
boss,ông chủ
alright,được rồi
promise,hứa
taken,lấy
safe,an toàn
ma,ma
book,sách
sent,đã gửi
white,trắng
hour,giờ
anybody,bất kỳ ai
small,bé nhỏ
perfect,hoàn hảo
‘cause,'gây ra
lives,cuộc sống
special,đặc biệt
parents,cha mẹ
s,S
john,John
himself,chính mình
perhaps,có lẽ
sounds,âm thanh
serious,nghiêm trọng
sick,đau ốm
company,công ty
ha,ha
scared,sợ hãi
uncle,chú
poor,nghèo
red,màu đỏ
past,quá khứ
earth,trái đất
possible,khả thi
shoot,bắn
touch,chạm
sound,âm thanh
top,đứng đầu
ass,mông
laughs,tiếng cười
cannot,không thể
asking,hỏi
win,thắng
glad,vui mừng
control,điều khiển
hmm,hừm
human,nhân loại
drive,lái xe
hair,tóc
jack,Jack
bitch,đồ khốn
luck,may mắn
murder,giết người
happens,xảy ra
air,không khí
ten,mười
daddy,bố
finally,Cuối cùng
chuckles,tiếng cười khúc khích
fast,nhanh
cold,lạnh lẽo
seem,có vẻ
laughing,cười
words,từ
hospital,bệnh viện
street,đường phố
hang,treo
dance,nhảy
meeting,cuộc họp
till,cho đến khi
others,người khác
catch,nắm lấy
follow,theo
sense,giác quan
sex,tình dục
lie,nói dối
evening,buổi tối
master,bậc thầy
known,được biết đến
dream,mơ
write,viết
million,triệu
voice,tiếng nói
sweet,ngọt
rather,hơn là
felt,cảm thấy
sign,dấu hiệu
lucky,may mắn
somewhere,ở đâu đó
bet,đặt cược
o,o
jesus,Chúa Giê-su
longer,dài hơn
calling,gọi
worked,đã làm việc
quiet,im lặng
looked,trông
less,ít hơn
pull,sự lôi kéo
beat,tiết tấu
careful,cẩn thận
coffee,cà phê
return,trở lại
secret,bí mật
weeks,tuần
weren,không
date,ngày
seeing,nhìn thấy
fall,ngã
given,được cho
ooh,ồ
fault,lỗi
straight,thẳng
takes,lấy
song,bài hát
future,tương lai
gentlemen,thưa quý ông
loved,yêu thương
changed,đã thay đổi
road,đường
calm,điềm tĩnh
wonderful,tuyệt vời
mad,điên rồ
turned,quay
drop,làm rơi
ladies,quý bà
learn,học hỏi
step,bước chân
absolutely,tuyệt đối
early,sớm
explain,giải thích
clean,lau dọn
piece,cái
yesterday,Hôm qua
throw,ném
picture,hình ảnh
land,đất
feet,bàn chân
wonder,thắc mắc
questions,câu hỏi
speaking,nói
worth,đáng giá
darling,Người thân yêu
dude,anh bạn
giving,cho
president,chủ tịch
eye,mắt
quick,nhanh
moving,di chuyển
figure,nhân vật
state,tình trạng
strong,mạnh
sam,Sam
none,không có
amazing,tuyệt vời
ones,những người
works,tác phẩm
act,hành động
needed,cần thiết
weird,kỳ quặc
law,pháp luật
worried,lo lắng
report,báo cáo
goodbye,tạm biệt
missing,mất tích
choice,sự lựa chọn
happening,đang xảy ra
chief,trưởng
wedding,lễ cưới
strange,lạ lùng
general,tổng quan
pain,nỗi đau
‘am,'là
kidding,đùa
decided,quyết định
ya,vâng
pass,vượt qua
tired,mệt
class,lớp học
officer,sĩ quan
kept,giữ
wake,thức dậy
worse,tệ hơn
busy,bận
eh,eh
mistake,sai lầm
kiss,hôn
court,tòa án
building,xây dựng
finish,hoàn thành
during,trong lúc
age,tuổi
ship,tàu thủy
caught,bắt gặp
marry,kết hôn
meant,có nghĩa là
sell,bán
dark,tối tăm
watching,xem
system,hệ thống
suppose,giả định
evidence,chứng cớ
movie,bộ phim
ride,lái
t,t
completely,hoàn toàn
mouth,miệng
totally,hoàn toàn
birthday,sinh nhật
tv,TV
forgive,tha thứ
born,sinh
imagine,tưởng tượng
information,thông tin
instead,thay vì
definitely,chắc chắn
security,bảo vệ
certainly,chắc chắn
film,phim ảnh
month,tháng
lying,nằm
unless,Trừ khi
train,xe lửa
seven,bảy
wear,mặc
clothes,quần áo
michael,Michael
hotel,khách sạn
christmas,Giáng sinh
attack,tấn công
hasn,không có
round,tròn
expect,trông chờ
sing,hát
terrible,kinh khủng
george,George
bag,cái túi
history,lịch sử
blue,màu xanh da trời
near,gần
broke,phá sản
station,ga tàu
seriously,nghiêm túc
forever,mãi mãi
david,David
frank,thẳng thắn
except,ngoại trừ
thinks,nghĩ
message,tin nhắn
entire,toàn bộ
joe,Joe
table,bàn
talked,đã nói chuyện
across,sang
rock,đá
lovely,đáng yêu
handle,xử lý
middle,ở giữa
buddy,bạn bè
paid,trả
protect,bảo vệ
using,sử dụng
floor,sàn nhà
ran,chạy
swear,thề
spend,tiêu
situation,tình huống
ring,nhẫn
anywhere,bất cứ nơi nào
dangerous,nguy hiểm
bill,hóa đơn
york,York
army,quân đội
lead,chỉ huy
bought,mua
finished,hoàn thành
fair,hội chợ
sun,mặt trời
letter,thư
fool,ngu xuẩn
attention,chú ý
club,câu lạc bộ
simple,đơn giản
interesting,hấp dẫn
space,không gian
test,Bài kiểm tra
box,hộp
group,nhóm
single,đơn
sitting,ngồi
marriage,kết hôn
join,tham gia
fear,nỗi sợ
d,d
peace,hòa bình
forgot,quên
force,lực lượng
short,ngắn
normal,Bình thường
charlie,Charlie
present,hiện tại
enjoy,thưởng thức
mike,mike
crime,tội phạm
horse,ngựa
ground,đất
american,người Mỹ
count,đếm
area,khu vực
charge,thù lao
honor,tôn kính
lunch,bữa trưa
miles,dặm
radio,radio
idiot,kẻ ngốc
ball,quả bóng
surprise,sự ngạc nhiên
paper,giấy
key,chìa khóa
boat,thuyền
quickly,nhanh
gold,vàng
bar,thanh
fish,cá
mark,đánh dấu
tom,Tom
wearing,mặc
crying,khóc
accident,tai nạn
government,chính phủ
eight,tám
fell,rơi
cover,che phủ
certain,chắc chắn
interested,thú vị
deep,sâu
star,ngôi sao
sea,biển
agree,đồng ý
problems,vấn đề
detective,thám tử
prison,nhà tù
major,lớn lao
stick,dán
offer,lời đề nghị
difficult,khó
smart,thông minh
personal,riêng tư
record,ghi
stopped,dừng lại
hide,trốn
whether,liệu
bank,ngân hàng
trip,chuyến đi
relax,thư giãn
america,nước Mỹ
public,công cộng
list,danh sách
afternoon,buổi chiều
brain,não
fix,sửa chữa
bastard,thằng khốn
proud,tự hào
tea,trà
service,dịch vụ
screaming,tiếng la hét
forward,phía trước
angry,tức giận
park,công viên
soul,linh hồn
fighting,Chiến đấu
peter,Peter
rich,giàu có
agent,đại lý
blow,thổi
paul,Paul
dress,đầm
mary,Mary
missed,bỏ lỡ
scene,bối cảnh
killing,giết người
standing,đứng
saved,đã lưu
mm,mm
respect,sự tôn trọng
killer,kẻ giết người
ice,đá
mess,sự lộn xộn
tough,khó
feels,cảm thấy
church,nhà thờ
sad,buồn
cell,tế bào
drunk,say rượu
share,chia sẻ
camera,máy ảnh
mm-hmm,Ừm-hừm
within,ở trong
card,thẻ
fly,bay
ben,ben
girlfriend,bạn gái
laugh,cười
smell,mùi
broken,vỡ
mum,mẹ
honest,trung thực
often,thường
starting,bắt đầu
calls,cuộc gọi
y,y
spent,đã tiêu
third,thứ ba
english,Tiếng Anh
visit,thăm nom
mama,mẹ
judge,phán xét
window,cửa sổ
hungry,đói bụng
dare,dám
relationship,mối quan hệ
moved,di chuyển
prove,chứng minh
private,riêng tư
wall,tường
seat,ghế
i-i,tôi-tôi
position,chức vụ
lieutenant,trung úy
realize,nhận ra
lt,lt
especially,đặc biệt
machine,máy móc
walking,đi bộ
art,nghệ thuật
pleasure,vinh hạnh
bloody,đẫm máu
college,trường cao đẳng
french,tiếng Pháp
involved,có liên quan
cry,khóc
became,trở thành
lived,sống
impossible,không thể nào
obviously,rõ ràng
neither,không
accept,chấp nhận
boyfriend,bạn trai
besides,bên cạnh đó
queen,nữ hoàng
teacher,giáo viên
cops,cảnh sát
sake,rượu sake
loves,tình yêu
carry,mang
teach,dạy bảo
apartment,căn hộ
upset,buồn bã
green,màu xanh lá
la,la
liked,thích
cute,dễ thương
evil,độc ác
professor,giáo sư
contact,liên hệ
joke,câu nói đùa
cop,cảnh sát
huge,to lớn
holy,thánh
store,cửa hàng
jail,nhà tù
likes,lượt thích
lawyer,luật sư
doubt,nghi ngờ
continue,Tiếp tục
appreciate,đánh giá
cat,con mèo
shop,cửa hàng
driving,lái xe
congratulations,Chúc mừng
wrote,đã viết
village,làng bản
quit,từ bỏ
field,cánh đồng
james,James
wine,rượu
decision,phán quyết
south,phía nam
sleeping,ngủ
slow,chậm
laughter,tiếng cười
island,hòn đảo
glass,thủy tinh
beginning,bắt đầu
cash,tiền mặt
dying,chết
hundred,trăm
whose,của ai
difference,sự khác biệt
plane,máy bay
push,xô
continues,tiếp tục
mmm,mmm
singing,hát
eating,ăn uống
north,phía bắc
mrs,bà
tree,cây
madam,thưa bà
gift,quà
truck,xe tải
putting,đặt
bear,con gấu
board,Cái bảng
grab,vồ lấy
beer,bia
stuck,mắc kẹt
magic,ảo thuật
support,ủng hộ
rules,quy tắc
grunts,tiếng càu nhàu
partner,cộng sự
reach,với tới
wind,gió
colonel,đại tá
max,tối đa
immediately,ngay lập tức
seconds,giây
thousand,nghìn
gives,cho
experience,kinh nghiệm
cheers,Chúc mừng!
victim,nạn nhân
upon,trên
computer,máy tính
christ,Chúa Kitô
planet,hành tinh
promised,hứa
bus,xe buýt
henry,Henry
dirty,bẩn thỉu
search,tìm kiếm
staying,ở lại
dreams,giấc mơ
arrest,bắt giữ
holding,đang cầm
suddenly,đột nhiên
usually,thường xuyên
lots,rất nhiều
shoes,đôi giày
er,er
jump,nhảy
rid,loại bỏ
yo,yo
knock,cú đánh
owe,nợ
harry,Harry
grow,phát triển
worst,tồi tệ nhất
river,dòng sông
aunt,dì
patient,kiên nhẫn
kitchen,phòng bếp
aah,à
fat,mập
passed,đi qua
m,m
final,cuối cùng
summer,mùa hè
bob,bob
listening,nghe
escape,bỏ trốn
everywhere,khắp mọi nơi
moon,mặt trăng
arms,cánh tay
turns,lượt
address,Địa chỉ
ow,bây giờ
match,cuộc thi đấu
gasps,thở hổn hển
grand,lớn
yep,chuẩn rồi
shh,suỵt
nervous,lo lắng
de,của
choose,chọn
themselves,chính họ
decide,quyết định
mate,bạn
drinking,uống
press,nhấn
bother,làm phiền
foot,chân
hadn,đã không
blame,đổ tội
crap,đồ vớ vẩn
drugs,thuốc
type,kiểu
rings,nhẫn
mission,Sứ mệnh
named,được đặt tên
heaven,thiên đường
‘ii,‘ii
picked,đã chọn
paris,Paris
race,loài
risk,rủi ro
books,sách
further,hơn nữa
danny,Danny
action,hoạt động
allowed,cho phép
orders,đơn đặt hàng
learned,đã học được
price,giá
arrived,tới nơi
nick,Nick
otherwise,nếu không thì
pictures,hình ảnh
fit,phù hợp
smoke,khói
favor,sự ưu ái
played,đã chơi
notice,để ý
awesome,tuyệt vời
smile,nụ cười
director,giám đốc
guard,bảo vệ
begin,bắt đầu
spot,điểm
surprised,ngạc nhiên
innocent,vô tội
narrator,người kể chuyện
herself,chính mình
london,Luân Đôn
feelings,cảm xúc
enemy,kẻ thù
battle,trận đánh
ourselves,chính chúng ta
alex,Alex
dollars,đô la
allow,cho phép
nine,chín
gay,đồng tính nam
department,phòng
guilty,tội lỗi
apart,riêng biệt
earlier,trước đó
duty,nhiệm vụ
jim,Jim
suit,bộ đồ
bell,chuông
west,phía tây
legs,chân
hero,anh hùng
destroy,hủy hoại
stage,sân khấu
bunch,một nhóm
according,theo
chicken,thịt gà
bigger,lớn hơn
grunting,tiếng càu nhàu
low,thấp
helping,giúp đỡ
admit,thừa nhận
closed,đóng cửa
names,tên
witness,nhân chứng
upstairs,tầng trên
arm,cánh tay
steal,ăn cắp
jimmy,Jimmy
kick,đá
twice,hai lần
cross,đi qua
ways,cách
sergeant,trung sĩ
indeed,thực vậy
gas,khí
keeping,giữ
energy,năng lượng
pregnant,có thai
waste,rác thải
helped,giúp đỡ
fired,bị sa thải
favorite,yêu thích
tony,Tony
taste,nếm
locked,bị khóa
places,địa điểm
writing,viết
adam,Adam
brothers,anh em
starts,bắt đầu
prince,hoàng tử
form,hình thức
sold,đã bán
silly,ngớ ngẩn
mention,đề cập đến
build,xây dựng
throat,cổ họng
hole,hố
figured,đã tính toán
track,theo dõi
ringing,reo chuông
lock,khóa
leg,chân
above,bên trên
hiding,đang trốn
steve,Steve
seemed,có vẻ như
breakfast,bữa sáng
engine,động cơ
written,viết
complete,hoàn thành
video,băng hình
applause,tiếng vỗ tay
however,Tuy nhiên
pressure,áp lực
fresh,tươi
weapon,vũ khí
sky,bầu trời
ms.,bệnh đa xơ cứng.
stole,đã đánh cắp
study,học
burn,cháy
reading,đọc
crowd,đám đông
treat,đối xử
roll,cuộn
double,gấp đôi
spirit,tinh thần
danger,sự nguy hiểm
cost,trị giá
empty,trống
level,mức độ
memory,ký ức
itself,chính nó
acting,diễn xuất
interest,quan tâm
nose,mũi
plans,kế hoạch
following,tiếp theo
bathroom,phòng tắm
built,được xây dựng
closer,gần hơn
ray,tia
sarah,Sarah
band,ban nhạc
groans,tiếng rên rỉ
apparently,rõ ràng
excited,hào hứng
richard,Richard
losing,thua
animals,động vật
flight,chuyến bay
nature,thiên nhiên
raise,nâng lên
pop,nhạc pop
client,khách hàng
bomb,bom
neck,cổ
suspect,nghi ngờ
warm,ấm
extra,thêm
bottle,cái chai
van,xe tải
heavy,nặng
mommy,mẹ
dogs,chó
wild,hoang dã
ridiculous,lố bịch
simply,đơn giản
lee,Lee
animal,động vật
showed,đã cho thấy
billy,Billy
shooting,bắn súng
keeps,giữ
camp,trại
guns,súng
medical,thuộc về y học
shame,nỗi tủi nhục
hoping,hy vọng
whom,ai
bird,chim
majesty,sự uy nghiêm
flowers,hoa
famous,nổi tiếng
asleep,ngủ
beauty,sắc đẹp
driver,tài xế
keys,chìa khóa
rain,cơn mưa
awful,tồi tệ
large,lớn
local,địa phương
deserve,xứng đáng
goddamn,chết tiệt
stone,cục đá
jane,Jane
grace,duyên dáng
consider,coi như
weekend,ngày cuối tuần
wondering,tự hỏi
lay,đặt nằm
plenty,nhiều
willing,sẵn sàng
pants,quần dài
sweetheart,người yêu
skin,da
excellent,xuất sắc
asshole,đồ khốn nạn
beach,bãi biển
c,c
faith,sự tin tưởng
beg,ăn xin
fuckin,đồ khốn nạn
responsible,chịu trách nhiệm
military,quân đội
cheering,cổ vũ
opportunity,cơ hội
common,chung
bottom,đáy
german,tiếng Đức
whoever,bất cứ ai
cook,đầu bếp
walked,đi bộ
papers,bài báo
justice,công lý
hall,sảnh
commander,chỉ huy
drug,thuốc
main,chủ yếu
knife,dao
devil,quỷ dữ
necessary,cần thiết
although,mặc dù
princess,công chúa
lights,đèn
flying,bay
dick,tinh ranh
rose,hoa hồng
knowing,biết
clearly,rõ ràng
hat,mũ
agreed,đồng ý
johnny,Johnny
corner,góc
code,mã số
note,ghi chú
tommy,Tommy
due,quá hạn
correct,Chính xác
apologize,xin lỗi
language,ngôn ngữ
stars,ngôi sao
faster,nhanh hơn
cars,xe hơi
folks,mọi người
bullshit,vớ vẩn
i.,Tôi.
fellow,đồng nghiệp
several,một số
grandma,bà
shows,chương trình
leader,lãnh đạo
leaves,lá
restaurant,nhà hàng
east,phía đông
shouting,la hét
blind,mù
ghost,bóng ma
cup,tách
gotten,đã nhận được
tight,chặt
conversation,cuộc hội thoại
tells,kể
lies,nói dối
nor,cũng không
pulled,đã kéo
hanging,treo
speed,tốc độ
stories,những câu chuyện
health,sức khỏe
advice,khuyên bảo
held,cầm
uh-huh,ừ hừ
murdered,bị sát hại
beyond,vượt ra
rule,luật lệ
hardly,khắc nghiệt
possibly,có thể
inspector,thanh tra
cousin,anh em họ
trial,sự thử nghiệm
emergency,khẩn cấp
ought,nên
eddie,Eddie
somehow,bằng cách nào đó
hearing,nghe
states,các tiểu bang
account,tài khoản
spoke,đã nói
file,tài liệu
understood,hiểu
angel,thiên thần
tape,băng dính
milk,sữa
powerful,mạnh mẽ
weapons,vũ khí
practice,luyện tập
manager,giám đốc
pardon,xin thứ lỗi
vote,bỏ phiếu
jake,Jake
national,quốc gia
career,sự nghiệp
minister,bộ trưởng
super,siêu
taught,dạy
robert,Robert
biggest,lớn nhất
plays,vở kịch
natural,tự nhiên
dancing,nhảy múa
copy,bản sao
plus,cộng thêm
martin,Martin
cake,bánh ngọt
freedom,tự do
among,giữa
breath,hơi thở
operation,hoạt động
chris,Chris
crew,phi hành đoàn
challenge,thử thách
market,chợ
meat,thịt
towards,đối với
bringing,mang đến
dropped,rơi
student,học sinh
lied,nói dối
strength,sức mạnh
size,kích cỡ
breathe,thở
color,màu sắc
monster,quái vật
loud,ồn ào
photo,ảnh
aw,aw
nearly,gần như
sight,thị giác
greatest,tuyệt vời nhất
games,trò chơi
bridge,cầu
dressed,mặc quần áo
arrested,bắt giam
horrible,tệ hại
coach,huấn luyện viên
planning,lập kế hoạch
checked,đã kiểm tra
breaking,tin tức nóng hổi
noticed,đã nhận thấy
fantastic,tuyệt vời
screams,tiếng hét
serve,phục vụ
ideas,ý tưởng
investigation,cuộc điều tra
center,trung tâm
older,lớn hơn
pack,đóng gói
soldiers,binh lính
nonsense,vô nghĩa
doc,bác sĩ
project,dự án
training,đào tạo
example,ví dụ
trick,lừa
prepared,chuẩn bị
science,khoa học
united,thống nhất
travel,du lịch
incredible,đáng kinh ngạc
grandpa,ông nội
paying,trả tiền
character,tính cách
teeth,răng
criminal,tội phạm
charles,Charles
chinese,tiếng Trung
truly,thực sự
honestly,Thành thật
bro,người anh em
survive,tồn tại
bobby,Bobby
target,mục tiêu
feed,cho ăn
nurse,y tá
e,e
fake,giả mạo
records,hồ sơ
breathing,thở
sweetie,người yêu dấu
numbers,số
oil,dầu
suicide,tự tử
belong,thuộc về
whoo,ồ
perfectly,hoàn hảo
amy,Amy
forgotten,bị lãng quên
remain,duy trì
original,nguyên bản
papa,cha
onto,lên
concerned,lo âu
credit,tín dụng
ugh,ôi trời
invited,được mời
discuss,bàn luận
research,nghiên cứu
easier,dễ dàng hơn
view,xem
chair,ghế
hurts,đau
strike,đánh đập
roger,Roger
fill,đổ đầy
condition,tình trạng
mountain,núi
dr,bác sĩ
nowhere,hư không
sheriff,cảnh sát trưởng
kim,kim
turning,quay
brown,màu nâu
recognize,nhận ra
heads,đầu
audience,khán giả
‘all,'tất cả
jealous,ghen tị
pretend,giả vờ
society,xã hội
finding,tìm kiếm
shirt,áo sơ mi
comfortable,thoải mái
meaning,nghĩa
guest,khách mời
pieces,mảnh
dry,khô
letting,cho thuê
began,bắt đầu
aye,vâng
jeff,Jeff
female,nữ giới
release,giải phóng
ho,ho
cards,thẻ
pray,cầu nguyện
unfortunately,Không may
balls,bóng
destroyed,bị phá hủy
ended,kết thúc
universe,vũ trụ
prepare,chuẩn bị
opinion,ý kiến
movies,phim
soldier,lính
wash,rửa
program,chương trình
heat,nhiệt
usual,thường
ticket,vé
stolen,ăn cắp
prefer,thích hơn
aware,nhận thức
surely,chắc chắn
male,nam giới
base,căn cứ
matters,vấn đề
lift,thang máy
lab,phòng thí nghiệm
command,yêu cầu
proof,bằng chứng
cream,kem
selling,bán hàng
believed,tin rằng
create,tạo nên
h,h
afford,đủ khả năng
sunday,chủ nhật
total,tổng cộng
dumb,câm
threw,ném
france,nước Pháp
birth,sinh
created,tạo
realized,nhận ra
british,người Anh
noise,tiếng ồn
