you,คุณ
house,บ้าน
every,ทั้งหมด
ok,ตกลง
through,ผ่าน
being,สิ่งมีชีวิต
course,คอร์ส
stay,อยู่
left,ซ้าย
dad,พ่อ
enough,เพียงพอ
happened,เกิดขึ้น
came,มา
may,อาจ
mother,แม่
wrong,ผิด
world,โลก
bad,แย่
might,อาจ
three,สาม
today,วันนี้
listen,ฟัง
another,อื่น
understand,เข้าใจ
hear,ได้ยิน
remember,จดจำ
ask,ถาม
own,เป็นเจ้าของ
same,เดียวกัน
show,แสดง
else,อื่น
kill,ฆ่า
talking,การพูด
found,พบ
next,ต่อไป
getting,ได้รับ
care,การดูแล
car,รถ
looking,มอง
son,ลูกชาย
try,พยายาม
woman,ผู้หญิง
went,ไป
hi,สวัสดี
dead,ตาย
many,มากมาย
mind,จิตใจ
wasn,ไม่ใช่
friend,เพื่อน
best,ดีที่สุด
mom,แม่
hell,นรก
morning,เช้า
trying,การพยายาม
boy,เด็กผู้ชาย
together,ด้วยกัน
yourself,ตัวคุณเอง
job,งาน
saw,เลื่อย
family,ตระกูล
real,จริง
without,ปราศจาก
baby,ที่รัก
room,ห้อง
wouldn,จะไม่
already,เรียบร้อยแล้ว
move,เคลื่อนไหว
most,ที่สุด
seen,เห็น
live,สด
miss,นางสาว
actually,จริงๆ แล้ว
huh,ฮะ
shit,อึ
both,ทั้งคู่
heard,ได้ยิน
once,ครั้งหนึ่ง
ready,พร้อม
head,ศีรษะ
called,เรียกว่า
used,ใช้แล้ว
idea,ความคิด
knew,รู้
hold,ถือ
happy,มีความสุข
door,ประตู
such,เช่น
fuck,เหี้ย
brother,พี่ชาย
also,อีกด้วย
pretty,สวย
bit,นิดหน่อย
took,เอามา
haven,ที่พักพิง
yet,ยัง
men,ผู้ชาย
whole,ทั้งหมด
start,เริ่ม
use,ใช้
while,ในขณะที่
since,เนื่องจาก
wife,ภรรยา
days,วัน
guess,เดา
tomorrow,พรุ่งนี้
matter,วัตถุ
meet,พบปะ
bring,นำมา
tonight,คืนนี้
everyone,ทุกคน
run,วิ่ง
wanna,อยาก
hard,แข็ง
ah,อ่า
alone,ตามลำพัง
myself,ตัวฉันเอง
school,โรงเรียน
gone,ไปแล้ว
um,อืม
end,จบ
saying,พูดว่า
phone,โทรศัพท์
play,เล่น
looks,ดูเหมือน
couldn,ไม่สามารถ
fucking,เหี้ย
problem,ปัญหา
few,น้อย
friends,เพื่อน
gotta,ต้อง
ago,ที่ผ่านมา
open,เปิด
anyone,ใครก็ได้
killed,ถูกฆ่า
hope,หวัง
face,ใบหน้า
until,จนกระทั่ง
lost,สูญหาย
police,ตำรวจ
excuse,ขอโทษ
turn,เปลี่ยน
business,ธุรกิจ
case,กรณี
wants,ต้องการ
says,กล่าวว่า
true,จริง
die,ตาย
heart,หัวใจ
soon,เร็วๆ นี้
each,แต่ละ
worry,กังวล
later,ภายหลัง
year,ปี
watch,ดู
music,ดนตรี
hand,มือ
having,มี
probably,อาจจะ
beautiful,สวย
doctor,หมอ
sit,นั่ง
eat,กิน
thinking,กำลังคิด
young,หนุ่มสาว
second,ที่สอง
working,การทำงาน
water,น้ำ
person,บุคคล
part,ส่วนหนึ่ง
kids,เด็กๆ
late,ช้า
stuff,สิ่งของ
exactly,อย่างแน่นอน
under,ภายใต้
death,ความตาย
minute,นาที
pay,จ่าย
crazy,คลั่งไคล้
forget,ลืม
everybody,ทุกคน
kid,เด็ก
change,เปลี่ยน
gave,ให้
happen,เกิดขึ้น
damn,สาปแช่ง
five,ห้า
drink,ดื่ม
far,ไกล
knows,รู้
its,ของมัน
whatever,อะไรก็ตาม
eyes,ดวงตา
shut,ปิด
aren,อาเรน
hit,ตี
taking,การเอาไป
easy,ง่าย
times,ครั้ง
check,ตรวจสอบ
hands,มือ
minutes,นาที
deal,ข้อเสนอ
different,แตกต่าง
means,วิธี
point,จุด
inside,ข้างใน
makes,ทำให้
asked,ถาม
somebody,ใครบางคน
mine,ของฉัน
making,การทำ
body,ร่างกาย
afraid,เกรงกลัว
sleep,นอน
chance,โอกาส
dear,ที่รัก
quite,ค่อนข้าง
four,สี่
anyway,ถึงอย่างไร
close,ปิด
ain,เอน
party,งานสังสรรค์
fun,สนุก
against,ขัดต่อ
word,คำ
comes,มา
important,สำคัญ
set,ชุด
shall,จะ
story,เรื่องราว
number,ตัวเลข
daughter,ลูกสาว
least,น้อยที่สุด
waiting,ซึ่งรอคอย
hurt,เจ็บ
wish,ปรารถนา
moment,ช่วงเวลา
fight,ต่อสู้
week,สัปดาห์
husband,สามี
girls,เด็กผู้หญิง
rest,พักผ่อน
married,แต่งงานแล้ว
fire,ไฟ
game,เกม
nobody,ไม่มีใคร
mr,นาย
children,เด็ก
side,ด้านข้าง
stand,ยืน
read,อ่าน
though,แม้ว่า
cut,ตัด
started,เริ่ม
sister,น้องสาว
supposed,ที่ควร
between,ระหว่าง
child,เด็ก
goes,ไป
hours,ชั่วโมง
speak,พูด
women,ผู้หญิง
behind,ด้านหลัง
almost,เกือบ
truth,ความจริง
blood,เลือด
able,สามารถ
lady,ผู้หญิง
anymore,อีกต่อไป
playing,เล่น
gets,ได้รับ
shot,ยิง
reason,เหตุผล
trouble,ปัญหา
break,หยุดพัก
war,สงคราม
city,เมือง
walk,เดิน
town,เมือง
trust,เชื่อมั่น
dr.,ดร.
met,พบกัน
office,สำนักงาน
question,คำถาม
brought,นำมา
yours,ของคุณ
welcome,ยินดีต้อนรับ
high,สูง
wow,ว้าว
couple,คู่
half,ครึ่ง
died,เสียชีวิต
cool,เย็น
free,ฟรี
either,ทั้ง
seems,ดูเหมือนว่า
power,พลัง
whoa,ว้าว
bye,ลาก่อน
buy,ซื้อ
telling,บอกเล่า
honey,น้ำผึ้ง
tried,พยายาม
front,ด้านหน้า
team,ทีม
answer,คำตอบ
gun,ปืน
boys,เด็กผู้ชาย
line,เส้น
send,ส่ง
news,ข่าว
stupid,โง่
bed,เตียง
hurry,รีบ
full,เต็ม
months,หลายเดือน
save,บันทึก
sometimes,บางครั้ง
become,กลายเป็น
along,ตาม
hate,เกลียด
food,อาหาร
outside,ข้างนอก
light,แสงสว่าง
l,ล
needs,ความต้องการ
dog,สุนัข
country,ประเทศ
clear,ชัดเจน
order,คำสั่ง
em,เอ็ม
fact,ข้อเท็จจริง
lord,ท่านลอร์ด
captain,กัปตัน
six,หก
hot,ร้อน
funny,ตลก
black,สีดำ
mrs.,นาง.
alive,มีชีวิตอยู่
pick,เลือก
feeling,ความรู้สึก
living,การดำรงชีวิต
cause,สาเหตุ
ahead,ข้างหน้า
lose,สูญเสีย
king,กษัตริย์
plan,วางแผน
dinner,อาหารเย็น
sighs,ถอนหายใจ
sort,เรียงลำดับ
leaving,ออกจาก
shouldn,ไม่ควร
running,วิ่ง
boss,เจ้านาย
alright,ใช้ได้
promise,สัญญา
taken,ถ่าย
safe,ปลอดภัย
ma,มา
book,หนังสือ
sent,ส่งแล้ว
white,สีขาว
hour,ชั่วโมง
anybody,ใครก็ได้
small,เล็ก
perfect,สมบูรณ์แบบ
‘cause,'สาเหตุ
lives,ชีวิต
special,พิเศษ
parents,ผู้ปกครอง
s,ส
john,จอห์น
himself,ตัวเขาเอง
perhaps,บางที
sounds,เสียง
serious,จริงจัง
sick,ป่วย
company,บริษัท
ha,ฮา
scared,กลัว
uncle,ลุง
poor,ยากจน
red,สีแดง
past,อดีต
earth,โลก
possible,เป็นไปได้
shoot,ยิง
touch,สัมผัส
sound,เสียง
top,สูงสุด
ass,ก้น
laughs,เสียงหัวเราะ
cannot,ไม่สามารถ
asking,ถาม
win,ชนะ
glad,ยินดี
control,ควบคุม
hmm,อืม
human,มนุษย์
drive,ขับ
hair,ผม
jack,แจ็ค
bitch,อีตัว
luck,โชค
murder,ฆาตกรรม
happens,เกิดขึ้น
air,อากาศ
ten,สิบ
daddy,พ่อ
finally,ในที่สุด
chuckles,หัวเราะคิกคัก
fast,เร็ว
cold,เย็น
seem,ดูเหมือน
laughing,หัวเราะ
words,คำ
hospital,โรงพยาบาล
street,ถนน
hang,แขวน
dance,เต้นรำ
meeting,การประชุม
till,จนถึง
others,คนอื่น
catch,จับ
follow,ติดตาม
sense,ความรู้สึก
sex,เพศ
lie,โกหก
evening,ตอนเย็น
master,ผู้เชี่ยวชาญ
known,เป็นที่รู้จัก
dream,ฝัน
write,เขียน
million,ล้าน
voice,เสียง
sweet,หวาน
rather,ค่อนข้าง
felt,รู้สึก
sign,เข้าสู่ระบบ
lucky,โชคดี
somewhere,ที่ไหนสักแห่ง
bet,เดิมพัน
o,โอ
jesus,พระเยซู
longer,นานกว่า
calling,การโทร
worked,ทำงาน
quiet,เงียบ
looked,มอง
less,น้อย
pull,ดึง
beat,ตี
careful,ระมัดระวัง
coffee,กาแฟ
return,กลับ
secret,ความลับ
weeks,สัปดาห์
weren,ไม่ใช่
date,วันที่
seeing,เห็น
fall,ตก
given,ที่ให้ไว้
ooh,โอ้
fault,ความผิดพลาด
straight,ตรง
takes,นำไป
song,เพลง
future,อนาคต
gentlemen,สุภาพบุรุษ
loved,รัก
changed,เปลี่ยน
road,ถนน
calm,เงียบสงบ
wonderful,มหัศจรรย์
mad,โกรธ
turned,หัน
drop,หยด
ladies,สุภาพสตรี
learn,เรียนรู้
step,ขั้นตอน
absolutely,อย่างแน่นอน
early,แต่แรก
explain,อธิบาย
clean,ทำความสะอาด
piece,ชิ้นส่วน
yesterday,เมื่อวาน
throw,โยน
picture,รูปภาพ
land,ที่ดิน
feet,เท้า
wonder,สิ่งมหัศจรรย์
questions,คำถาม
speaking,พูด
worth,คุณค่า
darling,ที่รัก
dude,เพื่อน
giving,การให้
president,ประธาน
eye,ดวงตา
quick,เร็ว
moving,ย้าย
figure,รูป
state,สถานะ
strong,แข็งแกร่ง
sam,แซม
none,ไม่มี
amazing,อัศจรรย์
ones,หนึ่ง
works,งาน
act,กระทำ
needed,จำเป็น
weird,แปลก
law,กฎ
worried,กังวล
report,รายงาน
goodbye,ลาก่อน
missing,หายไป
choice,ทางเลือก
happening,กำลังเกิดขึ้น
chief,หัวหน้า
wedding,งานแต่งงาน
strange,แปลก
general,ทั่วไป
pain,ความเจ็บปวด
‘am,'เช้า
kidding,ล้อเล่น
decided,ตัดสินใจแล้ว
ya,ยา
pass,ผ่าน
tired,เหนื่อย
class,ระดับ
officer,เจ้าหน้าที่
kept,เก็บไว้
wake,ปลุก
worse,แย่ลง
busy,ยุ่ง
eh,เอ่อ
mistake,ความผิดพลาด
kiss,จูบ
court,ศาล
building,อาคาร
finish,เสร็จ
during,ในระหว่าง
age,อายุ
ship,เรือ
caught,จับได้
marry,แต่งงาน
meant,หมายถึง
sell,ขาย
dark,มืด
watching,การรับชม
system,ระบบ
suppose,สมมติ
evidence,หลักฐาน
movie,ภาพยนตร์
ride,ขี่
t,ที
completely,อย่างสมบูรณ์
mouth,ปาก
totally,โดยสิ้นเชิง
birthday,วันเกิด
tv,ทีวี
forgive,ให้อภัย
born,เกิด
imagine,จินตนาการ
information,ข้อมูล
instead,แทน
definitely,อย่างแน่นอน
security,ความปลอดภัย
certainly,แน่นอน
film,ฟิล์ม
month,เดือน
lying,โกหก
unless,เว้นเสียแต่ว่า
train,รถไฟ
seven,เจ็ด
wear,สวมใส่
clothes,เสื้อผ้า
michael,ไมเคิล
hotel,โรงแรม
christmas,คริสต์มาส
attack,จู่โจม
hasn,ไม่มี
round,กลม
expect,คาดหวัง
sing,ร้องเพลง
terrible,ย่ำแย่
george,จอร์จ
bag,ถุง
history,ประวัติศาสตร์
blue,สีฟ้า
near,ใกล้
broke,แตกหัก
station,สถานี
seriously,อย่างจริงจัง
forever,ตลอดไป
david,เดวิด
frank,แฟรงค์
except,ยกเว้น
thinks,คิดว่า
message,ข้อความ
entire,ทั้งหมด
joe,โจ
table,โต๊ะ
talked,พูดคุย
across,ข้าม
rock,หิน
lovely,น่ารัก
handle,รับมือ
middle,กลาง
buddy,เพื่อน
paid,จ่าย
protect,ปกป้อง
using,โดยใช้
floor,พื้น
ran,วิ่ง
swear,สาบาน
spend,ใช้จ่าย
situation,สถานการณ์
ring,แหวน
anywhere,ที่ไหนก็ได้
dangerous,อันตราย
bill,ใบแจ้งหนี้
york,ยอร์ก
army,กองทัพ
lead,ตะกั่ว
bought,ซื้อแล้ว
finished,ที่เสร็จเรียบร้อย
fair,ยุติธรรม
sun,ดวงอาทิตย์
letter,จดหมาย
fool,คนโง่
attention,ความสนใจ
club,สโมสร
simple,เรียบง่าย
interesting,น่าสนใจ
space,ช่องว่าง
test,ทดสอบ
box,กล่อง
group,กลุ่ม
single,เดี่ยว
sitting,นั่ง
marriage,การแต่งงาน
join,เข้าร่วม
fear,กลัว
d,ง
peace,ความสงบ
forgot,ลืม
force,บังคับ
short,สั้น
normal,ปกติ
charlie,ชาร์ลี
present,ปัจจุบัน
enjoy,สนุก
mike,ไมค์
crime,อาชญากรรม
horse,ม้า
ground,พื้น
american,อเมริกัน
count,นับ
area,พื้นที่
charge,ค่าใช้จ่าย
honor,ให้เกียรติ
lunch,อาหารกลางวัน
miles,ไมล์
radio,วิทยุ
idiot,งี่เง่า
ball,ลูกบอล
surprise,เซอร์ไพรส์
paper,กระดาษ
key,สำคัญ
boat,เรือ
quickly,อย่างรวดเร็ว
gold,ทอง
bar,บาร์
fish,ปลา
mark,เครื่องหมาย
tom,ทอม
wearing,น่าเหนื่อยหน่าย
crying,ร้องไห้
accident,อุบัติเหตุ
government,รัฐบาล
eight,แปด
fell,ล้ม
cover,ปิดบัง
certain,แน่ใจ
interested,สนใจ
deep,ลึก
star,ดาว
sea,ทะเล
agree,เห็นด้วย
problems,ปัญหา
detective,นักสืบ
prison,คุก
major,วิชาเอก
stick,ติด
offer,เสนอ
difficult,ยาก
smart,ปราดเปรื่อง
personal,ส่วนตัว
record,บันทึก
stopped,หยุด
hide,ซ่อน
whether,ไม่ว่า
bank,ธนาคาร
trip,การเดินทาง
relax,ผ่อนคลาย
america,อเมริกา
public,สาธารณะ
list,รายการ
afternoon,ตอนบ่าย
brain,สมอง
fix,แก้ไข
bastard,ไอ้สารเลว
proud,ภูมิใจ
tea,ชา
service,บริการ
screaming,กรีดร้อง
forward,ซึ่งไปข้างหน้า
angry,โกรธ
park,สวน
soul,วิญญาณ
fighting,การต่อสู้
peter,ปีเตอร์
rich,รวย
agent,ตัวแทน
blow,เป่า
paul,พอล
dress,ชุด
mary,แมรี่
missed,พลาด
scene,ฉาก
killing,การฆ่า
standing,ยืน
saved,บันทึกแล้ว
mm,มม.
respect,เคารพ
killer,นักฆ่า
ice,น้ำแข็ง
mess,ความยุ่งเหยิง
tough,ยาก
feels,รู้สึก
church,คริสตจักร
sad,เศร้า
cell,เซลล์
drunk,เมา
share,แบ่งปัน
camera,กล้อง
mm-hmm,อืม-ฮึม
within,ภายใน
card,การ์ด
fly,บิน
ben,เบน
girlfriend,แฟน
laugh,หัวเราะ
smell,กลิ่น
broken,แตกหัก
mum,แม่
honest,ซื่อสัตย์
often,บ่อยครั้ง
starting,เริ่มต้น
calls,การโทร
y,y
spent,ค่าใช้จ่าย
third,ที่สาม
english,ภาษาอังกฤษ
visit,เยี่ยม
mama,แม่
judge,ผู้พิพากษา
window,หน้าต่าง
hungry,หิว
dare,กล้า
relationship,ความสัมพันธ์
moved,ย้ายแล้ว
prove,พิสูจน์
private,ส่วนตัว
wall,กำแพง
seat,ที่นั่ง
i-i,ไอ-ไอ
position,ตำแหน่ง
lieutenant,ร้อยโท
realize,ตระหนัก
lt,lt
especially,โดยเฉพาะ
machine,เครื่องจักร
walking,เดิน
art,ศิลปะ
pleasure,ความพึงพอใจ
bloody,เลือด
college,วิทยาลัย
french,ภาษาฝรั่งเศส
involved,ที่เกี่ยวข้อง
cry,ร้องไห้
became,กลายเป็น
lived,อาศัยอยู่
impossible,เป็นไปไม่ได้
obviously,อย่างชัดเจน
neither,ไม่ใช่ทั้งสองอย่าง
accept,ยอมรับ
boyfriend,แฟน
besides,นอกจาก
queen,ราชินี
teacher,ครู
cops,ตำรวจ
sake,สาเก
loves,รัก
carry,พก
teach,สอน
apartment,อพาร์ตเมนต์
upset,อารมณ์เสีย
green,สีเขียว
la,ลา
liked,ชอบ
cute,น่ารัก
evil,ความชั่วร้าย
professor,ศาสตราจารย์
contact,ติดต่อ
joke,เรื่องตลก
cop,ตำรวจ
huge,ใหญ่
holy,ศักดิ์สิทธิ์
store,เก็บ
jail,คุก
likes,ไลค์
lawyer,ทนายความ
doubt,สงสัย
continue,ดำเนินการต่อ
appreciate,ชื่นชม
cat,แมว
shop,ร้านค้า
driving,การขับรถ
congratulations,ยินดีด้วย
wrote,เขียน
village,หมู่บ้าน
quit,ล้มเลิก
field,สนาม
james,เจมส์
wine,ไวน์
decision,การตัดสินใจ
south,ใต้
sleeping,นอนหลับ
slow,ช้า
laughter,เสียงหัวเราะ
island,เกาะ
glass,กระจก
beginning,จุดเริ่มต้น
cash,เงินสด
dying,กำลังจะตาย
hundred,ร้อย
whose,ของใคร
difference,ความแตกต่าง
plane,เครื่องบิน
push,ดัน
continues,ต่อเนื่อง
mmm,อืมมม
singing,ร้องเพลง
eating,การกิน
north,ทิศเหนือ
mrs,นาง
tree,ต้นไม้
madam,คุณผู้หญิง
gift,ของขวัญ
truck,รถบรรทุก
putting,การวาง
bear,หมี
board,กระดาน
grab,คว้า
beer,เบียร์
stuck,ติดอยู่
magic,เวทมนตร์
support,สนับสนุน
rules,กฎ
grunts,เสียงคราง
partner,พันธมิตร
reach,เข้าถึง
wind,ลม
colonel,พันเอก
max,สูงสุด
immediately,โดยทันที
seconds,วินาที
thousand,พัน
gives,ให้
experience,ประสบการณ์
cheers,ไชโย
victim,เหยื่อ
upon,เมื่อ
computer,คอมพิวเตอร์
christ,พระคริสต์
planet,ดาวเคราะห์
promised,สัญญา
bus,รสบัส
henry,เฮนรี่
dirty,สกปรก
search,ค้นหา
staying,พักอยู่
dreams,ความฝัน
arrest,จับกุม
holding,การถือ
suddenly,กะทันหัน
usually,โดยปกติ
lots,มากมาย
shoes,รองเท้า
er,เออร์
jump,กระโดด
rid,กำจัด
yo,โย
knock,เคาะ
owe,เป็นหนี้
harry,แฮร์รี่
grow,เติบโต
worst,แย่ที่สุด
river,แม่น้ำ
aunt,ป้า
patient,อดทน
kitchen,ครัว
aah,อ่า
fat,อ้วน
passed,ผ่าน
m,ม
final,สุดท้าย
summer,ฤดูร้อน
bob,บ็อบ
listening,การฟัง
escape,หนี
everywhere,ทุกที่
moon,ดวงจันทร์
arms,แขน
turns,เลี้ยว
address,ที่อยู่
ow,โอ๊ย
match,จับคู่
gasps,หายใจหอบ
grand,แกรนด์
yep,ใช่
shh,ชู่ว
nervous,ประหม่า
de,เดอ
choose,เลือก
themselves,ตัวพวกเขาเอง
decide,ตัดสินใจ
mate,เพื่อน
drinking,ดื่ม
press,กด
bother,รบกวน
foot,เท้า
hadn,ยังไม่ได้
blame,ตำหนิ
crap,อึ
drugs,ยาเสพติด
type,พิมพ์
rings,แหวน
mission,ภารกิจ
named,ชื่อ
heaven,สวรรค์
‘ii,‘ii
picked,เลือก
paris,ปารีส
race,แข่ง
risk,เสี่ยง
books,หนังสือ
further,ไกลออกไป
danny,แดนนี่
action,การกระทำ
allowed,อนุญาต
orders,คำสั่งซื้อ
learned,เรียนรู้
price,ราคา
arrived,มาถึงแล้ว
nick,นิค
otherwise,มิฉะนั้น
pictures,รูปภาพ
fit,พอดี
smoke,ควัน
favor,ความโปรดปราน
played,เล่น
notice,สังเกต
awesome,สุดยอด
smile,รอยยิ้ม
director,ผู้อำนวยการ
guard,อารักขา
begin,เริ่ม
spot,จุด
surprised,น่าประหลาดใจ
innocent,ผู้บริสุทธิ์
narrator,ผู้บรรยาย
herself,ตัวเธอเอง
london,ลอนดอน
feelings,ความรู้สึก
enemy,ศัตรู
battle,การต่อสู้
ourselves,ตัวเราเอง
alex,อเล็กซ์
dollars,ดอลลาร์
allow,อนุญาต
nine,เก้า
gay,เกย์
department,แผนก
guilty,รู้สึกผิด
apart,ห่างกัน
earlier,ก่อนหน้านี้
duty,หน้าที่
jim,จิม
suit,สูท
bell,กระดิ่ง
west,ตะวันตก
legs,ขา
hero,ฮีโร่
destroy,ทำลาย
stage,เวที
bunch,กลุ่ม
according,ตาม
chicken,ไก่
bigger,ใหญ่กว่า
grunting,ส่งเสียงคราง
low,ต่ำ
helping,การช่วยเหลือ
admit,ยอมรับ
closed,ปิด
names,ชื่อ
witness,พยาน
upstairs,ชั้นบน
arm,แขน
steal,ขโมย
jimmy,จิมมี่
kick,เตะ
twice,สองครั้ง
cross,ข้าม
ways,วิธี
sergeant,จ่า
indeed,อย่างแท้จริง
gas,แก๊ส
keeping,การเก็บรักษา
energy,พลังงาน
pregnant,ตั้งครรภ์
waste,ของเสีย
helped,ช่วย
fired,ไล่ออก
favorite,ที่ชื่นชอบ
tony,โทนี่
taste,รสชาติ
locked,ล็อก
places,สถานที่
writing,การเขียน
adam,อดัม
brothers,พี่น้อง
starts,เริ่มต้น
prince,เจ้าชาย
form,รูปร่าง
sold,ขายแล้ว
silly,โง่
mention,กล่าวถึง
build,สร้าง
throat,คอ
hole,รู
figured,คิด
track,ติดตาม
ringing,เสียงเรียกเข้า
lock,ล็อค
leg,ขา
above,ข้างบน
hiding,ซ่อน
steve,สตีฟ
seemed,ดูเหมือนว่า
breakfast,อาหารเช้า
engine,เครื่องยนต์
written,เขียนไว้
complete,สมบูรณ์
video,วิดีโอ
applause,เสียงปรบมือ
however,อย่างไรก็ตาม
pressure,ความดัน
fresh,สด
weapon,อาวุธ
sky,ท้องฟ้า
ms.,นางสาว
stole,ขโมย
study,ศึกษา
burn,เผา
reading,การอ่าน
crowd,ฝูงชน
treat,รักษา
roll,ม้วน
double,สองเท่า
spirit,วิญญาณ
danger,อันตราย
cost,ค่าใช้จ่าย
empty,ว่างเปล่า
level,ระดับ
memory,หน่วยความจำ
itself,ตัวมันเอง
acting,การแสดง
interest,ความสนใจ
nose,จมูก
plans,แผนการ
following,กำลังติดตาม
bathroom,ห้องน้ำ
built,สร้าง
closer,ใกล้กว่า
ray,เรย์
sarah,ซาร่าห์
band,วงดนตรี
groans,เสียงคราง
apparently,เห็นได้ชัดว่า
excited,ตื่นเต้น
richard,ริชาร์ด
losing,แพ้
animals,สัตว์
flight,เที่ยวบิน
nature,ธรรมชาติ
raise,ยก
pop,โผล่
client,ลูกค้า
bomb,ระเบิด
neck,คอ
suspect,สงสัย
warm,อบอุ่น
extra,พิเศษ
bottle,ขวด
van,รถตู้
heavy,หนัก
mommy,แม่
dogs,สุนัข
wild,ป่า
ridiculous,น่าขัน
simply,อย่างง่าย
lee,ลี
animal,สัตว์
showed,แสดงให้เห็น
billy,บิลลี่
shooting,การยิง
keeps,เก็บ
camp,ค่าย
guns,ปืน
medical,ทางการแพทย์
shame,ความอัปยศ
hoping,หวังว่า
whom,ใคร
bird,นก
majesty,พระมหากษัตริย์
flowers,ดอกไม้
famous,มีชื่อเสียง
asleep,นอนหลับ
beauty,ความงาม
driver,คนขับ
keys,กุญแจ
rain,ฝน
awful,แย่มาก
large,ใหญ่
local,ท้องถิ่น
deserve,สมควรได้รับ
goddamn,โธ่เอ๊ย
stone,หิน
jane,เจน
grace,พระคุณ
consider,พิจารณา
weekend,สุดสัปดาห์
wondering,สงสัย
lay,วาง
plenty,มากมาย
willing,เต็มใจ
pants,กางเกง
sweetheart,หวานใจ
skin,ผิว
excellent,ยอดเยี่ยม
asshole,ไอ้เหี้ย
beach,ชายหาด
c,ค
faith,ศรัทธา
beg,ขอ
fuckin,เหี้ย
responsible,รับผิดชอบ
military,ทหาร
cheering,การเชียร์
opportunity,โอกาส
common,ทั่วไป
bottom,ด้านล่าง
german,เยอรมัน
whoever,ใครก็ตาม
cook,ทำอาหาร
walked,เดิน
papers,เอกสาร
justice,ความยุติธรรม
hall,ห้องโถง
commander,ผู้บัญชาการ
drug,ยา
main,หลัก
knife,มีด
devil,ปีศาจ
necessary,จำเป็น
although,แม้ว่า
princess,เจ้าหญิง
lights,ไฟ
flying,การบิน
dick,กระเจี๊ยว
rose,ดอกกุหลาบ
knowing,การรู้
clearly,ชัดเจน
hat,หมวก
agreed,เห็นด้วย
johnny,จอห์นนี่
corner,มุม
