you,ты
stuff,вещи
exactly,точно
under,под
death,смерть
minute,минута
pay,платить
crazy,сумасшедший
forget,забывать
everybody,все
kid,ребенок
change,изменять
gave,отдал
happen,случаться
damn,проклятие
five,пять
drink,напиток
far,далеко
knows,знает
its,его
whatever,что бы ни
eyes,глаза
shut,закрыть
aren,ар
hit,ударять
taking,принимая
easy,легкий
times,времена
check,проверять
hands,руки
minutes,минут
deal,иметь дело
different,другой
means,означает
point,точка
inside,внутри
makes,делает
asked,спросил
somebody,кто-нибудь
mine,мой
making,изготовление
body,тело
afraid,испуганный
sleep,спать
chance,шанс
dear,дорогой
quite,довольно
four,четыре
anyway,в любом случае
close,закрывать
ain,айн
party,вечеринка
fun,веселье
against,против
word,слово
comes,приходит
important,важный
set,набор
shall,должен
story,история
number,число
daughter,дочь
least,наименее
waiting,ожидающий
hurt,повредить
wish,желание
moment,момент
fight,драться
week,неделя
husband,муж
girls,девушки
rest,отдых
married,женатый
fire,огонь
game,игра
nobody,никто
mr,Мистер
children,дети
side,сторона
stand,стоять
read,читать
though,хотя
cut,резать
started,начал
sister,сестра
supposed,предполагаемый
between,между
child,ребенок
goes,идет
hours,часы
speak,говорить
women,женщины
behind,позади
almost,почти
truth,правда
blood,кровь
able,способный
lady,леди
anymore,больше
playing,играя
gets,получает
shot,выстрелил
reason,причина
trouble,беда
break,перерыв
war,война
city,город
walk,ходить
town,город
trust,доверять
dr.,д-р.
met,встретил
office,офис
question,вопрос
brought,принес
yours,ваши
welcome,добро пожаловать
high,высокий
wow,ух ты
couple,пара
half,половина
died,умер
cool,прохладный
free,бесплатно
either,или
seems,кажется
power,власть
whoa,вау
bye,пока
buy,купить
telling,рассказывая
honey,мед
tried,пытался
front,передний
team,команда
answer,отвечать
gun,пистолет
boys,мальчики
line,линия
send,отправлять
news,новости
stupid,глупый
bed,кровать
hurry,торопиться
full,полный
months,месяцев
save,сохранять
sometimes,иногда
become,становиться
along,вдоль
hate,ненавидеть
food,еда
outside,снаружи
light,свет
l,л
needs,потребности
dog,собака
country,страна
clear,прозрачный
order,заказ
em,Эм
fact,факт
lord,господин
captain,капитан
six,шесть
hot,горячий
funny,забавный
black,черный
mrs.,Миссис.
alive,живой
pick,выбирать
feeling,чувство
living,жизнь
cause,причина
ahead,предстоящий
lose,терять
king,король
plan,план
dinner,ужин
sighs,вздыхает
sort,сортировка
leaving,уход
shouldn,не следует
running,бег
boss,босс
alright,хорошо
promise,обещать
taken,взятый
safe,безопасный
ma,ма
book,книга
sent,отправил
white,белый
hour,час
anybody,кто-нибудь
small,маленький
perfect,идеальный
‘cause,'причина
lives,жизни
special,особенный
parents,родители
s,с
john,Джон
himself,сам
perhaps,возможно
sounds,звуки
serious,серьезный
sick,больной
company,компания
ha,ха
scared,испуганный
uncle,дядя
poor,бедный
red,красный
past,прошлое
earth,земля
possible,возможный
shoot,стрелять
touch,трогать
sound,звук
top,вершина
ass,жопа
laughs,смеется
cannot,не может
asking,спрашивая
win,победить
glad,радостный
control,контроль
hmm,хм
human,человек
drive,водить машину
hair,волосы
jack,Джек
bitch,сука
luck,удача
murder,убийство
happens,случается
air,воздух
ten,десять
daddy,папочка
finally,окончательно
chuckles,хихикает
fast,быстрый
cold,холодный
seem,казаться
laughing,смех
words,слова
hospital,больница
street,улица
hang,вешать
dance,танец
meeting,встреча
till,до
others,другие
catch,ловить
follow,следовать
sense,смысл
sex,секс
lie,ложь
evening,вечер
master,владелец
known,известный
dream,мечтать
write,писать
million,миллион
voice,голос
sweet,сладкий
rather,скорее
felt,чувствовал себя
sign,знак
lucky,удачливый
somewhere,где-то
bet,ставка
o,о
jesus,Иисус
longer,дольше
calling,звонок
worked,работал
quiet,тихий
looked,посмотрел
less,меньше
pull,тянуть
beat,бить
careful,осторожный
coffee,кофе
return,возвращаться
secret,секрет
weeks,недели
weren,были
date,дата
seeing,видя
fall,падать
given,данный
ooh,ооо
fault,вина
straight,прямой
takes,берет
song,песня
future,будущее
gentlemen,господа
loved,любил
changed,измененный
road,дорога
calm,спокойствие
wonderful,замечательный
mad,безумный
turned,повернулся
drop,уронить
ladies,дамы
learn,учиться
step,шаг
absolutely,абсолютно
early,рано
explain,объяснять
clean,чистый
piece,кусок
yesterday,вчера
throw,бросать
picture,картина
land,земля
feet,ноги
wonder,удивляться
questions,вопросы
speaking,Говорящий
worth,ценность
darling,милый
dude,чувак
giving,дарение
president,президент
eye,глаз
quick,быстрый
moving,движущийся
figure,фигура
state,состояние
strong,сильный
sam,Сэм
none,никто
amazing,удивительный
ones,те
works,работы
act,действовать
needed,нужный
weird,странный
law,закон
worried,волновался
report,отчет
goodbye,до свидания
missing,отсутствующий
choice,выбор
happening,происходит
chief,главный
wedding,свадьба
strange,странный
general,общий
pain,боль
‘am,'являюсь
kidding,шутя
decided,решенный
ya,я
pass,проходить
tired,усталый
class,сорт
officer,офицер
kept,сохранил
wake,будить
worse,худший
busy,занятый
eh,эх
mistake,ошибка
kiss,целовать
court,суд
building,здание
finish,заканчивать
during,в течение
age,возраст
ship,корабль
caught,пойманный
marry,жениться
meant,имел в виду
sell,продавать
dark,темный
watching,смотреть
system,система
suppose,предполагать
evidence,доказательство
movie,фильм
ride,поездка
t,т
completely,полностью
mouth,рот
totally,полностью
birthday,день рождения
tv,телевизор
forgive,простить
born,рожденный
imagine,представлять себе
information,информация
instead,вместо
definitely,определенно
security,безопасность
certainly,конечно
film,фильм
month,месяц
lying,врущий
unless,пока не
train,тренироваться
seven,Семь
wear,носить
clothes,одежда
michael,Майкл
hotel,отель
christmas,Рождество
attack,атака
hasn,хасн
round,круглый
expect,ожидать
sing,петь
terrible,ужасный
george,Джордж
bag,сумка
history,история
blue,синий
near,около
broke,сломанный
station,станция
seriously,серьезно
forever,навсегда
david,Дэйвид
frank,откровенный
except,кроме
thinks,думает
message,сообщение
entire,весь
joe,Джо
table,стол
talked,поговорил
across,через
rock,камень
lovely,прекрасный
handle,ручка
middle,середина
buddy,приятель
paid,оплаченный
protect,защищать
using,с использованием
floor,пол
ran,бежал
swear,ругаться
spend,тратить
situation,ситуация
ring,кольцо
anywhere,где угодно
dangerous,опасный
bill,счет
york,Йорк
army,армия
lead,вести
bought,купил
finished,законченный
fair,справедливый
sun,солнце
letter,письмо
fool,дурак
attention,внимание
club,клуб
simple,простой
interesting,интересный
space,космос
test,тест
box,коробка
group,группа
single,одинокий
sitting,сидя
marriage,свадьба
join,присоединиться
fear,страх
d,д
peace,мир
forgot,забыл
force,сила
short,короткий
normal,нормальный
charlie,Чарли
present,подарок
enjoy,наслаждаться
mike,Майк
crime,преступление
horse,лошадь
ground,земля
american,американский
count,считать
area,область
charge,заряжать
honor,честь
lunch,обед
miles,мили
radio,радио
idiot,идиот
ball,мяч
surprise,сюрприз
paper,бумага
key,ключ
boat,лодка
quickly,быстро
gold,золото
bar,бар
fish,рыба
mark,отметка
tom,Том
wearing,утомительный
crying,плач
accident,несчастный случай
government,правительство
eight,восемь
fell,упал
cover,крышка
certain,определенный
interested,заинтересованный
deep,глубокий
star,звезда
sea,море
agree,соглашаться
problems,проблемы
detective,детектив
prison,тюрьма
major,главный
stick,палка
offer,предложение
difficult,трудный
smart,умный
personal,личный
record,записывать
stopped,остановился
hide,скрывать
whether,ли
bank,банк
trip,путешествие
relax,расслабляться
america,Америка
public,публичный
list,список
afternoon,полдень
brain,мозг
fix,исправить
bastard,сволочь
proud,гордый
tea,чай
service,услуга
screaming,крик
forward,вперед
angry,злой
park,парк
soul,душа
fighting,бой
peter,Питер
rich,богатый
agent,агент
blow,дуть
paul,Пол
dress,одеваться
mary,Мэри
missed,пропущенный
scene,сцена
killing,убийство
standing,стоя
saved,сохранено
mm,мм
respect,уважать
killer,убийца
ice,лед
mess,беспорядок
tough,жесткий
feels,чувства
church,церковь
sad,грустно
cell,клетка
drunk,пьяный
share,делиться
camera,камера
mm-hmm,мм-хмм
within,в пределах
card,карта
fly,летать
ben,Бен
girlfriend,девушка
laugh,смех
smell,запах
broken,сломанный
mum,мама
honest,честный
often,часто
starting,начало
calls,звонки
y,й
spent,потраченный
third,третий
english,английский
visit,посещать
mama,мама
judge,судить
window,окно
hungry,голодный
dare,осмелиться
relationship,отношение
moved,взолнованный
prove,доказывать
private,частный
wall,стена
seat,сиденье
i-i,и-и
position,позиция
lieutenant,лейтенант
realize,понимать
lt,лт
especially,особенно
machine,машина
walking,ходьба
art,искусство
pleasure,удовольствие
bloody,кровавый
college,колледж
french,французский
involved,вовлеченный
cry,плакать
became,стал
lived,жил
impossible,невозможный
obviously,очевидно
neither,ни один
accept,принимать
boyfriend,парень
besides,кроме
queen,королева
teacher,учитель
cops,полицейские
sake,ради
loves,любит
carry,нести
teach,учить
apartment,квартира
upset,расстройство
green,зеленый
la,ла
liked,понравилось
cute,милый
evil,зло
professor,профессор
contact,контакт
joke,шутить
cop,полицейский
huge,огромный
holy,святой
store,магазин
jail,тюрьма
likes,нравится
lawyer,адвокат
doubt,сомневаться
continue,продолжать
appreciate,ценить
cat,кот
shop,магазин
driving,вождение
congratulations,Поздравляем!
wrote,написал
village,деревня
quit,покидать
field,поле
james,Джеймс
wine,вино
decision,решение
south,юг
sleeping,сон
slow,медленный
laughter,смех
island,остров
glass,стекло
beginning,начало
cash,наличные
dying,умирающий
hundred,сто
whose,чей
difference,разница
plane,самолет
push,толкать
continues,продолжается
mmm,М-м-м
singing,пение
eating,еда
north,север
mrs,Миссис
tree,дерево
madam,мадам
gift,подарок
truck,грузовик
putting,кладение
bear,медведь
board,доска
grab,схватить
beer,пиво
stuck,застрявший
magic,магия
support,поддерживать
rules,правила
grunts,хрюканье
partner,партнер
reach,достигать
wind,ветер
colonel,полковник
max,макс
immediately,немедленно
seconds,секунд
thousand,тысяча
gives,дает
experience,опыт
cheers,ваше здоровье
victim,жертва
upon,на
computer,компьютер
christ,Христос
planet,планета
promised,обещанный
bus,автобус
henry,Генри
dirty,грязный
search,поиск
staying,оставаясь
dreams,мечты
arrest,арест
holding,удерживая
suddenly,внезапно
usually,обычно
lots,много
shoes,обувь
er,эр
jump,прыжок
rid,избавлять
yo,йо
knock,стук
owe,быть должным
harry,Гарри
grow,расти
worst,худший
river,река
aunt,тетя
patient,пациент
kitchen,кухня
aah,аах
fat,толстый
passed,прошедший
m,м
final,финал
summer,лето
bob,боб
listening,слушание
escape,побег
everywhere,повсюду
moon,луна
arms,оружие
turns,повороты
address,адрес
ow,оу
match,соответствовать
gasps,вздохи
grand,грандиозный
yep,ага
shh,шш
nervous,нервный
de,де
choose,выбирать
themselves,сами себя
decide,решать
mate,приятель
drinking,питьевой
press,нажимать
bother,беспокоить
foot,ступня
hadn,не имел
blame,обвинять
crap,дерьмо
drugs,наркотики
type,тип
rings,кольца
mission,миссия
named,назван
heaven,небеса
‘ii,‘ii
picked,выбранный
paris,Париж
race,раса
risk,риск
books,книги
further,дальше
danny,Дэнни
action,действие
allowed,допустимый
orders,заказы
learned,обученный
price,цена
arrived,приехал
nick,Ник
otherwise,в противном случае
pictures,фотографии
fit,соответствовать
smoke,дым
favor,услуга
played,играл
notice,уведомление
awesome,потрясающий
smile,улыбка
director,режиссер
guard,сторожить
begin,начинать
spot,место
surprised,удивленный
innocent,невиновный
narrator,рассказчик
herself,себя
london,Лондон
feelings,чувства
enemy,враг
battle,боевой
ourselves,сами
alex,Алекс
dollars,долларов
allow,позволять
nine,девять
gay,гей
department,отделение
guilty,виновный
apart,отдельно
earlier,ранее
duty,долг
jim,Джим
suit,подходить
bell,колокол
west,запад
legs,ноги
hero,герой
destroy,разрушать
stage,этап
bunch,связка
according,согласно
chicken,курица
bigger,больший
grunting,хрюканье
low,низкий
helping,помощь
admit,признавать
closed,закрыто
names,имена
witness,свидетель
upstairs,наверху
arm,рука
steal,воровать
jimmy,Джимми
kick,пинать
twice,дважды
cross,крест
ways,способы
sergeant,сержант
indeed,действительно
gas,газ
keeping,сохранение
energy,энергия
pregnant,беременная
waste,напрасно тратить
helped,помог
fired,уволенный
favorite,любимый
tony,Тони
taste,вкус
locked,заблокировано
places,места
writing,письмо
adam,Адам
brothers,братья
starts,начинается
prince,принц
form,форма
sold,продал
silly,глупый
mention,упомянуть
build,строить
throat,горло
hole,дыра
figured,вычисленный
track,отслеживать
ringing,звон
lock,замок
leg,нога
above,выше
hiding,прячется
steve,Стив
seemed,казалось
breakfast,завтрак
engine,двигатель
written,написанный
complete,полный
video,видео
applause,аплодисменты
however,однако
pressure,давление
fresh,свежий
weapon,оружие
sky,небо
ms.,РС.
stole,украл
study,изучать
burn,гореть
reading,чтение
crowd,толпа
treat,обращаться
roll,рулон
double,двойной
spirit,дух
danger,Опасность
cost,расходы
empty,пустой
level,уровень
memory,память
itself,сам
acting,актерское мастерство
interest,интерес
nose,нос
plans,планы
following,следующий
bathroom,ванная комната
built,построен
closer,ближе
ray,луч
sarah,Сара
band,группа
groans,стоны
apparently,видимо
excited,взволнованный
richard,Ричард
losing,проигрыш
animals,животные
flight,полет
nature,природа
raise,поднимать
pop,поп
client,клиент
bomb,бомбить
neck,шея
suspect,подозревать
warm,теплый
extra,дополнительный
bottle,бутылка
van,фургон
heavy,тяжелый
mommy,мама
dogs,собаки
wild,дикий
ridiculous,нелепый
simply,просто
lee,ли
animal,животное
showed,показал
billy,Билли
shooting,стрельба
keeps,хранит
camp,лагерь
guns,оружие
medical,медицинский
shame,стыд
hoping,надеюсь
whom,кому
bird,птица
majesty,величество
flowers,цветы
famous,известный
asleep,спящий
beauty,красота
driver,водитель
keys,ключи
rain,дождь
awful,ужасный
large,большой
local,местный
deserve,заслуживать
goddamn,черт возьми
stone,камень
jane,Джейн
grace,милость
consider,учитывать
weekend,выходные
wondering,интересный
lay,класть
plenty,множество
willing,готовый
pants,брюки
sweetheart,дорогой
skin,кожа
excellent,отличный
asshole,засранец
beach,пляж
c,с
faith,вера
beg,просить
fuckin,ебаный
responsible,ответственный
military,военный
cheering,ликование
opportunity,возможность
common,общий
bottom,нижний
german,немецкий
whoever,кто бы ни
cook,готовить
walked,шел
papers,статьи
justice,справедливость
hall,зал
commander,командир
drug,лекарство
main,основной
knife,нож
devil,дьявол
necessary,необходимый
although,хотя
princess,принцесса
lights,огни
flying,летающий
dick,хуй
rose,роза
knowing,зная
clearly,четко
hat,шляпа
agreed,согласованный
johnny,Джонни
corner,угол
code,код
note,примечание
tommy,Томми
due,должный
correct,правильный
apologize,извиняться
language,язык
stars,звезды
faster,Быстрее
cars,автомобили
folks,близкие
bullshit,чушь
i.,я.
fellow,парень
several,несколько
grandma,бабушка
shows,шоу
leader,лидер
leaves,листья
restaurant,ресторан
east,восток
shouting,крик
blind,слепой
ghost,призрак
cup,чашка
gotten,получен
tight,тугой
conversation,беседа
tells,рассказывает
lies,ложь
nor,ни
pulled,вытащил
hanging,висящий
speed,скорость
stories,истории
health,здоровье
advice,совет
held,держал
uh-huh,ага
murdered,убитый
beyond,вне
rule,правило
hardly,едва ли
possibly,возможно
inspector,инспектор
cousin,двоюродный брат
trial,пробный
emergency,чрезвычайная ситуация
ought,должен
eddie,Эдди
somehow,как-то
hearing,слушание
states,штаты
account,счет
spoke,сказал
file,файл
understood,понял
angel,ангел
tape,лента
milk,молоко
powerful,мощный
weapons,оружие
practice,упражняться
manager,менеджер
pardon,помилование
vote,голосование
jake,Джейк
national,национальный
career,карьера
minister,министр
super,супер
taught,учил
robert,Роберт
biggest,самый большой
plays,играет
natural,естественный
dancing,танцы
copy,копия
plus,плюс
martin,Мартин
cake,торт
freedom,свобода
among,среди
breath,дыхание
operation,операция
chris,Крис
crew,экипаж
challenge,испытание
market,рынок
meat,мясо
towards,к
bringing,приносящий
dropped,упавший
student,студент
lied,солгал
strength,сила
size,размер
breathe,дышать
color,цвет
monster,монстр
loud,громкий
photo,фото
aw,aw
nearly,около
sight,взгляд
greatest,величайший
games,игры
bridge,мост
dressed,одетый
arrested,арестован
horrible,ужасный
coach,тренер
planning,планирование
checked,проверено
breaking,ломающийся
noticed,заметил
fantastic,фантастика
screams,крики
serve,служить
ideas,идеи
investigation,расследование
center,центр
older,старший
pack,пакет
soldiers,солдаты
nonsense,ерунда
doc,документ
project,проект
training,обучение
example,пример
trick,обманывать
prepared,готовый
science,наука
united,объединенный
travel,путешествовать
incredible,невероятный
grandpa,дедушка
paying,платящий
character,характер
teeth,зубы
criminal,преступник
charles,Чарльз
chinese,китайский
truly,действительно
honestly,честно
bro,братан
survive,выживать
bobby,Бобби
target,цель
feed,кормить
nurse,медсестра
e,е
fake,фальшивый
records,записи
breathing,дыхание
sweetie,милый
numbers,числа
oil,масло
suicide,самоубийство
belong,принадлежать
whoo,ууу
perfectly,идеально
amy,Эми
forgotten,забытый
remain,оставаться
original,оригинал
papa,папа
onto,на
concerned,обеспокоенный
credit,кредит
ugh,фу
invited,приглашены
discuss,обсуждать
research,исследовать
easier,Полегче
view,вид
chair,стул
hurts,больно
strike,ударять
roger,Роджер
fill,наполнять
condition,состояние
mountain,гора
dr,доктор
nowhere,нигде
sheriff,шериф
kim,Ким
turning,поворот
brown,коричневый
recognize,распознавать
heads,головы
audience,аудитория
‘all,'все
jealous,ревнивый
pretend,притворяться
society,общество
finding,обнаружение
shirt,рубашка
comfortable,комфортный
meaning,значение
guest,гость
pieces,куски
dry,сухой
letting,сдача
began,начало
aye,да
jeff,Джефф
female,женский
release,выпускать
ho,хо
cards,карты
pray,молиться
unfortunately,к сожалению
balls,мячи
destroyed,уничтожен
ended,закончился
universe,вселенная
prepare,подготовить
opinion,мнение
movies,фильмы
soldier,солдат
wash,стирать
program,программа
heat,нагревать
usual,обычный
ticket,билет
stolen,украденный
prefer,предпочитать
aware,осведомленный
surely,конечно
male,мужской
base,база
matters,имеет значение
lift,поднимать
lab,лаборатория
command,команда
proof,доказательство
cream,крем
selling,продажа
believed,считал
create,создавать
h,час
afford,предоставлять
sunday,воскресенье
total,общий
dumb,тупой
threw,бросил
france,Франция
birth,рождение
created,созданный
realized,осуществленный
british,британский
noise,шум
nuts,орехи
students,студенты
birds,птицы
social,социальный
brilliant,блестяще
bodies,тела
tie,галстук
opened,открыл
ours,наши
bucks,баксы
kevin,Кевин
mister,господин
ugly,уродливый
ryan,Райан
focus,фокус
dan,дан
opens,открывается
exist,существовать
followed,последовал
england,Англия
draw,рисовать
purpose,цель
letters,письма
daniel,Даниэль
opening,открытие
bullet,пуля
anna,Анна
lately,недавно
stayed,остался
falling,падение
season,сезон
ends,конец
suggest,предлагать
joy,радость
distance,расстояние
responsibility,ответственность
whenever,в любое время
issue,проблема
thousands,тысячи
process,процесс
sword,меч
shower,душ
weak,слабый
fucked,трахнул
lonely,одинокий
happiness,счастье
eric,Эрик
tiny,крошечный
desk,рабочий стол
pool,бассейн
property,свойство
forced,принужденный
settle,решить
indistinct,нечеткий
weight,масса
received,полученный
gang,банда
bite,кусать
friday,пятница
disappeared,исчезнувший
interview,интервью
expecting,ожидающий
kinda,как бы
surgery,операция
horses,лошади
mayor,мэр
babe,детка
ancient,древний
handsome,красивый
thomas,Томас
saturday,суббота
staff,персонал
lines,линии
unit,единица
fan,вентилятор
gentleman,джентльмен
introduce,представлять
fate,судьба
split,расколоть
recently,недавно
expected,ожидал
add,добавлять
ordered,заказанный
slowly,медленно
alarm,тревога
member,член
slept,спал
signed,подписано
enter,входить
spanish,испанский
garden,сад
brings,приносит
brave,храбрый
pig,свинья
model,модель
finger,палец
medicine,лекарство
access,доступ
failed,неуспешный
flat,плоский
easily,легко
discovered,обнаруженный
based,основанный на
screw,винт
insane,безумный
cares,заботы
weather,погода
fingers,пальцы
san,сан
scott,Скотт
path,путь
soft,мягкий
harm,вред
style,стиль
community,сообщество
sees,видит
basically,по сути
al,ал
signal,сигнал
nope,неа
spare,запасной
speech,речь
covered,покрытый
shake,встряхнуть
loose,свободный
snow,снег
russian,русский
lake,озеро
bright,яркий
roof,крыша
ohh,ох
sending,отправка
paint,краска
remind,напоминать
pal,приятель
naked,голый
post,почта
sugar,сахар
heading,заголовок
streets,улицы
damage,повреждать
silence,тишина
doors,двери
pete,Пит
ed,ред.
success,успех
wet,влажный
nah,нет
amount,количество
members,члены
kate,Кейт
manage,управлять
safety,безопасность
returned,возвращен
harder,Сильнее
fbi,ФБР
block,блокировать
showing,показ
fancy,изысканный
chef,шеф-повар
contract,договор
dig,копать
chest,грудь
goodbye,до свидания
drinks,напитки
dave,Дэйв
buried,похороненный
brian,Брайан
trade,торговля
journey,путешествие
stomach,желудок
changes,изменения
details,подробности
thoughts,мысли
divorce,развод
funeral,похороны
maria,Мария
football,футбол
reality,реальность
theory,теория
gosh,боже
ruined,испорченный
gate,ворота
william,Уильям
spread,распространение
outta,из
japanese,японский
sudden,внезапный
coat,пальто
sooner,раньше
cheese,сыр
larry,Ларри
spring,весна
page,страница
ears,уши
simon,Саймон
castle,замок
hidden,скрытый
storm,шторм
cos,кос
personally,лично
artist,художник
hill,холм
exciting,захватывающий
permission,разрешение
jerry,Джерри
expensive,дорогой
tickets,билеты
forest,лес
barely,едва
eggs,яйца
goin,идущий
regret,сожалеть
lesson,урок
lover,возлюбленный
bread,хлеб
andy,Энди
subject,предмет
legal,юридический
growing,растущий
ill,больной
jason,Джейсон
mood,настроение
owner,владелец
caused,вызванный
beeping,пиканье
points,баллы
dating,встречаться
loss,потеря
secretary,секретарь
revenge,месть
santa,Санта
likely,вероятный
rent,арендовать
connection,связь
assistant,помощник
reasons,причины
yelling,крик
painting,рисование
trees,деревья
doctors,врачи
rush,торопиться
foreign,иностранный
rough,грубый
murderer,убийца
century,век
nights,ночи
pair,пара
runs,пробеги
pocket,карман
farm,ферма
matt,мат
bike,велосипед
obvious,очевидный
ate,ел
grew,вырос
professional,профессиональный
tim,Тим
goodness,доброта
parts,детали
alan,Алан
university,университет
square,квадрат
grandfather,дедушка
europe,Европа
genius,гений
cases,случаи
ruin,руины
winter,зима
tongue,язык
memories,воспоминания
da,да
buying,покупка
cancer,рак
clock,часы
ocean,океан
dna,ДНК
liar,лжец
tour,тур
thief,вор
bleep,бип
lisa,Лиза
rights,права
including,включая
competition,соревнование
smith,кузнец
planned,запланировано
emily,Эмили
boring,скучный
victims,жертвы
mentioned,упомянул
bones,кости
plant,растение
bless,благословить
warning,предупреждение
knocking,стук
re,ре
crash,крушение
bedroom,спальня
lower,ниже
silver,серебро
groaning,стоны
madame,мадам
defense,защита
results,результаты
toilet,туалет
event,событие
complicated,сложный
shape,форма
priest,священник
royal,королевский
cheap,дешевый
romantic,романтический
downstairs,внизу
invite,приглашать
fortune,удача
tears,слезы
avoid,избегать
reached,достиг
higher,выше
familiar,привычный
telephone,телефон
burning,горение
filled,заполненный
kelly,Келли
alice,Алиса
airport,аэропорт
jobs,работа
grown,выросший
walter,Уолтер
rachel,Рэйчел
giant,гигант
insurance,страхование
woods,леса
n,н
scare,испугать
pleased,довольный
period,период
political,политический
player,игрок
stops,остановки
secrets,секреты
laura,Лаура
repeat,повторить
photos,фотографии
finds,находит
statement,заявление
suck,сосать
younger,моложе
china,Китай
humans,люди
delicious,вкусный
particular,особый
proper,правильный
rome,Рим
belongs,принадлежит
attacked,атакован
bath,ванна
hired,наемный
site,сайт
knowledge,знание
b,б
led,вел
