you,Anda
use,menggunakan
while,ketika
since,sejak
wife,istri
days,hari
guess,tebakan
tomorrow,besok
matter,urusan
meet,bertemu
bring,membawa
tonight,malam ini
everyone,setiap orang
run,berlari
wanna,ingin
hard,keras
ah,Ah
alone,sendiri
myself,saya sendiri
school,sekolah
gone,hilang
um,um
end,akhir
saying,pepatah
phone,telepon
play,bermain
looks,terlihat
couldn,tidak bisa
fucking,sialan
problem,masalah
few,sedikit
friends,teman-teman
gotta,harus
ago,yang lalu
open,membuka
anyone,siapa pun
killed,terbunuh
hope,harapan
face,menghadapi
until,sampai
lost,hilang
police,POLISI
excuse,mengizinkan
turn,berbelok
business,bisnis
case,kasus
wants,ingin
says,mengatakan
true,BENAR
die,mati
heart,jantung
soon,segera
each,setiap
worry,khawatir
later,Nanti
year,tahun
watch,jam tangan
music,musik
hand,tangan
having,memiliki
probably,mungkin
beautiful,cantik
doctor,dokter
sit,duduk
eat,makan
thinking,pemikiran
young,muda
second,Kedua
working,bekerja
water,air
person,orang
part,bagian
kids,anak-anak
late,terlambat
stuff,hal-hal
exactly,tepat
under,di bawah
death,kematian
minute,menit
pay,membayar
crazy,gila
forget,lupa
everybody,semua orang
kid,anak
change,mengubah
gave,telah memberi
happen,terjadi
damn,berengsek
five,lima
drink,minum
far,jauh
knows,tahu
its,-nya
whatever,apa pun
eyes,mata
shut,ditutup
aren,tidak
hit,memukul
taking,memukau
easy,mudah
times,waktu
check,memeriksa
hands,tangan
minutes,menit
deal,kesepakatan
different,berbeda
means,cara
point,titik
inside,di dalam
makes,membuat
asked,diminta
somebody,seseorang
mine,milikku
making,membuat
body,tubuh
afraid,takut
sleep,tidur
chance,peluang
dear,Sayang
quite,lumayan
four,empat
anyway,Bagaimanapun
close,menutup
ain,ain
party,berpesta
fun,seru
against,melawan
word,kata
comes,datang
important,penting
set,mengatur
shall,sebaiknya
story,cerita
number,nomor
daughter,anak perempuan
least,paling sedikit
waiting,menunggu
hurt,terluka
wish,mengharapkan
moment,momen
fight,bertarung
week,pekan
husband,suami
girls,cewek-cewek
rest,istirahat
married,telah menikah
fire,api
game,permainan
nobody,bukan siapa-siapa
mr,Tn.
children,anak-anak
side,samping
stand,berdiri
read,membaca
though,meskipun
cut,memotong
started,dimulai
sister,saudari
supposed,diperkirakan
between,di antara
child,anak
goes,pergi
hours,jam
speak,berbicara
women,wanita
behind,di belakang
almost,hampir
truth,kebenaran
blood,darah
able,mampu
lady,wanita
anymore,lagi
playing,bermain
gets,mendapat
shot,tembakan
reason,alasan
trouble,masalah
break,merusak
war,perang
city,kota
walk,berjalan
town,kota
trust,memercayai
dr.,Dokter
met,bertemu
office,kantor
question,pertanyaan
brought,telah membawa
yours,milikmu
welcome,selamat datang
high,tinggi
wow,Wow
couple,pasangan
half,setengah
died,mati
cool,Dingin
free,bebas
either,salah satu
seems,sepertinya
power,kekuatan
whoa,wah
bye,selamat tinggal
buy,membeli
telling,pemberitaan
honey,Sayang
tried,dicoba
front,depan
team,tim
answer,menjawab
gun,pistol
boys,anak laki-laki
line,garis
send,mengirim
news,berita
stupid,bodoh
bed,tempat tidur
hurry,buru-buru
full,penuh
months,bulan
save,menyimpan
sometimes,Kadang-kadang
become,menjadi
along,bersama
hate,membenci
food,makanan
outside,di luar
light,lampu
l,l
needs,kebutuhan
dog,anjing
country,negara
clear,jernih
order,memesan
em,mereka
fact,fakta
lord,yang mulia
captain,kapten
six,enam
hot,panas
funny,lucu
black,hitam
mrs.,nyonya.
alive,hidup
pick,memilih
feeling,merasa
living,hidup
cause,menyebabkan
ahead,di depan
lose,kehilangan
king,raja
plan,rencana
dinner,makan malam
sighs,desahan
sort,menyortir
leaving,meninggalkan
shouldn,seharusnya
running,berlari
boss,bos
alright,Baiklah
promise,janji
taken,diambil
safe,aman
ma,ma
book,buku
sent,terkirim
white,putih
hour,jam
anybody,siapa saja
small,kecil
perfect,sempurna
‘cause,'menyebabkan
lives,hidup
special,spesial
parents,orang tua
s,S
john,John
himself,diri
perhaps,mungkin
sounds,suara
serious,serius
sick,sakit
company,perusahaan
ha,Ha
scared,takut
uncle,paman
poor,miskin
red,merah
past,masa lalu
earth,bumi
possible,mungkin
shoot,menembak
touch,menyentuh
sound,suara
top,atas
ass,pantat
laughs,tertawa
cannot,tidak bisa
asking,meminta
win,menang
glad,senang
control,kontrol
hmm,Hmm
human,manusia
drive,menyetir
hair,rambut
jack,mendongkrak
bitch,jalang
luck,keberuntungan
murder,pembunuhan
happens,terjadi
air,udara
ten,sepuluh
daddy,ayah
finally,Akhirnya
chuckles,tertawa kecil
fast,cepat
cold,dingin
seem,sepertinya
laughing,tertawa
words,kata-kata
hospital,RSUD
street,jalan
hang,menggantung
dance,menari
meeting,pertemuan
till,sampai
others,yang lain
catch,menangkap
follow,mengikuti
sense,nalar
sex,seks
lie,berbohong
evening,malam
master,menguasai
known,diketahui
dream,mimpi
write,menulis
million,juta
voice,suara
sweet,manis
rather,lebih tepatnya
felt,dirasakan
sign,tanda
lucky,beruntung
somewhere,di suatu tempat
bet,bertaruh
o,Hai
jesus,Yesus
longer,lebih lama
calling,panggilan
worked,bekerja
quiet,diam
looked,terlihat
less,lebih sedikit
pull,menarik
beat,mengalahkan
careful,hati-hati
coffee,kopi
return,kembali
secret,rahasia
weeks,minggu
weren,tidak
date,tanggal
seeing,melihat
fall,jatuh
given,diberikan
ooh,ooh
fault,kesalahan
straight,lurus
takes,mengambil
song,lagu
future,masa depan
gentlemen,Tuan-tuan
loved,dicintai
changed,berubah
road,jalan
calm,tenang
wonderful,luar biasa
mad,gila
turned,berbalik
drop,menjatuhkan
ladies,Wanita
learn,mempelajari
step,melangkah
absolutely,sangat
early,lebih awal
explain,menjelaskan
clean,membersihkan
piece,bagian
yesterday,Kemarin
throw,melemparkan
picture,gambar
land,tanah
feet,kaki
wonder,rasa takjub
questions,pertanyaan
speaking,berbicara
worth,bernilai
darling,Sayang
dude,bung
giving,memberi
president,presiden
eye,mata
quick,cepat
moving,pindah
figure,angka
state,negara
strong,kuat
sam,Sam
none,tidak ada
amazing,luar biasa
ones,satu
works,karya
act,bertindak
needed,diperlukan
weird,aneh
law,hukum
worried,khawatir
report,laporan
goodbye,selamat tinggal
missing,hilang
choice,pilihan
happening,kejadian
chief,ketua
wedding,pernikahan
strange,aneh
general,umum
pain,nyeri
‘am,'pagi
kidding,bercanda
decided,diputuskan
ya,ya
pass,lulus
tired,lelah
class,kelas
officer,petugas
kept,disimpan
wake,bangun
worse,lebih buruk
busy,sibuk
eh,eh
mistake,kesalahan
kiss,ciuman
court,pengadilan
building,bangunan
finish,menyelesaikan
during,selama
age,usia
ship,mengirimkan
caught,tertangkap
marry,kawin
meant,dimaksudkan
sell,menjual
dark,gelap
watching,menonton
system,sistem
suppose,memperkirakan
evidence,bukti
movie,film
ride,mengendarai
t,T
completely,sama sekali
mouth,mulut
totally,sama sekali
birthday,hari ulang tahun
tv,televisi
forgive,memaafkan
born,dilahirkan
imagine,membayangkan
information,informasi
instead,alih-alih
definitely,tentu saja
security,keamanan
certainly,tentu
film,film
month,bulan
lying,berbohong
unless,kecuali
train,kereta
seven,tujuh
wear,memakai
clothes,pakaian
michael,Michael
hotel,hotel
christmas,natal
attack,menyerang
hasn,belum
round,bulat
expect,mengharapkan
sing,menyanyi
terrible,sangat buruk
george,George
bag,tas
history,sejarah
blue,biru
near,di dekat
broke,bangkrut
station,stasiun
seriously,dengan serius
forever,selamanya
david,David
frank,jujur
except,kecuali
thinks,berpikir
message,pesan
entire,seluruh
joe,Joe
table,meja
talked,berbicara
across,lintas
rock,batu
lovely,cantik
handle,menangani
middle,tengah
buddy,sobat
paid,dibayar
protect,melindungi
using,menggunakan
floor,lantai
ran,berlari
swear,bersumpah
spend,membelanjakan
situation,situasi
ring,cincin
anywhere,di mana saja
dangerous,berbahaya
bill,tagihan
york,York
army,tentara
lead,memimpin
bought,dibeli
finished,selesai
fair,adil
sun,matahari
letter,surat
fool,bodoh
attention,Perhatian
club,klub
simple,sederhana
interesting,menarik
space,ruang angkasa
test,tes
box,kotak
group,kelompok
single,lajang
sitting,duduk
marriage,pernikahan
join,bergabung
fear,takut
d,D
peace,perdamaian
forgot,lupa
force,memaksa
short,pendek
normal,normal
charlie,Charlie
present,hadiah
enjoy,menikmati
mike,Mike
crime,kejahatan
horse,kuda
ground,tanah
american,Amerika
count,menghitung
area,daerah
charge,mengenakan biaya
honor,menghormati
lunch,makan siang
miles,mil
radio,radio
idiot,idiot
ball,bola
surprise,kejutan
paper,kertas
key,kunci
boat,kapal
quickly,dengan cepat
gold,emas
bar,batang
fish,ikan
mark,tanda
tom,Tom
wearing,memakai
crying,menangis
accident,kecelakaan
government,pemerintah
eight,delapan
fell,menjatuhkan
cover,menutupi
certain,yakin
interested,tertarik
deep,dalam
star,bintang
sea,laut
agree,setuju
problems,masalah
detective,detektif
prison,penjara
major,besar
stick,tongkat
offer,menawarkan
difficult,sulit
smart,cerdas
personal,pribadi
record,catatan
stopped,berhenti
hide,bersembunyi
whether,apakah
bank,bank
trip,perjalanan
relax,santai
america,Amerika
public,publik
list,daftar
afternoon,sore
brain,otak
fix,memperbaiki
bastard,bajingan
proud,bangga
tea,teh
service,melayani
screaming,teriakan
forward,maju
angry,marah
park,taman
soul,jiwa
fighting,berkelahi
peter,Peter
rich,kaya
agent,agen
blow,meniup
paul,Paulus
dress,gaun
mary,Maria
missed,dirindukan
scene,pemandangan
killing,pembunuhan
standing,kedudukan
saved,tersimpan
mm,mm
respect,menghormati
killer,pembunuh
ice,es
mess,kekacauan
tough,keras
feels,terasa
church,gereja
sad,sedih
cell,sel
drunk,mabuk
share,membagikan
camera,kamera
mm-hmm,mm-hmm
within,di dalam
card,kartu
fly,terbang
ben,ben
girlfriend,pacar perempuan
laugh,tertawa
smell,bau
broken,rusak
mum,bungkam
honest,jujur
often,sering
starting,memulai
calls,panggilan
y,y
spent,dihabiskan
third,ketiga
english,bahasa inggris
visit,mengunjungi
mama,mama
judge,hakim
window,jendela
hungry,lapar
dare,berani
relationship,hubungan
moved,terharu
prove,membuktikan
private,pribadi
wall,dinding
seat,kursi
i-i,i-i
position,posisi
lieutenant,letnan
realize,menyadari
lt,lt
especially,khususnya
machine,mesin
walking,sedang berjalan
art,seni
pleasure,kesenangan
bloody,berdarah
college,kampus
french,Perancis
involved,terlibat
cry,menangis
became,menjadi
lived,hidup
impossible,mustahil
obviously,jelas sekali
neither,juga tidak
accept,menerima
boyfriend,pacar
besides,di samping itu
queen,ratu
teacher,guru
cops,polisi
sake,demi
loves,cinta
carry,membawa
teach,mengajar
apartment,apartemen
upset,gundah
green,hijau
la,la
liked,menyukai
cute,imut-imut
evil,kejahatan
professor,profesor
contact,kontak
joke,candaan
cop,polisi
huge,sangat besar
holy,suci
store,toko
jail,penjara
likes,suka
lawyer,pengacara
doubt,ragu
continue,melanjutkan
appreciate,menghargai
cat,kucing
shop,toko
driving,penggerak
congratulations,Selamat
wrote,menulis
village,desa
quit,berhenti
field,bidang
james,James
wine,anggur
decision,keputusan
south,selatan
sleeping,sedang tidur
slow,lambat
laughter,tawa
island,pulau
glass,kaca
beginning,awal
cash,uang tunai
dying,sekarat
hundred,ratus
whose,yang
difference,perbedaan
plane,pesawat
push,dorongan
continues,berlanjut
mmm,mmm
singing,nyanyian
eating,makan
north,utara
mrs,nyonya
tree,pohon
madam,nyonya
gift,hadiah
truck,truk
putting,menempatkan
bear,beruang
board,papan
grab,merebut
beer,bir
stuck,terjebak
magic,sihir
support,mendukung
rules,aturan
grunts,geraman
partner,mitra
reach,mencapai
wind,angin
colonel,kolonel
max,maksimal
immediately,langsung
seconds,detik
thousand,ribu
gives,memberikan
experience,pengalaman
cheers,bersulang
victim,korban
upon,pada
computer,komputer
christ,Kristus
planet,planet
promised,dijanjikan
bus,bis
henry,Henry
dirty,kotor
search,mencari
staying,tetap tinggal
dreams,mimpi
arrest,menangkap
holding,memegang
suddenly,Tiba-tiba
usually,biasanya
lots,banyak
shoes,sepatu
er,er
jump,melompat
rid,menyingkirkan
yo,kamu
knock,ketukan
owe,utang
harry,Harry
grow,tumbuh
worst,terburuk
river,sungai
aunt,tante
patient,sabar
kitchen,dapur
aah,aah
fat,gemuk
passed,lulus
m,M
final,terakhir
summer,musim panas
bob,Bob
listening,mendengarkan
escape,melarikan diri
everywhere,di mana pun
moon,bulan
arms,lengan
turns,berbelok
address,alamat
ow,sekarang
match,cocok
gasps,terkejut
grand,agung
yep,ya
shh,shh
nervous,grogi
de,dari
choose,memilih
themselves,diri
decide,memutuskan
mate,pasangan
drinking,minum
press,tekan
bother,mengganggu
foot,kaki
hadn,tidak punya
blame,menyalahkan
crap,omong kosong
drugs,narkoba
type,jenis
rings,cincin
mission,misi
named,bernama
heaven,surga
‘ii,‘ii
picked,memilih
paris,Paris
race,balapan
risk,mempertaruhkan
books,buku
further,lebih jauh
danny,Danny
action,tindakan
allowed,diizinkan
orders,pesanan
learned,belajar
price,harga
arrived,tiba
nick,Nick
otherwise,jika tidak
pictures,gambar
fit,bugar
smoke,merokok
favor,kebaikan
played,bermain
notice,melihat
awesome,luar biasa
smile,senyum
director,direktur
guard,penjaga
begin,mulai
spot,titik
surprised,terkejut
innocent,tidak bersalah
narrator,narator
herself,diri
london,London
feelings,perasaan
enemy,musuh
battle,pertempuran
ourselves,diri
alex,Alex
dollars,dolar
allow,mengizinkan
nine,sembilan
gay,gay
department,departemen
guilty,bersalah
apart,terpisah
earlier,lebih awal
duty,tugas
jim,Jim
suit,setelan
bell,bel
west,Barat
legs,kaki
hero,pahlawan
destroy,menghancurkan
stage,panggung
bunch,kelompok
according,menurut
chicken,ayam
bigger,lebih besar
grunting,dengkur
low,rendah
helping,membantu
admit,mengakui
closed,tertutup
names,nama-nama
witness,saksi
upstairs,di atas
arm,lengan
steal,mencuri
jimmy,Jimmy
kick,menendang
twice,dua kali
cross,menyeberang
ways,cara
sergeant,sersan
indeed,Memang
gas,gas
keeping,penyimpanan
energy,energi
pregnant,hamil
waste,limbah
helped,membantu
fired,dipecat
favorite,favorit
tony,Tony
taste,mencicipi
locked,terkunci
places,tempat
writing,menulis
adam,adam
brothers,saudara laki-laki
starts,mulai
prince,pangeran
form,membentuk
sold,terjual
silly,konyol
mention,menyebutkan
build,membangun
throat,tenggorokan
hole,lubang
figured,berpola
track,melacak
ringing,berdering
lock,kunci
leg,kaki
above,di atas
hiding,persembunyian
steve,Steve
seemed,tampak
breakfast,sarapan
engine,mesin
written,tertulis
complete,menyelesaikan
video,video
applause,tepuk tangan
however,Namun
pressure,tekanan
fresh,segar
weapon,senjata
sky,langit
ms.,MS.
stole,selendang
study,belajar
burn,membakar
reading,membaca
crowd,kerumunan
treat,merawat
roll,gulungan
double,dobel
spirit,roh
danger,bahaya
cost,biaya
empty,kosong
level,tingkat
memory,ingatan
itself,diri
acting,berakting
interest,minat
nose,hidung
plans,rencana
following,mengikuti
bathroom,kamar mandi
built,dibuat
closer,lebih dekat
ray,sinar
sarah,Sarah
band,pita
groans,erangan
apparently,tampaknya
excited,bersemangat
richard,Richard
losing,kekalahan
animals,hewan
flight,penerbangan
nature,alam
raise,mengangkat
pop,pop
client,klien
bomb,bom
neck,leher
suspect,mengira
warm,hangat
extra,tambahan
bottle,botol
van,mobil van
heavy,berat
mommy,mama
dogs,anjing
wild,liar
ridiculous,konyol
simply,hanya
lee,Lee
animal,hewan
showed,menunjukkan
billy,Billy
shooting,penembakan
keeps,terus
camp,kamp
guns,senjata
medical,medis
shame,malu
hoping,berharap
whom,yang
bird,burung
majesty,keagungan
flowers,bunga
famous,terkenal
asleep,tertidur
beauty,kecantikan
driver,pengemudi
keys,kunci
rain,hujan
awful,buruk sekali
large,besar
local,lokal
deserve,layak
goddamn,sialan
stone,batu
jane,Jane
grace,berkah
consider,mempertimbangkan
weekend,akhir pekan
wondering,bertanya-tanya
lay,berbaring
plenty,banyak
willing,bersedia
pants,celana
sweetheart,sayang
skin,kulit
excellent,bagus sekali
asshole,bajingan
beach,pantai
c,C
faith,keyakinan
beg,mengemis
fuckin,sialan
responsible,bertanggung jawab
military,militer
cheering,bersorak
opportunity,peluang
common,umum
bottom,dasar
german,Jerman
whoever,siapapun
cook,memasak
walked,berjalan
papers,dokumen
justice,keadilan
hall,aula
commander,komandan
drug,obat
main,utama
knife,pisau
devil,iblis
necessary,diperlukan
although,meskipun
princess,putri
lights,lampu
flying,penerbangan
dick,penis
rose,mawar
knowing,penuh arti
clearly,jelas
hat,topi
agreed,sepakat
johnny,Johnny
corner,sudut
code,kode
note,catatan
tommy,Tommy
due,jatuh tempo
correct,benar
apologize,meminta maaf
language,bahasa
stars,bintang
faster,lebih cepat
cars,mobil
folks,rakyat
bullshit,omong kosong
i.,Saya.
fellow,rekan
several,beberapa
grandma,nenek
shows,pertunjukan
leader,pemimpin
leaves,daun-daun
restaurant,restoran
east,timur
shouting,berteriak
blind,buta
ghost,hantu
cup,cangkir
gotten,telah didapatkan
tight,ketat
conversation,percakapan
tells,memberitahu
lies,berbohong
nor,juga bukan
pulled,ditarik
hanging,gantung
speed,kecepatan
stories,cerita
health,kesehatan
advice,nasihat
held,dipegang
uh-huh,uh-huh
murdered,dibunuh
beyond,di luar
rule,aturan
hardly,hampir tidak
possibly,mungkin
inspector,inspektur
cousin,sepupu
trial,uji coba
emergency,keadaan darurat
ought,sebaiknya
eddie,Eddie
somehow,bagaimanapun
hearing,pendengaran
states,negara bagian
account,akun
spoke,berbicara
file,mengajukan
understood,dipahami
angel,malaikat
tape,tape
milk,susu
powerful,kuat
weapons,senjata
practice,praktik
manager,manajer
pardon,maaf
vote,memilih
jake,Jake
national,nasional
career,karier
minister,menteri
super,super
taught,diajari
robert,Robert
biggest,terbesar
plays,memainkan
natural,alami
dancing,tarian
copy,menyalin
plus,plus
martin,Martin
cake,kue
freedom,kebebasan
among,di antara
breath,napas
operation,operasi
chris,Chris
crew,awak kapal
challenge,tantangan
market,pasar
meat,daging
towards,terhadap
bringing,membawa
dropped,jatuh
student,murid
lied,berbohong
strength,kekuatan
size,ukuran
breathe,bernapas
color,warna
monster,raksasa
loud,keras
photo,foto
aw,aw
nearly,hampir
sight,penglihatan
greatest,terbesar
games,pertandingan
bridge,menjembatani
dressed,berpakaian
arrested,ditangkap
horrible,mengerikan
coach,pelatih
planning,perencanaan
checked,diperiksa
breaking,pemecahan
noticed,memperhatikan
fantastic,fantastis
screams,jeritan
serve,melayani
ideas,ide-ide
investigation,penyelidikan
center,tengah
older,lebih tua
pack,mengemas
soldiers,tentara
nonsense,omong kosong
doc,dokter
project,proyek
training,pelatihan
example,contoh
trick,menipu
prepared,siap
science,sains
united,serikat
travel,bepergian
incredible,menakjubkan
grandpa,kakek
paying,pembayaran
character,karakter
teeth,gigi
criminal,pidana
charles,Charles
chinese,Cina
truly,sungguh-sungguh
honestly,Sejujurnya
bro,kawan
survive,bertahan hidup
bobby,polisi
target,target
feed,memberi makan
nurse,perawat
e,e
fake,palsu
records,catatan
breathing,pernafasan
sweetie,sayang
numbers,angka
oil,minyak
suicide,bunuh diri
belong,milik
whoo,wah
perfectly,sempurna
amy,Amy
forgotten,terlupakan
remain,tetap
original,asli
papa,ayah
onto,ke
concerned,khawatir
credit,kredit
ugh,ugh
invited,diundang
discuss,membahas
research,riset
easier,lebih mudah
view,melihat
chair,kursi
hurts,sakit
strike,memukul
roger,Roger
fill,mengisi
condition,kondisi
mountain,gunung
dr,dokter
nowhere,tidak ada tempat
sheriff,sheriff
kim,Kim
turning,berbalik
brown,cokelat
recognize,mengenali
heads,kepala
audience,hadirin
‘all,'semua
jealous,cemburu
pretend,berpura-pura
society,masyarakat
finding,temuan
shirt,kemeja
comfortable,nyaman
meaning,arti
guest,tamu
pieces,bagian-bagian
dry,kering
letting,membiarkan
began,dimulai
aye,ya
jeff,Jeff
female,perempuan
release,melepaskan
ho,ho
cards,kartu
pray,berdoa
unfortunately,Sayangnya
balls,bola
destroyed,hancur
ended,berakhir
universe,semesta
prepare,mempersiapkan
opinion,pendapat
movies,film
soldier,tentara
wash,mencuci
program,program
heat,panas
usual,biasa
ticket,tiket
stolen,dicuri
prefer,lebih menyukai
aware,menyadari
surely,pasti
male,pria
base,basis
matters,hal-hal
lift,mengangkat
lab,laboratorium
command,memerintah
proof,bukti
cream,krim
selling,penjualan
believed,diyakini
create,membuat
h,H
afford,memberi
sunday,Minggu
total,total
dumb,bodoh
threw,melempar
france,Perancis
birth,kelahiran
created,dibuat
realized,diwujudkan
british,Inggris
noise,kebisingan
nuts,gila
students,siswa
birds,burung
social,sosial
brilliant,cemerlang
bodies,tubuh
tie,mengikat
opened,dibuka
ours,milik kita
bucks,uang
kevin,Kevin
mister,tuan
ugly,jelek
ryan,RYAN
focus,fokus
dan,dan
opens,membuka
exist,ada
followed,diikuti
england,Inggris
draw,menggambar
purpose,tujuan
letters,surat-surat
daniel,Daniel
opening,pembukaan
bullet,peluru
anna,Anna
lately,akhir-akhir ini
stayed,tetap tinggal
falling,jatuh
season,musim
ends,berakhir
suggest,menyarankan
joy,sukacita
distance,jarak
responsibility,tanggung jawab
whenever,kapan pun
issue,masalah
thousands,ribuan
process,proses
sword,pedang
shower,mandi
weak,lemah
fucked,sialan
lonely,kesepian
happiness,kebahagiaan
eric,Eric
tiny,kecil
desk,meja
pool,kolam
property,milik
forced,dipaksa
settle,menetap
indistinct,kabur
weight,berat
received,diterima
gang,gang
bite,menggigit
friday,Jumat
disappeared,lenyap
interview,wawancara
expecting,mengharapkan
kinda,agak
surgery,operasi
horses,kuda
mayor,walikota
babe,bayi
ancient,kuno
handsome,tampan
thomas,Thomas
saturday,Sabtu
staff,staf
lines,garis
unit,satuan
fan,penggemar
gentleman,pria
introduce,memperkenalkan
fate,takdir
split,membelah
recently,baru-baru ini
expected,mengharapkan
add,menambahkan
ordered,memesan
slowly,perlahan-lahan
alarm,alarm
member,anggota
slept,tidur
signed,ditandatangani
enter,memasuki
spanish,Spanyol
garden,kebun
brings,membawa
brave,berani
pig,babi
model,model
finger,jari
medicine,obat
access,mengakses
failed,gagal
flat,datar
easily,dengan mudah
discovered,telah menemukan
based,berdasarkan
screw,baut
insane,gila
cares,kekuatiran
weather,cuaca
fingers,jari-jari
san,san
scott,Scott
path,jalur
soft,lembut
harm,menyakiti
style,gaya
community,masyarakat
sees,melihat
basically,pada dasarnya
al,al
signal,sinyal
nope,Tidak
spare,meluangkan
speech,pidato
covered,tercakup
shake,menggoyang
loose,longgar
snow,salju
russian,Rusia
lake,danau
bright,terang
roof,atap
ohh,ohh
sending,mengirim
paint,cat
remind,mengingatkan
pal,sahabat
naked,telanjang
post,pos
sugar,gula
heading,menuju
streets,jalan-jalan
damage,kerusakan
silence,kesunyian
doors,pintu
pete,Pete
ed,ed
success,kesuksesan
wet,basah
nah,nah
amount,jumlah
members,anggota
kate,Kate
manage,mengelola
safety,keamanan
returned,kembali
harder,lebih sulit
fbi,FBI
block,memblokir
showing,menunjukkan
fancy,menyukai
chef,koki
contract,kontrak
dig,menggali
chest,dada
goodbye,selamat tinggal
drinks,minuman
dave,Dave
buried,terkubur
brian,Brian
trade,berdagang
journey,perjalanan
stomach,perut
changes,perubahan
details,detail
thoughts,pikiran
divorce,perceraian
funeral,pemakaman
maria,Maria
football,sepak bola
reality,realitas
theory,teori
gosh,Astaga
ruined,hancur
gate,gerbang
william,William
spread,menyebar
outta,keluar
japanese,Jepang
sudden,tiba-tiba
