you,Jij
hello,Hallo
nice,Leuk
believe,geloven
girl,meisje
someone,iemand
fine,prima
thanks,Bedankt
wanted,gewild
kind,vriendelijk
coming,komst
house,huis
every,elk
ok,OK
through,door
being,wezen
course,cursus
stay,verblijf
left,links
dad,pa
enough,genoeg
happened,gebeurd
came,kwam
may,kunnen
mother,moeder
wrong,fout
world,wereld
bad,slecht
might,macht
three,drie
today,Vandaag
listen,luisteren
another,een andere
understand,begrijpen
hear,horen
remember,herinneren
ask,vragen
own,eigen
same,dezelfde
show,show
else,anders
kill,doden
talking,praten
found,gevonden
next,volgende
getting,krijgen
care,zorg
car,auto
looking,kijken
son,zoon
try,poging
woman,vrouw
went,ging
hi,Hoi
dead,dood
many,veel
mind,verstand
wasn,was
friend,vriend
best,best
mom,mama
hell,hel
morning,ochtend
trying,proberen
boy,jongen
together,samen
yourself,jezelf
job,functie
saw,zaag
family,familie
real,echt
without,zonder
baby,Baby
room,kamer
wouldn,zou
already,al
move,beweging
most,meest
seen,gezien
live,live
miss,missen
actually,Eigenlijk
huh,hè
shit,stront
both,beide
heard,gehoord
once,eenmaal
ready,klaar
head,hoofd
called,genaamd
used,gebruikt
idea,idee
knew,wist
hold,uitstel
happy,Vrolijk
door,deur
such,zo een
fuck,neuken
brother,broer
also,Ook
pretty,zeer
bit,beetje
took,genomen
haven,toevluchtsoord
yet,nog
men,Heren
whole,geheel
start,begin
use,gebruik
while,terwijl
since,sinds
wife,vrouw
days,dagen
guess,gok
tomorrow,morgen
matter,materie
meet,ontmoeten
bring,brengen
tonight,vanavond
everyone,iedereen
run,loop
wanna,wil
hard,moeilijk
ah,Ah
alone,alleen
myself,mezelf
school,school
gone,weg
um,um
end,einde
saying,gezegde
phone,telefoon
play,toneelstuk
looks,uiterlijk
couldn,konden
fucking,verdomde
problem,probleem
few,weinig
friends,vrienden
gotta,moet
ago,geleden
open,open
anyone,iedereen
killed,gedood
hope,hoop
face,gezicht
until,tot
lost,kwijt
police,politie
excuse,excuus
turn,draai
business,bedrijf
case,geval
wants,wil
says,zegt
true,WAAR
die,sterven
heart,hart
soon,spoedig
each,elk
worry,zich zorgen maken
later,later
year,jaar
watch,horloge
music,muziek
hand,hand
having,hebben
probably,waarschijnlijk
beautiful,mooi
doctor,arts
sit,zitten
eat,eten
thinking,denken
young,jong
second,seconde
working,werken
water,water
person,persoon
part,deel
kids,kinderen
late,laat
stuff,spullen
exactly,precies
under,onder
death,dood
minute,minuut
pay,betalen
crazy,gek
forget,vergeten
everybody,iedereen
kid,kind
change,wijziging
gave,gaf
happen,gebeuren
damn,verdomd
five,vijf
drink,drankje
far,ver
knows,weet
its,zijn
whatever,wat dan ook
eyes,ogen
shut,gesloten
aren,zijn
hit,hit
taking,nemen
easy,eenvoudig
times,tijden
check,rekening
hands,handen
minutes,notulen
deal,overeenkomst
different,verschillend
means,middelen
point,punt
inside,binnen
makes,maakt
asked,gevraagd
somebody,iemand
mine,de mijne
making,maken
body,lichaam
afraid,bang
sleep,slaap
chance,kans
dear,Beste
quite,nogal
four,vier
anyway,Hoe dan ook
close,dichtbij
ain,in
party,feest
fun,plezier
against,tegen
word,woord
comes,komt
important,belangrijk
set,set
shall,zullen
story,verhaal
number,nummer
daughter,dochter
least,minst
waiting,wachten
hurt,pijn doen
wish,wens
moment,moment
fight,gevecht
week,week
husband,echtgenoot
girls,meisjes
rest,rest
married,getrouwd
fire,vuur
game,spel
nobody,niemand
mr,meneer
children,kinderen
side,kant
stand,stellage
read,lezen
though,hoewel
cut,snee
started,begonnen
sister,zus
supposed,verondersteld
between,tussen
child,kind
goes,gaat
hours,uren
speak,spreken
women,vrouwen
behind,achter
almost,bijna
truth,waarheid
blood,bloed
able,bekwaam
lady,dame
anymore,meer
playing,spelen
gets,krijgt
shot,schot
reason,reden
trouble,probleem
break,pauze
war,oorlog
city,stad
walk,wandeling
town,dorp
trust,vertrouwen
dr.,dokter
met,ontmoette
office,kantoor
question,vraag
brought,gebracht
yours,de jouwe
welcome,welkom
high,hoog
wow,Wauw
couple,stel
half,half
died,overleden
cool,koel
free,vrij
either,of
seems,lijkt
power,stroom
whoa,wow
bye,doei
buy,kopen
telling,vertellen
honey,Honing
tried,geprobeerd
front,voorkant
team,team
answer,antwoord
gun,geweer
boys,jongens
line,lijn
send,versturen
news,nieuws
stupid,dom
bed,bed
hurry,haast
full,vol
months,maanden
save,redden
sometimes,soms
become,worden
along,langs
hate,haat
food,voedsel
outside,buiten
light,licht
l,l
needs,behoeften
dog,hond
country,land
clear,duidelijk
order,volgorde
em,em
fact,feit
lord,heer
captain,kapitein
six,zes
hot,heet
funny,grappig
black,zwart
mrs.,mevrouw.
alive,in leven
pick,kiezen
feeling,gevoel
living,leven
cause,oorzaak
ahead,vooruit
lose,verliezen
king,koning
plan,plan
dinner,diner
sighs,zuchten
sort,soort
leaving,vertrekken
shouldn,zou moeten
running,rennen
boss,baas
alright,Akkoord
promise,belofte
taken,genomen
safe,veilig
ma,ma
book,boek
sent,verstuurd
white,wit
hour,uur
anybody,iemand
small,klein
perfect,perfect
‘cause,'oorzaak
lives,levens
special,speciaal
parents,ouders
s,S
john,John
himself,zichzelf
perhaps,misschien
sounds,geluiden
serious,serieus
sick,ziek
company,bedrijf
ha,ha
scared,bang
uncle,oom
poor,arm
red,rood
past,verleden
earth,aarde
possible,mogelijk
shoot,schieten
touch,aanraken
sound,geluid
top,bovenkant
ass,kont
laughs,lacht
cannot,kan niet
asking,vragen
win,winnen
glad,blij
control,controle
hmm,hmm
human,menselijk
drive,drijfveer
hair,haar
jack,jack
bitch,teef
luck,geluk
murder,moord
happens,gebeurt
air,lucht
ten,tien
daddy,papa
finally,Eindelijk
chuckles,grinnikt
fast,snel
cold,koud
seem,lijken
laughing,lachen
words,woorden
hospital,ziekenhuis
street,straat
hang,hangen
dance,dans
meeting,ontmoeting
till,tot
others,anderen
catch,vangst
follow,volgen
sense,gevoel
sex,seks
lie,leugen
evening,avond
master,meester
known,bekend
dream,droom
write,schrijven
million,miljoen
voice,stem
sweet,zoet
rather,liever
felt,gevoeld
sign,teken
lucky,gelukkig
somewhere,ergens
bet,inzet
o,O
jesus,Jezus
longer,langer
calling,roeping
worked,werkte
quiet,rustig
looked,keek
less,minder
pull,trekken
beat,verslaan
careful,voorzichtig
coffee,koffie
return,opbrengst
secret,geheim
weeks,weken
weren,waren
date,datum
seeing,zien
fall,val
given,gegeven
ooh,ooh
fault,schuld
straight,direct
takes,neemt
song,liedje
future,toekomst
gentlemen,Heren
loved,hield van
changed,veranderd
road,weg
calm,kalm
wonderful,prachtig
mad,boos
turned,draaide
drop,druppel
ladies,Dames
learn,leren
step,stap
absolutely,absoluut
early,vroeg
explain,uitleggen
clean,schoon
piece,deel
yesterday,gisteren
throw,gooien
picture,afbeelding
land,land
feet,voeten
wonder,wonder
questions,vragen
speaking,spreken
worth,waard
darling,Schat
dude,kerel
giving,geven
president,president
eye,oog
quick,snel
moving,verhuizen
figure,figuur
state,staat
strong,sterk
sam,Sam
none,geen
amazing,verbazingwekkend
ones,die
works,werken
act,handeling
needed,nodig
weird,vreemd
law,wet
worried,bezorgd
report,rapport
goodbye,tot ziens
missing,ontbrekend
choice,keuze
happening,gebeuren
chief,hoofd
wedding,bruiloft
strange,vreemd
general,algemeen
pain,pijn
‘am,'ben
kidding,grapje
decided,besloten
ya,ja
pass,doorgang
tired,moe
class,klas
officer,officier
kept,bewaard
wake,wakker worden
worse,slechter
busy,druk bezig
eh,eh
mistake,fout
kiss,kus
court,rechtbank
building,gebouw
finish,finish
during,tijdens
age,leeftijd
ship,schip
caught,gevangen
marry,trouwen
meant,bedoelde
sell,verkopen
dark,donker
watching,kijken
system,systeem
suppose,veronderstellen
evidence,bewijs
movie,film
ride,rijden
t,T
completely,volledig
mouth,mond
totally,helemaal
birthday,verjaardag
tv,TV
forgive,vergeven
born,geboren
imagine,voorstellen
information,informatie
instead,in plaats van
definitely,zeker
security,beveiliging
certainly,zeker
film,film
month,maand
lying,liegen
unless,tenzij
train,trein
seven,zeven
wear,dragen
clothes,kleren
michael,Michael
hotel,hotel
christmas,Kerstmis
attack,aanval
hasn,niet
round,ronde
expect,verwachten
sing,zingen
terrible,vreselijk
george,George
bag,tas
history,geschiedenis
blue,blauw
near,in de buurt van
broke,gebroken
station,station
seriously,ernstig
forever,voor altijd
david,David
frank,openhartig
except,behalve
thinks,denkt
message,bericht
entire,geheel
joe,Joe
table,tafel
talked,sprak
across,over
rock,steen
lovely,lief
handle,hendel
middle,midden
buddy,maatje
paid,betaald
protect,beschermen
using,gebruik
floor,vloer
ran,rende
swear,zweren
spend,uitgeven
situation,situatie
ring,ring
anywhere,overal
dangerous,gevaarlijk
bill,rekening
york,York
army,leger
lead,leiding
bought,gekocht
finished,afgerond
fair,eerlijk
sun,zon
letter,brief
fool,gek
attention,aandacht
club,club
simple,eenvoudig
interesting,interessant
space,ruimte
test,test
box,doos
group,groep
single,enkel
sitting,zittend
marriage,huwelijk
join,meedoen
fear,angst
d,D
peace,vrede
forgot,vergeten
force,kracht
short,kort
normal,normaal
charlie,Charlie
present,cadeau
enjoy,genieten
mike,Mike
crime,misdaad
horse,paard
ground,grond
american,Amerikaans
count,graaf
area,gebied
charge,aanval
honor,eer
lunch,lunch
miles,mijlen
radio,radio
idiot,idioot
ball,bal
surprise,verrassing
paper,papier
key,sleutel
boat,boot
quickly,snel
gold,goud
bar,bar
fish,vis
mark,markering
tom,Tom
wearing,dragen
crying,huilen
accident,ongeluk
government,regering
eight,acht
fell,viel
cover,omslag
certain,zeker
interested,geïnteresseerd
deep,diep
star,ster
sea,zee
agree,mee eens zijn
problems,problemen
detective,detective
prison,gevangenis
major,belangrijk
stick,stok
offer,aanbod
difficult,moeilijk
smart,slim
personal,persoonlijk
record,dossier
stopped,gestopt
hide,verbergen
whether,of
bank,bank
trip,reis
relax,ontspannen
america,Amerika
public,publiek
list,lijst
afternoon,middag
brain,brein
fix,repareren
bastard,bastaard
proud,trots
tea,thee
service,dienst
screaming,schreeuwen
forward,vooruit
angry,boos
park,park
soul,ziel
fighting,vechten
peter,Peter
rich,rijk
agent,tussenpersoon
blow,blazen
paul,Paul
dress,jurk
mary,Maria
missed,gemist
scene,scène
killing,doden
standing,staand
saved,opgeslagen
mm,mm
respect,respect
killer,moordenaar
ice,ijs
mess,troep
tough,moeilijk
feels,voelt
church,kerk
sad,verdrietig
cell,cel
drunk,dronken
share,deel
camera,camera
mm-hmm,mm-hmm
within,binnenin
card,kaart
fly,vlieg
ben,ben
girlfriend,vriendin
laugh,lachen
smell,geur
broken,gebroken
mum,mamma
honest,eerlijk
often,vaak
starting,beginnend
calls,oproepen
y,y
spent,besteed
third,derde
english,Engels
visit,bezoek
mama,mama
judge,rechter
window,raam
hungry,hongerig
dare,durven
relationship,relatie
moved,verplaatst
prove,bewijzen
private,privé
wall,muur
seat,stoel
i-i,i-i
position,positie
lieutenant,luitenant
realize,realiseren
lt,lt
especially,speciaal
machine,machine
walking,wandelen
art,kunst
pleasure,plezier
bloody,bloederig
college,middelbare school
french,frans
involved,betrokken
cry,schreeuw
became,werd
lived,leefde
impossible,onmogelijk
obviously,blijkbaar
neither,geen van beide
accept,accepteren
boyfriend,vriend
besides,daarnaast
queen,koningin
teacher,docent
cops,agenten
sake,belang
loves,houdt van
carry,dragen
teach,onderwijzen
apartment,appartement
upset,boos
green,groente
la,la
liked,vond leuk
cute,schattig
evil,kwaadaardig
professor,professor
contact,contact
joke,grap
cop,agent
huge,enorm
holy,heilig
store,winkel
jail,gevangenis
likes,likes
lawyer,advocaat
doubt,twijfel
continue,doorgaan
appreciate,waarderen
cat,kat
shop,winkel
driving,rijden
congratulations,Gefeliciteerd
wrote,schreef
village,dorp
quit,ontslag nemen
field,veld
james,James
wine,wijn
decision,beslissing
south,zuiden
sleeping,slapen
slow,langzaam
laughter,gelach
island,eiland
glass,glas
beginning,begin
cash,contant geld
dying,sterven
hundred,honderd
whose,waarvan
difference,verschil
plane,vliegtuig
push,duw
continues,gaat verder
mmm,mmm
singing,zingen
eating,eten
north,noorden
mrs,mevrouw
tree,boom
madam,mevrouw
gift,geschenk
truck,vrachtwagen
putting,plaatsen
bear,beer
board,bord
grab,grijpen
beer,bier
stuck,vast
magic,magie
support,steun
rules,regels
grunts,gegrom
partner,partner
reach,bereik
wind,wind
colonel,kolonel
max,max
immediately,onmiddellijk
seconds,seconden
thousand,duizend
gives,geeft
experience,ervaring
cheers,proost
victim,slachtoffer
upon,bij
computer,computer
christ,Christus
planet,planeet
promised,beloofd
bus,bus
henry,Henry
dirty,vies
search,zoekopdracht
staying,blijven
dreams,dromen
arrest,arrestatie
holding,bezit
suddenly,plotseling
usually,gebruikelijk
lots,veel
shoes,schoenen
er,er
jump,springen
rid,ontdoen
yo,yo
knock,klop
owe,schuldig zijn
harry,Harry
grow,groeien
worst,slechtst
river,rivier
aunt,tante
patient,geduldig
kitchen,keuken
aah,aah
fat,vet
passed,geslaagd
m,M
final,definitief
summer,zomer
bob,bob
listening,luisteren
escape,ontsnappen
everywhere,overal
moon,maan
arms,armen
turns,draait
address,adres
ow,nu
match,overeenkomst
gasps,hijgen
grand,groots
yep,ja
shh,shh
nervous,nerveus
de,de
choose,kiezen
themselves,zich
decide,beslissen
mate,maat
drinking,drinken
press,pers
bother,storen
foot,voet
hadn,had
blame,schuld
crap,stront
drugs,medicijnen
type,type
rings,ringen
mission,missie
named,genoemd
heaven,hemel
‘ii,‘ii
picked,gekozen
paris,Parijs
race,race
risk,risico
books,boeken
further,verder
danny,Danny
action,actie
allowed,toegestaan
orders,bestellingen
learned,geleerd
price,prijs
arrived,aangekomen
nick,Nick
otherwise,anders
pictures,foto's
fit,fit
smoke,rook
favor,gunst
played,gespeeld
notice,kennisgeving
awesome,geweldig
smile,glimlach
director,directeur
guard,bewaker
begin,beginnen
spot,plek
surprised,verrast
innocent,onschuldig
narrator,verteller
herself,zichzelf
london,Londen
feelings,gevoelens
enemy,vijand
battle,strijd
ourselves,onszelf
alex,Alex
dollars,dollars
allow,toestaan
nine,negen
gay,homo
department,afdeling
guilty,schuldig
apart,apart
earlier,eerder
duty,plicht
jim,Jim
suit,pak
bell,klok
west,west
legs,benen
hero,held
destroy,vernietigen
stage,fase
bunch,veel
according,volgens
chicken,kip
bigger,groter
grunting,gegrom
low,laag
helping,portie
admit,toegeven
closed,gesloten
names,namen
witness,getuige
upstairs,boven
arm,arm
steal,stelen
jimmy,Jimmy
kick,trap
twice,tweemaal
cross,kruis
ways,manieren
sergeant,sergeant
indeed,inderdaad
gas,gas
keeping,behouden
energy,energie
pregnant,zwanger
waste,afval
helped,hielp
fired,ontslagen
favorite,favoriet
tony,Tony
taste,smaak
locked,vergrendeld
places,plaatsen
writing,schrijven
adam,Adam
brothers,broers
starts,begint
prince,prins
form,formulier
sold,verkocht
silly,gek
mention,noemen
build,bouwen
throat,keel
hole,gat
figured,berekend
track,spoor
ringing,rinkelen
lock,slot
leg,been
above,boven
hiding,verbergen
steve,Steve
seemed,leek
breakfast,ontbijt
engine,motor
written,geschreven
complete,compleet
video,video
applause,applaus
however,Echter
pressure,druk
fresh,vers
weapon,wapen
sky,lucht
ms.,mevrouw.
stole,gestolen
study,studie
burn,brandwond
reading,lezing
crowd,menigte
treat,traktatie
roll,rollen
double,dubbele
spirit,geest
danger,Gevaar
cost,kosten
empty,leeg
level,niveau
memory,geheugen
itself,zelf
acting,acteren
interest,interesse
nose,neus
plans,plannen
following,volgend
bathroom,badkamer
built,gebouwd
closer,dichterbij
ray,straal
sarah,Sarah
band,band
groans,gekreun
apparently,blijkbaar
excited,opgewonden
richard,Richard
losing,verliezen
animals,dieren
flight,vlucht
nature,natuur
raise,salarisverhoging
pop,knal
client,cliënt
bomb,bom
neck,nek
suspect,verdachte
warm,warm
extra,extra
bottle,fles
van,bestelwagen
heavy,zwaar
mommy,mama
dogs,honden
wild,wild
ridiculous,belachelijk
simply,gewoon
lee,Lee
animal,dier
showed,toonde
billy,Billy
shooting,schieten
keeps,houdt
camp,kamp
guns,wapens
medical,medisch
shame,schaamte
hoping,hopen
whom,van wie
bird,vogel
majesty,majesteit
flowers,bloemen
famous,bekend
asleep,in slaap
beauty,schoonheid
driver,bestuurder
keys,sleutels
rain,regen
awful,vreselijk
large,groot
local,lokaal
deserve,verdienen
goddamn,verdomme
stone,steen
jane,Jane
grace,elegantie
consider,overwegen
weekend,weekend
wondering,zich afvragen
lay,liggen
plenty,veel
willing,bereid
pants,broek
sweetheart,Schatje
skin,huid
excellent,uitstekend
asshole,klootzak
beach,strand
c,C
faith,vertrouwen
beg,smeken
fuckin,verdomme
responsible,verantwoordelijk
military,militair
cheering,gejuich
opportunity,mogelijkheid
common,gewoon
bottom,onderkant
german,duits
whoever,wie dan ook
cook,kok
walked,liep
papers,documenten
justice,gerechtigheid
hall,hal
commander,commandant
drug,medicijn
main,voornaamst
knife,mes
devil,duivel
necessary,nodig
although,hoewel
princess,prinses
lights,lichten
flying,vliegen
dick,Dick
rose,roos
knowing,wetende
clearly,duidelijk
hat,hoed
agreed,overeengekomen
johnny,Johnny
corner,hoek
code,code
note,opmerking
tommy,Tommy
due,vanwege
correct,juist
apologize,verontschuldigen
language,taal
stars,sterren
faster,sneller
cars,auto's
folks,mensen
bullshit,onzin
i.,i.
fellow,vakgenoot
several,meerdere
grandma,oma
shows,toont
leader,leider
leaves,bladeren
restaurant,restaurant
east,oosten
shouting,schreeuwen
blind,blind
ghost,spook
cup,beker
gotten,gekregen
tight,nauw
conversation,gesprek
tells,vertelt
lies,leugens
nor,noch
pulled,getrokken
hanging,hangend
speed,snelheid
stories,verhalen
health,gezondheid
advice,advies
held,gehouden
uh-huh,uh-huh
murdered,vermoord
beyond,voorbij
rule,regel
hardly,nauwelijks
possibly,mogelijk
inspector,inspecteur
cousin,neef
trial,proces
emergency,noodgeval
ought,zou moeten
eddie,Eddie
somehow,op de een of andere manier
hearing,gehoor
states,staten
account,rekening
spoke,sprak
file,bestand
understood,begrepen
angel,engel
tape,tape
milk,melk
powerful,krachtig
weapons,wapens
practice,oefening
manager,manager
pardon,Pardon
vote,stemmen
jake,Jake
national,nationaal
career,carrière
minister,minister
super,super
taught,onderwezen
robert,Robert
biggest,grootste
plays,speelt
natural,natuurlijk
dancing,dansen
copy,kopiëren
plus,plus
martin,Martin
cake,taart
freedom,vrijheid
among,te midden van
breath,adem
operation,operatie
chris,Chris
crew,bemanning
challenge,uitdaging
market,markt
meat,vlees
towards,richting
bringing,brengen
dropped,liet vallen
student,student
lied,gelogen
strength,kracht
size,maat
breathe,ademen
color,kleur
monster,monster
loud,luidruchtig
photo,foto
aw,aw
nearly,bijna
sight,zicht
greatest,grootste
games,spellen
bridge,brug
dressed,gekleed
arrested,gearresteerd
horrible,vreselijk
coach,coach
planning,planning
checked,gecontroleerd
breaking,breken
noticed,merkte
fantastic,fantastisch
screams,geschreeuw
serve,dienen
ideas,ideeën
investigation,onderzoek
center,centrum
older,ouder
pack,verpakking
soldiers,soldaten
nonsense,onzin
doc,document
project,project
training,opleiding
example,voorbeeld
trick,truc
prepared,voorbereid
science,wetenschap
united,verenigd
travel,reis
incredible,ongelooflijk
grandpa,opa
paying,betalen
character,karakter
teeth,tanden
criminal,crimineel
charles,Charles
chinese,Chinese
truly,echt
honestly,eerlijk gezegd
bro,bro
survive,overleven
bobby,Bobby
target,doel
feed,voer
nurse,verpleegkundige
e,e
fake,nep
records,records
breathing,ademhaling
sweetie,schatje
numbers,cijfers
oil,olie
suicide,zelfmoord
belong,behoren
whoo,whoo
perfectly,perfect
amy,Amy
forgotten,vergeten
remain,blijven
original,origineel
papa,papa
onto,op
concerned,bezorgd
credit,credit
ugh,bah
invited,uitgenodigd
discuss,bespreken
research,onderzoek
easier,makkelijker
view,weergave
chair,stoel
hurts,doet pijn
strike,staking
roger,Roger
fill,vullen
condition,voorwaarde
mountain,berg
dr,dr
nowhere,nergens
sheriff,sheriff
kim,Kim
turning,draaien
brown,bruin
recognize,herkennen
heads,hoofden
audience,publiek
‘all,'alle
jealous,jaloers
pretend,doen alsof
society,maatschappij
finding,vinden
shirt,shirt
comfortable,comfortabel
meaning,betekenis
guest,gast
pieces,stukken
dry,droog
letting,laten
began,begon
aye,ja
jeff,Jeff
female,vrouwelijk
release,uitgave
ho,ho
cards,kaarten
pray,bidden
unfortunately,Helaas
balls,ballen
destroyed,vernietigd
ended,eindigde
universe,universum
prepare,voorbereiden
opinion,mening
movies,films
soldier,soldaat
wash,wassen
program,programma
heat,warmte
usual,gebruikelijke
ticket,ticket
stolen,gestolen
prefer,de voorkeur geven aan
aware,bewust
surely,zeker
male,mannelijk
base,baseren
matters,zaken
lift,tillen
lab,laboratorium
command,commando
proof,bewijs
cream,room
selling,verkopen
believed,geloofd
create,creëren
h,H
afford,veroorloven
sunday,zondag
total,totaal
dumb,dom
threw,gooide
france,Frankrijk
birth,geboorte
created,gemaakt
realized,gerealiseerd
british,Brits
noise,lawaai
nuts,noten
students,studenten
birds,vogels
social,sociaal
brilliant,briljant
bodies,lichamen
tie,stropdas
opened,geopend
ours,die van ons
bucks,bokken
kevin,Kevin
mister,meneer
ugly,lelijk
ryan,Ryan
focus,focus
dan,Dan
opens,opent
exist,bestaan
followed,gevolgd
england,Engeland
draw,tekenen
purpose,doel
letters,letters
daniel,daniël
opening,opening
bullet,kogel
anna,Anna
lately,de laatste tijd
stayed,bleef
falling,vallen
season,seizoen
ends,eindigt
suggest,voorstellen
joy,vreugde
distance,afstand
responsibility,verantwoordelijkheid
whenever,wanneer
issue,probleem
thousands,duizenden
process,proces
sword,zwaard
shower,douche
weak,zwak
fucked,verneukt
lonely,alleen
happiness,geluk
eric,Eric
tiny,klein
desk,bureau
pool,zwembad
property,eigendom
forced,gedwongen
settle,schikken
indistinct,onduidelijk
weight,gewicht
received,ontvangen
gang,bende
bite,beet
friday,vrijdag
disappeared,verdwenen
interview,interview
expecting,verwachten
kinda,nogal
surgery,chirurgie
horses,paarden
mayor,burgemeester
babe,schatje
ancient,oud
handsome,knap
thomas,Thomas
saturday,zaterdag
staff,personeel
lines,lijnen
unit,eenheid
fan,fan
gentleman,heer
introduce,introduceren
fate,lot
split,split
recently,onlangs
expected,verwacht
add,toevoegen
ordered,besteld
slowly,langzaam
alarm,alarm
member,lid
slept,sliepen
signed,ondertekend
enter,binnenkomen
spanish,Spaans
garden,tuin
brings,brengt
brave,moedig
pig,varken
model,model
finger,vinger
medicine,geneesmiddel
access,toegang
failed,mislukt
flat,vlak
easily,gemakkelijk
discovered,ontdekt
based,gebaseerd
screw,schroef
insane,gestoord
cares,zorgen
weather,weer
fingers,vingers
san,san
scott,Scott
path,pad
soft,zacht
harm,leed
style,stijl
community,gemeenschap
sees,ziet
basically,in principe
al,al
signal,signaal
nope,Nee
spare,sparen
speech,toespraak
covered,bedekt
shake,schudden
loose,loszittend
snow,sneeuw
russian,Russisch
lake,meer
bright,helder
roof,dak
ohh,ohh
sending,verzenden
paint,verf
remind,herinneren
pal,vriend
naked,naakt
post,na
sugar,suiker
heading,kop
streets,straten
damage,schade
silence,stilte
doors,deuren
pete,pete
ed,ed
success,succes
wet,nat
nah,nee
amount,hoeveelheid
members,leden
kate,Kate
manage,beheren
safety,veiligheid
returned,teruggekeerd
harder,harder
fbi,FBI
block,blok
showing,tonen
fancy,modieus
chef,chef
contract,contract
dig,graven
chest,borst
goodbye,tot ziens
drinks,drankjes
dave,Dave
buried,begraven
brian,Brian
trade,handel
journey,reis
stomach,maag
changes,veranderingen
details,details
thoughts,gedachten
divorce,scheiding
funeral,begrafenis
maria,Maria
football,voetbal
reality,realiteit
theory,theorie
gosh,jeetje
ruined,verwoest
gate,hek
william,Willem
spread,spreiding
outta,uit
japanese,Japanse
sudden,plotseling
coat,jas
sooner,eerder
cheese,kaas
larry,Larry
spring,lente
page,pagina
ears,oren
simon,Simon
castle,kasteel
hidden,verborgen
storm,storm
cos,cos
personally,persoonlijk
artist,artiest
hill,heuvel
exciting,spannend
permission,toestemming
jerry,Jerry
expensive,duur
tickets,tickets
forest,woud
barely,nauwelijks
eggs,eieren
goin,gaan
regret,spijt
lesson,les
lover,minnaar
bread,brood
andy,Andy
subject,onderwerp
legal,juridisch
growing,groeiend
ill,ziek
jason,Jason
mood,stemming
owner,eigenaar
caused,veroorzaakte
beeping,piepen
points,punten
dating,daten
loss,verlies
secretary,secretaris
revenge,wraak
santa,kerstman
likely,waarschijnlijk
rent,huur
connection,verbinding
assistant,assistent
reasons,redenen
yelling,schreeuwen
painting,schilderen
trees,bomen
doctors,artsen
rush,haast
foreign,buitenlands
rough,ruw
murderer,moordenaar
century,eeuw
nights,nachten
pair,paar
runs,loopt
pocket,zak
farm,boerderij
matt,mat
bike,fiets
obvious,overduidelijk
ate,at
grew,groeide
professional,professioneel
tim,tijd
goodness,goedheid
parts,onderdelen
alan,Alan
university,universiteit
square,vierkant
grandfather,grootvader
europe,Europa
genius,genie
cases,gevallen
ruin,vernietigen
winter,winter
tongue,tong
memories,herinneringen
da,da
buying,kopen
cancer,kanker
clock,klok
ocean,oceaan
dna,DNA
liar,leugenaar
tour,tour
thief,dief
bleep,piep
lisa,Lisa
rights,rechten
including,inbegrepen
competition,concurrentie
smith,smid
planned,gepland
emily,Emily
boring,saai
victims,slachtoffers
