you,너
great,엄청난
those,저것들
last,마지막
better,더 나은
everything,모든 것
told,말했다
mr.,씨.
new,새로운
things,것들
always,언제나
keep,유지하다
long,긴
years,연령
leave,떠나다
does,하다
money,돈
around,약
doesn,안
name,이름
place,장소
ever,항상
feel,느끼다
guys,얘들아
father,아버지
guy,남자
made,만들어진
old,오래된
isn,아닙니다
which,어느
big,큰
lot,많은
done,완료
hello,안녕하세요
nice,멋진
believe,믿다
girl,소녀
someone,누구
fine,괜찮은
thanks,감사해요
wanted,원함
kind,친절한
coming,오는
house,집
every,모든
ok,좋아요
through,~을 통해
being,존재
course,강의
stay,머무르다
left,왼쪽
dad,아빠
enough,충분한
happened,일어났다
came,왔다
may,5월
mother,어머니
wrong,잘못된
world,세계
bad,나쁜
might,~할 것 같다
three,삼
today,오늘
listen,듣다
another,또 다른
understand,이해하다
hear,듣다
remember,기억하다
ask,묻다
own,소유하다
same,같은
show,보여주다
else,또 다른
kill,죽이다
talking,말하는
found,설립하다
next,다음
getting,구하는
care,케어
car,자동차
looking,찾고 있는
son,아들
try,노력하다
woman,여성
went,갔다
hi,안녕
dead,죽은
many,많은
mind,정신
wasn,아니
friend,친구
best,최상의
mom,엄마
hell,지옥
morning,아침
trying,견딜 수 없는
boy,소년
together,함께
yourself,당신 자신
job,직업
saw,봤다
family,가족
real,진짜
without,없이
baby,아기
room,방
wouldn,~하지 않을 것이다
already,이미
move,이동하다
most,최대
seen,보였다
live,살다
miss,놓치다
actually,실제로
huh,뭐
shit,똥
both,둘 다
heard,들었다
once,한 번
ready,준비가 된
head,머리
called,~라고 불리는
used,사용된
idea,아이디어
knew,알았다
hold,잡고 있다
happy,행복하다
door,문
such,그런
fuck,못쓰게 만들다
brother,형제
also,또한
pretty,예쁜
bit,조금
took,가지고 갔다
haven,항구
yet,아직
men,남자들
whole,전체
start,시작
use,사용
while,~하는 동안
since,~부터
wife,부인
days,날
guess,추측하다
tomorrow,내일
matter,문제
meet,만나다
bring,가져오다
tonight,오늘 밤
everyone,모든 사람
run,달리다
wanna,원해
hard,딱딱한
ah,아
alone,홀로
myself,내 자신
school,학교
gone,다 쓴
um,음
end,끝
saying,속담
phone,핸드폰
play,놀다
looks,외모
couldn,할 수 없었다
fucking,씨발
problem,문제
few,약간의
friends,친구
gotta,해야 해
ago,~ 전에
open,열려 있는
anyone,누구나
killed,죽였다
hope,희망
face,얼굴
until,~까지
lost,잃어버린
police,경찰
excuse,변명
turn,회전하다
business,사업
case,사례
wants,원해
says,말한다
true,진실
die,주사위
heart,마음
soon,곧
each,각
worry,걱정하다
later,나중에
year,년도
watch,보다
music,음악
hand,손
having,가지고
probably,아마
beautiful,아름다운
doctor,의사
sit,앉다
eat,먹다
thinking,생각
young,어린
second,두번째
working,일하고 있는
water,물
person,사람
part,부분
kids,어린이
late,늦은
stuff,물건
exactly,정확히
under,아래에
death,죽음
minute,분
pay,지불하다
crazy,미친
forget,잊다
everybody,여러분
kid,어린이
change,변화
gave,주었다
happen,일어나다
damn,젠장
five,다섯
drink,마시다
far,멀리
knows,알고 있다
its,그것은
whatever,무엇이든
eyes,눈
shut,닫다
aren,아닙니다
hit,때리다
taking,취득
easy,쉬운
times,타임스
check,확인하다
hands,소유
minutes,분
deal,거래
different,다른
means,수단
point,가리키다
inside,내부에
makes,만들다
asked,물었습니다
somebody,어떤 사람
mine,내 거
making,만들기
body,몸
afraid,두려워하는
sleep,잠
chance,가능성
dear,~에게
quite,상당히
four,넷
anyway,그래도
close,닫다
ain,아인
party,파티
fun,재미있는
against,~에 맞서
word,단어
comes,온다
important,중요한
set,세트
shall,~일 것이다
story,이야기
number,숫자
daughter,딸
least,최소
waiting,대기 중
hurt,아프다
wish,소망
moment,순간
fight,싸움
week,주
husband,남편
girls,소녀들
rest,나머지
married,기혼
fire,불
game,게임
nobody,아무도
mr,~ 씨
children,어린이들
side,옆
stand,서다
read,읽다
though,그렇지만
cut,자르다
started,시작됨
sister,자매
supposed,추정된
between,~ 사이
child,어린이
goes,간다
hours,시간
speak,말하다
women,여성
behind,뒤에
almost,거의
truth,진실
blood,피
able,할 수 있는
lady,숙녀
anymore,더 이상
playing,연주하는
gets,얻다
shot,발사
reason,이유
trouble,문제
break,부서지다
war,전쟁
city,도시
walk,걷다
town,도시
trust,신뢰하다
dr.,박사
met,만났다
office,사무실
question,질문
brought,가져왔다
yours,당신 것
welcome,환영
high,높은
wow,우와
couple,커플
half,반
died,죽었다
cool,시원한
free,무료
either,어느 하나
seems,보이는 것 같다
power,힘
whoa,워
bye,안녕
buy,구입하다
telling,말함
honey,꿀
tried,시험을 마친
front,앞쪽
team,팀
answer,답변
gun,총
boys,소년들
line,선
send,보내다
news,소식
stupid,멍청한
bed,침대
hurry,서두르다
full,가득한
months,개월
save,구하다
sometimes,때때로
become,~이 되다
along,~을 따라
hate,싫어하다
food,음식
outside,밖의
light,빛
l,엘
needs,필요함
dog,개
country,국가
clear,분명한
order,주문하다
em,여자 이름
fact,사실
lord,주님
captain,선장
six,육
hot,더운
funny,재미있는
black,검은색
mrs.,부인
alive,살아 있는
pick,선택하다
feeling,감정
living,생활
cause,원인
ahead,앞으로
lose,잃다
king,왕
plan,계획
dinner,저녁
sighs,한숨
sort,종류
leaving,퇴거
shouldn,~해야 한다
running,달리기
boss,사장
alright,괜찮은
promise,약속하다
taken,찍힌
safe,안전한
ma,엄마
book,책
sent,전송된
white,하얀색
hour,시간
anybody,아무도
small,작은
perfect,완벽한
‘cause,'원인
lives,삶
special,특별한
parents,부모
s,에스
john,남자
himself,그 자신
perhaps,아마도
sounds,소리
serious,심각한
sick,아픈
company,회사
ha,하아
scared,무서운
uncle,삼촌
poor,가난한
red,빨간색
past,과거
earth,지구
possible,가능한
shoot,사격
touch,만지다
sound,소리
top,맨 위
ass,나귀
laughs,웃음
cannot,할 수 없다
asking,질문
win,이기다
glad,기쁜
control,제어
hmm,흠
human,인간
drive,운전하다
hair,머리카락
jack,잭
bitch,암캐
luck,운
murder,살인
happens,일어난다
air,공기
ten,열
daddy,아빠
finally,마지막으로
chuckles,낄낄거림
fast,빠른
cold,추운
seem,~인 것 같다
laughing,웃음
words,단어
hospital,병원
street,거리
hang,걸다
dance,춤
meeting,회의
till,...까지
others,다른 사람들
catch,잡다
follow,따르다
sense,감각
sex,섹스
lie,거짓말하다
evening,저녁
master,주인
known,알려진
dream,꿈
write,쓰다
million,백만
voice,목소리
sweet,달콤한
rather,꽤
felt,펠트
sign,징후
lucky,운이 좋은
somewhere,어딘가에
bet,내기
o,영형
jesus,예수
longer,더 길게
calling,부름
worked,일했다
quiet,조용한
looked,보았다
less,더 적은
pull,당기다
beat,이기다
careful,주의 깊은
coffee,커피
return,반품
secret,비밀
weeks,몇 주
weren,아니었다
date,날짜
seeing,봄
fall,떨어지다
given,주어진
ooh,오
fault,잘못
straight,똑바로
takes,가져간다
song,노래
future,미래
gentlemen,신사
loved,사랑받는
changed,변경됨
road,도로
calm,침착한
wonderful,아주 멋진
mad,미친
turned,돌린
drop,떨어지다
ladies,숙녀
learn,배우다
step,단계
absolutely,전적으로
early,일찍
explain,설명하다
clean,깨끗한
piece,조각
yesterday,어제
throw,던지다
picture,그림
land,땅
feet,피트
wonder,궁금하다
questions,질문
speaking,말하기
worth,가치
darling,여보
dude,녀석
giving,주는 것
president,대통령
eye,눈
quick,빠른
moving,움직이는
figure,수치
state,상태
strong,강한
sam,샘
none,없음
amazing,놀라운
ones,하나
works,공장
act,행동
needed,필요한
weird,기이한
law,법
worried,걱정하는
report,보고서
goodbye,안녕히 가세요
missing,없어진
choice,선택
happening,사고
chief,셰프
wedding,혼례
strange,이상한
general,일반적인
pain,통증
‘am,'오전
kidding,농담이야
decided,결정했다
ya,당신
pass,통과하다
tired,피곤한
class,수업
officer,장교
kept,유지된
wake,깨어 있다
worse,더 나쁜
busy,바쁘다
eh,뭐라고
mistake,실수
kiss,키스
court,법원
building,건물
finish,마치다
during,~ 동안
age,나이
ship,배
caught,잡았다
marry,결혼하다
meant,의미했다
sell,팔다
dark,어두운
watching,보고 있다
system,체계
suppose,가정하다
evidence,증거
movie,영화
ride,타다
t,티
completely,완전히
mouth,입
totally,완전히
birthday,생일
tv,TV
forgive,용서하다
born,태어나다
imagine,상상하다
information,정보
instead,대신에
definitely,분명히
security,보안
certainly,틀림없이
film,영화
month,월
lying,거짓말하는
unless,~하지 않는 한
train,기차
seven,일곱
wear,입다
clothes,옷
michael,남자 이름
hotel,호텔
christmas,크리스마스
attack,공격
hasn,안
round,둥근
expect,예상하다
sing,노래하다
terrible,끔찍한
george,성 조지
bag,가방
history,역사
blue,파란색
near,가까운
broke,부서진
station,역
seriously,진지하게
forever,영원히
david,데이비드
frank,솔직한
except,제외하고
thinks,생각한다
message,메시지
entire,전체
joe,조
table,테이블
talked,이야기했다
across,가로질러
rock,바위
lovely,사랑스러운
handle,핸들
middle,가운데
buddy,친구
paid,유급의
protect,보호하다
using,사용
floor,바닥
ran,달렸다
swear,욕을 하다
spend,경비
situation,상황
ring,반지
anywhere,어딘가에
dangerous,위험한
bill,청구서
york,요크
army,군대
lead,선두
bought,구입했다
finished,완성된
fair,공정한
sun,해
letter,편지
fool,바보
attention,주목
club,클럽
simple,단순한
interesting,흥미로운
space,공간
test,시험
box,상자
group,그룹
single,하나의
sitting,좌석
marriage,결혼
join,가입하다
fear,두려움
d,디
peace,평화
forgot,잊어버렸다
force,힘
short,짧은
normal,정상
charlie,백인
present,현재의
enjoy,즐기다
mike,마이크
crime,범죄
horse,말
ground,지면
american,미국 사람
count,세다
area,영역
charge,요금
honor,명예
lunch,점심
miles,마일
radio,라디오
idiot,바보
ball,공
surprise,놀라다
paper,종이
key,열쇠
boat,보트
quickly,빠르게
gold,금
bar,술집
fish,물고기
mark,표시
tom,남자 이름
wearing,착용
crying,울음소리
accident,사고
government,정부
eight,여덟
fell,쓰러뜨리다
cover,씌우다
certain,확실한
interested,관심 있는
deep,깊은
star,별
sea,바다
agree,동의하다
problems,문제
detective,형사
prison,감옥
major,주요한
stick,막대
offer,권하다
difficult,어려운
smart,똑똑한
personal,개인의
record,기록
stopped,멈췄습니다
hide,숨다
whether,~이든
bank,은행
trip,여행
relax,안심하다
america,미국
public,공공의
list,목록
afternoon,오후
brain,뇌
fix,고치다
bastard,새끼
proud,자랑스러운
tea,차
service,서비스
screaming,외침
forward,앞으로
angry,화난
park,공원
soul,영혼
fighting,화이팅
peter,베드로
rich,부자
agent,대리인
blow,불다
paul,폴
dress,드레스
mary,메리
missed,놓쳤어요
scene,장면
killing,죽이는
standing,서 있는
saved,저장됨
mm,mm
respect,존경
killer,살인자
ice,얼음
mess,엉망
tough,힘든
feels,느껴져
church,교회
sad,슬픈
cell,셀
drunk,술 취한
share,공유하다
camera,카메라
mm-hmm,음흠
within,이내에
card,카드
fly,파리
ben,벤
girlfriend,여자 친구
laugh,웃다
smell,냄새가 나다
broken,고장난
mum,침묵
honest,솔직한
often,자주
starting,시작
calls,통화
y,와이
spent,소비된
third,제삼
english,영어
visit,방문하다
mama,엄마
judge,판사
window,창문
hungry,배고픈
dare,도전
relationship,관계
moved,움직이는
prove,입증하다
private,사적인
wall,벽
seat,좌석
i-i,아이-아이
position,위치
lieutenant,대장 보좌
realize,깨닫다
lt,lt
especially,특히
machine,기계
walking,걷는
art,미술
pleasure,기쁨
bloody,피의
college,대학
french,프랑스 국민
involved,관련된
cry,울다
became,~가 되었다
lived,살았다
impossible,불가능한
obviously,확실히
neither,어느 것도 아니다
accept,수용하다
boyfriend,남자 친구
besides,게다가
queen,여왕
teacher,선생님
cops,경찰
sake,동기
loves,사랑
carry,나르다
teach,가르치다
apartment,아파트
upset,속상한
green,녹색
la,라
liked,좋아함
cute,귀여운
evil,사악한
professor,교수
contact,연락하다
joke,농담
cop,순경
huge,거대한
holy,거룩한
store,가게
jail,교도소
likes,좋아요
lawyer,변호사
doubt,의심
continue,계속하다
appreciate,고마워하다
cat,고양이
shop,가게
driving,운전
congratulations,축하해요
wrote,썼다
village,마을
quit,그만두다
field,필드
james,제임스
wine,와인
decision,결정
south,남쪽
sleeping,자고 있는
slow,느린
laughter,웃음
island,섬
glass,유리
beginning,시작
cash,현금
dying,사망
hundred,백
whose,누구의
difference,차이점
plane,비행기
push,푸시
continues,계속됩니다
mmm,음음
singing,명음
eating,식사
north,북쪽
mrs,부인
tree,나무
madam,부인
gift,선물
truck,트럭
putting,놓기
bear,곰
board,판자
grab,붙잡다
beer,맥주
stuck,갇힌
magic,마법
support,지원하다
rules,규칙
grunts,끙끙거리는 소리
partner,파트너
reach,도달하다
wind,바람
colonel,대령
max,최대
immediately,즉시
seconds,초
thousand,천
gives,준다
experience,경험
cheers,건배
victim,피해자
upon,...에
computer,컴퓨터
christ,그리스도
planet,행성
promised,약속했다
bus,버스
henry,헨리
dirty,더러운
search,찾다
staying,체재
dreams,꿈
arrest,체포
holding,보유
suddenly,갑자기
usually,대개
lots,많은
shoes,신발
er,어
jump,도약
rid,제거하다
yo,에야디야
knock,노크
owe,빚지다
harry,괴롭히다
grow,자라다
worst,최악의
river,강
aunt,이모
patient,인내심 있는
kitchen,주방
aah,아아
fat,지방
passed,통과됨
m,중
final,결정적인
summer,여름
bob,단발
listening,청취
escape,탈출하다
everywhere,어디에나
moon,달
arms,무기
turns,회전
address,주소
ow,ow
match,성냥
gasps,숨가쁨
grand,멋진
yep,네
shh,쉬잇
nervous,불안한
de,드
choose,선택하다
themselves,그들 자신
decide,결정하다
mate,친구
drinking,음주
press,누르다
bother,신경 쓰다
foot,발
hadn,가지지 않았었다
blame,탓하다
crap,쓰레기
drugs,약제
type,유형
rings,반지
mission,사명
named,이름 붙여진
heaven,천국
‘ii,‘ii
picked,선택된
paris,파리
race,경주
risk,위험
books,서적
further,더 나아가
danny,대니
action,행동
allowed,허용된
orders,명령
learned,배웠다
price,가격
arrived,도착했다
nick,건강 상태
otherwise,그렇지 않으면
pictures,영화
fit,맞다
smoke,연기
favor,호의
played,플레이됨
notice,알아채다
awesome,엄청난
smile,웃다
director,감독
guard,경비원
begin,시작하다
spot,점
surprised,놀란
innocent,순결한
narrator,내레이터
herself,그녀 자신
london,런던
feelings,감정
enemy,적
battle,전투
ourselves,우리 스스로
alex,알렉스
dollars,불화
allow,허용하다
nine,아홉
gay,게이
department,부서
guilty,죄책감이 드는
apart,따로
earlier,더 일찍
duty,의무
jim,짐
suit,정장
bell,벨
west,서쪽
legs,다리
hero,영웅
destroy,파괴하다
stage,단계
bunch,다발
according,~에 따라
chicken,닭
bigger,더 큰
grunting,끙끙거리는 소리
low,낮은
helping,거들기
admit,인정하다
closed,닫은
names,이름
witness,증인
upstairs,높은 곳에 있는
arm,팔
steal,훔치다
jimmy,조립식 쇠지레
kick,차기
twice,두 배
cross,십자가
ways,방법
sergeant,중사
indeed,물론
gas,가스
keeping,유지
energy,에너지
pregnant,임신한
waste,쓰레기
helped,도왔다
fired,해고된
favorite,가장 좋아하는
tony,토니
taste,맛
locked,잠김
places,장소
writing,글쓰기
adam,아담
brothers,형제
starts,시작
prince,왕자
form,형태
sold,판매된
silly,바보 같은
mention,언급하다
build,짓다
throat,목
hole,구멍
figured,문채 있는
track,길
ringing,울리는
lock,잠그다
leg,다리
above,~ 위에
hiding,숨김
steve,스티브
seemed,그런 것 같았다
breakfast,아침
engine,엔진
written,쓴
complete,완벽한
video,동영상
applause,박수 갈채
however,하지만
pressure,압력
fresh,신선한
weapon,무기
sky,하늘
ms.,미스.
stole,스톨
study,공부하다
burn,불타다
reading,독서
crowd,군중
treat,대하다
roll,연타
double,더블
spirit,영혼
danger,위험
cost,비용
empty,비어 있는
level,수준
memory,메모리
itself,그 자체
acting,연기
interest,관심
nose,코
plans,계획
following,수행원
bathroom,화장실
built,세워짐
closer,더 가까이
ray,레이
sarah,사라
band,밴드
groans,신음 소리
apparently,보기에
excited,흥분한
richard,리처드
losing,지는
animals,동물
flight,비행
nature,자연
raise,들어올리다
pop,팝
client,고객
bomb,폭탄
neck,목
suspect,의심하다
warm,따뜻한
extra,추가의
bottle,병
van,봉고차
heavy,무거운
mommy,엄마
dogs,개
wild,야생의
ridiculous,말도 안 되는
simply,간단히
lee,이씨
animal,동물
showed,보여줬다
billy,곤봉
shooting,촬영
keeps,보관
camp,캠프
guns,총포
medical,의료
shame,창피
hoping,바라면서
whom,누구
bird,새
majesty,위엄
flowers,월경
famous,유명한
asleep,죽어
beauty,아름다움
driver,운전사
keys,열쇠
rain,비
awful,끔찍한
large,크기가 큰
local,현지의
deserve,~ 받을 만하다
goddamn,젠장
stone,결석
jane,계집애
grace,우아함
consider,고려하다
weekend,주말
wondering,궁금해하다
lay,놓다
plenty,풍부한
willing,자발적인
pants,바지
sweetheart,여보
skin,피부
excellent,훌륭한
asshole,항문
beach,해변
c,기음
faith,믿음
beg,빌다
fuckin,젠장
responsible,책임이 있는
military,군대
cheering,응원하다
opportunity,기회
common,흔한
bottom,맨 아래
german,독일 사람
whoever,누구나
cook,요리하다
walked,걸었다
papers,서류
justice,정당성
hall,홀
commander,사령관
drug,의약품
main,기본
knife,칼
devil,악마
necessary,필요한
although,하지만
princess,공주
lights,허파
flying,나는
dick,형사
rose,장미
knowing,앎
clearly,분명히
hat,모자
agreed,동의함
johnny,남자
corner,모서리
code,암호
note,메모
tommy,나사 돌리개
due,~로 인한
correct,옳은
apologize,사과하다
language,언어
stars,별들
faster,더 빠르게
cars,자동차
folks,사람들
bullshit,엉터리
i.,나.
fellow,사람
several,여러 개의
grandma,할머니
shows,쇼
leader,지도자
leaves,나뭇잎
restaurant,식당
east,동쪽
shouting,외침
blind,눈이 먼
ghost,귀신
cup,컵
gotten,얻었다
tight,단단한
conversation,대화
tells,말해
lies,거짓말
nor,...도 아니다
pulled,당겨진
hanging,교수형
speed,속도
stories,이야기들
health,건강
advice,조언
held,유지된
uh-huh,어허
murdered,살해당하다
beyond,그 너머에
rule,규칙
hardly,거의 ~ 아니다
possibly,혹시
inspector,검사관
cousin,사촌
trial,재판
emergency,비상
ought,영
eddie,에디
somehow,어떻게든
hearing,듣기
states,주
account,계정
spoke,살
file,파일
understood,이해했다
angel,천사
tape,줄자
milk,우유
powerful,강한
weapons,무기
practice,관행
manager,관리자
pardon,뭐라고요
vote,투표
jake,제이크
national,국가의
career,직업
minister,장관
super,감독자
taught,지도 받은
robert,로버트
biggest,가장 큰
plays,플레이
natural,자연스러운
dancing,댄스
copy,복사
plus,...을 더한
martin,남자 이름
cake,케이크
freedom,자유
among,~ 중에
breath,호흡
operation,작업
chris,크리스
crew,승무원
challenge,도전
market,시장
meat,고기
towards,...쪽으로
bringing,가져오는
dropped,떨어뜨렸다
student,학생
lied,거짓말을 했다
strength,힘
size,크기
breathe,숨 쉬다
color,색상
monster,괴물
loud,시끄러운
photo,사진
aw,아
nearly,거의
sight,시력
greatest,가장 큰
games,계략
bridge,다리
dressed,옷을 입었다
arrested,체포됨
horrible,끔찍해
coach,코치
planning,계획
checked,확인됨
breaking,파괴
noticed,알아차렸다
fantastic,환상적
screams,비명
serve,제공하다
ideas,아이디어
investigation,조사
center,센터
older,나이든
pack,팩
soldiers,군인들
nonsense,무의미한 말
doc,의사
project,프로젝트
training,훈련
example,예
trick,장난
prepared,준비됨
science,과학
united,연합
travel,여행하다
incredible,믿을 수 없는
grandpa,할아버지
paying,지불
character,성격
teeth,이
criminal,범인
charles,찰스
chinese,중국인
truly,진심으로
honestly,솔직히
bro,형
survive,생존하다
bobby,순경
target,목표
feed,밥을 먹이다
nurse,간호사
e,이자형
fake,가짜
records,기록
breathing,호흡
sweetie,사탕
numbers,숫자
oil,기름
suicide,자살
belong,제자리에 있다
whoo,후
perfectly,아주
amy,에이미
forgotten,잊혀진
remain,유지하다
original,원래의
papa,아빠
onto,위로
concerned,관심 있는
credit,신용 거래
ugh,으윽
invited,초대합니다
discuss,논의하다
research,연구
easier,더 쉽게
view,보다
chair,의자
hurts,아프다
strike,스트라이크
roger,알았다
fill,채우다
condition,상태
mountain,산
dr,박사
nowhere,어디에도
sheriff,주 장관
kim,김
turning,선회
brown,갈색
recognize,인정하다
heads,머리
audience,청중
‘all,'모두
jealous,질투하는
pretend,~인 척하다
society,사회
finding,발견
shirt,셔츠
comfortable,편안한
meaning,의미
guest,손님
pieces,조각들
dry,마른
letting,허락하다
began,시작했다
aye,찬성
jeff,제프
female,여성
release,풀어 주다
ho,호
cards,카드
pray,기도하다
unfortunately,안타깝게도
balls,불알
destroyed,의해 파괴됨
ended,끝났습니다
universe,우주
prepare,준비하다
opinion,의견
movies,영화 산업
soldier,군인
wash,씻다
program,프로그램
heat,열
usual,보통
ticket,표
stolen,훔친
prefer,선호하다
aware,알고 있는
surely,확실히
male,남성
base,베이스
matters,문제
lift,승강기
lab,랩
command,명령
proof,증거
cream,크림
selling,판매
believed,믿음
create,만들다
h,시간
afford,여유가 되다
sunday,일요일
total,총
dumb,멍청한
threw,던졌다
france,프랑스
birth,출생
created,생성됨
realized,실현됨
british,영국
noise,소음
nuts,견과류
students,재학생
birds,조류
social,사회의
brilliant,멋진
bodies,몸
tie,묶다
opened,열림
ours,우리 것
bucks,벅스
kevin,케빈
mister,아저씨
ugly,못생긴
ryan,라이언
focus,집중하다
dan,단
opens,열립니다
exist,존재하다
followed,뒤따랐다
england,영국
draw,그리다
purpose,목적
letters,편지
daniel,다니엘
opening,열기
bullet,총알
anna,안나
lately,최근에
stayed,머물렀다
falling,떨어지는
season,계절
ends,끝
suggest,제안하다
joy,기쁨
distance,거리
responsibility,책임
whenever,언제든지
issue,문제
thousands,수천
process,프로세스
sword,검
shower,샤워
weak,약한
fucked,망했어
lonely,외로운
happiness,행복
eric,에릭
tiny,매우 작은
desk,책상
pool,수영장
property,재산
forced,강요된
settle,해결하다
indistinct,불분명한
weight,무게
received,받았다
gang,가다
bite,깨물다
friday,금요일
disappeared,사라졌다
interview,회견
expecting,기대하고
kinda,약간
surgery,수술
horses,말
mayor,시장
babe,아기
ancient,고대의
handsome,멋있는
thomas,도마
saturday,토요일
staff,직원
lines,윤곽
unit,단위
fan,팬
gentleman,신사
introduce,소개하다
fate,운명
split,나뉘다
recently,최근에
expected,예상되는
add,추가하다
ordered,주문함
slowly,느리게
alarm,경보
member,회원
slept,잠들었다
signed,서명됨
enter,입력하다
spanish,스페인 사람
garden,정원
brings,가져오다
brave,용감한
pig,돼지
model,모델
finger,손가락
medicine,약
access,입장
failed,실패한
flat,평평한
easily,쉽게
discovered,발견됨
based,기반을 둔
screw,나사
insane,정신 이상의
cares,돌봄
weather,날씨
fingers,손가락
san,산
scott,스콧
path,길
soft,부드러운
harm,피해
style,스타일
community,지역 사회
sees,보다
basically,원래
al,알
signal,신호
nope,아니요
spare,여분의
speech,연설
covered,덮인
shake,떨림
loose,헐렁한
snow,눈
russian,러시아인
lake,호수
bright,밝은
roof,지붕
ohh,오
sending,배상
paint,페인트
remind,상기시키다
pal,단짝
naked,적나라한
post,우편
sugar,설탕
heading,표제
streets,시가
damage,손상
silence,고요
doors,문
pete,피트
ed,에드
success,성공
wet,젖은
nah,아니
amount,양
members,회원
kate,케이트
manage,관리하다
safety,안전
returned,반환됨
harder,더 어려운
fbi,FBI
block,차단하다
showing,전시
fancy,팬시한
chef,요리사
contract,계약
dig,파기
chest,가슴
goodbye,안녕히 가세요
drinks,음료수
dave,데이브
buried,묻힌
brian,브라이언
trade,거래
journey,여행
stomach,위
changes,변경
details,세부
thoughts,생각
divorce,이혼
funeral,장례식
maria,마리아
football,축구
reality,현실
theory,이론
gosh,세상에
ruined,망가졌다
gate,문
william,윌리엄
spread,확산
outta,아웃타
japanese,일본어
sudden,갑자기
coat,코트
sooner,더 빨리
cheese,치즈
larry,래리
spring,봄
page,페이지
ears,귀
simon,사이먼
castle,성
hidden,숨겨진
storm,폭풍
cos,코사인
personally,몸소
artist,아티스트
hill,언덕
exciting,신나는
permission,허가
jerry,실내 변기
expensive,값비싼
tickets,티켓
forest,숲
barely,간신히
eggs,계란
goin,가는 중
regret,후회
lesson,수업
lover,애인
bread,빵
andy,앤디
subject,주제
legal,합법적인
growing,성장하는
ill,아픈
jason,제이슨
mood,분위기
owner,소유자
caused,원인
beeping,삐 소리
points,전철기
dating,데이트
loss,손실
secretary,비서
revenge,복수
santa,산타
likely,~할 것 같은
rent,임차료
connection,연결
assistant,어시스턴트
reasons,이유
yelling,소리 지르기
painting,그림
trees,나무
doctors,의사들
rush,서두르다
foreign,외국의
rough,거친
murderer,살인자
century,세기
nights,밤
pair,쌍
runs,실행됨
pocket,포켓
farm,농장
matt,매트
bike,자전거
obvious,분명한
ate,먹었다
grew,자랐다
professional,전문적인
tim,팀
goodness,선량
parts,부분품
alan,앨런
university,대학교
square,정사각형
grandfather,할아버지
europe,유럽
genius,천재
cases,사례
ruin,망치다
winter,겨울
tongue,혀
memories,추억
da,다
buying,구매
cancer,암
clock,시계
ocean,대양
dna,DNA
liar,거짓말쟁이
tour,관광
thief,도둑
bleep,호출 장치
lisa,리사
rights,진상
including,포함
competition,경쟁
smith,스미스
planned,계획된
emily,에밀리
boring,지루한
victims,피해자들
mentioned,말하는
bones,뼈
plant,식물
bless,신을 하다
warning,경고
knocking,노킹
re,답장
crash,충돌
bedroom,침실
lower,낮추다
silver,은
groaning,신음 소리
madame,부인
defense,방어
results,결과
toilet,화장실
event,이벤트
complicated,복잡한
shape,모양
priest,성직자
royal,감청색
cheap,값이 싼
romantic,로맨틱
downstairs,아래층
invite,초대하다
fortune,행운
tears,눈물
avoid,피하다
reached,도달했다
higher,더 높은
familiar,친숙한
telephone,전화
