you,आप
अवधि,stay
रहना,left
बाएं,dad
पापा,enough
पर्याप्त,happened
घटित,came
आया,may
मई,mother
माँ,wrong
गलत,world
दुनिया,bad
खराब,might
हो सकता है,three
तीन,today
आज,listen
सुनना,another
एक और,understand
समझना,hear
सुनो,remember
याद करना,ask
पूछना,own
अपना,same
वही,show
दिखाओ,else
अन्य,kill
मारना,talking
बात करना,found
मिला,next
अगला,getting
उपार्जन,care
देखभाल,car
कार,looking
देखना,son
बेटा,try
कोशिश,woman
महिला,went
गया,hi
नमस्ते,dead
मृत,many
अनेक,mind
दिमाग,wasn
नहीं दिया,friend
दोस्त,best
श्रेष्ठ,mom
माँ,hell
नरक,morning
सुबह,trying
कोशिश कर रहा हूँ,boy
लड़का,together
एक साथ,yourself
अपने आप को,job
काम,saw
देखा,family
परिवार,real
असली,without
बिना,baby
बच्चा,room
कमरा,wouldn
नहीं,already
पहले से,move
कदम,most
अधिकांश,seen
देखा,live
रहना,miss
याद,actually
वास्तव में,huh
हुह,shit
बकवास,both
दोनों,heard
सुना,once
एक बार,ready
तैयार,head
सिर,called
बुलाया,used
इस्तेमाल किया गया,idea
विचार,knew
जानता था,hold
पकड़ना,happy
खुश,door
दरवाजा,such
ऐसा,fuck
लानत है,brother
भाई,also
भी,pretty
सुंदर,bit
अंश,took
लिया,haven
हेवन,yet
अभी तक,men
पुरुषों,whole
साबुत,start
शुरू,use
उपयोग,while
जबकि,since
तब से,wife
पत्नी,days
दिन,guess
अनुमान,tomorrow
कल,matter
मामला,meet
मिलो,bring
लाना,tonight
आज रात,everyone
सब लोग,run
दौड़ना,wanna
चाहना,hard
मुश्किल,ah
एएच,alone
अकेला,myself
खुद,school
विद्यालय,gone
गया,um
उम,end
अंत,saying
कह रहा,phone
फ़ोन,play
खेल,looks
दिखता है,couldn
नहीं किया जा सका,fucking
कमबख्त,problem
संकट,few
कुछ,friends
दोस्त,gotta
पड़ेगा,ago
पहले,open
खुला,anyone
कोई भी,killed
मारा गया,hope
आशा,face
चेहरा,until
जब तक,lost
खो गया,police
पुलिस,excuse
क्षमा,turn
मोड़,business
व्यापार,case
मामला,wants
चाहता हे,says
कहते हैं,true
सत्य,die
मरना,heart
दिल,soon
जल्द ही,each
प्रत्येक,worry
चिंता,later
बाद में,year
वर्ष,watch
घड़ी,music
संगीत,hand
हाथ,having
होना,probably
शायद,beautiful
सुंदर,doctor
चिकित्सक,sit
बैठना,eat
खाओ,thinking
सोच,young
युवा,second
दूसरा,working
कार्यरत,water
पानी,person
व्यक्ति,part
भाग,kids
बच्चे,late
देर,stuff
सामग्री,exactly
बिल्कुल,under
अंतर्गत,death
मौत,minute
मिनट,pay
वेतन,crazy
पागल,forget
भूल जाओ,everybody
हर कोई,kid
बच्चा,change
परिवर्तन,gave
दिया,happen
होना,damn
लानत है,five
पाँच,drink
पीना,far
दूर,knows
जानता है,its
इसका,whatever
जो कुछ भी,eyes
आँखें,shut
बंद,aren
नहीं कर रहे,hit
मार,taking
लेना,easy
आसान,times
टाइम्स,check
जाँच करना,hands
हाथ,minutes
मिनट,deal
सौदा,different
अलग,means
मतलब,point
बिंदु,inside
अंदर,makes
बनाता है,asked
पूछा,somebody
कोई व्यक्ति,mine
मेरा,making
निर्माण,body
शरीर,afraid
डरना,sleep
नींद,chance
मौका,dear
प्रिय,quite
अत्यंत,four
चार,anyway
फिर भी,close
बंद करना,ain
ऐन,party
दल,fun
मज़ा,against
ख़िलाफ़,word
शब्द,comes
आता है,important
महत्वपूर्ण,set
तय करना,shall
करेगा,story
कहानी,number
संख्या,daughter
बेटी,least
कम से कम,waiting
इंतज़ार में,hurt
आहत,wish
इच्छा,moment
पल,fight
झगड़ा करना,week
सप्ताह,husband
पति,girls
लड़कियाँ,rest
आराम,married
विवाहित,fire
आग,game
खेल,nobody
कोई नहीं,mr
श्री,children
बच्चे,side
ओर,stand
खड़ा होना,read
पढ़ना,though
यद्यपि,cut
काटना,started
शुरू कर दिया,sister
बहन,supposed
कल्पित,between
बीच में,child
बच्चा,goes
जाता है,hours
घंटे,speak
बोलना,women
औरत,behind
पीछे,almost
लगभग,truth
सच,blood
खून,able
योग्य,lady
महिला,anymore
अब और,playing
खेलना,gets
जाता,shot
गोली मारना,reason
कारण,trouble
मुश्किल,break
तोड़ना,war
युद्ध,city
शहर,walk
टहलना,town
शहर,trust
विश्वास,dr.
डॉ।,met
मिले,office
कार्यालय,question
सवाल,brought
लाया,yours
आपका,welcome
स्वागत,high
उच्च,wow
बहुत खूब,couple
युगल,half
आधा,died
मृत,cool
ठंडा,free
मुक्त,either
दोनों में से एक,seems
प्रतीत,power
शक्ति,whoa
रुको,bye
अलविदा,buy
खरीदना,telling
कह,honey
शहद,tried
कोशिश की,front
सामने,team
टीम,answer
उत्तर,gun
बंदूक,boys
लड़के,line
रेखा,send
भेजना,news
समाचार,stupid
मूर्ख,bed
बिस्तर,hurry
जल्दी,full
भरा हुआ,months
महीने,save
बचाना,sometimes
कभी-कभी,become
बनना,along
साथ में,hate
घृणा,food
खाना,outside
बाहर,light
रोशनी,l
एल,needs
आवश्यकताओं,dog
कुत्ता,country
देश,clear
स्पष्ट,order
आदेश,em
ईएम,fact
तथ्य,lord
भगवान,captain
कप्तान,six
छह,hot
गर्म,funny
मज़ेदार,black
काला,mrs.
श्रीमती।,alive
जीवित,pick
चुनना,feeling
अनुभूति,living
जीविका,cause
कारण,ahead
आगे,lose
खोना,king
राजा,plan
योजना,dinner
रात का खाना,sighs
विलाप,sort
क्रम से लगाना,leaving
छोड़कर,shouldn
नहीं करना चाहिए,running
दौड़ना,boss
मालिक,alright
ठीक,promise
वादा,taken
लिया,safe
सुरक्षित,ma
एमए,book
किताब,sent
भेजा,white
सफ़ेद,hour
घंटा,anybody
कोई भी,small
छोटा,perfect
उत्तम,‘cause
'कारण,lives
ज़िंदगियाँ,special
विशेष,parents
अभिभावक,s
एस,john
जॉन,himself
वह स्वयं,perhaps
शायद,sounds
आवाज़,serious
गंभीर,sick
बीमार,company
कंपनी,ha
हा,scared
डरा हुआ,uncle
चाचा,poor
गरीब,red
लाल,past
अतीत,earth
धरती,possible
संभव,shoot
गोली मार,touch
छूना,sound
आवाज़,top
शीर्ष,ass
गधा,laughs
हंसता,cannot
नही सकता,asking
की मांग कर रहा,win
जीतना,glad
खुश,control
नियंत्रण,hmm
हम्म,human
इंसान,drive
गाड़ी चलाना,hair
बाल,jack
जैक,bitch
कुतिया,luck
भाग्य,murder
हत्या,happens
ह ाेती है,air
वायु,ten
दस,daddy
पापा,finally
अंत में,chuckles
चकल्स,fast
तेज़,cold
ठंडा,seem
प्रतीत होना,laughing
हँसना,words
शब्द,hospital
अस्पताल,street
गली,hang
लटकाना,dance
नृत्य,meeting
बैठक,till
तक,others
अन्य,catch
पकड़ना,follow
अनुसरण करना,sense
समझ,sex
सेक्स,lie
झूठ,evening
शाम,master
मालिक,known
ज्ञात,dream
सपना,write
लिखना,million
दस लाख,voice
आवाज़,sweet
मिठाई,rather
की अपेक्षा,felt
अनुभव किया,sign
संकेत,lucky
भाग्यशाली,somewhere
कहीं,bet
बेट,o
हे,jesus
यीशु,longer
अब,calling
कॉलिंग,worked
काम,quiet
शांत,looked
देखा,less
कम,pull
खींचो,beat
मारो,careful
सावधान,coffee
कॉफी,return
वापस करना,secret
गुप्त,weeks
हफ्तों,weren
नहीं थे,date
तारीख,seeing
देख के,fall
गिरना,given
दिया गया,ooh
उह,fault
गलती,straight
सीधा,takes
लेता है,song
गाना,future
भविष्य,gentlemen
सज्जनों,loved
प्यार किया,changed
बदला हुआ,road
सड़क,calm
शांत,wonderful
आश्चर्यजनक,mad
पागल,turned
चालू,drop
बूँद,ladies
महिलाओं,learn
सीखना,step
कदम,absolutely
बिल्कुल,early
जल्दी,explain
व्याख्या करना,clean
साफ,piece
टुकड़ा,yesterday
कल,throw
फेंक,picture
चित्र,land
भूमि,feet
पैर,wonder
आश्चर्य,questions
प्रश्न,speaking
बोला जा रहा है,worth
लायक,darling
प्रिय,dude
दोस्त,giving
दे रही है,president
अध्यक्ष,eye
आँख,quick
जल्दी,moving
चल रहा है,figure
आकृति,state
राज्य,strong
मज़बूत,sam
सैम,none
कोई नहीं,amazing
अद्भुत,ones
लोगों,works
काम करता है,act
कार्य,needed
आवश्यकता है,weird
अजीब,law
कानून,worried
चिंतित,report
प्रतिवेदन,goodbye
अलविदा,missing
गुम,choice
पसंद,happening
हो रहा,chief
अध्यक्ष,wedding
शादी,strange
अजीब,general
सामान्य,pain
दर्द,‘am
'पूर्वाह्न,kidding
मज़ाक कर रहा है,decided
फैसला किया,ya
फिर,pass
उत्तीर्ण,tired
थका हुआ,class
कक्षा,officer
अफ़सर,kept
रखा,wake
जागो,worse
ज़्यादा बुरा,busy
व्यस्त,eh
एह,mistake
गलती,kiss
चुंबन,court
अदालत,building
इमारत,finish
खत्म करना,during
दौरान,age
आयु,ship
जहाज,caught
पकड़ा गया,marry
शादी,meant
मतलब,sell
बेचना,dark
अँधेरा,watching
देख रहे,system
प्रणाली,suppose
कल्पना करना,evidence
प्रमाण,movie
चलचित्र,ride
सवारी,t
टी,completely
पूरी तरह,mouth
मुँह,totally
पूरी तरह से,birthday
जन्मदिन,tv
टीवी,forgive
क्षमा करना,born
जन्म,imagine
कल्पना करना,information
जानकारी,instead
बजाय,definitely
निश्चित रूप से,security
सुरक्षा,certainly
निश्चित रूप से,film
पतली परत,month
महीना,lying
झूठ बोलना,unless
जब तक,train
रेलगाड़ी,seven
सात,wear
घिसाव,clothes
कपड़े,michael
माइकल,hotel
होटल,christmas
क्रिसमस,attack
आक्रमण करना,hasn
है,round
गोल,expect
अपेक्षा करना,sing
गाओ,terrible
भयानक,george
जॉर्ज,bag
थैला,history
इतिहास,blue
नीला,near
पास में,broke
टूट गया,station
स्टेशन,seriously
गंभीरता से,forever
हमेशा के लिए,david
डेविड,frank
स्पष्टवादी,except
के अलावा,thinks
सोचता है,message
संदेश,entire
पूरा,joe
जो,table
मेज़,talked
बात की,across
आर-पार,rock
चट्टान,lovely
प्यारा,handle
सँभालना,middle
मध्य,buddy
दोस्त,paid
चुकाया गया,protect
रक्षा करना,using
का उपयोग करते हुए,floor
ज़मीन,ran
दौड़ा,swear
कसम खाना,spend
खर्च करना,situation
परिस्थिति,ring
अँगूठी,anywhere
कहीं भी,dangerous
खतरनाक,bill
बिल,york
न्यूयार्क,army
सेना,lead
नेतृत्व करना,bought
खरीदा,finished
खत्म,fair
गोरा,sun
सूरज,letter
पत्र,fool
मूर्ख,attention
ध्यान,club
क्लब,simple
सरल,interesting
दिलचस्प,space
अंतरिक्ष,test
परीक्षा,box
डिब्बा,group
समूह,single
अकेला,sitting
बैठक,marriage
शादी,join
जोड़ना,fear
डर,d
डी,peace
शांति,forgot
भूल गया,force
बल,short
छोटा,normal
सामान्य,charlie
चार्ली,present
उपस्थित,enjoy
आनंद लेना,mike
माइक,crime
अपराध,horse
घोड़ा,ground
मैदान,american
अमेरिकी,count
गिनती करना,area
क्षेत्र,charge
शुल्क,honor
सम्मान,lunch
दिन का खाना,miles
मील,radio
रेडियो,idiot
बेवकूफ़,ball
गेंद,surprise
आश्चर्य,paper
कागज़,key
चाबी,boat
नाव,quickly
जल्दी से,gold
सोना,bar
छड़,fish
मछली,mark
निशान,tom
टॉम,wearing
पहना हुआ,crying
रोना,accident
दुर्घटना,government
सरकार,eight
आठ,fell
गिरा,cover
ढकना,certain
निश्चित,interested
इच्छुक,deep
गहरा,star
तारा,sea
समुद्र,agree
सहमत,problems
समस्याएं,detective
जासूसी,prison
कारागार,major
प्रमुख,stick
चिपकना,offer
प्रस्ताव,difficult
कठिन,smart
बुद्धिमान,personal
निजी,record
अभिलेख,stopped
रुका हुआ,hide
छिपाना,whether
चाहे,bank
किनारा,trip
यात्रा,relax
आराम करना,america
अमेरिका,public
जनता,list
सूची,afternoon
दोपहर,brain
दिमाग,fix
हल करना,bastard
हरामी,proud
गर्व,tea
चाय,service
सेवा,screaming
चिल्ला,forward
आगे,angry
गुस्सा,park
पार्क,soul
आत्मा,fighting
लड़ाई करना,peter
पीटर,rich
अमीर,agent
प्रतिनिधि,blow
फूँक मारना,paul
पॉल,dress
पोशाक,mary
मेरी,missed
चुक होना,scene
दृश्य,killing
हत्या,standing
खड़े,saved
सहेजा गया,mm
मिमी,respect
आदर,killer
हत्यारा,ice
बर्फ़,mess
गड़बड़,tough
कठिन,feels
महसूस करता,church
गिरजाघर,sad
दुखद,cell
कक्ष,drunk
पिया हुआ,share
शेयर करना,camera
कैमरा,mm-hmm
मिमी-हम्म,within
अंदर,card
कार्ड,fly
उड़ना,ben
बेन,girlfriend
दोस्त,laugh
हँसना,smell
गंध,broken
टूटा हुआ,mum
गेंदा,honest
ईमानदार,often
अक्सर,starting
शुरू करना,calls
कॉल,y
वाई,spent
खर्च किया,third
तीसरा,english
अंग्रेज़ी,visit
मिलने जाना,mama
माँ,judge
न्यायाधीश,window
खिड़की,hungry
भूखा,dare
हिम्मत,relationship
संबंध,moved
ले जाया गया,prove
सिद्ध करना,private
निजी,wall
दीवार,seat
सीट,i-i
आई-आई,position
पद,lieutenant
लेफ्टिनेंट,realize
समझना,lt
लेफ्टिनेंट,especially
विशेष रूप से,machine
मशीन,walking
चलना,art
कला,pleasure
आनंद,bloody
खूनी,college
कॉलेज,french
फ्रेंच,involved
शामिल,cry
चिल्लाना,became
बन गया,lived
रहते थे,impossible
असंभव,obviously
ज़ाहिर तौर से,neither
कोई भी नहीं,accept
स्वीकार करना,boyfriend
दोस्त,besides
अलावा,queen
रानी,teacher
अध्यापक,cops
पुलिस,sake
कारण,loves
प्यार,carry
ढोना,teach
पढ़ाना,apartment
अपार्टमेंट,upset
परेशान,green
हरा,la
ला,liked
पसंद किया,cute
प्यारा,evil
बुराई,professor
प्रोफ़ेसर,contact
संपर्क,joke
चुटकुला,cop
पुलिस,huge
विशाल,holy
पवित्र,store
इकट्ठा करना,jail
जेल,likes
पसंद है,lawyer
वकील,doubt
संदेह,continue
जारी रखना,appreciate
प्रशंसा करना,cat
बिल्ली,shop
दुकान,driving
ड्राइविंग,congratulations
बधाई हो,wrote
लिखा,village
गाँव,quit
छोड़ना,field
मैदान,james
जेम्स,wine
शराब,decision
फ़ैसला,south
दक्षिण,sleeping
सोना,slow
धीमा,laughter
हँसी,island
द्वीप,glass
काँच,beginning
शुरुआत,cash
नकद,dying
मरना,hundred
सौ,whose
किसका,difference
अंतर,plane
विमान,push
धकेलना,continues
जारी है,mmm
हम्म,singing
गायन,eating
खाना,north
उत्तर,mrs
श्रीमती,tree
पेड़,madam
महोदया,gift
उपहार,truck
ट्रक,putting
डाल,bear
भालू,board
तख़्ता,grab
झपटना,beer
बियर,stuck
अटक गया,magic
जादू,support
सहायता,rules
नियम,grunts
ग्रन्ट्स,partner
साथी,reach
पहुँचना,wind
हवा,colonel
कर्नल,max
अधिकतम,immediately
तुरंत,seconds
सेकंड,thousand
हज़ार,gives
देता है,experience
अनुभव,cheers
प्रोत्साहित करना,victim
पीड़ित,upon
ऊपर,computer
कंप्यूटर,christ
ईसा मसीह,planet
ग्रह,promised
वादा,bus
बस,henry
हेनरी,dirty
गंदा,search
खोज,staying
प्रवास के,dreams
सपने,arrest
गिरफ्तारी,holding
पकड़े,suddenly
अचानक,usually
आम तौर पर,lots
बहुत,shoes
जूते,er
एर,jump
कूदना,rid
छुटकारा दिलाना,yo
यो,knock
दस्तक,owe
ऋृणी होना,harry
सताना,grow
बढ़ना,worst
बहुत बुरा,river
नदी,aunt
चाची,patient
मरीज़,kitchen
रसोईघर,aah
आह,fat
मोटा,passed
उत्तीर्ण,m
एम,final
अंतिम,summer
गर्मी,bob
बीओबी,listening
सुनना,escape
पलायन,everywhere
हर जगह,moon
चंद्रमा,arms
हथियारों,turns
मोड़ों,address
पता,ow
अब,match
मिलान,gasps
हाँफना,grand
ग्रैंड,yep
हाँ,shh
श,nervous
घबराया हुआ,de
दे,choose
चुनना,themselves
खुद,decide
तय करना,mate
साथी,drinking
पीने,press
प्रेस,bother
परेशान,foot
पैर,hadn
था,blame
दोष,crap
बकवास,drugs
ड्रग्स,type
प्रकार,rings
के छल्ले,mission
उद्देश्य,named
नाम,heaven
स्वर्ग,‘ii
‘ii,picked
उठाया,paris
पेरिस,race
दौड़,risk
जोखिम,books
किताबें,further
आगे,danny
डैनी,action
कार्रवाई,allowed
अनुमत,orders
आदेशों,learned
सीखा,price
कीमत,arrived
पहुँचा,nick
छेद,otherwise
अन्यथा,pictures
चित्र,fit
उपयुक्त,smoke
धुआँ,favor
कृपादृष्टि,played
खेला,notice
सूचना,awesome
बहुत बढ़िया,smile
मुस्कान,director
निदेशक,guard
रक्षक,begin
शुरू,spot
स्थान,surprised
हैरान,innocent
मासूम,narrator
कथावाचक,herself
खुद,london
लंदन,feelings
भावनाएँ,enemy
दुश्मन,battle
युद्ध,ourselves
हम स्वयं,alex
एलेक्स,dollars
डॉलर,allow
अनुमति दें,nine
नौ,gay
समलैंगिक,department
विभाग,guilty
अपराधी,apart
अलग,earlier
पहले,duty
कर्तव्य,jim
जिम,suit
सुविधाजनक होना,bell
घंटी,west
पश्चिम,legs
पैर,hero
नायक,destroy
नष्ट करना,stage
अवस्था,bunch
गुच्छा,according
अनुसार,chicken
मुर्गा,bigger
बड़ा,grunting
घुरघुराना,low
कम,helping
मदद करना,admit
स्वीकार करते हैं,closed
बंद किया हुआ,names
नाम,witness
गवाह,upstairs
ऊपर,arm
हाथ,steal
चुराना,jimmy
जिम्मी,kick
लात मारना,twice
दो बार,cross
पार करना,ways
तौर तरीकों,sergeant
उच्च श्रेणी का वकील,indeed
वास्तव में,gas
गैस,keeping
रखते हुए,energy
ऊर्जा,pregnant
गर्भवती,waste
बरबाद करना,helped
मदद की,fired
निकाल दिया,favorite
पसंदीदा,tony
टोनी,taste
स्वाद,locked
बंद,places
स्थानों,writing
लिखना,adam
एडम,brothers
भाई बंधु,starts
प्रारंभ होगा,prince
राजकुमार,form
रूप,sold
बिका हुआ,silly
नासमझ,mention
उल्लेख,build
निर्माण,throat
गला,hole
छेद,figured
लगा,track
रास्ता,ringing
बज,lock
ताला,leg
टांग,above
ऊपर,hiding
छिपाना,steve
स्टीव,seemed
प्रतीत हुआ,breakfast
नाश्ता,engine
इंजन,written
लिखा हुआ,complete
पूरा,video
वीडियो,applause
वाहवाही,however
तथापि,pressure
दबाव,fresh
ताजा,weapon
हथियार,sky
आकाश,ms.
एमएस।,stole
चुराई,study
अध्ययन,burn
जलाना,reading
पढ़ना,crowd
भीड़,treat
इलाज,roll
रोल,double
दोहरा,spirit
आत्मा,danger
खतरा,cost
लागत,empty
खाली,level
स्तर,memory
याद,itself
स्वयं,acting
अभिनय,interest
दिलचस्पी,nose
नाक,plans
की योजना,following
अगले,bathroom
स्नानघर,built
बनाना,closer
करीब,ray
रे,sarah
सारा,band
बैंड,groans
हाँफ्ते,apparently
जाहिरा तौर पर,excited
उत्साहित,richard
रिचर्ड,losing
हार,animals
जानवरों,flight
उड़ान,nature
प्रकृति,raise
उठाना,pop
जल्दी से आना,client
ग्राहक,bomb
बम,neck
गरदन,suspect
संदिग्ध व्यक्ति,warm
गरम,extra
अतिरिक्त,bottle
बोतल,van
वैन,heavy
भारी,mommy
माँ,dogs
कुत्ते,wild
जंगली,ridiculous
हास्यास्पद,simply
केवल,lee
ली,animal
जानवर,showed
दिखाया,billy
बील्ली,shooting
शूटिंग,keeps
रखता है,camp
शिविर,guns
बंदूकें,medical
चिकित्सा,shame
शर्म करो,hoping
आशा,whom
किसको,bird
चिड़िया,majesty
महिमा,flowers
फूल,famous
प्रसिद्ध,asleep
सो गया,beauty
सुंदरता,driver
ड्राइवर,keys
चाबियाँ,rain
बारिश,awful
भयंकर,large
बड़ा,local
स्थानीय,deserve
योग्य होना,goddamn
धत् तेरे की,stone
पत्थर,jane
जेन,grace
अनुग्रह,consider
विचार करना,weekend
सप्ताहांत,wondering
ताज्जुब,lay
बिछाना,plenty
बहुत,willing
इच्छुक,pants
पैंट,sweetheart
जानेमन,skin
त्वचा,excellent
उत्कृष्ट,asshole
गधे,beach
समुद्र तट,c
सी,faith
आस्था,beg
भीख मांगना,fuckin
कमीने,responsible
जिम्मेदार,military
सैन्य,cheering
जय-जयकार करना,opportunity
अवसर,common
सामान्य,bottom
तल,german
जर्मन,whoever
जो कोई भी,cook
पकाना,walked
चला गया,papers
पत्रों,justice
न्याय,hall
बड़ा कमरा,commander
कमांडर,drug
दवाई,main
मुख्य,knife
चाकू,devil
शैतान,necessary
ज़रूरी,although
हालांकि,princess
राजकुमारी,lights
दीपक,flying
उड़ान,dick
लिंग,rose
गुलाब,knowing
जानने,clearly
स्पष्ट रूप से,hat
टोपी,agreed
मान गया,johnny
छोकरा,corner
कोना,code
कोड,note
टिप्पणी,tommy
टॉमी,due
देय,correct
सही,apologize
क्षमा माँगना,language
भाषा,stars
सितारे,faster
और तेज,cars
कारें,folks
जनसामान्य,bullshit
बकवास,i.
मैं।,fellow
साथी,several
अनेक,grandma
दादी,shows
शो,leader
नेता,leaves
पत्तियों,restaurant
रेस्टोरेंट,east
पूर्व,shouting
चिल्ला,blind
अंधा,ghost
भूत,cup
कप,gotten
कमाई,tight
कसा हुआ,conversation
बातचीत,tells
कहता है,lies
झूठ,nor
और न,pulled
खींचा गया,hanging
फांसी,speed
रफ़्तार,stories
कहानियाँ,health
स्वास्थ्य,advice
सलाह,held
आयोजित,uh-huh
अहां,murdered
हत्या,beyond
आगे,rule
नियम,hardly
मुश्किल से,possibly
संभवत:,inspector
निरीक्षक,cousin
चचेरा,trial
परीक्षण,emergency
आपातकाल,ought
चाहिए,eddie
एडी,somehow
किसी तरह,hearing
सुनवाई,states
राज्य अमेरिका,account
खाता,spoke
बोला,file
फ़ाइल,understood
समझा,angel
देवदूत,tape
फीता,milk
दूध,powerful
ताकतवर,weapons
हथियार,practice
अभ्यास,manager
प्रबंधक,pardon
क्षमा,vote
वोट,jake
जेक,national
राष्ट्रीय,career
आजीविका,minister
मंत्री,super
बहुत अच्छा,taught
पढ़ाया,robert
रॉबर्ट,biggest
सबसे बड़ी,plays
नाटकों,natural
प्राकृतिक,dancing
नृत्य,copy
कॉपी,plus
प्लस,martin
मार्टिन,cake
केक,freedom
स्वतंत्रता,among
के बीच,breath
साँस,operation
संचालन,chris
क्रिस,crew
कर्मी दल,challenge
चुनौती,market
बाज़ार,meat
मांस,towards
की ओर,bringing
लाना,dropped
गिरा दिया,student
विद्यार्थी,lied
झूठ बोला,strength
ताकत,size
आकार,breathe
साँस लेना,color
रंग,monster
राक्षस,loud
ऊँचा स्वर,photo
तस्वीर,aw
अरे,nearly
लगभग,sight
दृश्य,greatest
सबसे महान,games
खेल,bridge
पुल,dressed
कपड़े पहने,arrested
गिरफ्तार,horrible
भयंकर,coach
प्रशिक्षक,planning
योजना बनाना,checked
चेक किए गए,breaking
टूटने के,noticed
ध्यान दिया,fantastic
ज़बरदस्त,screams
चिल्लाती,serve
सेवा करना,ideas
विचारों,investigation
जाँच पड़ताल,center
केंद्र,older
पुराने,pack
सामान बाँधना,soldiers
सैनिकों,nonsense
बकवास,doc
डॉक्टर,project
परियोजना,training
प्रशिक्षण,example
उदाहरण,trick
चाल,prepared
तैयार,science
विज्ञान,united
यूनाइटेड,travel
यात्रा,incredible
अविश्वसनीय,grandpa
दादा,paying
का भुगतान,character
चरित्र,teeth
दाँत,criminal
आपराधिक,charles
चार्ल्स,chinese
चीनी,truly
सही मायने में,honestly
ईमानदारी से,bro
भाई,survive
जीवित बचना,bobby
पुलिसमैन,target
लक्ष्य,feed
खिलाना,nurse
देखभाल करना,e
ई,fake
नकली,records
अभिलेख,breathing
साँस लेने,sweetie
प्रेमी,numbers
नंबर,oil
तेल,suicide
आत्मघाती,belong
संबंधित,whoo
वू,perfectly
पूरी तरह से,amy
एमी,forgotten
भूल गई,remain
अवशेष,original
मूल,papa
पापा,onto
पर,concerned
संबंधित,credit
श्रेय,ugh
ऊ,invited
आमंत्रित किया गया,discuss
चर्चा करना,research
अनुसंधान,easier
आसान,view
देखना,chair
कुर्सी,hurts
दर्द होता है,strike
हड़ताल,roger
आरे,fill
भरना,condition
स्थिति,mountain
पर्वत,dr
डॉ.,nowhere
कहीं नहीं,sheriff
शेरिफ,kim
किम,turning
मोड़,brown
भूरा,recognize
पहचानना,heads
सिर,audience
श्रोता,‘all
'सभी,jealous
ईर्ष्या,pretend
बहाना करना,society
समाज,finding
खोज,shirt
कमीज,comfortable
आरामदायक,meaning
अर्थ,guest
अतिथि,pieces
टुकड़े,dry
सूखा,letting
दे,began
