you,Ty
hate,nienawidzić
food,żywność
outside,poza
light,światło
l,ja
needs,wymagania
dog,pies
country,kraj
clear,jasne
order,zamówienie
em,im
fact,fakt
lord,lord
captain,kapitan
six,sześć
hot,gorący
funny,śmieszny
black,czarny
mrs.,pani.
alive,żywy
pick,wybierać
feeling,uczucie
living,żyjący
cause,przyczyna
ahead,dalej
lose,stracić
king,król
plan,plan
dinner,kolacja
sighs,westchnienia
sort,sortować
leaving,odjazd
shouldn,nie powinien
running,działanie
boss,szef
alright,W porządku
promise,obietnica
taken,zajęty
safe,bezpieczna
ma,mama
book,książka
sent,wysłano
white,biały
hour,godzina
anybody,ktoś
small,mały
perfect,doskonały
‘cause,'przyczyna
lives,życia
special,specjalny
parents,rodzice
s,S
john,Jan
himself,się
perhaps,być może
sounds,dźwięki
serious,poważny
sick,chory
company,firma
ha,ha
scared,przestraszony
uncle,wujek
poor,słaby
red,czerwony
past,przeszłość
earth,ziemia
possible,możliwy
shoot,strzelać
touch,dotykać
sound,dźwięk
top,szczyt
ass,tyłek
laughs,śmiech
cannot,nie mogę
asking,pytając
win,wygrać
glad,zadowolony
control,kontrola
hmm,Hmm
human,człowiek
drive,prowadzić
hair,włosy
jack,podnośnik
bitch,suka
luck,szczęście
murder,morderstwo
happens,zdarza się
air,powietrze
ten,dziesięć
daddy,tatuś
finally,Wreszcie
chuckles,chichoty
fast,szybko
cold,zimno
seem,wydaje się
laughing,śmiech
words,słowa
hospital,szpital
street,ulica
hang,powiesić
dance,taniec
meeting,spotkanie
till,do
others,inni
catch,złapać
follow,podążać
sense,sens
sex,seks
lie,kłamstwo
evening,wieczór
master,gospodarz
known,znany
dream,marzenie
write,pisać
million,milion
voice,głos
sweet,słodki
rather,raczej
felt,filc
sign,podpisać
lucky,mający szczęście
somewhere,gdzieś
bet,zakład
o,o
jesus,Jezus
longer,dłużej
calling,powołanie
worked,pracował
quiet,cichy
looked,spojrzał
less,mniej
pull,ciągnąć
beat,pokonać
careful,ostrożny
coffee,kawa
return,powrót
secret,sekret
weeks,tygodnie
weren,nie było
date,data
seeing,widzenie
fall,jesień
given,dany
ooh,och
fault,wada
straight,prosty
takes,bierze
song,piosenka
future,przyszły
gentlemen,panowie
loved,kochany
changed,zmieniony
road,droga
calm,spokój
wonderful,wspaniały
mad,szalony
turned,obrócony
drop,upuszczać
ladies,damski
learn,uczyć się
step,krok
absolutely,absolutnie
early,wczesny
explain,wyjaśnić
clean,czysty
piece,sztuka
yesterday,Wczoraj
throw,rzucić
picture,zdjęcie
land,grunt
feet,stopy
wonder,zastanawiać się
questions,pytania
speaking,mówiąc
worth,wartość
darling,Kochanie
dude,gość
giving,dający
president,prezydent
eye,oko
quick,szybki
moving,poruszający
figure,postać
state,państwo
strong,mocny
sam,Sam
none,nic
amazing,niesamowity
ones,jedynki
works,fabryka
act,działać
needed,wymagany
weird,dziwny
law,prawo
worried,zmartwiony
report,raport
goodbye,do widzenia
missing,zaginiony
choice,wybór
happening,happening
chief,szef
wedding,ślub
strange,dziwny
general,ogólny
pain,ból
‘am,'jestem
kidding,żartuję
decided,zdecydowany
ya,tak
pass,przechodzić
tired,zmęczony
class,klasa
officer,oficer
kept,utrzymany
wake,budzić
worse,gorzej
busy,zajęty
eh,ech
mistake,błąd
kiss,pocałunek
court,sąd
building,budynek
finish,skończyć
during,podczas
age,wiek
ship,statek
caught,złapany
marry,poślubić
meant,oznaczał
sell,sprzedać
dark,ciemny
watching,dozorujący
system,system
suppose,przypuszczać
evidence,dowód
movie,film
ride,jeździć
t,T
completely,całkowicie
mouth,usta
totally,całkowicie
birthday,urodziny
tv,telewizja
forgive,przebaczyć
born,urodzić się
imagine,wyobrażać sobie
information,informacja
instead,Zamiast
definitely,zdecydowanie
security,bezpieczeństwo
certainly,z pewnością
film,film
month,miesiąc
lying,kłamliwy
unless,chyba że
train,pociąg
seven,siedem
wear,nosić
clothes,odzież
michael,Michał
hotel,hotel
christmas,Boże Narodzenie
attack,atak
hasn,nie ma
round,okrągły
expect,oczekiwać
sing,śpiewać
terrible,straszny
george,Jerzy
bag,torba
history,historia
blue,niebieski
near,w pobliżu
broke,złamał
station,stacja
seriously,poważnie
forever,na zawsze
david,Dawid
frank,szczery
except,z wyjątkiem
thinks,myśli
message,wiadomość
entire,cały
joe,Janek
table,tabela
talked,rozmawiał
across,przez
rock,głaz
lovely,śliczny
handle,uchwyt
middle,środek
buddy,kumpel
paid,płatny
protect,chronić
using,używając
floor,podłoga
ran,biegł
swear,przeklinać
spend,wydawać
situation,sytuacja
ring,pierścień
anywhere,gdziekolwiek
dangerous,niebezpieczny
bill,rachunek
york,Jork
army,armia
lead,Ołów
bought,kupił
finished,gotowy
fair,sprawiedliwy
sun,słoneczny
letter,list
fool,głupiec
attention,uwaga
club,klub
simple,prosty
interesting,ciekawy
space,przestrzeń
test,test
box,skrzynka
group,grupa
single,pojedynczy
sitting,posiedzenie
marriage,małżeństwo
join,dołączyć
fear,strach
d,D
peace,pokój
forgot,zapomniałem
force,siła
short,krótki
normal,normalna
charlie,Charlie
present,obecny
enjoy,Cieszyć się
mike,mikrofon
crime,przestępczość
horse,koń
ground,grunt
american,amerykański
count,liczyć
area,obszar
charge,opłata
honor,honor
lunch,obiad
miles,mile
radio,radio
idiot,idiota
ball,piłka
surprise,niespodzianka
paper,papier
key,klawisz
boat,łódź
quickly,szybko
gold,złoto
bar,bar
fish,ryba
mark,ocena
tom,samiec
wearing,wyczerpujący
crying,płacz
accident,wypadek
government,rząd
eight,osiem
fell,ściąć
cover,okładka
certain,niektórzy
interested,zainteresowany
deep,głęboko
star,gwiazda
sea,morze
agree,zgadzać się
problems,problemy
detective,detektyw
prison,więzienie
major,główny
stick,stick
offer,oferta
difficult,trudny
smart,mądry
personal,osobisty
record,nagrywać
stopped,zatrzymał się
hide,ukrywać
whether,czy
bank,bank
trip,wycieczka
relax,zrelaksować się
america,Ameryka
public,publiczny
list,lista
afternoon,popołudnie
brain,mózg
fix,naprawić
bastard,bękart
proud,dumny
tea,herbata
service,praca
screaming,krzyczeć
forward,do przodu
angry,zły
park,park
soul,dusza
fighting,walczący
peter,Piotr
rich,bogaty
agent,agent
blow,cios
paul,Paweł
dress,sukienka
mary,Maryja
missed,pominięty
scene,scena
killing,zabicie
standing,na stojąco
saved,zapisane
mm,mm
respect,szacunek
killer,zabójca
ice,lód
mess,bałagan
tough,trudny
feels,czuje
church,kościół
sad,smutny
cell,komórka
drunk,pijany
share,udział
camera,kamera
mm-hmm,mm-hmm
within,w
card,karta
fly,latać
ben,ben
girlfriend,przyjaciółka
laugh,śmiech
smell,zapach
broken,złamany
mum,milczący
honest,uczciwy
often,często
starting,startowy
calls,połączenia
y,y
spent,zużyty
third,trzeci
english,angielski
visit,odwiedzać
mama,mama
judge,sędzia
window,okno
hungry,głodny
dare,śmieć
relationship,relacja
moved,wzruszony
prove,udowodnić
private,prywatny
wall,ściana
seat,siedziba
i-i,ja-ja
position,pozycja
lieutenant,porucznik
realize,zrealizować
lt,lt
especially,zwłaszcza
machine,maszyna
walking,pieszy
art,sztuka
pleasure,przyjemność
bloody,krwawy
college,kolegium
french,francuski
involved,zaangażowany
cry,płakać
became,stał się
lived,żył
impossible,niemożliwe
obviously,oczywiście
neither,żaden
accept,przyjąć
boyfriend,sympatia
besides,Oprócz
queen,królowa
teacher,nauczyciel
cops,policjanci
sake,powód
loves,kocha
carry,nosić
teach,uczyć
apartment,apartament
upset,zdenerwowany
green,zielony
la,la
liked,podobało się
cute,Uroczy
evil,zło
professor,profesor
contact,kontakt
joke,żart
cop,policjant
huge,ogromny
holy,święty
store,sklep
jail,więzienie
likes,upodobania
lawyer,prawnik
doubt,wątpliwość
continue,Kontynuować
appreciate,doceniać
cat,kot
shop,sklep
driving,napędowy
congratulations,Gratulacje
wrote,napisał
village,wieś
quit,zrezygnować
field,pole
james,Jakub
wine,wino
decision,decyzja
south,południe
sleeping,spanie
slow,powolny
laughter,śmiech
island,wyspa
glass,szkło
beginning,początek
cash,gotówka
dying,umierający
hundred,sto
whose,którego
difference,różnica
plane,samolot
push,naciskać
continues,ciąg dalszy
mmm,mmm
singing,śpiew
eating,jedzenie
north,północ
mrs,pani
tree,drzewo
madam,pani
gift,prezent
truck,ciężarówka
putting,stawianie
bear,niedźwiedź
board,tablica
grab,złapać
beer,piwo
stuck,zablokowany
magic,magia
support,wsparcie
rules,zasady
grunts,chrząknięcia
partner,partner
reach,zasięg
wind,wiatr
colonel,pułkownik
max,maks
immediately,natychmiast
seconds,towary drugiej jakości
thousand,tysiąc
gives,daje
experience,doświadczenie
cheers,dzięki
victim,ofiara
upon,od
computer,komputer
christ,Chrystus
planet,planeta
promised,obiecał
bus,autobus
henry,henz
dirty,brudny
search,szukaj
staying,przebywający
dreams,sny
arrest,aresztować
holding,holding
suddenly,Nagle
usually,zazwyczaj
lots,nawał
shoes,buty
er,er
jump,skok
rid,eliminować
yo,yo
knock,pukanie
owe,być winnym
harry,złupić
grow,rosnąć
worst,najgorszy
river,rzeka
aunt,ciotka
patient,pacjent
kitchen,kuchnia
aah,ach
fat,tłuszcz
passed,przeszedł
m,M
final,finał
summer,lato
bob,pion
listening,słuchający
escape,ucieczka
everywhere,wszędzie
moon,księżyc
arms,herb
turns,obroty
address,adres
ow,ow
match,mecz
gasps,łapie oddech
grand,wielki
yep,Tak
shh,ciiii
nervous,nerwowy
de,z
choose,wybierać
themselves,sobie
decide,decydować
mate,kumpel
drinking,picie
press,naciskać
bother,silić się
foot,stopa
hadn,nie miał
blame,winić
crap,gówno
drugs,narkotyki
type,typ
rings,pierścienie
mission,misja
named,nazwany
heaven,niebo
‘ii,„ii”
picked,doborowy
paris,Paryż
race,wyścig
risk,ryzyko
books,książki
further,dalej
danny,Danny
action,działanie
allowed,dozwolony
orders,święcenia
learned,uczony
price,cena
arrived,przybył
nick,nacięcie
otherwise,W przeciwnym razie
pictures,kino
fit,pasować
smoke,dym
favor,przychylność
played,grał
notice,ogłoszenie
awesome,Wspaniały
smile,uśmiech
director,dyrektor
guard,strażnik
begin,zaczynać
spot,miejsce
surprised,zaskoczony
innocent,niewinny
narrator,narrator
herself,się
london,Londyn
feelings,uczucia
enemy,wróg
battle,bitwa
ourselves,się
alex,Alex
dollars,dolarów
allow,umożliwić
nine,dziewięć
gay,wesoły
department,dział
guilty,winny
apart,oprócz
earlier,wcześniej
duty,obowiązek
jim,Jim
suit,garnitur
bell,dzwonek
west,Zachód
legs,nogi
hero,bohater
destroy,zniszczyć
stage,scena
bunch,garść
according,według
chicken,kurczak
bigger,większy
grunting,pochrząkiwanie
low,Niski
helping,agregat
admit,przyznawać
closed,Zamknięte
names,imiona
witness,świadek
upstairs,na piętrze
arm,ramię
steal,ukraść
jimmy,Jimmy
kick,rzut
twice,dwa razy
cross,przechodzić
ways,sposoby
sergeant,sierżant
indeed,Rzeczywiście
gas,gaz
keeping,konserwacja
energy,energia
pregnant,w ciąży
waste,marnować
helped,pomógł
fired,zwolniony
favorite,ulubiony
tony,Tony
taste,smak
locked,zamknięty
places,miejsca
writing,pismo
adam,Adam
brothers,bracia
starts,zaczyna się
prince,książę
form,formularz
sold,sprzedany
silly,głupi
mention,wzmianka
build,zbudować
throat,gardło
hole,otwór
figured,wzorzysty
track,ścieżka
ringing,dzwonienie
lock,zamek
leg,noga
above,powyżej
hiding,ukrywanie
steve,Steve
seemed,wydawał się
breakfast,śniadanie
engine,silnik
written,pisemny
complete,kompletny
video,wideo
applause,oklaski
however,Jednakże
pressure,ciśnienie
fresh,świeży
weapon,broń
sky,niebo
ms.,SM.
stole,etola
study,badanie
burn,oparzenie
reading,czytanie
crowd,tłum
treat,traktować
roll,rolka
double,podwójnie
spirit,duch
danger,niebezpieczeństwo
cost,koszt
empty,pusty
level,poziom
memory,pamięć
itself,się
acting,działanie
interest,odsetki
nose,nos
plans,plany
following,następny
bathroom,łazienka
built,wybudowany
closer,bliższy
ray,promień
sarah,Sara
band,zespół
groans,stękanie
apparently,najwyraźniej
excited,podekscytowany
richard,Richard
losing,przegrywający
animals,zwierzęta
flight,lot
nature,natura
raise,wznosić
pop,muzyka pop
client,klient
bomb,bomba
neck,szyja
suspect,podejrzany
warm,ciepły
extra,dodatkowy
bottle,butelka
van,awangarda
heavy,ciężki
mommy,mamusia
dogs,psy
wild,dziki
ridiculous,śmieszny
simply,po prostu
lee,zawietrzny
animal,zwierzę
showed,pokazał
billy,menażka
shooting,strzelanie
keeps,utrzymuje
camp,obóz
guns,pistolety
medical,medyczny
shame,wstyd
hoping,mając nadzieję
whom,kogo
bird,ptak
majesty,majestat
flowers,kwiaty
famous,słynny
asleep,we śnie
beauty,uroda
driver,kierowca
keys,klawiatura
rain,deszcz
awful,okropny
large,duży
local,lokalny
deserve,zasługiwać
goddamn,przeklęty
stone,kamień
jane,Jane
grace,łaska
consider,rozważać
weekend,weekend
wondering,zastanawianie się
lay,położyć
plenty,mnóstwo
willing,chętny
pants,spodnie
sweetheart,kochanie
skin,skóra
excellent,doskonały
asshole,dupek
beach,plaża
c,C
faith,wiara
beg,błagać
fuckin,kurwa
responsible,odpowiedzialny
military,wojskowy
cheering,doping
opportunity,możliwość
common,wspólny
bottom,spód
german,niemiecki
whoever,ktokolwiek
cook,kucharz
walked,chodził
papers,dokumenty tożsamości
justice,sprawiedliwość
hall,hala
commander,dowódca
drug,lek
main,główny
knife,nóż
devil,diabeł
necessary,niezbędny
although,Chociaż
princess,księżniczka
lights,ślepia
flying,latający
dick,kutas
rose,róża
knowing,porozumiewawczy
clearly,wyraźnie
hat,kapelusz
agreed,Zgoda
johnny,Jasio
corner,narożnik
code,kod
note,notatka
tommy,Tommy
due,należny
correct,prawidłowy
apologize,przepraszać
language,język
stars,gwiazdy
faster,szybciej
cars,samochody
folks,ludzie
bullshit,głupie gadanie
i.,I.
fellow,kolega
several,kilka
grandma,babcia
shows,widać
leader,lider
leaves,liście
restaurant,restauracja
east,wschód
shouting,rozkrzyczany
blind,ślepy
ghost,duch
cup,filiżanka
gotten,zdobyty
tight,obcisły
conversation,rozmowa
tells,mówi
lies,kłamstwa
nor,ani
pulled,pociągnięty
hanging,brelok
speed,prędkość
stories,opowieści
health,zdrowie
advice,rada
held,trzymany
uh-huh,aha
murdered,zamordowany
beyond,poza
rule,reguła
hardly,ledwie
possibly,prawdopodobnie
inspector,inspektor
cousin,kuzyn
trial,test
emergency,nagły wypadek
ought,powinien
eddie,Eddie
somehow,jakoś
hearing,przesłuchanie
states,stany
account,konto
spoke,szprycha
file,plik
understood,zrozumiany
angel,anioł
tape,taśma
milk,mleko
powerful,potężny
weapons,broń
practice,praktyka
manager,menedżer
pardon,pardon
vote,głosować
jake,Jake
national,krajowy
career,kariera
minister,minister
super,Super
taught,nauczał
robert,Robert
biggest,największy
plays,gra
natural,naturalny
dancing,taniec
copy,kopia
plus,plus
martin,jaskółka oknówka
cake,ciasto
freedom,wolność
among,wśród
breath,oddech
operation,działanie
chris,Chris
crew,załoga
challenge,wyzwanie
market,rynek
meat,mięso
towards,w kierunku
bringing,przynoszący
dropped,upuszczony
student,student
lied,skłamał
strength,wytrzymałość
size,rozmiar
breathe,oddychać
color,kolor
monster,potwór
loud,głośny
photo,zdjęcie
aw,ojej
nearly,prawie
sight,wzrok
greatest,największy
games,zawody sportowe
bridge,most
dressed,ubrany
arrested,aresztowany
horrible,straszny
coach,trener
planning,planowanie
checked,sprawdzony
breaking,bicie
noticed,zauważony
fantastic,fantastyczny
screams,krzyki
serve,podawać
ideas,pomysły
investigation,dochodzenie
center,centrum
older,starszy
pack,pakiet
soldiers,żołnierski
nonsense,nonsens
doc,dokument
project,projekt
training,szkolenie
example,przykład
trick,sztuczka
prepared,przygotowany
science,nauka
united,zjednoczony
travel,podróż
incredible,niesamowity
grandpa,dziadunio
paying,intratny
character,charakter
teeth,zęby
criminal,przestępca
charles,Karol
chinese,chiński
truly,naprawdę
honestly,Szczerze mówiąc
bro,bracie
survive,przetrwać
bobby,konstabl
target,cel
feed,karmić
nurse,pielęgniarka
e,mi
fake,podróbka
records,dokumentacja
breathing,oddechowy
sweetie,kochanie
numbers,takty muzyczne
oil,olej
suicide,samobójstwo
belong,przynależeć
whoo,uff
perfectly,doskonale
amy,Amy
forgotten,zapomniany
remain,pozostać
original,oryginalny
papa,papa
onto,na
concerned,zainteresowany
credit,kredyt
ugh,ugh
invited,zaproszony
discuss,omówić
research,badania
easier,łatwiej
view,pogląd
chair,krzesło
hurts,boli
strike,strajk
roger,zdałem
fill,wypełnić
condition,stan
mountain,góra
dr,lekarz
nowhere,nigdzie
sheriff,szeryf
kim,Kim
turning,obrócenie
brown,brązowy
recognize,rozpoznać
heads,głowy
audience,publiczność
‘all,'Wszystko
jealous,zazdrosny
pretend,udawać
society,społeczeństwo
finding,odkrycie
shirt,koszula
comfortable,wygodny
meaning,oznaczający
guest,gość
pieces,sztuki
dry,suchy
letting,wynajem
began,zaczął
aye,zawsze
jeff,Jeff
female,Kobieta
release,uwolnienie
ho,ho
cards,karty
pray,modlić się
unfortunately,Niestety
balls,piłki
destroyed,zniszczony
ended,zakończył się
universe,wszechświat
prepare,przygotowywać
opinion,opinia
movies,kino
soldier,żołnierz
wash,umyć
program,program
heat,ciepło
usual,zwykły
ticket,bilet
stolen,skradziony
prefer,woleć
aware,świadomy
surely,pewno
male,Mężczyzna
base,opierać
matters,sprawy
lift,winda
lab,laboratorium
command,rozkaz
proof,dowód
cream,krem
selling,sprzedawanie
believed,wierzył
create,tworzyć
h,H
afford,pozwalać
sunday,niedziela
total,całkowity
dumb,głupi
threw,rzucił
france,Francja
birth,narodziny
created,stworzony
realized,realizowany
british,brytyjski
noise,hałas
nuts,orzechy
students,studenci
birds,ptaki
social,społeczny
brilliant,genialny
bodies,ciała
tie,krawat
opened,otwierany
ours,nasz
bucks,kozły
kevin,Kevin
mister,pan
ugly,brzydki
ryan,Ryan
focus,centrum
dan,dan
opens,otwiera się
exist,istnieć
followed,śledzony
england,Anglia
draw,rysować
purpose,zamiar
letters,beletrystyka
daniel,Daniel
opening,otwór
bullet,kula
anna,Anna
lately,ostatnio
stayed,został
falling,spadający
season,sezon
ends,kończy się
suggest,sugerować
joy,radość
distance,dystans
responsibility,odpowiedzialność
whenever,zawsze， gdy
issue,wydanie
thousands,tysiące
process,proces
sword,miecz
shower,prysznic
weak,słaby
fucked,pieprzony
lonely,samotny
happiness,szczęście
eric,Eric
tiny,malutki
desk,biurko
pool,basen
property,nieruchomość
forced,wymuszony
settle,rozstrzygnąć
indistinct,niewyraźny
weight,waga
received,otrzymane
gang,gang
bite,ugryzienie
friday,piątek
disappeared,zniknął
interview,wywiad
expecting,przy nadziei
kinda,poniekąd
surgery,chirurgia
horses,konie
mayor,burmistrz
babe,dziecko
ancient,starożytny
handsome,przystojny
thomas,Tomasz
saturday,sobota
staff,personel
lines,kwestia
unit,jednostka
fan,wentylator
gentleman,pan
introduce,wprowadzić
fate,los
split,podział
recently,Ostatnio
expected,oczekiwany
add,dodać
ordered,zamówił
slowly,powoli
alarm,alarm
member,członek
slept,spał
signed,podpisano
enter,Wchodzić
spanish,hiszpański
garden,ogród
brings,przynosi
brave,odważny
pig,świnia
model,model
finger,palec
medicine,medycyna
access,dostęp
failed,przegrany
flat,płaski
easily,łatwo
discovered,odkryty
based,na podstawie
screw,śruba
insane,obłąkany
cares,troszczy się
weather,pogoda
fingers,palce
san,san
scott,Scott
path,ścieżka
soft,miękki
harm,szkoda
style,styl
community,wspólnota
sees,widzi
basically,zasadniczo
al,glin
signal,sygnał
nope,Nie
spare,zapasowy
speech,przemówienie
covered,pokryty
shake,potrząsnąć
loose,luźny
snow,śnieg
russian,rosyjski
lake,jezioro
bright,jasny
roof,dach
ohh,ooo
sending,przesyłka
paint,farba
remind,przypomnieć
pal,kumpel
naked,nagi
post,post
sugar,cukier
heading,nagłówek
streets,ulice
damage,szkoda
silence,cisza
doors,drzwi
pete,Pete
ed,ed
success,sukces
wet,mokry
nah,nie
amount,kwota
members,członkowie
kate,Kate
manage,zarządzać
safety,bezpieczeństwo
returned,zwrócony
harder,trudniej
fbi,FBI
block,blok
showing,seans
fancy,wymyślny
chef,szef kuchni
contract,umowa
dig,kopać
chest,klatka piersiowa
goodbye,do widzenia
