you,du
baby,baby
room,værelse
wouldn,ville ikke
already,allerede
move,flytte
most,mest
seen,set
live,levende
miss,gå glip af
actually,faktisk
huh,hva'
shit,lort
both,begge
heard,hørt
once,engang
ready,parat
head,hoved
called,kaldt
used,brugt
idea,ide
knew,vidste
hold,holde
happy,lykkelig
door,dør
such,sådan
fuck,kneppe
brother,bror
also,også
pretty,smuk
bit,lidt
took,tog
haven,tilflugtssted
yet,endnu
men,mænd
whole,hel
start,starte
use,bruge
while,mens
since,siden
wife,kone
days,dage
guess,gætte
tomorrow,i morgen
matter,stof
meet,møde
bring,bringe
tonight,i aften
everyone,alle
run,løbe
wanna,vil
hard,hård
ah,åh
alone,alene
myself,mig selv
school,skole
gone,væk
um,øh
end,ende
saying,ordsprog
phone,telefon
play,spil
looks,udseende
couldn,kunne ikke
fucking,kneppe
problem,problem
few,få
friends,venner
gotta,må
ago,siden
open,åben
anyone,nogen
killed,dræbt
hope,håb
face,ansigt
until,indtil
lost,tabt
police,politi
excuse,undskyldning
turn,tur
business,forretning
case,sag
wants,ønsker
says,siger
true,ægte
die,dø
heart,hjerte
soon,snart
each,hver
worry,bekymring
later,senere
year,år
watch,ur
music,musik
hand,hånd
having,have
probably,sandsynligvis
beautiful,smuk
doctor,læge
sit,sidde
eat,spise
thinking,tænkning
young,ung
second,anden
working,arbejder
water,vand
person,person
part,del
kids,børn
late,sent
stuff,ting
exactly,nøjagtig
under,under
death,død
minute,minut
pay,betale
crazy,skør
forget,glemme
everybody,alle
kid,barn
change,forandring
gave,gav
happen,ske
damn,forbandet
five,fem
drink,drikke
far,langt
knows,ved
its,dens
whatever,hvad som helst
eyes,øjne
shut,lukke
aren,aren
hit,hit
taking,tager
easy,let
times,gange
check,check
hands,hænder
minutes,minutter
deal,del
different,anderledes
means,betyder
point,punkt
inside,indenfor
makes,laver
asked,spurgte
somebody,nogen
mine,mine
making,fremstilling
body,legeme
afraid,bange
sleep,sove
chance,chance
dear,kære
quite,helt
four,fire
anyway,alligevel
close,tæt
ain,ain
party,parti
fun,sjov
against,mod
word,ord
comes,kommer
important,vigtig
set,sæt
shall,skal
story,historie
number,antal
daughter,datter
least,mindst
waiting,venter
hurt,skade
wish,ønske
moment,øjeblik
fight,kæmpe
week,uge
husband,mand
girls,piger
rest,hvile
married,gift
fire,brand
game,spil
nobody,ingen
mr,hr.
children,børn
side,side
stand,stå
read,læse
though,selvom
cut,skære
started,startede
sister,søster
supposed,formodet
between,mellem
child,barn
goes,går
hours,timer
speak,tale
women,kvinder
behind,bagved
almost,næsten
truth,sandhed
blood,blod
able,i stand til
lady,dame
anymore,længere
playing,spiller
gets,får
shot,skud
reason,årsag
trouble,besvær
break,pause
war,krig
city,by
walk,gå
town,by
trust,tillid
dr.,Dr.
met,mødte
office,kontor
question,spørgsmål
brought,bragt
yours,din
welcome,velkomst
high,høj
wow,wow
couple,par
half,halv
died,døde
cool,afkøle
free,gratis
either,enten
seems,synes
power,magt
whoa,hold da op
bye,farvel
buy,købe
telling,fortælling
honey,honning
tried,prøvede
front,front
team,hold
answer,svar
gun,kanon
boys,drenge
line,linje
send,sende
news,nyheder
stupid,dum
bed,seng
hurry,skynde sig
full,fuld
months,måneder
save,spare
sometimes,undertiden
become,blive
along,langs
hate,had
food,mad
outside,uden for
light,lys
l,l
needs,behov
dog,hund
country,land
clear,klar
order,bestille
em,dem
fact,faktum
lord,herre
captain,kaptajn
six,seks
hot,varm
funny,sjov
black,sort
mrs.,fru
alive,i live
pick,plukke
feeling,følelse
living,levende
cause,årsag
ahead,foran
lose,tabe
king,konge
plan,plan
dinner,aftensmad
sighs,suk
sort,sortere
leaving,forlader
shouldn,burde
running,løb
boss,chef
alright,okay
promise,løfte
taken,taget
safe,sikker
ma,mor
book,bog
sent,sendt
white,hvid
hour,time
anybody,nogen
small,lille
perfect,perfektionere
‘cause,'årsag
lives,liv
special,særlig
parents,forældre
s,s
john,Johannes
himself,sig selv
perhaps,måske
sounds,lyde
serious,alvorlig
sick,syg
company,selskab
ha,ha
scared,bange
uncle,onkel
poor,dårlig
red,rød
past,forbi
earth,jord
possible,mulig
shoot,skud
touch,røre
sound,sund
top,top
ass,røv
laughs,griner
cannot,kan ikke
asking,spørger
win,vinde
glad,glad
control,kontrollere
hmm,hmm
human,human
drive,køre
hair,hår
jack,donkraft
bitch,tæve
luck,held
murder,mord
happens,sker
air,luft
ten,ti
daddy,far
finally,endelig
chuckles,fniser
fast,hurtig
cold,kold
seem,synes
laughing,griner
words,ord
hospital,hospital
street,gade
hang,hænge
dance,danse
meeting,møde
till,indtil
others,andre
catch,fangst
follow,følge
sense,følelse
sex,køn
lie,ligge
evening,aften
master,mestre
known,kendt
dream,drøm
write,skrive
million,million
voice,stemme
sweet,sød
rather,snarere
felt,følte
sign,tegn
lucky,heldig
somewhere,et eller andet sted
bet,vædde
o,å
jesus,Jesus
longer,længere
calling,opkald
worked,arbejdede
quiet,stille
looked,kiggede
less,mindre
pull,træk
beat,slå
careful,omhyggelig
coffee,kaffe
return,tilbagevenden
secret,hemmelighed
weeks,uger
weren,var ikke
date,dato
seeing,at se
fall,falde
given,givet
ooh,åh
fault,fejl
straight,lige
takes,tager
song,sang
future,fremtid
gentlemen,herrer
loved,elskede
changed,ændret
road,vej
calm,berolige
wonderful,vidunderlig
mad,gal
turned,vendte
drop,dråbe
ladies,damer
learn,lære
step,trin
absolutely,absolut
early,tidlig
explain,forklare
clean,ren
piece,stykke
yesterday,i går
throw,kaste
picture,billede
land,jord
feet,fødder
wonder,vidunder
questions,spørgsmål
speaking,taler
worth,værdi
darling,skat
dude,fyr
giving,at give
president,formand
eye,øje
quick,hurtig
moving,bevægelse
figure,figur
state,tilstand
strong,stærk
sam,sam
none,ingen
amazing,forbløffende
ones,dem
works,værker
act,handling
needed,nødvendigt
weird,mærkelig
law,lov
worried,bekymret
report,rapport
goodbye,farvel
missing,manglende
choice,valg
happening,sker
chief,chef
wedding,bryllup
strange,mærkelig
general,generel
pain,smerte
‘am,'er
kidding,sjov
decided,besluttede
ya,ja
pass,passere
tired,træt
class,klasse
officer,officer
kept,holdt
wake,vågne
worse,værre
busy,optaget
eh,eh
mistake,fejl
kiss,kys
court,ret
building,bygning
finish,slutte
during,under
age,alder
ship,skib
caught,fanget
marry,gifte sig
meant,mente
sell,sælge
dark,mørk
watching,ser på
system,system
suppose,formode
evidence,bevis
movie,film
ride,ride
t,t
completely,fuldstændig
mouth,mund
totally,helt
birthday,fødselsdag
tv,fjernsynet
forgive,tilgive
born,født
imagine,forestille sig
information,information
instead,i stedet
definitely,definitivt
security,sikkerhed
certainly,sikkert
film,film
month,måned
lying,lyvende
unless,med mindre
train,tog
seven,syv
wear,slid
clothes,tøj
michael,michael
hotel,hotel
christmas,jul
attack,angreb
hasn,har ikke
round,rund
expect,forvente
sing,synge
terrible,frygtelig
george,Georg
bag,taske
history,historie
blue,blå
near,nær
broke,brød
station,station
seriously,alvorligt
forever,for altid
david,David
frank,åben
except,undtagen
thinks,tænker
message,besked
entire,hel
joe,Joe
table,tabel
talked,talte
across,over
rock,klippe
lovely,dejlig
handle,håndtag
middle,midten
buddy,kammerat
paid,betalt
protect,beskytte
using,ved hjælp af
floor,etage
ran,løb
swear,sværge
spend,bruge
situation,situation
ring,ring
anywhere,hvor som helst
dangerous,farlig
bill,regning
york,York
army,hæren
lead,føre
bought,købte
finished,færdig
fair,retfærdig
sun,sol
letter,bogstav
fool,fjols
attention,opmærksomhed
club,klub
simple,enkel
interesting,interessant
space,plads
test,prøve
box,boks
group,gruppe
single,enkelt
sitting,siddende
marriage,ægteskab
join,deltage
fear,frygt
d,d
peace,fred
forgot,glemte
force,kraft
short,kort
normal,normal
charlie,Charlie
present,nuværende
enjoy,nyde
mike,Mike
crime,forbrydelse
horse,hest
ground,jord
american,amerikansk
count,tælle
area,areal
charge,oplade
honor,ære
lunch,frokost
miles,miles
radio,radio
idiot,idiot
ball,bold
surprise,overraskelse
paper,papir
key,nøgle
boat,båd
quickly,hurtigt
gold,guld
bar,bar
fish,fisk
mark,mærke
tom,Tom
wearing,iført
crying,gråd
accident,ulykke
government,regering
eight,otte
fell,faldt
cover,dække
certain,bestemt
interested,interesseret
deep,dyb
star,stjerne
sea,hav
agree,enig
problems,problemer
detective,detektiv
prison,fængsel
major,større
stick,stok
offer,tilbud
difficult,vanskelig
smart,smart
personal,personlig
record,optage
stopped,stoppet
hide,skjule
whether,om
bank,bank
trip,rejse
relax,slappe af
america,Amerika
public,offentlig
list,liste
afternoon,eftermiddag
brain,hjerne
fix,lave
bastard,idiot
proud,stolt
tea,te
service,service
screaming,skrigende
forward,forward
angry,vred
park,parkere
soul,sjæl
fighting,kamp
peter,Peter
rich,rig
agent,agent
blow,blæse
paul,Paul
dress,kjole
mary,Maria
missed,savnet
scene,scene
killing,drab
standing,stående
saved,gemt
mm,mm
respect,respekt
killer,morder
ice,is
mess,rod
tough,hård
feels,føler
church,kirke
sad,sørgelig
cell,celle
drunk,beruset
share,dele
camera,kamera
mm-hmm,mm-hmm
within,inden for
card,kort
fly,flyve
ben,ben
girlfriend,kæreste
laugh,grine
smell,lugt
broken,brudt
mum,mor
honest,ærlig
often,ofte
starting,starter
calls,opkald
y,y
spent,brugt
third,tredje
english,engelsk
visit,besøg
mama,mor
judge,dommer
window,vindue
hungry,sulten
dare,turde
relationship,forhold
moved,flyttet
prove,bevise
private,privat
wall,væg
seat,sæde
i-i,i-i
position,position
lieutenant,løjtnant
realize,realisere
lt,lt
especially,især
machine,maskine
walking,gåture
art,kunst
pleasure,fornøjelse
bloody,blodig
college,kollegium
french,fransk
involved,involveret
cry,skrig
became,blev
lived,boede
impossible,umulig
obviously,åbenbart
neither,ingen
accept,acceptere
boyfriend,kæreste
besides,udover
queen,dronning
teacher,lærer
cops,betjente
sake,sake
loves,elsker
carry,bære
teach,lære
apartment,lejlighed
upset,oprørt
green,grøn
la,la
liked,syntes godt om
cute,sød
evil,ond
professor,professor
contact,kontakte
joke,vittighed
cop,betjent
huge,kæmpe
holy,hellig
store,butik
jail,fængsel
likes,synes godt om
lawyer,advokat
doubt,tvivl
continue,fortsætte
appreciate,værdsætte
cat,kat
shop,butik
driving,kørsel
congratulations,tillykke
wrote,skrev
village,landsby
quit,forlade
field,felt
james,Jakob
wine,vin
decision,afgørelse
south,syd
sleeping,sovende
slow,langsom
laughter,latter
island,ø
glass,glas
beginning,begyndelse
cash,kontanter
dying,døende
hundred,hundrede
whose,hvis
difference,forskel
plane,fly
push,skubbe
continues,fortsætter
mmm,mmm
singing,sang
eating,spise
north,nord
mrs,fru
tree,træ
madam,frue
gift,gave
truck,lastbil
putting,lægge
bear,bjørn
board,bestyrelse
grab,grab
beer,øl
stuck,fastlåst
magic,magi
support,støtte
rules,regler
grunts,grynt
partner,partner
reach,nå
wind,vind
colonel,oberst
max,maks
immediately,straks
seconds,sekunder
thousand,tusind
gives,giver
experience,erfaring
cheers,Skål
victim,offer
upon,på
computer,computer
christ,Kristus
planet,planet
promised,lovet
bus,bus
henry,Henrik
dirty,snavset
search,søge
staying,opholder sig
dreams,drømme
arrest,anholdelse
holding,holder
suddenly,pludselig
usually,som regel
lots,masser
shoes,sko
er,øh
jump,springe
rid,slippe af
yo,yo
knock,banke
owe,skylde
harry,harry
grow,dyrke
worst,værst
river,flod
aunt,moster
patient,patient
kitchen,køkken
aah,åh
fat,fedt
passed,bestået
m,m
final,endelig
summer,sommer
bob,bob
listening,lytter
escape,flugt
everywhere,overalt
moon,måne
arms,våben
turns,sving
address,adresse
ow,av
match,kamp
gasps,gisp
grand,storslået
yep,ja
shh,shh
nervous,nervøs
de,de
choose,vælge
themselves,sig selv
decide,beslutte
mate,makker
drinking,drikker
press,trykke
bother,genere
foot,fod
hadn,havde ikke
blame,bebrejde
crap,lort
drugs,stoffer
type,type
rings,ringe
mission,mission
named,navngivet
heaven,himmel
‘ii,ii
picked,plukket
paris,Paris
race,race
risk,risiko
books,bøger
further,længere
danny,Danny
action,handling
allowed,tilladt
orders,ordrer
learned,lært
price,pris
arrived,ankom
nick,kælenavn
otherwise,ellers
pictures,billeder
fit,passe
smoke,røg
favor,favorisere
played,spillede
notice,meddelelse
awesome,fantastisk
smile,smil
director,direktør
guard,vagt
begin,begynde
spot,sted
surprised,overrasket
innocent,uskyldig
narrator,fortælleren
herself,sig selv
london,London
feelings,følelser
enemy,fjende
battle,kamp
ourselves,os selv
alex,Alex
dollars,dollars
allow,tillade
nine,ni
gay,homoseksuel
department,afdeling
guilty,skyldig
apart,bortset
earlier,tidligere
duty,pligt
jim,Jim
suit,dragt
bell,klokke
west,vest
legs,ben
hero,helt
destroy,ødelægge
stage,scene
bunch,flok
according,ifølge
chicken,kylling
bigger,større
grunting,gryntende
low,lav
helping,hjælpende
admit,indrømme
closed,lukket
names,navne
witness,vidne
upstairs,ovenpå
arm,arm
steal,stjæle
jimmy,Jimmy
kick,sparke
twice,to gange
cross,kryds
ways,måder
sergeant,sergent
indeed,virkelig
gas,gas
keeping,holde
energy,energi
pregnant,gravid
waste,spild
helped,hjalp
fired,fyret
favorite,favorit
tony,Tony
taste,smag
locked,låst
places,steder
writing,skrivning
adam,Adam
brothers,brødre
starts,starter
prince,prins
form,form
sold,solgt
silly,fjollet
mention,nævne
build,bygge
throat,hals
hole,hul
figured,regnede med
track,spore
ringing,ringer
lock,låse
leg,ben
above,over
hiding,gemmer sig
steve,Steve
seemed,virkede
breakfast,morgenmad
engine,motor
written,skrevet
complete,komplet
video,video
applause,bifald
however,imidlertid
pressure,tryk
fresh,frisk
weapon,våben
sky,himmel
ms.,frue
stole,stjal
study,studere
burn,brænde
reading,læsning
crowd,menneskemængde
treat,behandle
roll,rulle
double,dobbelt
spirit,ånd
danger,fare
cost,koste
empty,tom
level,niveau
memory,hukommelse
itself,sig selv
acting,skuespil
interest,interesse
nose,næse
plans,planer
following,følge
bathroom,badeværelse
built,bygget
closer,tættere
ray,stråle
sarah,Sara
band,bånd
groans,stønner
apparently,excited
richard,Richard
losing,tabende
animals,dyr
flight,flyvningen
nature,natur
raise,hæve
pop,client
bomb,neck
hals,suspect
warm,extra
bottle,van
heavy,mommy
dogs,wild
ridiculous,simply
lee,animal
showed,billy
shooting,keeps
camp,guns
medical,shame
hoping,whom
bird,majesty
flowers,famous
asleep,beauty
driver,keys
rain,awful
large,local
deserve,goddamn
stone,jane
grace,consider
weekend,weekend
wondering,lay
plenty,masser
willing,villig
pants,bukser
sweetheart,kæreste
skin,hud
excellent,fremragende
asshole,røvhul
beach,strand
c,c
faith,tro
beg,tigge
fuckin,forbandet
responsible,ansvarlig
military,militær
cheering,jublende
opportunity,lejlighed
common,fælles
bottom,bund
german,tysk
whoever,hvem der end
cook,lave mad
walked,gik
papers,papirer
justice,retfærdighed
hall,hal
commander,kommandør
drug,medicin
main,hoved
knife,kniv
devil,djævel
necessary,nødvendig
although,skønt
princess,prinsesse
lights,lys
flying,flyvende
dick,pik
rose,rose
knowing,vidende
clearly,tydeligt
hat,hat
agreed,aftalt
johnny,Johnny
corner,hjørne
code,kode
note,note
tommy,Tommy
due,forfalden
correct,korrekt
apologize,sige undskyld
language,sprog
stars,stjerner
faster,hurtigere
cars,biler
folks,folkens
bullshit,vrøvl
i.,jeg.
fellow,kollega
several,flere
grandma,bedstemor
shows,viser
leader,leder
leaves,blade
restaurant,restaurant
east,øst
shouting,råber
blind,blind
ghost,spøgelse
cup,kop
gotten,fået
tight,tæt
conversation,samtale
tells,fortæller
lies,løgne
nor,heller ikke
pulled,trukket
hanging,hængende
speed,hastighed
stories,historier
health,sundhed
advice,råd
held,holdt
uh-huh,øh-høh
murdered,myrdet
beyond,ud over
rule,herske
hardly,næsten
possibly,eventuelt
inspector,inspektør
cousin,fætter
trial,forsøg
emergency,nødsituation
ought,burde
eddie,Eddie
somehow,på en eller anden måde
hearing,høring
states,stater
account,konto
spoke,talte
file,fil
understood,forstået
angel,engel
tape,bånd
milk,mælk
powerful,kraftig
weapons,våben
practice,praksis
manager,leder
pardon,benådning
vote,stemme
jake,Jake
national,national
career,karriere
minister,minister
super,super
taught,undervist
robert,Robert
biggest,største
plays,skuespil
natural,naturlig
dancing,dansende
copy,kopi
plus,plus
martin,martin
cake,kage
freedom,frihed
among,blandt
breath,ånde
operation,operation
chris,Chris
crew,mandskab
challenge,udfordring
market,marked
meat,kød
towards,mod
bringing,bringe
dropped,faldt
student,studerende
lied,løj
strength,styrke
size,størrelse
breathe,ånde
color,farve
monster,uhyre
loud,højt
photo,foto
aw,åh
nearly,næsten
sight,syn
greatest,største
games,spil
bridge,bro
dressed,klædt
arrested,anholdt
horrible,forfærdelig
coach,træner
planning,planlægning
checked,kontrolleret
breaking,bryde
noticed,bemærket
fantastic,fantastisk
screams,skrig
serve,tjene
ideas,idéer
investigation,undersøgelse
center,centrum
older,ældre
pack,pakke
soldiers,soldater
nonsense,nonsens
doc,dok.
project,projekt
training,uddannelse
example,eksempel
trick,trick
prepared,forberedt
science,videnskab
united,forenet
travel,rejse
incredible,utrolig
grandpa,bedstefar
paying,betalende
character,karakter
teeth,tænder
criminal,kriminel
charles,Karl
chinese,kinesisk
truly,virkelig
honestly,ærligt talt
bro,bror
survive,overleve
bobby,Bobby
target,mål
feed,foder
nurse,amme
e,e
fake,falsk
records,optegnelser
breathing,vejrtrækning
sweetie,skat
numbers,tal
oil,olie
suicide,selvmord
belong,tilhøre
whoo,hov
perfectly,perfekt
amy,Amy
forgotten,glemt
remain,forblive
original,original
papa,far
onto,videre
concerned,bekymret
credit,kredit
ugh,ugh
invited,inviteret
discuss,drøfte
research,forskning
easier,lettere
view,udsigt
chair,stol
hurts,gør ondt
strike,strejke
roger,Roger
fill,fylde
condition,tilstand
mountain,bjerg
dr,dr.
nowhere,ingen steder
sheriff,sherif
kim,Kim
turning,drejning
brown,brun
recognize,genkende
heads,hoveder
audience,publikum
‘all,'alle
jealous,jaloux
pretend,foregive
society,samfund
finding,finde
shirt,skjorte
comfortable,komfortabel
meaning,mening
guest,gæst
pieces,stykker
dry,tørre
letting,udlejning
began,begyndte
aye,ja
jeff,Jeff
female,kvinde
release,frigøre
ho,ho
cards,kort
pray,bede
unfortunately,desværre
balls,bolde
destroyed,ødelagt
ended,sluttede
universe,univers
prepare,forberede
opinion,udtalelse
movies,film
soldier,soldat
wash,vask
program,program
heat,varme
usual,sædvanlig
ticket,billet
stolen,stjålet
prefer,foretrække
aware,opmærksom
surely,helt sikkert
male,han-
base,grundlag
matters,sager
lift,elevator
lab,laboratoriet
command,kommando
proof,bevis
cream,fløde
selling,salg
believed,troede
create,skabe
h,timer
afford,råd
sunday,søndag
total,total
dumb,dum
threw,kastede
france,Frankrig
birth,fødsel
created,skabt
realized,realiseret
british,britisk
noise,støj
nuts,nødder
students,studerende
birds,fugle
social,social
brilliant,strålende
bodies,kroppe
tie,binde
opened,åbnet
ours,vores
bucks,dollars
kevin,Kevin
mister,herre
ugly,grim
ryan,Ryan
focus,fokus
dan,dan
opens,åbner
exist,eksistere
followed,fulgte
england,England
draw,tegne
purpose,formål
letters,breve
daniel,daniel
opening,åbning
bullet,kugle
anna,Anna
lately,for nylig
stayed,blev
falling,faldende
season,sæson
ends,ender
suggest,foreslå
joy,glæde
distance,afstand
responsibility,ansvar
whenever,hver gang
issue,spørgsmål
thousands,tusinder
process,behandle
sword,sværd
shower,brusebad
weak,svag
fucked,kneppet
lonely,ensom
happiness,lykke
eric,Erik
tiny,lille
desk,skrivebord
pool,pool
property,ejendom
forced,tvunget
settle,bosætte sig
indistinct,utydelig
weight,vægt
received,modtaget
gang,bande
bite,bid
friday,fredag
disappeared,forsvundet
interview,interview
expecting,forventer
kinda,slags
surgery,kirurgi
horses,heste
mayor,borgmester
babe,skat
ancient,gammel
handsome,flot
thomas,Thomas
saturday,lørdag
staff,personale
lines,linjer
unit,enhed
fan,ventilator
gentleman,gentleman
introduce,indføre
fate,skæbne
split,dele
recently,for nylig
expected,forventet
add,tilføje
ordered,bestilt
slowly,langsomt
alarm,alarmen
member,medlem
slept,sov
signed,underskrevet
enter,indtast
spanish,spansk
garden,have
brings,bringer
brave,modig
pig,svin
model,model
finger,finger
medicine,medicin
access,adgang
failed,mislykkedes
flat,flad
easily,let
discovered,opdaget
based,baseret
screw,skrue
insane,sindssyg
cares,bekymringer
weather,vejr
fingers,fingre
san,san
scott,Scott
path,sti
soft,blød
harm,skade
style,stil
community,fællesskab
sees,ser
basically,dybest set
al,al
signal,signal
nope,nej
spare,reservedele
speech,tale
covered,dækket
shake,ryste
loose,løs
snow,sne
russian,russisk
lake,sø
bright,lys
roof,tag
ohh,åh
sending,afsendelse
paint,maling
remind,minde om
pal,ven
naked,nøgen
post,stolpe
sugar,sukker
heading,overskrift
streets,gader
damage,skade
silence,stilhed
doors,døre
pete,Pete
ed,udg.
success,succes
wet,våd
nah,nej
amount,beløb
members,medlemmer
kate,Kate
manage,styre
safety,sikkerhed
returned,returneret
harder,hårdere
fbi,FBI
block,blok
showing,viser
fancy,smart
chef,kok
contract,kontrakt
dig,grave
chest,bryst
goodbye,farvel
drinks,drikkevarer
dave,Dave
buried,begravet
brian,Brian
trade,handle
journey,rejse
stomach,mave
changes,ændringer
details,detaljer
thoughts,tanker
divorce,skilsmisse
funeral,begravelse
maria,Maria
football,fodbold
reality,virkelighed
theory,teori
gosh,gud
ruined,ødelagt
gate,port
william,William
spread,spredning
outta,ud
japanese,japansk
sudden,pludselig
coat,frakke
sooner,hurtigere
cheese,ost
larry,Larry
spring,forår
page,side
ears,ører
simon,Simon
castle,slot
hidden,skjult
storm,storm
cos,fordi
personally,personligt
artist,kunstner
hill,bakke
exciting,spændende
permission,tilladelse
jerry,Jerry
expensive,dyr
tickets,billetter
forest,skov
barely,knap
eggs,æg
goin,går
regret,beklagelse
lesson,lektie
lover,elsker
bread,brød
andy,andy
subject,emne
legal,legal
growing,voksende
ill,syg
jason,Jason
mood,humør
owner,ejer
caused,forårsaget
beeping,biplyd
points,point
dating,dating
loss,tab
secretary,sekretær
revenge,hævn
santa,julemanden
likely,sandsynlig
rent,leje
connection,forbindelse
assistant,assistent
reasons,grunde
yelling,råben
painting,maleri
trees,træer
doctors,læger
rush,siv
foreign,udenlandsk
rough,ru
murderer,morder
century,århundrede
nights,nætter
pair,par
runs,løber
pocket,lomme
farm,gård
matt,mat
bike,cykel
obvious,indlysende
ate,spiste
grew,voksede
professional,professionel
tim,Tim
goodness,godhed
parts,dele
alan,alan
university,universitet
square,firkant
grandfather,bedstefar
europe,Europa
genius,geni
cases,tilfælde
ruin,ruin
winter,vinter
tongue,tunge
memories,minder
da,da
buying,køb
cancer,kræft
clock,ur
ocean,ocean
dna,dna
liar,løgner
tour,tur
thief,tyv
bleep,bip
lisa,Lisa
rights,rettigheder
including,inklusive
competition,konkurrence
smith,smed
planned,planlagt
emily,Emilie
boring,kedelig
victims,ofre
mentioned,nævnt
bones,knogler
plant,plante
bless,velsigne
warning,advarsel
knocking,banker
re,igen
crash,krak
bedroom,soveværelse
lower,sænke
silver,sølv
groaning,stønnen
madame,frue
defense,forsvar
results,resultater
toilet,toilet
event,tilfælde
complicated,kompliceret
shape,form
priest,præst
royal,kongelig
cheap,billig
romantic,romantisk
downstairs,nedenunder
invite,invitere
fortune,formue
tears,tårer
avoid,undgå
reached,nået
higher,højere
familiar,fortrolig
telephone,telefon
burning,brændende
filled,fyldt
kelly,Kelly
alice,Alice
airport,lufthavn
jobs,job
grown,vokset
walter,Walter
rachel,Rakel
giant,kæmpe
insurance,forsikring
woods,skoven
n,n
scare,skræmme
pleased,tilfreds
period,periode
political,politisk
player,spiller
stops,stopper
secrets,hemmeligheder
laura,Laura
repeat,gentage
photos,billeder
finds,fund
statement,erklæring
suck,suge
younger,yngre
china,Kina
humans,mennesker
delicious,lækker
particular,særlig
proper,passende
rome,Rom
belongs,tilhører
attacked,angrebet
bath,bad
hired,ansat
site,websted
knowledge,viden
b,b
led,ledet
guests,gæster
celebrate,fejre
map,kort
horn,horn
eventually,til sidst
pity,medlidenhed
powers,beføjelser
ashamed,skamfuld
assume,antage
glasses,briller
rise,stige
fixed,fast
request,anmodning
officers,officerer
pounds,pund
data,data
carefully,omhyggeligt
per,om
depends,afhænger
jury,juryen
waited,ventede
positive,positiv
attorney,advokat
direction,retning
families,familier
‘clock,'ur
doin,gør
forces,kræfter
location,beliggenhed
walls,vægge
useless,ubrugelig
grant,give
saving,besparelse
speaks,taler
fought,kæmpede
meal,måltid
deliver,levere
answers,svar
changing,skiftende
temple,tempel
scary,skræmmende
millions,millioner
offered,tilbudt
regular,fast
carrying,bærende
official,officiel
jacket,jakke
switch,skifte
grave,grav
chase,jage
