you,Du
hope,Hoffnung
face,Gesicht
until,bis
lost,verloren
police,Polizei
excuse,Entschuldigung
turn,drehen
business,Geschäft
case,Fall
wants,will
says,sagt
true,WAHR
die,sterben
heart,Herz
soon,bald
each,jede
worry,Sorge
later,später
year,Jahr
watch,betrachten
music,Musik
hand,Hand
having,haben
probably,wahrscheinlich
beautiful,Schön
doctor,Arzt
sit,sitzen
eat,essen
thinking,Denken
young,jung
second,zweite
working,Arbeiten
water,Wasser
person,Person
part,Teil
kids,Kinder
late,spät
stuff,Sachen
exactly,genau
under,unter
death,Tod
minute,Minute
pay,zahlen
crazy,verrückt
forget,vergessen
everybody,alle
kid,Kind
change,ändern
gave,gab
happen,passieren
damn,Verdammt
five,fünf
drink,trinken
far,weit
knows,weiß
its,es ist
whatever,was auch immer
eyes,Augen
shut,schließen
aren,sind
hit,Schlag
taking,nehmen
easy,einfach
times,mal
check,überprüfen
hands,Hände
minutes,Minuten
deal,handeln
different,anders
means,bedeutet
point,Punkt
inside,innen
makes,macht
asked,gefragt
somebody,jemand
mine,meins
making,Herstellung
body,Körper
afraid,besorgt
sleep,schlafen
chance,Chance
dear,Liebling
quite,ganz
four,vier
anyway,Trotzdem
close,schließen
ain,Ain
party,Party
fun,Spaß
against,gegen
word,Wort
comes,kommt
important,wichtig
set,Satz
shall,soll
story,Geschichte
number,Nummer
daughter,Tochter
least,am wenigsten
waiting,Warten
hurt,verletzt
wish,Wunsch
moment,Moment
fight,kämpfen
week,Woche
husband,Ehemann
girls,Mädchen
rest,ausruhen
married,verheiratet
fire,Feuer
game,Spiel
nobody,niemand
mr,Herr
children,Kinder
side,Seite
stand,Stand
read,lesen
though,obwohl
cut,schneiden
started,begann
sister,Schwester
supposed,angeblich
between,zwischen
child,Kind
goes,geht
hours,Std.
speak,sprechen
women,Frauen
behind,hinter
almost,fast
truth,Wahrheit
blood,Blut
able,fähig
lady,Dame
anymore,mehr
playing,spielen
gets,bekommt
shot,Schuss
reason,Grund
trouble,Problem
break,brechen
war,Krieg
city,Stadt
walk,gehen
town,Stadt
trust,Vertrauen
dr.,Dr.
met,traf
office,Büro
question,Frage
brought,gebracht
yours,dein
welcome,Willkommen
high,hoch
wow,Wow
couple,Paar
half,Hälfte
died,gestorben
cool,Cool
free,frei
either,entweder
seems,scheint
power,Leistung
whoa,Wow!
bye,Tschüss
buy,kaufen
telling,erzählen
honey,Honig
tried,versucht
front,Front
team,Team
answer,Antwort
gun,Pistole
boys,Jungs
line,Linie
send,schicken
news,Nachricht
stupid,dumm
bed,Bett
hurry,beeil dich
full,voll
months,Monate
save,speichern
sometimes,Manchmal
become,werden
along,entlang
hate,hassen
food,Essen
outside,draußen
light,Licht
l,l
needs,Bedürfnisse
dog,Hund
country,Land
clear,klar
order,Befehl
em,em
fact,Tatsache
lord,Herr
captain,Kapitän
six,sechs
hot,heiß
funny,lustig
black,Schwarz
mrs.,Frau.
alive,lebendig
pick,wählen
feeling,Gefühl
living,Leben
cause,Ursache
ahead,voraus
lose,verlieren
king,König
plan,planen
dinner,Abendessen
sighs,seufzt
sort,Sortieren
leaving,Verlassen
shouldn,sollte nicht
running,läuft
boss,Chef
alright,In Ordnung
promise,versprechen
taken,genommen
safe,sicher
ma,ma
book,Buch
sent,gesendet
white,Weiß
hour,Stunde
anybody,jemand
small,klein
perfect,perfekt
‘cause,'Ursache
lives,Leben
special,besonders
parents,Eltern
s,S
john,John
himself,sich selbst
perhaps,vielleicht
sounds,Geräusche
serious,ernst
sick,krank
company,Unternehmen
ha,Ha
scared,verängstigt
uncle,Onkel
poor,arm
red,Rot
past,Vergangenheit
earth,Erde
possible,möglich
shoot,schießen
touch,berühren
sound,Klang
top,Spitze
ass,Arsch
laughs,lacht
cannot,kann nicht
asking,fragen
win,gewinnen
glad,froh
control,Kontrolle
hmm,Hmm
human,menschlich
drive,fahren
hair,Haar
jack,Jack
bitch,Hündin
luck,Glück
murder,Mord
happens,passiert
air,Luft
ten,zehn
daddy,Vati
finally,Endlich
chuckles,kichert
fast,schnell
cold,kalt
seem,erscheinen
laughing,Lachen
words,Wörter
hospital,Krankenhaus
street,Straße
hang,aufhängen
dance,tanzen
meeting,treffen
till,bis
others,andere
catch,fangen
follow,folgen
sense,Sinn
sex,Sex
lie,Lüge
evening,Abend
master,Master
known,bekannt
dream,Traum
write,schreiben
million,Million
voice,Stimme
sweet,süß
rather,eher
felt,gefühlt
sign,Zeichen
lucky,glücklich
somewhere,irgendwo
bet,Wette
o,O
jesus,Jesus
longer,länger
calling,Berufung
worked,funktionierte
quiet,ruhig
looked,sah
less,weniger
pull,ziehen
beat,schlagen
careful,vorsichtig
coffee,Kaffee
return,zurückkehren
secret,Geheimnis
weeks,Wochen
weren,warenn
date,Datum
seeing,Sehen
fall,fallen
given,gegeben
ooh,Oh
fault,Fehler
straight,gerade
takes,benötigt
song,Lied
future,Zukunft
gentlemen,Herren
loved,geliebt
changed,geändert
road,Straße
calm,ruhig
wonderful,wunderbar
mad,verrückt
turned,gedreht
drop,fallen
ladies,Damen
learn,lernen
step,Schritt
absolutely,absolut
early,früh
explain,erklären
clean,sauber
piece,Stück
yesterday,gestern
throw,werfen
picture,Bild
land,Land
feet,Füße
wonder,Wunder
questions,Fragen
speaking,Apropos
worth,Wert
darling,Schatz
dude,Alter
giving,geben
president,Präsident
eye,Auge
quick,schnell
moving,Bewegung
figure,Figur
state,Zustand
strong,stark
sam,Sam
none,keiner
amazing,toll
ones,eins
works,Werke
act,Akt
needed,benötigt
weird,seltsam
law,Gesetz
worried,besorgt
report,Bericht
goodbye,Verabschiedung
missing,fehlen
choice,Auswahl
happening,Happening
chief,Chef
wedding,Hochzeit
strange,seltsam
general,allgemein
pain,Schmerz
‘am,'Bin
kidding,scherzhaft
decided,entschieden
ya,ja
pass,passieren
tired,müde
class,Klasse
officer,Offizier
kept,behalten
wake,aufwachen
worse,schlechter
busy,beschäftigt
eh,eh
mistake,Fehler
kiss,Kuss
court,Gericht
building,Gebäude
finish,beenden
during,während
age,Alter
ship,Schiff
caught,erwischt
marry,heiraten
meant,gemeint
sell,verkaufen
dark,dunkel
watching,Aufpassen
system,System
suppose,vermuten
evidence,Beweis
movie,Film
ride,Fahrt
t,T
completely,vollständig
mouth,Mund
totally,völlig
birthday,Geburtstag
tv,Fernseher
forgive,verzeihen
born,geboren
imagine,vorstellen
information,Information
instead,stattdessen
definitely,definitiv
security,Sicherheit
certainly,sicherlich
film,Film
month,Monat
lying,liegen
unless,es sei denn
train,Zug
seven,Sieben
wear,tragen
clothes,Kleidung
michael,Michael
hotel,Hotel
christmas,Weihnachten
attack,Angriff
hasn,hat
round,runden
expect,erwarten
sing,singen
terrible,schrecklich
george,George
bag,Tasche
history,Geschichte
blue,Blau
near,nahe
broke,pleite
station,Station
seriously,ernsthaft
forever,für immer
david,David
frank,frank
except,außer
thinks,denkt
message,Nachricht
entire,gesamte
joe,Joe
table,Tisch
talked,gesprochen
across,über
rock,Felsen
lovely,schön
handle,handhaben
middle,Mitte
buddy,Kumpel
paid,bezahlt
protect,schützen
using,Verwendung
floor,Boden
ran,lief
swear,schwören
spend,ausgeben
situation,Situation
ring,Ring
anywhere,überall
dangerous,gefährlich
bill,Rechnung
york,York
army,Armee
lead,führen
bought,gekauft
finished,fertig
fair,gerecht
sun,Sonne
letter,Brief
fool,Narr
attention,Aufmerksamkeit
club,Verein
simple,einfach
interesting,interessant
space,Raum
test,prüfen
box,Kasten
group,Gruppe
single,einzel
sitting,Sitzung
marriage,Hochzeit
join,verbinden
fear,Furcht
d,D
peace,Frieden
forgot,vergessen
force,Gewalt
short,kurz
normal,Normal
charlie,Charlie
present,gegenwärtig
enjoy,genießen
mike,Mikrofon
crime,Verbrechen
horse,Pferd
ground,Boden
american,amerikanisch
count,zählen
area,Bereich
charge,Aufladung
honor,Ehre
lunch,Mittagessen
miles,Meilen
radio,Radio
idiot,Idiot
ball,Ball
surprise,Überraschung
paper,Papier
key,Schlüssel
boat,Boot
quickly,schnell
gold,Gold
bar,Bar
fish,Fisch
mark,markieren
tom,Tom
wearing,tragen
crying,Weinen
accident,Unfall
government,Regierung
eight,acht
fell,fällen
cover,Abdeckung
certain,bestimmt
interested,interessiert
deep,tief
star,Stern
sea,Meer
agree,zustimmen
problems,Probleme
detective,Detektiv
prison,Gefängnis
major,wesentlich
stick,Stock
offer,Angebot
difficult,schwierig
smart,schlau
personal,persönlich
record,aufzeichnen
stopped,gestoppt
hide,verstecken
whether,ob
bank,Bank
trip,Reise
relax,entspannen
america,Amerika
public,öffentlich
list,Liste
afternoon,Nachmittag
brain,Gehirn
fix,Fix
bastard,Bastard
proud,stolz
tea,Tee
service,Service
screaming,schreiend
forward,nach vorne
angry,wütend
park,Park
soul,Seele
fighting,Kampf
peter,Peter
rich,reich
agent,Agent
blow,Schlag
paul,Paul
dress,Kleid
mary,Maria
missed,verpasst
scene,Szene
killing,Tötung
standing,Stehen
saved,gespeichert
mm,mm
respect,respektieren
killer,Killer
ice,Eis
mess,Durcheinander
tough,hart
feels,fühlt sich
church,Kirche
sad,traurig
cell,Zelle
drunk,betrunken
share,Aktie
camera,Kamera
mm-hmm,mm-hmm
within,innerhalb
card,Karte
fly,fliegen
ben,Ben
girlfriend,Freundin
laugh,lachen
smell,Geruch
broken,gebrochen
mum,Mama
honest,ehrlich
often,oft
starting,beginnend
calls,Anrufe
y,y
spent,ausgegeben
third,dritte
english,Englisch
visit,besuchen
mama,Mama
judge,Richter
window,Fenster
hungry,hungrig
dare,wagen
relationship,Beziehung
moved,verschoben
prove,beweisen
private,Privat
wall,Wand
seat,Sitz
i-i,i-i
position,Position
lieutenant,Leutnant
realize,realisieren
lt,lt
especially,besonders
machine,Maschine
walking,gehen
art,Kunst
pleasure,Vergnügen
bloody,blutig
college,Hochschule
french,französisch
involved,beteiligt
cry,weinen
became,wurde
lived,lebte
impossible,unmöglich
obviously,offensichtlich
neither,weder
accept,akzeptieren
boyfriend,Freund
besides,außerdem
queen,Königin
teacher,Lehrer
cops,Polizisten
sake,willen
loves,liebt
carry,tragen
teach,unterrichten
apartment,Wohnung
upset,verärgern
green,Grün
la,la
liked,Gefällt mir
cute,Niedlich
evil,teuflisch
professor,Professor
contact,Kontakt
joke,Witz
cop,Polizist
huge,riesig
holy,heilig
store,speichern
jail,Gefängnis
likes,Gefällt mir
lawyer,Rechtsanwalt
doubt,zweifeln
continue,weitermachen
appreciate,anerkennen
cat,Katze
shop,Geschäft
driving,Fahren
congratulations,Glückwunsch
wrote,schrieb
village,Dorf
quit,aufhören
field,Feld
james,James
wine,Wein
decision,Entscheidung
south,Süden
sleeping,Schlafen
slow,langsam
laughter,Lachen
island,Insel
glass,Glas
beginning,Anfang
cash,Kasse
dying,sterben
hundred,hundert
whose,wessen
difference,Unterschied
plane,Flugzeug
push,drücken
continues,Fortsetzung
mmm,mmm
singing,Singen
eating,Essen
north,Norden
mrs,Frau
tree,Baum
madam,Frau
gift,Geschenk
truck,LKW
putting,Putten
bear,tragen
board,Planke
grab,greifen
beer,Bier
stuck,gesteckt
magic,Magie
support,Unterstützung
rules,Regeln
grunts,Grunzen
partner,Partner
reach,erreichen
wind,Wind
colonel,Oberst
max,max
immediately,sofort
seconds,Sekunden
thousand,tausend
gives,gibt
experience,Erfahrung
cheers,Prost
victim,Opfer
upon,auf
computer,Computer
christ,Christus
planet,Planet
promised,versprochen
bus,Bus
henry,Henry
dirty,schmutzig
search,suchen
staying,bleiben
dreams,Träume
arrest,verhaften
holding,halten
suddenly,plötzlich
usually,normalerweise
lots,viele
shoes,Schuhe
er,er
jump,springen
rid,loswerden
yo,yo
knock,klopfen
owe,verdanken
harry,Harry
grow,wachsen
worst,am schlimmsten
river,Fluss
aunt,Tante
patient,geduldig
kitchen,Küche
aah,aah
fat,fett
passed,bestanden
m,M
final,Finale
summer,Sommer
bob,Bob
listening,Hören
escape,Flucht
everywhere,überall
moon,Mond
arms,Waffen
turns,Wendungen
address,Adresse
ow,jetzt
match,übereinstimmen
gasps,keucht
grand,grand
yep,ja
shh,Pst!
nervous,nervös
de,de
choose,wählen
themselves,selbst
decide,entscheiden
mate,Kumpel
drinking,Trinken
press,drücken
bother,sich kümmern
foot,Fuß
hadn,hatte
blame,beschuldigen
crap,Mist
drugs,Drogen
type,Typ
rings,Ringe
mission,Mission
named,namens
heaven,Himmel
‘ii,‘ii
picked,ausgewählt
paris,Paris
race,Wettrennen
risk,Risiko
books,Bücher
further,weiter
danny,Danny
action,Aktion
allowed,erlaubt
orders,Bestellungen
learned,gelernt
price,Preis
arrived,angekommen
nick,Nick
otherwise,ansonsten
pictures,Bilder
fit,fit
smoke,Rauch
favor,favorisieren
played,gespielt
notice,beachten
awesome,Eindrucksvoll
smile,lächeln
director,Direktor
guard,bewachen
begin,beginnen
spot,Stelle
surprised,überrascht
innocent,unschuldig
narrator,Erzähler
herself,sich
london,London
feelings,Gefühle
enemy,Feind
battle,Schlacht
ourselves,uns
alex,Alex
dollars,Dollar
allow,erlauben
nine,neun
gay,schwul
department,Abteilung
guilty,schuldig
apart,auseinander
earlier,früher
duty,Pflicht
jim,Jim
suit,Anzug
bell,Glocke
west,Westen
legs,Beine
hero,Held
destroy,zerstören
stage,Bühne
bunch,Bündel
according,nach
chicken,Huhn
bigger,größer
grunting,Grunzen
low,niedrig
helping,Portion
admit,zugeben
closed,geschlossen
names,Namen
witness,Zeuge
upstairs,oben
arm,Arm
steal,stehlen
jimmy,Jimmy
kick,Kick
twice,zweimal
cross,kreuzen
ways,Wege
sergeant,Sergeant
indeed,In der Tat
gas,Gas
keeping,behalten
energy,Energie
pregnant,schwanger
waste,Abfall
helped,half
fired,gefeuert
favorite,Favorit
tony,Tony
taste,schmecken
locked,gesperrt
places,Orte
writing,Schreiben
adam,Adam
brothers,Brüder
starts,beginnt
prince,Prinz
form,bilden
sold,verkauft
silly,dumm
mention,erwähnen
build,bauen
throat,Kehle
hole,Loch
figured,dachte
track,Schiene
ringing,Klingeln
lock,sperren
leg,Bein
above,über
hiding,Verstecken
steve,Steve
seemed,schien
breakfast,Frühstück
engine,Motor
written,geschrieben
complete,vollständig
video,Video
applause,Beifall
however,Jedoch
pressure,Druck
fresh,frisch
weapon,Waffe
sky,Himmel
ms.,MS.
stole,Stola
study,Studie
burn,brennen
reading,Lektüre
crowd,Menge
treat,behandeln
roll,rollen
double,doppelt
spirit,Geist
danger,Gefahr
cost,kosten
empty,leer
level,Ebene
memory,Erinnerung
itself,selbst
acting,Schauspielerei
interest,Interesse
nose,Nase
plans,Pläne
following,folgende
bathroom,Badezimmer
built,gebaut
closer,näher
ray,Strahl
sarah,Sarah
band,Band
groans,Stöhnen
apparently,scheinbar
excited,aufgeregt
richard,Richard
losing,verlieren
animals,Tiere
flight,Flug
nature,Natur
raise,erheben
pop,Pop
client,Kunde
bomb,Bombe
neck,Nacken
suspect,verdächtig
warm,warm
extra,Extra
bottle,Flasche
van,van
heavy,schwer
mommy,Mama
dogs,Hunde
wild,wild
ridiculous,lächerlich
simply,einfach
lee,Lee
animal,Tier
showed,zeigte
billy,Billy
shooting,Schießen
keeps,hält
camp,Lager
guns,Waffen
medical,medizinische
shame,Scham
hoping,hoffend
whom,dem
bird,Vogel
majesty,Majestät
flowers,Blumen
famous,berühmt
asleep,schlafend
beauty,Schönheit
driver,Treiber
keys,Schlüssel
rain,Regen
awful,schrecklich
large,groß
local,lokal
deserve,verdienen
goddamn,verdammt
stone,Stein
jane,Jane
grace,Anmut
consider,halten
weekend,Wochenende
wondering,Ich frage mich
lay,legen
plenty,eine Menge
willing,bereit
pants,Hose
sweetheart,Schatz
skin,Haut
excellent,exzellent
asshole,Arschloch
beach,Strand
c,C
faith,Glaube
beg,bitten
fuckin,verdammt
responsible,verantwortlich
military,Militär
cheering,Jubel
opportunity,Gelegenheit
common,gemeinsam
bottom,unten
german,Deutsch
whoever,wer auch immer
cook,kochen
walked,ging
papers,Papiere
justice,Gerechtigkeit
hall,Saal
commander,Kommandant
drug,Arzneimittel
main,hauptsächlich
knife,Messer
devil,Teufel
necessary,notwendig
although,Obwohl
princess,Prinzessin
lights,Lichter
flying,fliegen
dick,Schwanz
rose,Rose
knowing,wissen
clearly,deutlich
hat,Hut
agreed,vereinbart
johnny,Johnny
corner,Ecke
code,Code
note,Notiz
tommy,Tommy
due,fällig
correct,richtig
apologize,sich entschuldigen
language,Sprache
stars,Sterne
faster,Schneller
cars,Autos
folks,Leute
bullshit,Bullshit
i.,ich.
fellow,Gefährte
several,mehrere
grandma,Oma
shows,Shows
leader,Führer
leaves,Blätter
restaurant,Restaurant
east,Ost
shouting,Geschrei
blind,blind
ghost,Geist
cup,Tasse
gotten,erhalten
tight,eng
conversation,Gespräch
tells,erzählt
lies,Lügen
nor,noch
pulled,gezogen
hanging,hängend
speed,Geschwindigkeit
stories,Geschichten
health,Gesundheit
advice,Beratung
held,abgehalten
uh-huh,äh-huh
murdered,ermordet
beyond,darüber hinaus
rule,Regel
hardly,kaum
possibly,möglicherweise
inspector,Inspektor
cousin,Cousin
trial,Versuch
emergency,Notfall
ought,sollte
eddie,Eddie
somehow,irgendwie
hearing,Anhörung
states,Staaten
account,Konto
spoke,Speiche
file,Datei
understood,verstanden
angel,Engel
tape,Band
milk,Milch
powerful,mächtig
weapons,Waffen
practice,üben
manager,Manager
pardon,Begnadigung
vote,Abstimmung
jake,Jake
national,national
career,Karriere
minister,Minister
super,super
taught,gelehrt
robert,Robert
biggest,größte
plays,spielt
natural,natürlich
dancing,Tanzen
copy,Kopie
plus,Plus
martin,Martin
cake,Kuchen
freedom,Freiheit
among,unter
breath,Atem
operation,Betrieb
chris,Chris
crew,Crew
challenge,Herausforderung
market,Markt
meat,Fleisch
towards,in Richtung
bringing,bringen
dropped,fallen gelassen
student,Student
lied,gelogen
strength,Stärke
size,Größe
breathe,atmen
color,Farbe
monster,Monster
loud,laut
photo,Foto
aw,Oh
nearly,fast
sight,Sicht
greatest,größte
games,Spiele
bridge,Brücke
dressed,angezogen
arrested,festgenommen
horrible,schrecklich
coach,Trainer
planning,Planung
checked,geprüft
breaking,brech
noticed,bemerkt
fantastic,fantastisch
screams,Schreie
serve,Aufschlag
ideas,Ideen
investigation,Untersuchung
center,Center
older,älter
pack,Pack
soldiers,Soldaten
nonsense,Unsinn
doc,Dokument
project,Projekt
training,Ausbildung
example,Beispiel
trick,Trick
prepared,vorbereitet
science,Wissenschaft
united,vereinigt
travel,reisen
incredible,unglaublich
grandpa,Opa
paying,Zahlung
character,Charakter
teeth,Zähne
criminal,kriminell
charles,Charles
chinese,chinesisch
truly,wirklich
honestly,Ehrlich
bro,Bruder
survive,überleben
bobby,Bobby
target,Ziel
feed,füttern
nurse,Krankenschwester
e,e
fake,gefälscht
records,Aufzeichnungen
breathing,Atmung
sweetie,Schätzchen
numbers,Zahlen
oil,Öl
suicide,Selbstmord
belong,gehören
whoo,Whoo
perfectly,perfekt
amy,Amy
forgotten,vergessen
remain,bleiben
original,Original
papa,Papa
onto,auf
concerned,betroffen
credit,Kredit
ugh,Pfui
invited,eingeladen
discuss,diskutieren
research,Forschung
easier,Einfacher
view,Sicht
chair,Stuhl
hurts,tut weh
strike,schlagen
roger,Roger
fill,füllen
condition,Zustand
mountain,Berg
dr,Dr.
nowhere,nirgends
sheriff,Sheriff
kim,Kim
turning,Drehung
brown,braun
recognize,erkennen
heads,Köpfe
audience,Publikum
‘all,'alle
jealous,eifersüchtig
pretend,vorgeben
society,Gesellschaft
finding,Finden
shirt,Hemd
comfortable,komfortabel
meaning,Bedeutung
guest,Gast
pieces,Stücke
dry,trocken
letting,lassen
began,begann
aye,Ja
jeff,Jeff
female,weiblich
release,freigeben
ho,ho
cards,Karten
pray,beten
unfortunately,Leider
balls,Bälle
destroyed,zerstört
ended,Ende
universe,Universum
prepare,vorbereiten
opinion,Meinung
movies,Filme
soldier,Soldat
wash,waschen
program,Programm
heat,Hitze
usual,üblich
ticket,Ticket
stolen,gestohlen
prefer,bevorzugen
aware,bewusst
surely,sicherlich
male,männlich
base,Base
matters,Angelegenheiten
lift,Aufzug
lab,Labor
command,Befehl
proof,nachweisen
cream,Creme
selling,Verkauf
believed,glaubte
create,erstellen
h,H
afford,leisten
sunday,Sonntag
total,gesamt
dumb,dumm
threw,warf
france,Frankreich
birth,Geburt
created,erstellt
realized,realisiert
british,britisch
noise,Lärm
nuts,Nüsse
students,Studenten
birds,Vögel
social,soziale
brilliant,genial
bodies,Körper
tie,binden
opened,geöffnet
ours,unsere
bucks,Dollar
kevin,Kevin
mister,Herr
ugly,hässlich
ryan,Ryan
focus,Fokus
dan,Dan
opens,öffnet
exist,existieren
followed,folgte
england,England
draw,ziehen
purpose,Zweck
letters,Buchstaben
daniel,Daniel
opening,Öffnung
bullet,Kugel
anna,Anna
lately,in letzter Zeit
stayed,blieb
falling,fallen
season,Jahreszeit
ends,Ende
suggest,vorschlagen
joy,Freude
distance,Distanz
responsibility,Verantwortung
whenever,wann immer
issue,Ausgabe
thousands,Tausende
process,Verfahren
sword,Schwert
shower,Dusche
weak,schwach
fucked,gefickt
lonely,einsam
happiness,Glück
eric,Eric
tiny,winzig
desk,Schreibtisch
pool,Pool
property,Eigentum
forced,gezwungen
settle,siedeln
indistinct,undeutlich
weight,Gewicht
received,erhalten
gang,Gang
bite,beißen
friday,Freitag
disappeared,verschwunden
interview,Interview
expecting,erwartungsvoll
kinda,irgendwie
surgery,Operation
horses,Pferde
mayor,Bürgermeister
babe,Baby
ancient,uralt
handsome,gutaussehend
thomas,Thomas
saturday,Samstag
staff,Personal
lines,Linien
unit,Einheit
fan,Lüfter
gentleman,Gentleman
introduce,einführen
fate,Schicksal
split,Teilt
recently,kürzlich
expected,erwartet
add,hinzufügen
ordered,bestellt
slowly,langsam
alarm,Alarm
member,Mitglied
slept,schlief
signed,unterzeichnet
enter,eingeben
spanish,Spanisch
garden,Garten
brings,bringt
brave,mutig
pig,Schwein
model,Modell
finger,Finger
medicine,Medizin
access,Zugang
failed,fehlgeschlagen
flat,Wohnung
easily,leicht
discovered,entdeckt
based,basierend
screw,schrauben
insane,verrückt
cares,kümmert sich
weather,Wetter
fingers,Finger
san,San
scott,Scott
path,Weg
soft,weich
harm,Schaden
style,Stil
community,Gemeinschaft
sees,sieht
basically,grundsätzlich
al,al
signal,Signal
nope,Nein
spare,Ersatzteil
speech,Rede
covered,bedeckt
shake,Shake
loose,lose
snow,Schnee
russian,Russisch
lake,See
bright,hell
roof,Dach
ohh,ohh
sending,Senden
paint,malen
remind,erinnern
pal,Kumpel
naked,nackt
post,Post
sugar,Zucker
heading,Überschrift
streets,Straßen
damage,Schaden
silence,Schweigen
doors,Türen
pete,Pete
ed,ed
success,Erfolg
wet,nass
nah,na
amount,Menge
members,Mitglieder
kate,Kate
manage,verwalten
safety,Sicherheit
returned,zurück
harder,Schwerer
fbi,FBI
block,Block
showing,Das heißt， es ist nichts anderes als das， was man erwarten würde.
fancy,schick
chef,Küchenchef
contract,Vertrag
dig,graben
chest,Brust
goodbye,Verabschiedung
drinks,Getränke
dave,Dave
buried,begraben
brian,Brian
trade,Handel
journey,Reise
stomach,Magen
changes,Änderungen
details,Details
thoughts,Gedanken
divorce,Scheidung
funeral,Beerdigung
maria,Maria
football,Fußball
reality,Wirklichkeit
