you,אַתָה
while,בְּעוֹד
since,מֵאָז
wife,אִשָׁה
days,ימים
guess,לְנַחֵשׁ
tomorrow,מָחָר
matter,חוֹמֶר
meet,לִפְגוֹשׁ
bring,לְהָבִיא
tonight,הַלַילָה
everyone,כֹּל אֶחָד
run,לָרוּץ
wanna,רוצה
hard,קָשֶׁה
ah,אה
alone,לְבַד
myself,עַצמִי
school,בֵּית סֵפֶר
gone,נעלם
um,אמממ
end,סוֹף
saying,פִּתגָם
phone,טֵלֵפוֹן
play,לְשַׂחֵק
looks,מראה
couldn,לא יכול
fucking,מְזוּיָן
problem,בְּעָיָה
few,מְעַטִים
friends,חברים
gotta,חייב
ago,לִפנֵי
open,לִפְתוֹחַ
anyone,כֹּל אֶחָד
killed,נהרג
hope,לְקַווֹת
face,פָּנִים
until,עַד
lost,אָבֵד
police,מִשׁטָרָה
excuse,סְלִיחָה
turn,פִּנָה
business,עֵסֶק
case,מִקרֶה
wants,רוצה
says,אומר
true,נָכוֹן
die,לָמוּת
heart,לֵב
soon,בְּקָרוּב
each,כֹּל
worry,דְאָגָה
later,מְאוּחָר יוֹתֵר
year,שָׁנָה
watch,לִצְפּוֹת
music,מוּסִיקָה
hand,יָד
having,שיש
probably,כַּנִראֶה
beautiful,יָפֶה
doctor,דוֹקטוֹר
sit,לָשֶׁבֶת
eat,לֶאֱכוֹל
thinking,חֲשִׁיבָה
young,צָעִיר
second,שְׁנִיָה
working,עובד
water,מַיִם
person,אָדָם
part,חֵלֶק
kids,ילדים
late,מְאוּחָר
stuff,דְבָרִים
exactly,בְּדִיוּק
under,תַחַת
death,מָוֶת
minute,דַקָה
pay,לְשַׁלֵם
crazy,מְטוּרָף
forget,לִשְׁכּוֹחַ
everybody,כּוּלָם
kid,יֶלֶד
change,לְשַׁנוֹת
gave,נתן
happen,לִקְרוֹת
damn,לעזאזל
five,חָמֵשׁ
drink,לִשְׁתוֹת
far,רָחוֹק
knows,יודע
its,שֶׁלָה
whatever,מה שלא יהיה
eyes,עיניים
shut,לִסְגוֹר
aren,ארן
hit,לָהִיט
taking,לְקִיחָה
easy,קַל
times,פִּי
check,לִבדוֹק
hands,ידיים
minutes,פּרוֹטוֹקוֹל
deal,עִסקָה
different,שׁוֹנֶה
means,אֶמְצָעִי
point,נְקוּדָה
inside,בְּתוֹך
makes,עושה
asked,שאל
somebody,מִישֶׁהוּ
mine,שֶׁלִי
making,הֲכָנָה
body,גוּף
afraid,חוֹשֵׁשׁ
sleep,לִישׁוֹן
chance,הִזדַמְנוּת
dear,יָקָר
quite,דַי
four,ארבע
anyway,בכל מקרה
close,לִסְגוֹר
ain,אין
party,צַד
fun,כֵּיף
against,נֶגֶד
word,מִלָה
comes,מגיע
important,חָשׁוּב
set,מַעֲרֶכֶת
shall,יְהִיא
story,כַּתָבָה
number,מִספָּר
daughter,בַּת
least,פָּחוּת
waiting,הַמתָנָה
hurt,פְּגִיעָה
wish,בַּקָשָׁה
moment,רֶגַע
fight,מַאֲבָק
week,שָׁבוּעַ
husband,בַּעַל
girls,בנות
rest,לָנוּחַ
married,נָשׂוּי
fire,אֵשׁ
game,מִשְׂחָק
nobody,אַף אֶחָד
mr,מַר
children,יְלָדִים
side,צַד
stand,לַעֲמוֹד
read,לִקְרוֹא
though,למרות זאת
cut,גְזִירָה
started,התחיל
sister,אָחוֹת
supposed,אָמוּר
between,בֵּין
child,יֶלֶד
goes,הולך
hours,שעות
speak,לְדַבֵּר
women,נָשִׁים
behind,מֵאָחוֹר
almost,כִּמעַט
truth,אֶמֶת
blood,דָם
able,מְסוּגָל
lady,גְבֶרֶת
anymore,יותר
playing,משחק
gets,מקבל
shot,בְּעִיטָה
reason,לְנַמֵק
trouble,צָרָה
break,לִשְׁבּוֹר
war,מִלחָמָה
city,עִיר
walk,לָלֶכֶת
town,עִיר
trust,אֵמוּן
dr.,ד"ר
met,נפגש
office,מִשׂרָד
question,שְׁאֵלָה
brought,מוּבָא
yours,שֶׁלְךָ
welcome,קַבָּלַת פָּנִים
high,גָבוֹהַ
wow,וואו
couple,זוּג
half,חֲצִי
died,מת
cool,לְהִתְקַרֵר
free,לְשַׁחְרֵר
either,אוֹ
seems,נראה
power,כּוֹחַ
whoa,וואו
bye,להתראות
buy,לִקְנוֹת
telling,לספר
honey,דְבַשׁ
tried,ניסה
front,חֲזִית
team,קְבוּצָה
answer,תְשׁוּבָה
gun,אֶקְדָח
boys,בנים
line,קַו
send,לִשְׁלוֹחַ
news,חֲדָשׁוֹת
stupid,מְטוּפָּשׁ
bed,מיטה
hurry,לְמַהֵר
full,מָלֵא
months,חודשים
save,לְהַצִיל
sometimes,לִפְעָמִים
become,לִהיוֹת
along,לְאוֹרֶך
hate,שִׂנאָה
food,מָזוֹן
outside,בָּחוּץ
light,אוֹר
l,ל
needs,צרכים
dog,כֶּלֶב
country,מְדִינָה
clear,בָּרוּר
order,לְהַזמִין
em,אותם
fact,עוּבדָה
lord,אָדוֹן
captain,סֶרֶן
six,שֵׁשׁ
hot,חַם
funny,מַצחִיק
black,שָׁחוֹר
mrs.,גְבֶרֶת.
alive,בְּחַיִים
pick,לִבחוֹר
feeling,מַרגִישׁ
living,חַי
cause,לִגרוֹם
ahead,קָדִימָה
lose,לְאַבֵּד
king,מֶלֶך
plan,לְתַכְנֵן
dinner,אֲרוּחַת עֶרֶב
sighs,אנחות
sort,סוּג
leaving,עֲזִיבָה
shouldn,לא אמור
running,רִיצָה
boss,בּוֹס
alright,בְּסֵדֶר
promise,הַבטָחָה
taken,נלקח
safe,כַּסֶפֶת
ma,אִמָא
book,סֵפֶר
sent,נשלח
white,לָבָן
hour,שָׁעָה
anybody,מִישֶׁהוּ
small,קָטָן
perfect,מוּשׁלָם
‘cause,'לִגרוֹם
lives,חיים
special,מְיוּחָד
parents,הוֹרִים
s,ש
john,ג'ון
himself,עַצמוֹ
perhaps,אוּלַי
sounds,צלילים
serious,רְצִינִי
sick,חוֹלֶה
company,חֶברָה
ha,חה
scared,מפוחד
uncle,דוֹד
poor,יָרוּד
red,אָדוֹם
past,עָבָר
earth,כַּדוּר הָאָרֶץ
possible,אֶפשָׁרִי
shoot,לִירוֹת
touch,לָגַעַת
sound,קוֹל
top,רֹאשׁ
ass,תַחַת
laughs,צחוקים
cannot,לא יכול
asking,שואל
win,לְנַצֵחַ
glad,שַׂמֵחַ
control,לִשְׁלוֹט
hmm,הממ
human,אֶנוֹשִׁי
drive,לִנְהוֹג
hair,שֵׂעַר
jack,ג'ֵק
bitch,כַּלבָּה
luck,מַזָל
murder,רֶצַח
happens,קורה
air,אֲוִיר
ten,עֶשֶׂר
daddy,אַבָּא
finally,לְבָסוֹף
chuckles,צוחק
fast,מָהִיר
cold,קַר
seem,לְהֵרָאוֹת
laughing,צוחק
words,מילים
hospital,בֵּית חוֹלִים
street,רְחוֹב
hang,לִתְלוֹת
dance,לִרְקוֹד
meeting,פְּגִישָׁה
till,עַד
others,אחרים
catch,לִתְפּוֹס
follow,לַעֲקוֹב
sense,לָחוּשׁ
sex,מִין
lie,שֶׁקֶר
evening,עֶרֶב
master,לִשְׁלוֹט
known,יָדוּעַ
dream,חֲלוֹם
write,לִכתוֹב
million,מִילִיוֹן
voice,קוֹל
sweet,מָתוֹק
rather,אלא
felt,לֶבֶד
sign,סִימָן
lucky,בַּר מַזָל
somewhere,אֵיִ שָׁם
bet,לְהִתְעַרֵב
o,או
jesus,יֵשׁוּעַ
longer,ארוך יותר
calling,יִעוּד
worked,עבד
quiet,שֶׁקֶט
looked,הסתכל
less,פָּחוֹת
pull,מְשׁוֹך
beat,לְהַכּוֹת
careful,זָהִיר
coffee,קָפֶה
return,לַחֲזוֹר
secret,סוֹד
weeks,שבועות
weren,לא היו
date,תַאֲרִיך
seeing,רְאִיָה
fall,סתָיו
given,נָתוּן
ooh,אוה
fault,תַקָלָה
straight,יָשָׁר
takes,לוקח
song,שִׁיר
future,עָתִידִי
gentlemen,רבותי
loved,אהבתי
changed,השתנה
road,כְּבִישׁ
calm,לְהַרְגִיעַ
wonderful,נִפלָא
mad,מְטוּרָף
turned,פנה
drop,יְרִידָה
ladies,נָשִׁים
learn,לִלמוֹד
step,שָׁלָב
absolutely,בְּהֶחלֵט
early,מוּקדָם
explain,לְהַסבִּיר
clean,לְנַקוֹת
piece,לְחַבֵּר
yesterday,אֶתמוֹל
throw,לִזרוֹק
picture,תְמוּנָה
land,אֶרֶץ
feet,רגליים
wonder,פֶּלֶא
questions,שאלות
speaking,מדבר
worth,שִׁוּוּי
darling,מוֹתֶק
dude,אחי
giving,מַתָן
president,נָשִׂיא
eye,עַיִן
quick,מָהִיר
moving,נָע
figure,דְמוּת
state,מְדִינָה
strong,חָזָק
sam,סם
none,אַף לֹא אֶחָד
amazing,מדהים
ones,אלה
works,עבודות
act,חוֹק
needed,נָחוּץ
weird,מְשׁוּנֶה
law,חוֹק
worried,מוּדְאָג
report,דִוּוּחַ
goodbye,להתראות
missing,חָסֵר
choice,בְּחִירָה
happening,מִתרַחֵשׁ
chief,רֹאשׁ
wedding,חֲתוּנָה
strange,מוּזָר
general,כְּלָלִי
pain,כְּאֵב
‘am,אני
kidding,צוחק
decided,החליט
ya,כן
pass,לַעֲבוֹר
tired,עייף
class,מַחלָקָה
officer,קָצִין
kept,נשמר
wake,לְהִתְעוֹרֵר
worse,גָרוּעַ יוֹתֵר
busy,עָסוּק
eh,אה
mistake,טָעוּת
kiss,נְשִׁיקָה
court,לְחַזֵר
building,בִּניָן
finish,סִיוּם
during,בְּמַהֲלָך
age,גִיל
ship,סְפִינָה
caught,נתפס
marry,לְהִתְחַתֵן
meant,התכוון
sell,מְכִירָה
dark,כֵּהֶה
watching,צפייה
system,מַעֲרֶכֶת
suppose,לְהַנִיחַ
evidence,עֵדוּת
movie,סֶרֶט
ride,לִרְכּוֹב
t,ט
completely,לַחֲלוּטִין
mouth,פֶּה
totally,לְגַמרֵי
birthday,יוֹם הוּלֶדֶת
tv,טֵלֶוִיזִיָה
forgive,לִסְלוֹחַ
born,נוֹלָד
imagine,לדמיין
information,מֵידָע
instead,במקום זאת
definitely,בְּהֶחלֵט
security,בִּטָחוֹן
certainly,בְּהֶחלֵט
film,סֶרֶט
month,חוֹדֶשׁ
lying,שֶׁקֶר
unless,אֶלָא אִם
train,רַכֶּבֶת
seven,שבע
wear,לִלבּוֹשׁ
clothes,בגדים
michael,מייקל
hotel,מָלוֹן
christmas,חַג הַמוֹלָד
attack,לִתְקוֹף
hasn,אין
round,עִגוּל
expect,לְצַפּוֹת
sing,לָשִׁיר
terrible,נוֹרָא
george,ג'ורג'
bag,תִיק
history,הִיסטוֹרִיָה
blue,כְּחוֹל
near,לְיַד
broke,חֲסַר פְּרוּטָה
station,תַחֲנָה
seriously,בִּרְצִינוּת
forever,לָנֶצַח
david,דוד
frank,גָלוּי לֵב
except,אֶלָא
thinks,חושב
message,הוֹדָעָה
entire,שָׁלֵם
joe,ג'ו
table,לוּחַ
talked,דיבר
across,לְרוֹחָב
rock,רוֹק
lovely,יָפֶה
handle,יָדִית
middle,אֶמצַע
buddy,חָבֵר
paid,שולם
protect,לְהַגֵן
using,באמצעות
floor,קוֹמָה
ran,רץ
swear,לְקַלֵל
spend,לְבַלוֹת
situation,מַצָב
ring,טַבַּעַת
anywhere,בְּכָל מָקוֹם
dangerous,מְסוּכָּן
bill,הַצָעַת חוֹק
york,יורק
army,צָבָא
lead,עוֹפֶרֶת
bought,קנה
finished,גָמוּר
fair,הוֹגֶן
sun,שֶׁמֶש
letter,מִכְתָב
fool,שׁוֹטֶה
attention,תְשׁוּמַת לֵב
club,מוֹעֲדוֹן
simple,פָּשׁוּט
interesting,מעניין
space,מֶרחָב
test,מִבְחָן
box,קוּפסָה
group,קְבוּצָה
single,אֶחָד
sitting,יְשִׁיבָה
marriage,חֲתוּנָה
join,לְהִצְטַרֵף
fear,פַּחַד
d,ד
peace,שָׁלוֹם
forgot,שכחתי
force,כּוֹחַ
short,קָצָר
normal,נוֹרמָלִי
charlie,צ'רלי
present,לְהַצִיג
enjoy,ליהנות
mike,מִיקרוֹפוֹן
crime,פֶּשַׁע
horse,סוּס
ground,טָחוּן
american,אֲמֶרִיקָאִי
count,לִסְפּוֹר
area,אֵזוֹר
charge,תַשְׁלוּם
honor,כָּבוֹד
lunch,אֲרוּחַת צָהֳרִים
miles,מיילים
radio,רָדִיוֹ
idiot,אִידיוֹט
ball,כַּדוּר
surprise,הַפתָעָה
paper,נְיָר
key,מַפְתֵחַ
boat,סִירָה
quickly,בִּמְהִירוּת
gold,זָהָב
bar,בַּר
fish,לָדוּג
mark,סִימָן
tom,טום
wearing,לְבִישָׁה
crying,בְּכִי
accident,תְאוּנָה
government,מֶמְשָׁלָה
eight,שְׁמוֹנֶה
fell,נפל
cover,לְכַסוֹת
certain,מְסוּיָם
interested,מעוניין
deep,עָמוֹק
star,כּוֹכָב
sea,יָם
agree,לְהַסכִּים
problems,בעיות
detective,בַּלָשׁ
prison,כֵּלֵא
major,רַב סֶרֶן
stick,מַקֵל
offer,הַצָעָה
difficult,קָשֶׁה
smart,לִכאוֹב
personal,אִישִׁי
record,רְשׁוּמָה
stopped,נֶעצָר
hide,לְהַסתִיר
whether,אִם
bank,בַּנק
trip,טִיוּל
relax,לְהִרָגַע
america,אמריקה
public,פּוּמְבֵּי
list,רְשִׁימָה
afternoon,צָהֳרַיִים
brain,מוֹחַ
fix,לִקְבּוֹעַ
bastard,מַמזֵר
proud,גֵאֶה
tea,תֵה
service,שֵׁרוּת
screaming,צרחות
forward,קָדִימָה
angry,כּוֹעֵס
park,פַּארק
soul,נֶפֶשׁ
fighting,לְחִימָה
peter,פיטר
rich,עָשִׁיר
agent,סוֹכֵן
blow,מַכָּה
paul,פול
dress,לְהִתְלַבֵּשׁ
mary,מרי
missed,החמצתי
scene,סְצֵינָה
killing,הֶרֶג
standing,עוֹמֵד
saved,נשמר
mm,מ"מ
respect,כִּבּוּד
killer,רוֹצֵחַ
ice,קֶרַח
mess,בָּלָגָן
tough,קָשֶׁה
feels,מרגיש
church,כְּנֵסִיָה
sad,עָצוּב
cell,תָא
drunk,שָׁתוּי
share,לַחֲלוֹק
camera,מַצלֵמָה
mm-hmm,ממ-הממ
within,בְּתוֹך
card,כַּרְטִיס
fly,לָטוּס
ben,בן
girlfriend,חֲבֵרָה
laugh,לִצְחוֹק
smell,רֵיחַ
broken,שָׁבוּר
mum,אמא
honest,יָשָׁר
often,לְעִתִים קְרוֹבוֹת
starting,מתחיל
calls,שיחות
y,י
spent,מוּתַשׁ
third,שְׁלִישִׁי
english,אַנגְלִית
visit,לְבַקֵר
mama,אִמָא
judge,לִשְׁפּוֹט
window,חַלוֹן
hungry,רָעֵב
dare,לְהַעֵז
relationship,קֶשֶׁר
moved,נִרגָשׁ
prove,לְהוֹכִיחַ
private,פְּרָטִי
wall,קִיר
seat,מוֹשָׁב
i-i,i-i
position,מַצָב
lieutenant,סֶגֶן
realize,לִהַבִין
lt,לט
especially,בִּמְיוּחָד
machine,מְכוֹנָה
walking,הליכה
art,אָמָנוּת
pleasure,הֲנָאָה
bloody,אָרוּר
college,מִכלָלָה
french,צָרְפָתִית
involved,מְעוּרָב
cry,לִבכּוֹת
became,הפך
lived,חי
impossible,בִּלתִי אֶפשָׂרִי
obviously,בָּרוּר
neither,גַם לֹא
accept,לְקַבֵּל
boyfriend,הֶחָבֵר
besides,מִלְבַד
queen,מַלכָּה
teacher,מוֹרֶה
cops,שוטרים
sake,טוֹבָה
loves,אוהבים
carry,לשאת
teach,לְלַמֵד
apartment,דִירָה
upset,לְשַׁבֵּשׁ
green,יָרוֹק
la,לָה
liked,אהבתי
cute,חָמוּד
evil,רַע
professor,פּרוֹפֶסוֹר
contact,מַגָע
joke,בְּדִיחָה
cop,שׁוֹטֵר
huge,עָצוּם
holy,קָדוֹשׁ
store,חנות
jail,כֵּלֵא
likes,לייקים
lawyer,עוֹרֵך דִין
doubt,סָפֵק
continue,לְהַמשִׁיך
appreciate,לְהַעֲרִיך
cat,חָתוּל
shop,לִקְנוֹת
driving,נְהִיגָה
congratulations,מזל טוב
wrote,כתב
village,כְּפָר
quit,לְהַפְסִיק
field,שָׂדֶה
james,ג'יימס
wine,יַיִן
decision,הַחְלָטָה
south,דָרוֹם
sleeping,יָשֵׁן
slow,לְהַאֵט
laughter,צְחוֹק
island,אִי
glass,זְכוּכִית
beginning,רֵאשִׁית
cash,מְזוּמָנִים
dying,גְסִיסָה
hundred,מֵאָה
whose,שֶׁל מִי
difference,הֶבדֵל
plane,מָטוֹס
push,לִדחוֹף
continues,ממשיך
mmm,מממ
singing,שִׁירָה
eating,אֲכִילָה
north,צָפוֹן
mrs,גְבֶרֶת
tree,עֵץ
madam,גְבֶרֶת
gift,מַתָנָה
truck,מַשָׂאִית
putting,לשים
bear,דוֹב
board,לוּחַ
grab,לִתְפּוֹס
beer,בִּירָה
stuck,תָקוּעַ
magic,קֶסֶם
support,תְמִיכָה
rules,כללים
grunts,נהמות
partner,שׁוּתָף
reach,לְהַגִיעַ
wind,רוּחַ
colonel,קוֹלוֹנֶל
max,מקסימום
immediately,מִיָד
seconds,שניות
thousand,אֶלֶף
gives,נותן
experience,הִתנַסוּת
cheers,לחיים
victim,קָרבָּן
upon,עַל
computer,מַחשֵׁב
christ,ישו
planet,כּוֹכַב לֶכֶת
promised,מוּבטָח
bus,אוֹטוֹבּוּס
henry,הנרי
dirty,מְלוּכלָך
search,לְחַפֵּשׂ
staying,להישאר
dreams,חלומות
arrest,מַעְצָר
holding,הַחזָקָה
suddenly,פִּתְאוֹם
usually,בְּדֶרֶך כְּלַל
lots,הרבה
shoes,נעליים
er,אה
jump,קְפִיצָה
rid,לְשַׁחְרֵר
yo,יו
knock,נְקִישָׁה
owe,חייב
harry,לְהָצִיק
grow,לִגדוֹל
worst,גָרוּעַ בִּיוֹתֵר
river,נָהָר
aunt,דוֹדָה
patient,חוֹלֶה
kitchen,מִטְבָּח
aah,אה
fat,שׁוּמָן
passed,עבר
m,מ'
final,סוֹפִי
summer,קַיִץ
bob,שִׁילִינג
listening,הַקשָׁבָה
escape,לִברוֹחַ
everywhere,בְּכָל מָקוֹם
moon,יָרֵחַ
arms,נֶשֶׁק
turns,סיבובים
address,כְּתוֹבֶת
ow,או
match,לְהַתְאִים
gasps,התנשפויות
grand,גָדוֹל
yep,כֵּן
shh,ששש
nervous,עַצבָּנִי
de,דה
choose,לִבחוֹר
themselves,עַצמָם
decide,לְהַחלִיט
mate,זוּג
drinking,שְׁתִיָה
press,לִלְחוֹץ
bother,לְהטרִיד
foot,רֶגֶל
hadn,לא היה
blame,לְהַאֲשִׁים
crap,שְׁטוּיוֹת
drugs,סמים
type,סוּג
rings,טבעות
mission,מְשִׁימָה
named,שם
heaven,שָׁמַיִם
‘ii,ii
picked,נבחר
paris,פריז
race,גֶזַע
risk,לְהִסְתָכֵּן
books,ספרים
further,לְקַדֵם
danny,דני
action,פְּעוּלָה
allowed,מוּתָר
orders,הזמנות
learned,מְלוּמָד
price,מְחִיר
arrived,הגיע
nick,ניק
otherwise,אַחֶרֶת
pictures,תמונות
fit,לְהַתְאִים
smoke,עָשָׁן
favor,טוֹבָה
played,שיחק
notice,הוֹדָעָה
awesome,מדהים
smile,חִיוּך
director,מְנַהֵל
guard,מִשׁמָר
begin,לְהַתְחִיל
spot,לְזַהוֹת
surprised,מוּפתָע
innocent,תָמִים
narrator,מְסַפֵּר
herself,עַצמָה
london,לונדון
feelings,רגשות
enemy,אוֹיֵב
battle,קְרָב
ourselves,בְּעָצמֵנוּ
alex,אלכס
dollars,דולרים
allow,לְהַתִיר
nine,תֵשַׁע
gay,הומו
department,מַחלָקָה
guilty,אָשֵׁם
apart,בְּנִפרָד
earlier,קודם לכן
duty,חוֹבָה
jim,ג'ים
suit,חֲלִיפָה
bell,פַּעֲמוֹן
west,מַעֲרָב
legs,רגליים
hero,גיבור
destroy,לְהַשְׁמִיד
stage,שָׁלָב
bunch,צְרוֹר
according,לפי
chicken,עוֹף
bigger,גדול יותר
grunting,גניחה
low,נָמוּך
helping,מָנָה
admit,לְהוֹדוֹת
closed,סָגוּר
names,שמות
witness,עֵד
upstairs,לְמַעלָה
arm,זְרוֹעַ
steal,לִגנוֹב
jimmy,ג'ימי
kick,בְּעִיטָה
twice,פַּעֲמַיִם
cross,לַחֲצוֹת
ways,דרכים
sergeant,סַמָל
indeed,אָכֵן
gas,גַז
keeping,שְׁמִירָה
energy,אֵנֶרְגִיָה
pregnant,בְּהֵרָיוֹן
waste,לְבַזבֵּז
helped,עזר
fired,מְפוּטָר
favorite,מוּעֲדָף
tony,טוני
taste,טַעַם
locked,נָעוּל
places,מקומות
writing,כְּתִיבָה
adam,אָדָם רִאשׁוֹן
brothers,אחים
starts,מתחיל
prince,נָסִיך
form,טוֹפֶס
sold,נמכר
silly,טִפּשִׁי
mention,אִזְכּוּר
build,לִבנוֹת
throat,גָרוֹן
hole,חוֹר
figured,מְעוּטָר
track,מַסלוּל
ringing,צִלצוּל
lock,לִנְעוֹל
leg,רֶגֶל
above,מֵעַל
hiding,הַסתָרָה
steve,סטיב
seemed,נראה
breakfast,ארוחת בוקר
engine,מָנוֹעַ
written,שֶׁבִּכְתָב
complete,לְהַשְׁלִים
video,וִידֵאוֹ
applause,תְשׁוּאוֹת
however,אוּלָם
pressure,לַחַץ
fresh,טָרִי
weapon,נֶשֶׁק
sky,שָׁמַיִם
ms.,גְבֶרֶת.
stole,צָעִיף
study,לִלמוֹד
burn,לִשְׂרוֹף
reading,קְרִיאָה
crowd,קָהָל
