you,ти
luck,удача
murder,вбивство
happens,трапляється
air,повітря
ten,десять
daddy,тато
finally,нарешті
chuckles,сміється
fast,швидко
cold,холодно
seem,здається
laughing,сміючись
words,слова
hospital,лікарня
street,вулиця
hang,повісити
dance,танець
meeting,зустріч
till,до
others,інші
catch,зловити
follow,слідувати
sense,сенс
sex,секс
lie,брехня
evening,вечір
master,майстер
known,відомий
dream,мрія
write,писати
million,мільйон
voice,голос
sweet,солодкий
rather,скоріше
felt,відчував
sign,знак
lucky,щасливий
somewhere,десь
bet,ставка
o,о
jesus,Ісус
longer,довше
calling,виклик
worked,працював
quiet,тихий
looked,виглядав
less,менше
pull,тягнути
beat,бити
careful,обережний
coffee,кава
return,повернення
secret,секрет
weeks,тижні
weren,не
date,дата
seeing,бачачи
fall,падіння
given,дано
ooh,ох
fault,помилка
straight,прямий
takes,бере
song,пісня
future,майбутнє
gentlemen,панове
loved,коханий
changed,змінився
road,дорога
calm,спокій
wonderful,чудовий
mad,божевільний
turned,повернувся
drop,падіння
ladies,пані
learn,навчитися
step,крок
absolutely,абсолютно
early,рано
explain,пояснити
clean,чистий
piece,шматок
yesterday,вчора
throw,кинути
picture,малюнок
land,земля
feet,ноги
wonder,диво
questions,питання
speaking,розмова
worth,вартість
darling,коханий
dude,чувак
giving,даючи
president,президент
eye,око
quick,швидкий
moving,рухомий
figure,фігура
state,стан
strong,сильний
sam,Сем
none,жодного
amazing,дивовижний
ones,ті
works,працює
act,акт
needed,потрібний
weird,дивний
law,закон
worried,стурбований
report,звіт
goodbye,прощання
missing,відсутній
choice,вибір
happening,відбувається
chief,начальник
wedding,весілля
strange,дивний
general,загальний
pain,біль
‘am,я
kidding,жартую
decided,вирішив
ya,так
pass,пропуск
tired,втомлений
class,клас
officer,офіцер
kept,зберігається
wake,пробудження
worse,гірше
busy,зайнятий
eh,еге ж
mistake,помилка
kiss,поцілунок
court,суд
building,будівля
finish,фініш
during,протягом
age,вік
ship,корабель
caught,спійманий
marry,одружитися
meant,означало
sell,продати
dark,темний
watching,спостерігаючи
system,система
suppose,припускати
evidence,докази
movie,фільм
ride,їздити
t,т
completely,повністю
mouth,рот
totally,повністю
birthday,день народження
tv,телевізор
forgive,пробачити
born,народжений
imagine,уявити
information,інформація
instead,замість цього
definitely,безумовно
security,безпека
certainly,звичайно
film,фільм
month,місяць
lying,лежачи
unless,якщо тільки
train,поїзд
seven,сім
wear,носити
clothes,одяг
michael,Майкл
hotel,готель
christmas,Різдво
attack,атака
hasn,не має
round,круглий
expect,очікувати
sing,співати
terrible,жахливий
george,джордж
bag,сумка
history,історія
blue,синій
near,поблизу
broke,зламався
station,станція
seriously,серйозно
forever,назавжди
david,Девід
frank,відвертий
except,крім
thinks,думає
message,повідомлення
entire,цілий
joe,Джо
table,стіл
talked,розмовляв
across,поперек
rock,рок
lovely,чудовий
handle,ручка
middle,середина
buddy,приятель
paid,оплачено
protect,захищати
using,використовуючи
floor,підлога
ran,біг
swear,лаятися
spend,витрачати
situation,ситуація
ring,кільце
anywhere,будь-де
dangerous,небезпечний
bill,рахунок
york,Йорк
army,армія
lead,свинець
bought,куплений
finished,закінчений
fair,справедливий
sun,сонце
letter,лист
fool,дурень
attention,увага
club,клуб
simple,простий
interesting,цікавий
space,простір
test,тест
box,коробка
group,група
single,одинокий
sitting,сидить
marriage,шлюб
join,приєднатися
fear,страх
d,день
peace,мир
forgot,забув
force,сила
short,короткий
normal,нормальний
charlie,Чарлі
present,присутній
enjoy,насолоджуватися
mike,Майк
crime,злочинність
horse,кінь
ground,земля
american,американський
count,рахувати
area,площа
charge,заряд
honor,честь
lunch,обід
miles,милі
radio,радіо
idiot,ідіот
ball,м'яч
surprise,сюрприз
paper,папір
key,ключ
boat,човен
quickly,швидко
gold,золото
bar,бар
fish,риба
mark,позначка
tom,Том
wearing,носити
crying,плач
accident,нещасний випадок
government,уряд
eight,вісім
fell,впав
cover,обкладинка
certain,певний
interested,зацікавлений
deep,глибокий
star,зірка
sea,море
agree,погоджуюся
problems,проблеми
detective,детектив
prison,в'язниця
major,майор
stick,палиця
offer,пропозиція
difficult,важко
smart,розумний
personal,особистий
record,запис
stopped,зупинений
hide,приховати
whether,чи
bank,банк
trip,поїздка
relax,розслабитися
america,Америка
public,громадськість
list,список
afternoon,після обіду
brain,мозок
fix,виправити
bastard,покидьок
proud,гордий
tea,чай
service,послуга
screaming,крик
forward,вперед
angry,розгніваний
park,парк
soul,душа
fighting,боротьба
peter,Петро
rich,багатий
agent,агент
blow,удар
paul,Павло
dress,сукня
mary,Мері
missed,пропустив
scene,сцена
killing,вбивство
standing,стоячи
saved,збережено
mm,мм
respect,повага
killer,вбивця
ice,лід
mess,безлад
tough,жорсткий
feels,відчуває
church,церква
sad,сумний
cell,клітина
drunk,п'яний
share,поділитися
camera,камера
mm-hmm,мм-хм
within,в межах
card,картка
fly,літати
ben,Бен
girlfriend,дівчина
laugh,сміх
smell,запах
broken,зламаний
mum,мама
honest,чесний
often,часто
starting,починаючи
calls,дзвінки
y,у
spent,витрачений
third,третій
english,англійська
visit,відвідати
mama,мама
judge,суддя
window,вікно
hungry,голодний
dare,наважитися
relationship,стосунки
moved,переміщений
prove,довести
private,приватний
wall,стіна
seat,сидіння
i-i,і-і
position,позиція
lieutenant,лейтенант
realize,усвідомити
lt,лт
especially,особливо
machine,машина
walking,ходьба
art,мистецтво
pleasure,задоволення
bloody,кривавий
college,коледж
french,французький
involved,залучений
cry,плакати
became,став
lived,жив
impossible,неможливо
obviously,очевидно
neither,ні
accept,прийняти
boyfriend,хлопець
besides,крім того
queen,королева
teacher,вчитель
cops,поліцейські
sake,саке
loves,кохання
carry,нести
teach,навчати
apartment,квартира
upset,засмучений
green,зелений
la,ла
liked,сподобалося
cute,милий
evil,зло
professor,професор
contact,контакт
joke,жарт
cop,поліцейський
huge,величезний
holy,святий
store,магазин
jail,в'язниця
likes,подобаються
lawyer,адвокат
doubt,сумнів
continue,продовжувати
appreciate,цінувати
cat,кіт
shop,магазин
driving,водіння
congratulations,вітання
wrote,написав
village,село
quit,кинути
field,поле
james,Джеймс
wine,вино
decision,рішення
south,південь
sleeping,сплячий
slow,повільний
laughter,сміх
island,острів
glass,скло
beginning,початок
cash,готівка
dying,вмираючий
hundred,сто
whose,чий
difference,різниця
plane,літак
push,штовхати
continues,продовжується
mmm,ммм
singing,спів
eating,їсти
north,північ
mrs,пані
tree,дерево
madam,пані
gift,подарунок
truck,вантажівка
putting,покладання
bear,ведмідь
board,дошка
grab,схопити
beer,пиво
stuck,застряг
magic,магія
support,підтримка
rules,правила
grunts,бурчання
partner,партнер
reach,охопити
wind,вітер
colonel,полковник
max,макс.
immediately,негайно
seconds,секунди
thousand,тисяча
gives,дає
experience,досвід
cheers,ура
victim,жертва
upon,на
computer,комп'ютер
christ,Христос
planet,планета
promised,обіцяв
bus,автобус
henry,Генрі
dirty,брудний
search,пошук
staying,перебування
dreams,мрії
arrest,арешт
holding,холдинг
suddenly,раптово
usually,зазвичай
lots,багато
shoes,взуття
er,ер
jump,стрибок
rid,позбавити
yo,йо
knock,стукіт
owe,заборгувати
harry,Гаррі
grow,рости
worst,найгірший
river,річка
aunt,тітка
patient,kitchen
aah,ааа
fat,жир
passed,пройшов
m,м
final,summer
bob,listening
прослуховування,escape
втеча,everywhere
скрізь,moon
місяць,arms
руки,turns
повороти,address
адреса,ow
ой,match
матч,gasps
задишки,grand
великий,yep
так,shh
Тссс,nervous
нервовий,de
де,choose
вибрати,themselves
самі,decide
вирішити,mate
партнер,drinking
питний,press
преса,bother
турбувати,foot
стопа,hadn
не мав,blame
звинувачувати,crap
лайно,drugs
наркотики,type
тип,rings
кільця,mission
місія,named
названий,heaven
небеса,‘ii
іі,picked
вибраний,paris
Париж,race
раса,risk
ризик,books
книги,further
далі,danny
Денні,action
дія,allowed
дозволено,orders
замовлення,learned
навчився,price
ціна,arrived
прибув,nick
нік,otherwise
інакше,pictures
фотографії,fit
підходити,smoke
дим,favor
послуга,played
зіграв,notice
повідомлення,awesome
чудовий,smile
посмішка,director
директор,guard
охоронець,begin
починати,spot
пляма,surprised
здивований,innocent
невинний,narrator
оповідач,herself
сама,london
Лондон,feelings
почуття,enemy
ворог,battle
битва,ourselves
себе,alex
Алекс,dollars
доларів,allow
дозволити,nine
дев'ять,gay
гей,department
відділ,guilty
винний,apart
окремо,earlier
раніше,duty
обов'язок,jim
Джим,suit
костюм,bell
дзвін,west
захід,legs
ноги,hero
герой,destroy
знищити,stage
сцена,bunch
купа,according
згідно,chicken
курка,bigger
більший,grunting
хрюкання,low
низький,helping
допомагаючи,admit
визнати,closed
ЗАЧИНЕНО,names
імена,witness
свідок,upstairs
нагорі,arm
рука,steal
красти,jimmy
Джиммі,kick
удар ногою,twice
двічі,cross
хрест,ways
способи,sergeant
сержант,indeed
справді,gas
газ,keeping
зберігання,energy
енергія,pregnant
вагітна,waste
відходи,helped
допоміг,fired
звільнений,favorite
улюблений,tony
Тоні,taste
смак,locked
заблоковано,places
місця,writing
письмо,adam
Адам,brothers
брати,starts
починається,prince
принц,form
форма,sold
продано,silly
дурний,mention
згадка,build
будувати,throat
горло,hole
отвір,figured
фігурний,track
доріжка,ringing
дзвін,lock
замок,leg
нога,above
вище,hiding
ховається,steve
Стів,seemed
здавалося,breakfast
сніданок,engine
двигун,written
написаний,complete
повний,video
відео,applause
оплески,however
однак,pressure
тиск,fresh
свіжий,weapon
зброя,sky
небо,ms.
РС.,stole
вкрав,study
вивчення,burn
опік,reading
читання,crowd
натовп,treat
частувати,roll
рулон,double
подвійний,spirit
дух,danger
небезпека,cost
вартість,empty
порожній,level
рівень,memory
пам'ять,itself
сам,acting
акторська майстерність,interest
інтерес,nose
ніс,plans
плани,following
наступний,bathroom
ванна кімната,built
побудований,closer
ближче,ray
промінь,sarah
Сара,band
гурт,groans
стогони,apparently
очевидно,excited
схвильований,richard
Річард,losing
програш,animals
тварини,flight
політ,nature
природа,raise
підвищити,pop
поп-музика,client
клієнт,bomb
бомба,neck
шия,suspect
підозрюваний,warm
теплий,extra
додатковий,bottle
пляшка,van
фургон,heavy
важкий,mommy
мама,dogs
собаки,wild
дикий,ridiculous
смішний,simply
просто,lee
Лі,animal
тварина,showed
показав,billy
shooting,стрільба
keeps,зберігає
camp,табір
guns,medical
медичний,shame
сором,hoping
сподіваючись,whom
кого,bird
majesty,flowers
famous,відомий
asleep,спить
beauty,краса
driver,водій
keys,ключі
rain,дощ
awful,жахливий
large,великий
local,місцевий
deserve,заслуговувати
goddamn,чорт забирай
stone,камінь
jane,Джейн
grace,благодать
consider,розглянути
weekend,вихідні
wondering,дивуватися
lay,лежати
plenty,багато
willing,охочий
pants,штани
sweetheart,кохана
skin,шкіра
excellent,відмінний
asshole,мудак
beach,пляж
c,с
faith,віра
beg,просити
fuckin,бляха
responsible,відповідальний
military,військовий
cheering,оплески
opportunity,можливість
common,поширений
bottom,дно
german,німецький
whoever,хто завгодно
cook,кухар
walked,йшов
papers,документи
justice,правосуддя
hall,зал
commander,командир
drug,ліки
main,головний
knife,ніж
devil,диявол
necessary,необхідний
although,хоча
princess,принцеса
lights,вогні
flying,політ
dick,член
rose,троянда
knowing,знаючи
clearly,чітко
hat,капелюх
agreed,погодився
johnny,Джонні
corner,кут
code,код
note,примітка
tommy,Томмі
due,належний
correct,правильний
apologize,вибачитися
language,мова
stars,зірки
faster,швидше
cars,автомобілі
folks,люди
bullshit,нісенітниця
i.,я.
fellow,товариш
several,кілька
grandma,бабуся
shows,показує
leader,лідер
leaves,листя
restaurant,ресторан
east,схід
shouting,кричати
blind,сліпий
ghost,привид
cup,чашка
gotten,отримав
tight,щільний
conversation,розмова
tells,розповідає
lies,брехня
nor,ні
pulled,потягнув
hanging,висить
speed,швидкість
stories,історії
health,здоров'я
advice,порада
held,проведений
uh-huh,ага
murdered,убитий
beyond,за межами
rule,правило
hardly,навряд чи
possibly,можливо
inspector,інспектор
cousin,двоюрідний брат
trial,судовий процес
emergency,надзвичайна ситуація
ought,слід
eddie,Едді
somehow,якось
hearing,слух
states,штати
account,обліковий запис
spoke,говорив
file,файл
understood,зрозумів
angel,ангел
tape,стрічка
milk,молоко
powerful,потужний
weapons,зброя
practice,практика
manager,менеджер
pardon,помилування
vote,голосувати
jake,Джейк
national,національний
career,кар'єра
minister,міністр
super,супер
taught,навчав
robert,Роберт
biggest,найбільший
plays,п'єси
natural,природний
dancing,танці
copy,копія
plus,плюс
martin,Мартін
cake,торт
freedom,свобода
among,серед
breath,дихання
operation,операція
chris,Кріс
crew,екіпаж
challenge,виклик
market,ринок
meat,м'ясо
towards,до
bringing,приведення
dropped,впав
student,студент
lied,брехав
strength,сила
size,розмір
breathe,дихати
color,колір
monster,монстр
loud,гучний
photo,фото
aw,ой
nearly,майже
sight,зір
greatest,найбільший
games,ігри
bridge,міст
dressed,одягнений
arrested,заарештований
horrible,жахливий
coach,тренер
planning,планування
checked,перевірено
breaking,ламаючи
noticed,помітив
fantastic,фантастичний
screams,крики
serve,служити
ideas,ідеї
investigation,розслідування
center,центр
older,старший
pack,пачка
soldiers,солдати
nonsense,нісенітниця
doc,документ
project,демонструвати
training,навчання
example,приклад
trick,трюк
prepared,підготовлений
science,наука
united,об'єднаний
travel,подорожі
incredible,неймовірний
grandpa,дідусь
paying,платити
character,персонаж
teeth,зуби
criminal,злочинець
charles,Чарльз
chinese,китайський
truly,справді
honestly,чесно
bro,братан
survive,вижити
bobby,Боббі
target,ціль
feed,годувати
nurse,медсестра
e,е
fake,підробка
records,записи
breathing,дихання
sweetie,солоденька
numbers,числа
oil,олія
suicide,самогубство
belong,належати
whoo,ого
perfectly,ідеально
amy,Емі
forgotten,забутий
remain,залишатися
original,оригінальний
papa,тато
onto,на
concerned,стурбований
credit,кредит
ugh,фу
invited,запрошений
discuss,обговорити
research,дослідження
easier,легше
view,вид
chair,стілець
hurts,болить
strike,страйк
roger,Роджер
fill,заповнити
condition,хвороба
mountain,гора
dr,доктор
nowhere,ніде
sheriff,шериф
kim,Кім
turning,поворот
brown,коричневий
recognize,розпізнати
heads,голови
audience,аудиторія
‘all,«всі
jealous,ревнивий
pretend,вдавати
society,суспільство
finding,знахідка
shirt,сорочка
comfortable,зручний
meaning,значення
guest,гість
pieces,шматки
dry,сухий
letting,здавати в оренду
began,почав
aye,так
jeff,Джефф
female,жінка
release,реліз
ho,Хо
cards,картки
pray,молитися
unfortunately,на жаль
balls,кульки
destroyed,знищено
ended,закінчився
universe,всесвіт
prepare,підготувати
opinion,думка
movies,фільми
soldier,солдат
wash,мити
program,програма
heat,спека
usual,звичайний
ticket,квиток
stolen,вкрадений
prefer,віддати перевагу
aware,усвідомлений
surely,безперечно
male,чоловік
base,база
matters,питання
lift,підйомник
lab,лабораторія
command,команда
proof,доказ
cream,крем
selling,продаж
believed,вірив
create,створити
h,год
afford,дозволити собі
sunday,неділя
total,загальна сума
dumb,німий
threw,кинув
france,Франція
birth,народження
created,створений
realized,зрозумів
british,британський
noise,шум
nuts,горіхи
students,студенти
birds,птахи
social,соціальний
brilliant,блискучий
bodies,тіла
tie,краватка
opened,відкрито
ours,наш
bucks,бакси
kevin,Кевін
mister,пан
ugly,потворний
ryan,Райан
focus,фокус
dan,Ден
opens,відкривається
exist,існувати
followed,слідував
england,Англія
draw,нічия
purpose,мета
letters,літери
daniel,Даніель
opening,відкриття
bullet,куля
anna,Анна
lately,останнім часом
stayed,залишився
falling,падіння
season,сезон
ends,кінці
suggest,пропонувати
joy,радість
distance,відстань
responsibility,відповідальність
whenever,коли завгодно
issue,випуск
thousands,тисячі
process,процес
sword,меч
shower,душ
weak,слабкий
fucked,трахнув
lonely,самотній
happiness,щастя
eric,Ерік
tiny,крихітний
desk,письмовий стіл
pool,басейн
property,власність
forced,примусовий
settle,оселитися
indistinct,нечіткий
weight,вага
received,отримано
gang,банда
bite,укус
friday,п'ятниця
disappeared,зник
interview,співбесіда
expecting,очікує
kinda,свого роду
surgery,хірургія
horses,коні
mayor,мер
babe,крихітка
ancient,стародавній
handsome,гарний
thomas,Томас
saturday,субота
staff,персонал
lines,лінії
unit,одиниця
fan,вентилятор
gentleman,джентльмен
introduce,представити
fate,доля
split,розкол
recently,нещодавно
expected,очікуваний
add,додати
ordered,замовив
slowly,повільно
alarm,сигналізація
member,член
slept,спав
signed,підписаний
enter,ввести
spanish,іспанська
garden,сад
brings,приносить
brave,хоробрий
pig,свиня
model,модель
finger,палець
medicine,ліки
access,доступ
failed,невдало
flat,плоский
easily,легко
discovered,виявлено
based,заснований
screw,гвинт
insane,божевільний
cares,турботи
weather,погода
fingers,пальці
san,сан
scott,Скотт
path,шлях
soft,м'який
harm,шкода
style,стиль
community,громада
sees,бачить
basically,в основному
al,аль
signal,сигнал
nope,ні
spare,запасний
speech,промова
covered,покритий
shake,трястися
loose,вільний
snow,сніг
russian,російський
lake,озеро
bright,яскравий
roof,дах
ohh,ох
sending,надсилання
paint,фарба
remind,нагадати
pal,приятель
naked,голий
post,пост
sugar,цукор
heading,заголовок
streets,вулиці
damage,пошкодження
silence,тиша
doors,двері
pete,Піт
ed,ред.
success,успіх
wet,мокрий
nah,ні
amount,сума
members,члени
kate,Кейт
manage,керувати
safety,безпека
returned,повернувся
harder,важче
fbi,ФБР
block,блок
showing,показ
fancy,вигадка
chef,шеф-кухар
contract,контракт
dig,копати
chest,груди
goodbye,прощання
drinks,напої
dave,Дейв
buried,похований
brian,Браян
trade,торгівля
journey,подорож
stomach,шлунок
changes,зміни
details,деталі
thoughts,думки
divorce,розлучення
funeral,похорон
maria,Марія
football,футбол
reality,реальність
theory,теорія
gosh,Боже
ruined,зруйнований
gate,ворота
william,Вільям
spread,поширення
outta,геть
japanese,японський
sudden,раптовий
coat,пальто
sooner,швидше
cheese,сир
larry,Ларрі
spring,весна
page,сторінка
ears,вуха
simon,Саймон
castle,замок
hidden,прихований
storm,шторм
cos,косинус
personally,особисто
artist,художник
hill,пагорб
exciting,захопливий
permission,дозвіл
jerry,Джеррі
expensive,дорогий
tickets,квитки
forest,ліс
barely,ледве
eggs,яйця
goin,йду
regret,жаль
lesson,урок
lover,коханець
bread,хліб
andy,Енді
subject,предмет
legal,юридичний
growing,зростаючий
ill,хворий
jason,Джейсон
mood,настрій
owner,власник
caused,спричинений
beeping,звуковий сигнал
points,бали
dating,побачення
loss,втрата
secretary,секретар
revenge,помста
santa,Санта
likely,ймовірно
rent,оренда
connection,з'єднання
assistant,помічник
reasons,причини
yelling,кричати
painting,живопис
trees,дерева
doctors,лікарі
rush,поспіх
foreign,іноземний
rough,грубий
murderer,вбивця
century,століття
nights,ночі
pair,пара
runs,пробігає
pocket,кишеню
farm,ферма
matt,матовий
bike,велосипед
obvious,очевидний
ate,їв
grew,виріс
professional,професійний
tim,Тім
goodness,доброта
parts,частини
alan,Алан
university,університет
square,квадрат
grandfather,дідусь
europe,Європа
genius,геній
cases,справи
ruin,руїна
winter,зима
tongue,язик
memories,спогади
da,так
buying,купівля
cancer,рак
clock,годинник
ocean,океан
dna,ДНК
liar,брехун
tour,тур
thief,злодій
bleep,звуковий сигнал
lisa,Ліза
rights,права
including,включаючи
competition,змагання
smith,коваль
planned,запланований
emily,Емілі
boring,нудний
victims,жертви
mentioned,згаданий
bones,кістки
plant,рослина
bless,благословляти
warning,УВАГА
knocking,стукіт
re,знову
crash,аварія
bedroom,спальня
lower,нижчий
silver,срібло
groaning,стогін
madame,мадам
defense,захист
results,результати
toilet,туалет
event,подія
complicated,складний
shape,форма
priest,священик
royal,королівський
cheap,дешевий
romantic,романтичний
downstairs,внизу
invite,запросити
fortune,статок
tears,сльози
avoid,уникати
reached,досяг
higher,вище
familiar,знайомий
telephone,телефон
burning,горіння
filled,заповнений
kelly,Келлі
alice,Аліса
airport,аеропорт
jobs,вакансії
grown,вирощений
walter,Вальтер
rachel,Рейчел
giant,велетень
insurance,страхування
woods,ліси
n,н
scare,лякати
pleased,задоволений
period,період
political,політичний
player,гравець
stops,зупинки
secrets,секрети
