you,tu
start,iniciar
use,uso
while,enquanto
since,desde
wife,esposa
days,dias
guess,adivinhar
tomorrow,amanhã
matter,assunto
meet,conhecer
bring,trazer
tonight,esta noite
everyone,toda a gente
run,correr
wanna,queres
hard,duro
ah,ah
alone,sozinho
myself,eu próprio
school,escola
gone,desaparecido
um,um
end,fim
saying,ditado
phone,telefone
play,brincadeira
looks,visual
couldn,não podia
fucking,foda-se
problem,problema
few,menos
friends,amigos
gotta,preciso
ago,atrás
open,aberto
anyone,qualquer pessoa
killed,morto
hope,esperança
face,rosto
until,até
lost,perdido
police,polícia
excuse,desculpar
turn,virar
business,negócio
case,caso
wants,quer
says,diz
true,VERDADE
die,dado
heart,coração
soon,em breve
each,cada
worry,preocupação
later,mais tarde
year,ano
watch,relógio
music,música
hand,mão
having,termos
probably,provavelmente
beautiful,lindo
doctor,médico
sit,sentar
eat,comer
thinking,pensamento
young,jovem
second,segundo
working,trabalho
water,água
person,pessoa
part,peça
kids,miúdos
late,tarde
stuff,coisas
exactly,exatamente
under,por baixo
death,morte
minute,minuto
pay,pagar
crazy,maluco
forget,esquecer-se
everybody,toda a gente
kid,miúdo
change,mudar
gave,deu
happen,acontecer
damn,maldito
five,cinco
drink,bebida
far,longe
knows,sabe
its,dele
whatever,qualquer
eyes,olhos
shut,fechar
aren,não
hit,bater
taking,tirando
easy,fácil
times,vezes
check,verificação
hands,mãos
minutes,minutos
deal,negócio
different,diferente
means,meios
point,ponto
inside,interior
makes,faz
asked,perguntou
somebody,alguém
mine,meu
making,fazendo
body,corpo
afraid,receio
sleep,dormir
chance,sorte
dear,querido
quite,muito
four,quatro
anyway,de qualquer forma
close,perto
ain,ain
party,festa
fun,diversão
against,contra
word,palavra
comes,vem
important,importante
set,conjunto
shall,ir
story,história
number,número
daughter,filha
least,menos
waiting,espera
hurt,magoar
wish,desejo
moment,momento
fight,luta
week,semana
husband,marido
girls,garotas
rest,descanso
married,casado
fire,fogo
game,jogo
nobody,ninguém
mr,senhor
children,crianças
side,lado
stand,suporte
read,ler
though,embora
cut,corte
started,iniciado
sister,irmã
supposed,suposto
between,entre
child,criança
goes,vai
hours,horas
speak,falar
women,mulher
behind,por trás de
almost,quase
truth,verdade
blood,sangue
able,capaz
lady,senhora
anymore,já não
playing,brincar
gets,fica
shot,tiro
reason,razão
trouble,sarilhos
break,pausa
war,guerra
city,cidade
walk,caminhada
town,cidade
trust,confiança
dr.,doutor
met,conheceu
office,escritório
question,pergunta
brought,trazer
yours,O seu
welcome,boas-vindas
high,alto
wow,uau
couple,casal
half,metade
died,morreu
cool,fresco
free,livre
either,ou
seems,parece
power,poder
whoa,Uau!
bye,adeus
buy,comprar
telling,contando
honey,mel
tried,tentou
front,frente
team,equipa
answer,resposta
gun,pistola
boys,meninos
line,linha
send,enviar
news,notícias
stupid,estúpido
bed,cama
hurry,pressa
full,cheio
months,meses
save,guardar
sometimes,por vezes
become,tornar-se
along,em conjunto
hate,ódio
food,comida
outside,exterior
light,luz
l,l
needs,precisa
dog,cão
country,país
clear,claro
order,encomenda
em,em
fact,facto
lord,senhor
captain,capitão
six,seis
hot,quente
funny,engraçado
black,preto
mrs.,senhora.
alive,vivo
pick,escolher
feeling,sentimento
living,vida
cause,causa
ahead,à frente
lose,perder
king,rei
plan,plano
dinner,jantar
sighs,suspiros
sort,ordenar
leaving,saindo
shouldn,deveria
running,corrida
boss,chefe
alright,Tudo bem
promise,promessa
taken,tomado
safe,seguro
ma,mãe
book,livro
sent,enviado
white,branco
hour,hora
anybody,qualquer pessoa
small,pequeno
perfect,perfeito
‘cause,'causa
lives,vidas
special,especial
parents,pais
s,s
john,João
himself,ele mesmo
perhaps,talvez
sounds,sons
serious,sério
sick,doente
company,companhia
ha,ha
scared,assustado
uncle,tio
poor,pobre
red,vermelho
past,passado
earth,terra
possible,possível
shoot,tiroteio
touch,toque
sound,som
top,topo
ass,bunda
laughs,risos
cannot,não pode
asking,perguntando
win,ganhar
glad,satisfeito
control,controlo
hmm,Hum
human,humano
drive,conduzir
hair,cabelo
jack,Jack
bitch,cadela
luck,sorte
murder,assassinato
happens,acontece
air,ar
ten,dez
daddy,papá
finally,finalmente
chuckles,risos
fast,rápido
cold,frio
seem,bainha
laughing,rir
words,palavras
hospital,hospital
street,rua
hang,pendurar
dance,dança
meeting,reunião
till,até
others,outros
catch,apanhar
follow,seguir
sense,sentir
sex,sexo
lie,mentira
evening,noite
master,mestre
known,conhecido
dream,sonho
write,escrever
million,milhão
voice,voz
sweet,doce
rather,em vez de
felt,feltro
sign,assinar
lucky,sortudo
somewhere,em algum lugar
bet,aposta
o,o
jesus,Jesus
longer,mais longo
calling,ligando
worked,trabalhado
quiet,silencioso
looked,visto
less,menos
pull,puxar
beat,batimento
careful,cuidadoso
coffee,café
return,devolver
secret,segredo
weeks,semanas
weren,não
date,data
seeing,vendo
fall,outono
given,dado
ooh,ooh
fault,avaria
straight,reto
takes,leva
song,canção
future,futuro
gentlemen,senhores
loved,amado
changed,mudado
road,estrada
calm,calma
wonderful,maravilhoso
mad,louco
turned,virou
drop,gota
ladies,senhoras
learn,aprender
step,degrau
absolutely,absolutamente
early,cedo
explain,explicar
clean,limpo
piece,pedaço
yesterday,ontem
throw,atirar
picture,fotografia
land,terra
feet,pés
wonder,maravilha
questions,questões
speaking,Falando
worth,valor
darling,querido
dude,tipo
giving,dando
president,presidente
eye,olho
quick,rápido
moving,mudança
figure,número
state,estado
strong,forte
sam,sam
none,nenhum
amazing,incrível
ones,uns
works,funciona
act,atuar
needed,necessário
weird,estranho
law,lei
worried,preocupado
report,relatório
goodbye,adeus
missing,em falta
choice,escolha
happening,acontecendo
chief,chefe
wedding,casamento
strange,estranho
general,general
pain,dor
‘am,'sou
kidding,gracejar
decided,decidido
ya,sim
pass,passar
tired,cansado
class,classe
officer,oficial
kept,mantido
wake,acordar
worse,pior
busy,ocupado
eh,Eh
mistake,erro
kiss,beijo
court,tribunal
building,edifício
finish,terminar
during,durante
age,idade
ship,navio
caught,apanhado
marry,casar
meant,destinado
sell,vender
dark,escuro
watching,assistindo
system,sistema
suppose,supor
evidence,prova
movie,filme
ride,passeio
t,t
completely,completamente
mouth,boca
totally,totalmente
birthday,data de nascimento
tv,TV
forgive,perdoar
born,nascido
imagine,imaginar
information,informação
instead,em vez de
definitely,definitivamente
security,segurança
certainly,certamente
film,filme
month,mês
lying,mentiras
unless,a menos que
train,comboio
seven,Sete
wear,vestir
clothes,roupa
michael,Miguel
hotel,hotel
christmas,Natal
attack,ataque
hasn,não
round,redondo
expect,esperar
sing,cantar
terrible,terrível
george,Jorge
bag,saco
history,história
blue,azul
near,perto
broke,partido
station,estação
seriously,a sério
forever,para sempre
david,David
frank,franco
except,exceto
thinks,pensa
message,mensagem
entire,inteiro
joe,joe
table,mesa
talked,falou
across,através de
rock,pedra
lovely,adorável
handle,lidar com
middle,meio
buddy,camarada
paid,pago
protect,proteger
using,usando
floor,andar
ran,correu
swear,blasfémia
spend,gastar
situation,situação
ring,anel
anywhere,em qualquer lugar
dangerous,perigoso
bill,conta
york,Iorque
army,exército
lead,liderar
bought,comprou
finished,concluído
fair,justo
sun,sol
letter,carta
fool,tolo
attention,atenção
club,clube
simple,simples
interesting,interessante
space,espaço
test,teste
box,caixa
group,grupo
single,solteiro
sitting,sentado
marriage,casamento
join,juntar
fear,medo
d,d
peace,paz
forgot,esquecer
force,força
short,curto
normal,normal
charlie,Charlie
present,presente
enjoy,desfrutar
mike,microfone
crime,crime
horse,cavalo
ground,solo
american,americano
count,contagem
area,área
charge,cobrar
honor,honra
lunch,almoço
miles,milhas
radio,rádio
idiot,idiota
ball,bola
surprise,surpresa
paper,papel
key,chave
boat,barco
quickly,rapidamente
gold,ouro
bar,bar
fish,peixe
mark,marca
tom,Tom
wearing,desgaste
crying,choro
accident,acidente
government,governo
eight,oito
fell,caiu
cover,cobertura
certain,certo
interested,interessado
deep,profundo
star,estrela
sea,mar
agree,concordar
problems,problemas
detective,detetive
prison,prisão
major,major
stick,pau
offer,oferta
difficult,difícil
smart,inteligente
personal,pessoal
record,registo
stopped,parou
hide,ocultar
whether,meteorologia
bank,banco
trip,viagem
relax,descontrair
america,América
public,público
list,lista
afternoon,tarde
brain,cérebro
fix,corrigir
bastard,bastardo
proud,orgulhoso
tea,chá
service,serviço
screaming,gritando
forward,encaminhar
angry,zangado
park,parque
soul,alma
fighting,luta
peter,Pedro
rich,rico
agent,agente
blow,soprar
paul,Paulo
dress,vestido
mary,Maria
missed,perdido
scene,cena
killing,matar
standing,de pé
saved,salvo
mm,mm
respect,respeito
killer,assassino
ice,gelo
mess,desarrumação
tough,duro
feels,sentimentos
church,igreja
sad,triste
cell,célula
drunk,bêbado
share,partilhar
camera,câmera
mm-hmm,mm-hmm
within,dentro de
card,cartão
fly,voar
ben,ben
girlfriend,namorada
laugh,rir
smell,cheiro
broken,partido
mum,mãe
honest,honesto
often,frequentemente
starting,começando
calls,ligações
y,y
spent,gasto
third,terceiro
english,Inglês
visit,visita
mama,mamãe
judge,juiz
window,janela
hungry,esfomeado
dare,ousar
relationship,relação
moved,movido
prove,provar
private,privado
wall,parede
seat,lugar
i-i,eu-eu
position,posição
lieutenant,tenente
realize,perceber
lt,lt
especially,especialmente
machine,máquina
walking,ambulante
art,arte
pleasure,prazer
bloody,sangrento
college,colega
french,francês
involved,envolvido
cry,chorar
became,tornou-se
lived,vivido
impossible,impossível
obviously,obviamente
neither,nenhum
accept,aceitar
boyfriend,namorado
besides,para além de
queen,rainha
teacher,professor
cops,policiais
sake,sake
loves,ama
carry,transportar
teach,ensinar
apartment,apartamento
upset,perturbado
green,verde
la,la
liked,apreciado
cute,fofo
evil,mal
professor,professor
contact,contacto
joke,piada
cop,policial
huge,enorme
holy,sagrado
store,loja
jail,prisão
likes,curtidas
lawyer,advogado
doubt,dúvida
continue,continuar
appreciate,apreciar
cat,gato
shop,loja
driving,condução
congratulations,Parabéns
wrote,escreveu
village,aldeia
quit,despedir-se
field,campo
james,Tiago
wine,vinho
decision,decisão
south,sul
sleeping,sonolento
slow,devagar
laughter,riso
island,ilha
glass,copo
beginning,início
cash,dinheiro
dying,morte
hundred,cem
whose,cujo
difference,diferença
plane,avião
push,pressionar
continues,continua
mmm,hummm
singing,cantoria
eating,comer
north,norte
mrs,senhora
tree,árvore
madam,senhora
gift,presente
truck,camião
putting,colocando
bear,suportar
board,placa
grab,agarrar
beer,cerveja
stuck,preso
magic,magia
support,apoio
rules,regras
grunts,grunhidos
partner,parceiro
reach,alcance
wind,vento
colonel,coronel
max,máximo
immediately,imediatamente
seconds,segundos
thousand,mil
gives,dá
experience,experiência
cheers,saúde
victim,vítima
upon,mediante
computer,computador
christ,Cristo
planet,planeta
promised,prometido
bus,autocarro
henry,Henrique
dirty,sujo
search,pesquisa
staying,ficando
dreams,sonhos
arrest,prender prisão
holding,contenção
suddenly,repentinamente
usually,normalmente
lots,muitos
shoes,sapatos
er,er
jump,salto
rid,libertar
yo,ei
knock,bater
owe,dever
harry,Harry
grow,crescer
worst,pior
river,rio
aunt,tia
patient,paciente
kitchen,cozinha
aah,aah
fat,gordo
passed,passou
m,m
final,final
summer,verão
bob,prumo
listening,escuta
escape,escapar
everywhere,em todos os lugares
moon,lua
arms,braços
turns,voltas
address,morada
ow,agora
match,correspondência
gasps,suspiros
grand,grande
yep,sim
shh,shh
nervous,nervoso
de,de
choose,escolher
themselves,eles próprios
decide,decidir
mate,amigo
drinking,beber
press,imprensa
bother,incómodo
foot,pé
hadn,não
blame,culpa
crap,caca
drugs,drogas
type,tipo
rings,anéis
mission,missão
named,chamado
heaven,paraíso
‘ii,‘ii
picked,escolhido
paris,Paris
race,raça
risk,risco
books,livros
further,além disso
danny,Danny
action,ação
allowed,permitido
orders,pedidos
learned,aprendido
price,preço
arrived,chegou
nick,Nick
otherwise,de outro modo
pictures,fotos
fit,ajustado
smoke,fumo
favor,favor
played,jogado
notice,aviso
awesome,fantástico
smile,sorriso
director,diretor
guard,guarda
begin,começar
spot,mancha
surprised,surpreso
innocent,inocente
narrator,narrador
herself,ela mesma
london,Londres
feelings,sentimentos
enemy,inimigo
battle,batalha
ourselves,nós mesmos
alex,Alex
dollars,dólares
allow,permitir
nine,nove
gay,gay
department,departamento
guilty,culpado
apart,afastado
earlier,mais cedo
duty,dever
jim,Jim
suit,fato
bell,sino
west,oeste
legs,pernas
hero,herói
destroy,destruir
stage,fase
bunch,ramo
according,de acordo com
chicken,frango
bigger,maior
grunting,grunhindo
low,baixo
helping,ajudando
admit,admitir
closed,fechado
names,nomes
witness,testemunha
upstairs,lá em cima
arm,braço
steal,roubar
jimmy,Jimmy
kick,pontapé
twice,duas vezes
cross,cruz
ways,caminhos
sergeant,sargento
indeed,realmente
gas,gás
keeping,mantendo
energy,energia
pregnant,grávida
waste,desperdício
helped,ajudou
fired,despedido
favorite,favorito
tony,Tony
taste,sabor
locked,trancado
places,locais
writing,escrita
adam,Adão
brothers,irmãos
starts,começa
prince,príncipe
form,forma
sold,vendido
silly,pateta
mention,menção
build,construir
throat,garganta
hole,buraco
figured,figurado
track,pista
ringing,toque
lock,bloquear
leg,perna
above,acima
hiding,escondido
steve,Steve
seemed,pareceu
breakfast,pequeno-almoço
engine,motor
written,escrito
complete,concluir
video,vídeo
applause,aplausos
however,no entanto
pressure,pressão
fresh,fresco
weapon,arma
sky,céu
ms.,EM.
stole,roubou
study,estudo
burn,queimar
reading,leitura
crowd,multidão
treat,prazer
roll,rolo
double,duplo
spirit,espírito
danger,perigo
cost,custo
empty,vazio
level,nível
memory,memória
itself,em si
acting,atuando
interest,interesse
nose,nariz
plans,planos
following,seguinte
bathroom,casa de banho
built,construído
closer,mais perto
ray,raio
sarah,Sara
band,banda
groans,gemidos
apparently,aparentemente
excited,entusiasmado
richard,Ricardo
losing,perdendo
animals,animais
flight,voo
nature,natureza
raise,aumento
pop,estouro
client,cliente
bomb,bomba
neck,pescoço
suspect,suspeito
warm,quente
extra,extra
bottle,garrafa
van,carrinha
heavy,pesado
mommy,mamãe
dogs,cães
wild,selvagem
ridiculous,ridículo
simply,simplesmente
lee,Lee
animal,animal
showed,mostrou
billy,Billy
shooting,tiroteio
keeps,mantém
camp,acampar
guns,armas
medical,médico
shame,vergonha
hoping,esperançoso
whom,quem
bird,pássaro
majesty,majestade
flowers,flores
famous,famoso
asleep,adormecido
beauty,beleza
driver,motorista
keys,chaves
rain,chuva
awful,horrível
large,grande
local,local
deserve,merecer
goddamn,caralho
stone,pedra
jane,Jane
grace,graça
consider,considerar
weekend,fim de semana
wondering,imaginando
lay,expor
plenty,bastante
willing,vontade
pants,calças
sweetheart,amor
skin,pele
excellent,excelente
asshole,Idiota
beach,praia
c,c
faith,fé
beg,implorar
fuckin,foda-se
responsible,responsável
military,militar
cheering,aplaudindo
opportunity,oportunidade
common,comum
bottom,fundo
german,alemão
whoever,quem quer que seja
cook,cozinheiro
walked,caminhou
papers,documentos
justice,justiça
hall,corredor
commander,comandante
drug,medicamento
main,principal
knife,faca
devil,diabo
necessary,necessário
although,embora
princess,princesa
lights,luzes
flying,vôo
dick,pau
rose,rosa
knowing,sabendo
clearly,claramente
hat,chapéu
agreed,acordado
johnny,Johnny
corner,canto
code,código
note,nota
tommy,Tommy
due,devido
correct,correto
apologize,pedir desculpa
language,idioma
stars,estrelas
faster,mais rápido
cars,carros
folks,povo
bullshit,besteira
i.,Eu.
fellow,membro
several,vários
grandma,avó
shows,mostra
leader,líder
leaves,folhas
restaurant,restaurante
east,este
shouting,gritando
blind,cego
ghost,fantasma
cup,taça
gotten,pego
tight,apertado
conversation,conversa
tells,conta
lies,mentiras
nor,nem
pulled,retirado
hanging,pendurado
speed,velocidade
stories,histórias
health,saúde
advice,conselho
held,agarrado
uh-huh,aham
murdered,assassinado
beyond,além de
rule,regra
hardly,dificilmente
possibly,possivelmente
inspector,inspetor
cousin,primo
trial,ensaio
emergency,emergência
ought,dever
eddie,Eddie
somehow,de algum modo
hearing,audição
states,estados
account,conta
spoke,falou
file,ficheiro
understood,compreendido
angel,anjo
tape,cassete
milk,leite
powerful,poderoso
weapons,armas
practice,prática
manager,gestor
pardon,perdão
vote,voto
jake,Jake
national,nacional
career,carreira
minister,ministro
super,super
taught,ensinou
robert,Roberto
biggest,O maior
plays,peças
natural,natural
dancing,dança
copy,cópia
plus,mais
martin,Martinho
cake,bolo
freedom,liberdade
among,entre
breath,respiração
operation,operação
chris,Cris
crew,equipa
challenge,desafio
market,mercado
meat,carne
towards,em direção a
bringing,trazendo
dropped,caiu
student,estudante
lied,mentiu
strength,força
size,tamanho
breathe,respirar
color,cor
monster,monstro
loud,alto
photo,fotografia
aw,aw
nearly,quase
sight,vista
greatest,O melhor
games,jogos
bridge,ponte
dressed,vestido
arrested,preso
horrible,horrível
coach,treinador
planning,planejamento
checked,verificado
breaking,quebra
noticed,notou
fantastic,fantástico
screams,gritos
serve,servir
ideas,ideias
investigation,investigação
center,centro
older,mais velho
pack,conjunto
soldiers,soldados
nonsense,besteira
doc,documento
project,projeto
training,formação
example,exemplo
trick,truque
prepared,preparado
science,ciência
united,unido
travel,viajar
incredible,incrível
grandpa,avô
paying,pagando
character,personagem
teeth,dentes
criminal,criminal
charles,Carlos
chinese,chinês
truly,verdadeiramente
honestly,honestamente
bro,mano
survive,sobreviver
bobby,Bobby
target,objetivo
feed,alimentar
nurse,enfermeiro
e,e
fake,falso
records,registos
breathing,respirando
sweetie,docinho
numbers,números
oil,óleo
suicide,suicídio
belong,pertencer
whoo,uau
perfectly,perfeitamente
amy,Amy
forgotten,esquecido
remain,resto
original,original
papa,papai
onto,para
concerned,preocupado
credit,crédito
ugh,eca
invited,convidado
discuss,discutir
research,investigação
easier,mais fácil
view,ver
chair,cadeira
hurts,machuca
strike,greve
roger,Rogério
fill,preencher
condition,estado
mountain,montanha
dr,doutor
nowhere,em lugar nenhum
sheriff,xerife
kim,Kim
turning,virando
brown,castanho
recognize,reconhecer
heads,cabeças
audience,audiência
‘all,'tudo
jealous,invejoso
pretend,fingir
society,sociedade
finding,descoberta
shirt,camisa
comfortable,confortável
meaning,significado
guest,convidado
pieces,porções
dry,seco
letting,permitindo
began,começou
aye,Sim
jeff,Jeff
female,fêmea
release,lançamento
ho,ho
cards,cartas
pray,orar
unfortunately,infelizmente
balls,bolas
destroyed,destruído
ended,terminado
universe,universo
prepare,preparar
opinion,opinião
movies,filmes
soldier,soldado
wash,lavar
program,programa
heat,calor
usual,normal
ticket,bilhete
stolen,roubado
prefer,preferir
aware,consciente
surely,certamente
male,macho
base,base
matters,assuntos
lift,elevador
lab,laboratório
command,comando
proof,prova
cream,creme
selling,vendendo
believed,acreditado
create,criar
h,h
afford,poder
sunday,domingo
total,total
dumb,burro
threw,jogou
france,França
birth,aniversário
created,criado
realized,compreendeu
british,britânico
noise,ruído
nuts,nozes
students,estudantes
birds,pássaros
social,social
brilliant,brilhante
bodies,corpos
tie,gravata
opened,aberto
ours,O nosso
bucks,dólares
kevin,Kevin
mister,senhor
ugly,feio
ryan,Ryan
focus,foco
dan,dan
opens,abre
exist,existir
followed,seguido
england,Inglaterra
draw,desenhar
purpose,finalidade
letters,cartas
daniel,Daniel
opening,abertura
bullet,bala
anna,Ana
lately,ultimamente
stayed,ficou
falling,caindo
season,estação
ends,termina
suggest,sugerir
joy,alegria
distance,distância
responsibility,responsabilidade
whenever,em qualquer altura
issue,problema
thousands,milhares
process,processo
sword,espada
shower,duche
weak,fraco
fucked,foda-se
lonely,solitário
happiness,felicidade
eric,Eric
tiny,minúsculo
desk,secretária
pool,piscina
property,propriedade
forced,forçado
settle,determinar
indistinct,indistinto
weight,peso
received,recebido
gang,gangue
bite,mordedura
friday,sexta-feira
disappeared,desaparecido
interview,entrevista
expecting,esperando
kinda,mais ou menos
surgery,cirurgia
horses,cavalos
mayor,prefeito
babe,bebê
ancient,antigo
handsome,lindo
thomas,Tomás
saturday,Sábado
staff,pessoal
lines,linhas
unit,unidade
fan,fã
gentleman,cavalheiro
introduce,apresentar
fate,destino
split,divisão
recently,recentemente
expected,esperado
add,adicionar
ordered,pedido
slowly,lentamente
alarm,alarme
member,membro
slept,dormiu
signed,assinado
enter,entrar
spanish,Espanhol
garden,jardim
brings,traz
brave,bravo
pig,porco
model,modelo
finger,dedo
medicine,medicina
access,acesso
failed,falhou
flat,plano
easily,facilmente
discovered,descoberto
based,com base em
screw,parafuso
insane,louco
cares,cuida
weather,tempo
fingers,dedos
san,san
scott,Scott
path,percurso
soft,macio
harm,ofensa
style,estilo
community,comunidade
sees,vê
basically,basicamente
al,al
signal,sinal
nope,não
spare,sobressalente
speech,discurso
covered,abordado
shake,agitar
loose,livre
snow,neve
russian,russo
lake,lago
bright,luminoso
roof,telhado
ohh,ohh
sending,enviando
paint,pintar
remind,lembrar
pal,amigo
naked,nu
post,publicação
sugar,açúcar
heading,cabeçalho
streets,ruas
damage,dano
silence,silêncio
doors,portas
pete,Pedro
ed,ed
success,sucesso
wet,molhado
nah,não
amount,montante
members,membros
kate,Kate
manage,gerir
safety,segurança
returned,devolvido
harder,mais difícil
fbi,FBI
block,bloco
showing,mostrando
fancy,extravagante
chef,chef
contract,contrato
dig,escavação
chest,peito
goodbye,adeus
drinks,bebidas
dave,David
buried,enterrado
brian,Brian
trade,comércio
journey,jornada
stomach,estômago
changes,mudanças
details,detalhes
thoughts,pensamentos
divorce,divórcio
funeral,funeral
maria,Maria
football,futebol
reality,realidade
theory,teoria
gosh,poxa
ruined,arruinado
gate,portão
william,Guilherme
spread,espalhar
outta,fora de
japanese,japonês
sudden,repentino
coat,casaco
sooner,mais cedo
cheese,queijo
larry,Lary
spring,primavera
page,página
ears,orelhas
simon,simão
castle,castelo
hidden,oculto
storm,tempestade
cos,cos
personally,pessoalmente
artist,artista
hill,colina
exciting,entusiasmante
permission,permissão
jerry,Jerry
expensive,caro
tickets,ingressos
forest,floresta
barely,escassamente
eggs,ovos
goin,indo
regret,arrependimento
lesson,lição
lover,amante
bread,pão
andy,Andy
subject,assunto
legal,legal
growing,crescente
ill,doente
jason,Jason
mood,humor
owner,proprietário
caused,causado
beeping,bip
points,pontos
dating,namorando
loss,perda
secretary,secretário
revenge,vingança
santa,Pai Natal
likely,provavelmente
rent,renda
connection,conexão
assistant,assistente
reasons,razões
yelling,gritando
painting,pintura
trees,árvores
doctors,médicos
rush,pressa
foreign,estrangeiro
rough,áspero
murderer,assassino
century,século
nights,noites
pair,par
runs,corridas
pocket,bolso
farm,quinta
matt,fosco
bike,bicicleta
obvious,óbvio
ate,comeu
grew,cresceu
professional,profissional
tim,tim
goodness,bondade
parts,peças
alan,Alan
university,universidade
square,quadrado
grandfather,avô
europe,Europa
genius,génio
cases,casos
ruin,arruinar
winter,inverno
tongue,língua
memories,memórias
da,da
buying,comprando
cancer,cancro
clock,relógio
ocean,oceano
dna,DNA
liar,mentiroso
tour,digressão
thief,ladrão
bleep,bip
lisa,lisa
rights,direitos
including,incluindo
competition,competição
smith,Smith
planned,planejado
emily,Emily
boring,aborrecido
victims,vítimas
mentioned,mencionado
bones,ossos
plant,planta
bless,abençoar
warning,aviso
knocking,batendo
re,ré
crash,queda
bedroom,quarto
lower,baixar
silver,prata
groaning,gemendo
madame,madame
defense,defesa
results,resultados
toilet,casa de banho
event,evento
complicated,complicado
shape,forma
priest,padre
royal,real
cheap,barato
romantic,romântico
downstairs,andar de baixo
invite,convidar
fortune,sorte
tears,lágrimas
avoid,evitar
reached,alcançado
higher,mais alto
familiar,familiar
telephone,telefone
burning,queimando
filled,cheio
kelly,Kelly
alice,Alice
airport,aeroporto
jobs,empregos
grown,crescido
walter,Walter
rachel,Raquel
giant,gigante
insurance,seguro
woods,floresta
n,n
scare,susto
pleased,agradado
period,período
political,político
player,jogador
stops,para
secrets,segredos
laura,Laura
repeat,repetir
photos,fotos
finds,encontra
statement,afirmação
suck,chupar
younger,mais jovem
china,China
humans,humanos
delicious,delicioso
particular,particular
proper,próprio
rome,Roma
belongs,pertence
attacked,atacado
bath,banho
hired,contratado
site,local
